Polling Station No,Candidate_1,I V A U N R) A K A H T C L I N RM( AA T,P . N A P) PK AM ID N( A L A P,M A L) HEK TVM AID GR A AT I REA V A ( M,) SK .L NM AT SW E NH AS GV (,V . N A N) K HM S M I RT KP AI NA ( N E H C,S . I H T A) K V V A T G ( A L I H T,U S A) RK AM VT O( O P,M ) .K IL NK AM R M A NL D U A M N A( J,S . H) SD IN H I T( A S,P . Y M A) D S AN NI ( N I H C,K . J A) D R LN II M( A T,R . N A P) PD AN II N( A L A P,S . N ) AD GN U I R( U M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
63,63,9,85,353,1,0,122,0,1,0,1,0,3,2,0,577,0,4,581
64,64,16,145,203,3,1,162,3,1,0,0,2,0,0,0,536,0,0,536
65,65,6,213,241,2,0,139,0,0,0,0,0,0,2,2,605,0,3,608
66,66,23,105,546,4,3,216,3,1,0,0,0,0,4,0,905,0,2,907
67,67,17,170,445,3,0,200,1,0,0,0,1,0,1,3,841,0,4,845
68,68,10,137,359,5,1,121,0,1,0,0,0,1,0,0,635,0,0,635
69,69,12,126,325,4,1,95,1,0,0,0,1,0,0,1,566,0,2,568
70,70,33,130,351,6,1,165,1,1,0,0,0,3,1,0,692,0,2,694
71,71,17,145,360,7,0,178,1,0,0,0,1,0,2,1,712,0,1,713
72,72,25,78,741,6,1,192,1,0,1,0,2,5,4,3,1059,0,7,1066
73,73,27,131,373,2,0,264,0,1,0,0,2,4,3,0,807,0,1,808
74,74,16,107,565,5,1,277,0,0,0,0,1,2,1,3,978,0,7,985
75,75,35,130,702,8,1,180,0,1,1,0,0,1,0,0,1059,0,8,1067
76,76,12,79,383,4,2,129,0,1,1,0,1,3,1,0,616,0,1,617
77,77,6,68,580,8,0,133,1,0,0,0,1,2,0,2,801,0,1,802
78,78,28,105,510,1,1,196,0,1,0,0,0,2,1,1,846,0,3,849
79,79,20,95,385,5,1,251,1,3,1,0,1,1,2,0,766,0,4,770
80,80,18,107,623,8,1,203,1,0,0,0,1,1,4,0,967,0,2,969
81,81,19,70,583,5,0,196,0,1,1,0,1,6,5,2,889,0,1,890
82,82,11,77,361,2,0,101,0,0,0,0,0,0,2,0,554,0,1,555
83,83,16,217,140,1,1,148,0,0,0,0,0,0,1,1,525,0,2,527
84,84,8,70,366,2,0,132,0,1,1,0,1,0,3,1,585,0,2,587
85,85,21,134,671,4,0,167,0,1,0,0,2,0,2,2,1004,0,3,1007
86,86,13,103,407,1,0,129,0,1,2,0,2,0,2,2,662,0,1,663
87,87,18,124,498,4,0,152,0,0,0,1,0,0,2,0,799,0,4,803
88,88,5,28,233,0,0,61,0,0,0,0,0,0,1,1,329,0,2,331
89,89,4,135,166,2,1,117,1,0,0,0,0,2,1,2,431,0,0,431
90,90,12,147,289,2,3,201,0,0,1,1,0,0,6,2,664,0,3,667
91,91,21,292,417,3,0,216,0,1,1,0,0,4,1,4,960,0,3,963
92,92,27,73,437,3,0,154,1,1,1,0,0,1,4,1,703,0,4,707
93,93,7,173,113,1,1,99,0,0,0,0,0,2,1,0,397,0,2,399
94,94,14,477,72,1,0,276,1,1,1,0,1,4,0,1,849,0,3,852
95,95,14,505,89,1,1,264,0,0,0,0,0,0,1,0,875,0,1,876
96,96,15,166,311,1,2,122,2,1,0,0,0,0,0,1,621,0,1,622
97,97,26,112,257,1,0,98,0,0,0,0,2,0,0,0,496,0,2,498
98,98,12,154,406,0,0,85,0,0,0,0,0,1,2,1,661,0,4,665
99,99,16,255,378,4,0,211,0,1,0,1,0,1,3,0,870,0,4,874
100,100,19,162,322,0,1,235,0,3,0,1,0,0,0,1,744,0,1,745
101,101,9,275,85,3,2,143,2,0,0,0,0,3,0,1,523,0,3,526
102,102,10,268,442,2,1,214,0,0,0,0,0,4,1,1,943,0,4,947
103,103,15,187,256,2,0,174,0,1,0,0,0,0,0,1,636,0,1,637
104,104,9,124,322,7,0,206,1,1,0,0,0,1,1,0,672,0,1,673
105,105,8,438,123,0,0,133,0,1,0,0,0,0,1,2,706,0,1,707
106,106,7,179,142,1,0,60,1,0,0,0,0,0,0,0,390,0,0,390
107,107,7,58,325,1,1,109,0,0,1,0,0,0,0,1,503,0,1,504
108,108,17,80,426,3,1,219,1,0,0,2,0,0,1,1,751,0,2,753
109,109,22,154,573,6,1,188,0,1,0,0,0,0,0,0,945,0,3,948
