Polling Station No,GANAPATHY. K,P. BENJAMIN,REVATHI L,AGNI SELVARAJU. J,MUTHURAMAN. S,MURALI. S,RHEVANTH CHARAN,K. VENKATESAN,J. VENKATESAN,D. ANANDAN,K. GANAPATHY,V. KAMALA KANNAN,SARAVANAN KUMAR,R. SIVA,M. BALASUBRAMANIAN,S. BENJAMIN MOSES,PONMUTHU RAMESH,N.A. MANI,R. YUVARAJ,VIGNESH NANDAGOPAL,M. JAMES,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
225,128,84,27,1,0,2,268,1,2,0,0,0,0,0,0,0,0,0,0,0,0,513,0,4,517,0
226,152,109,32,1,0,1,353,1,1,1,1,0,0,1,0,0,1,0,0,0,0,654,0,3,657,0
227,142,124,23,2,0,0,333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,626,0,3,629,0
228,167,117,20,2,0,0,278,0,0,0,0,0,0,0,0,0,2,0,0,0,0,586,0,2,588,0
229,182,153,33,1,0,0,271,1,0,1,0,0,0,1,0,1,0,0,0,0,0,644,0,5,649,0
230,170,153,25,1,0,1,320,0,0,0,0,0,0,1,0,1,1,1,0,1,0,675,0,2,677,0
231,165,104,27,0,0,1,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,4,548,0
232,127,94,24,0,0,1,172,0,1,0,0,0,1,0,0,1,0,0,0,1,0,422,0,0,422,0
233,217,114,38,0,0,0,333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,703,0,1,704,0
234,188,165,32,1,0,0,277,0,0,1,0,0,0,0,0,0,0,0,0,0,1,665,0,4,669,0
235,166,189,42,0,0,0,243,1,0,0,0,0,0,0,0,0,1,0,0,1,0,643,0,7,650,0
236,115,98,19,0,0,1,223,0,0,0,1,1,0,0,0,0,0,0,0,1,0,459,0,6,465,0
237,155,92,33,0,1,1,295,1,0,0,0,0,0,0,1,0,0,1,0,0,0,580,0,4,584,0
238,181,102,24,0,0,2,301,0,0,0,0,0,0,1,0,0,1,2,0,0,0,614,0,0,614,0
239,241,61,22,1,0,0,366,1,0,1,0,1,0,1,1,0,0,8,0,0,0,704,0,0,704,0
240,182,69,15,0,0,1,208,0,0,1,0,1,0,0,0,0,0,1,0,0,0,478,0,3,481,0
241,141,73,20,0,0,2,242,0,0,0,0,0,0,0,0,1,0,0,1,0,0,480,0,1,481,0
242,126,90,18,0,0,7,220,0,0,0,1,0,0,0,0,0,1,0,0,0,0,463,0,4,467,0
243,226,105,18,2,0,6,369,0,2,0,0,2,0,2,0,0,1,0,0,0,0,733,0,0,733,0
244,128,124,17,1,0,1,265,1,0,0,0,1,0,0,0,2,1,0,0,0,0,541,0,2,543,0
245,177,98,9,1,0,1,217,0,0,0,0,0,0,1,0,1,0,0,0,0,0,505,0,0,505,0
246,175,62,19,2,0,0,260,0,0,0,1,0,0,0,0,0,0,0,0,0,0,519,0,1,520,0
247,191,65,14,1,0,1,224,1,1,0,0,0,0,0,0,1,0,0,1,0,0,500,0,5,505,0
248,211,101,26,0,0,1,328,1,0,0,0,0,0,1,1,1,0,0,0,0,0,671,0,3,674,0
249,140,53,9,0,0,0,179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,382,0,3,385,0
250,137,83,26,1,0,0,345,0,2,0,1,0,0,2,0,0,0,1,0,1,0,599,0,4,603,0
251,170,102,15,0,0,0,259,0,0,1,0,0,0,2,0,0,0,0,0,1,0,550,0,5,555,0
252,128,71,14,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,1,422,0
253,161,90,18,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,2,492,0
254,86,59,17,0,0,0,191,0,1,0,0,0,0,2,0,0,0,0,1,0,0,357,0,3,360,0
255,130,57,22,1,0,0,244,0,1,0,0,0,0,1,0,0,1,0,0,0,0,457,0,2,459,0
256,223,92,26,0,0,1,477,0,1,0,0,1,0,0,0,0,1,0,0,0,0,822,0,0,822,0
257,178,115,29,0,1,1,440,0,1,0,0,2,0,2,0,0,0,0,0,0,0,769,0,4,773,0
258,117,131,27,1,0,1,404,0,1,0,0,0,0,1,0,0,0,0,0,2,0,685,0,7,692,0
259,114,120,17,1,0,1,256,1,0,0,0,0,1,0,0,0,0,0,0,0,0,511,0,0,511,0
260,144,123,32,0,0,1,479,0,0,1,0,0,1,0,0,0,0,0,0,0,0,781,0,1,782,0
261,229,162,33,1,0,1,329,1,2,0,0,0,0,1,0,0,0,0,0,0,1,760,0,1,761,0
262,204,137,22,0,0,1,384,1,1,0,0,0,0,0,0,0,0,0,0,0,0,750,0,1,751,0
263,104,66,14,0,0,1,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,2,383,0
264,101,103,16,0,0,0,193,0,2,0,0,0,0,0,0,0,0,0,0,0,0,415,0,1,416,0
265,157,139,24,0,0,1,530,1,0,2,0,0,0,4,1,0,0,0,0,0,0,859,0,1,860,0
266,72,109,14,0,1,0,277,0,1,0,0,0,0,3,0,0,0,0,0,1,0,478,0,0,478,0
267,146,92,26,3,0,0,341,1,2,1,1,1,0,3,0,0,0,0,0,0,0,617,0,2,619,0
268,124,120,21,0,0,0,264,1,0,0,0,0,0,1,0,0,2,0,0,0,0,533,0,3,536,0
269,154,132,28,1,1,0,311,0,2,0,0,0,0,0,0,1,2,2,0,0,0,634,0,3,637,0
270,133,85,24,0,0,0,255,0,1,0,0,1,1,0,0,1,1,0,0,0,0,502,0,2,504,0
271,138,123,23,1,0,1,265,0,0,1,0,0,2,0,0,0,0,0,0,0,0,554,0,3,557,0
272,132,112,26,0,0,0,289,1,0,0,0,0,1,2,0,0,1,1,0,0,0,565,0,3,568,0
273,175,104,34,0,0,1,261,1,2,0,0,0,0,2,0,0,1,0,0,1,0,582,0,3,585,0
274,117,115,21,1,0,0,169,0,2,0,0,0,0,0,0,1,0,0,1,0,0,427,0,8,435,0
275,142,137,17,0,0,0,226,0,0,0,0,2,0,0,1,0,2,1,0,0,1,529,0,2,531,0
276,155,127,19,0,0,1,216,0,0,0,0,0,1,2,1,2,0,0,0,0,0,524,0,6,530,0
277,171,119,32,0,0,0,244,0,1,0,0,0,1,0,0,0,0,0,0,0,0,568,0,5,573,0
278,162,182,33,0,0,0,342,1,1,0,0,0,0,0,0,1,0,0,0,1,0,723,0,3,726,0
279,144,159,35,0,0,0,214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,553,0,8,561,0
280,164,179,23,0,1,0,243,0,1,0,2,0,0,0,0,2,2,0,0,0,0,617,0,4,621,0
281,148,160,23,2,1,0,357,0,0,0,0,2,0,0,2,1,1,0,0,0,0,697,0,2,699,0
282,178,196,26,1,0,1,260,1,1,1,0,0,0,0,0,0,0,1,0,0,0,666,0,0,666,0
283,161,147,24,1,0,3,362,0,0,0,1,1,0,1,0,0,0,0,0,0,0,701,0,0,701,0
284,132,121,26,0,0,0,301,0,1,0,1,1,0,1,0,0,1,0,0,0,0,585,0,2,587,0
285,124,75,29,1,0,0,289,0,0,1,0,0,0,1,0,0,0,0,0,0,0,520,0,3,523,0
286,167,110,30,0,0,1,482,0,0,1,0,1,0,0,1,1,1,0,1,0,1,797,0,5,802,0
287,118,99,31,0,0,0,365,0,0,0,0,1,0,1,1,0,0,0,0,0,0,616,0,0,616,0
288,86,78,28,1,0,0,239,0,0,0,0,0,0,3,0,0,0,0,1,0,0,436,0,2,438,0
289,174,97,19,2,0,2,395,0,1,0,0,0,0,0,0,1,1,1,0,0,0,693,0,3,696,0
290,108,59,14,2,0,0,255,0,0,0,1,1,0,1,0,0,0,0,0,0,0,441,0,0,441,0
291,152,85,36,1,0,0,345,1,0,0,0,2,0,0,1,0,0,0,0,0,0,623,0,2,625,0
292,122,75,22,0,0,0,334,1,1,0,0,1,0,0,0,0,0,0,0,1,0,557,0,0,557,0
293,151,120,41,1,0,1,317,0,1,0,0,0,1,0,0,0,2,0,0,0,0,635,0,5,640,0
294,149,91,22,1,0,1,330,0,0,0,0,0,1,1,0,1,0,0,0,0,0,597,0,3,600,0
295,134,83,28,0,0,0,319,0,0,1,1,0,0,0,0,0,1,0,0,0,0,567,0,1,568,0
296,119,112,19,1,0,2,341,0,0,0,0,0,0,0,1,0,0,0,0,0,0,595,0,2,597,0
297,244,151,58,0,0,0,538,0,4,0,0,0,0,0,0,1,0,1,0,0,0,997,0,2,999,0
298,144,95,29,1,0,2,257,0,0,0,0,0,0,0,0,0,0,0,0,1,0,529,0,3,532,0
299,121,97,22,0,0,0,172,0,0,0,0,0,0,0,0,0,2,0,1,0,0,415,0,1,416,0
300,173,140,46,1,1,0,456,0,3,0,1,0,0,1,0,0,2,1,0,0,0,825,0,3,828,0
301,175,108,36,2,0,2,555,1,0,0,1,2,0,1,0,1,2,4,1,1,1,893,0,0,893,0
302,147,82,32,1,0,1,378,0,2,0,0,0,1,2,0,2,0,1,0,0,0,649,0,1,650,0
303,72,89,39,0,0,0,327,2,5,0,0,0,0,0,0,0,1,0,0,0,0,535,0,1,536,0
304,83,120,20,1,0,1,274,1,0,1,0,1,0,0,0,0,0,1,0,0,0,503,0,1,504,0
305,128,132,27,1,0,0,319,0,0,0,1,0,0,1,0,2,0,0,0,0,0,611,0,2,613,0
306,76,114,21,1,0,0,257,1,0,0,1,0,1,1,1,0,0,0,0,0,0,474,0,1,475,0
307,94,109,18,0,0,1,252,0,0,0,1,0,0,0,0,0,0,0,1,0,0,476,0,0,476,0
308,98,112,27,0,0,0,282,0,0,1,0,0,4,0,0,0,1,0,1,0,0,526,0,3,529,0
309,125,69,27,0,0,1,293,0,0,0,0,0,0,2,0,1,0,0,0,0,0,518,0,3,521,0
310,105,62,25,1,0,0,274,1,0,0,0,0,1,0,0,2,1,0,0,0,0,472,0,0,472,0
311,122,130,33,0,0,0,357,0,0,0,0,1,1,2,0,0,2,1,0,0,0,649,0,2,651,0
312,83,70,25,0,1,0,257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,437,0,1,438,0
313,91,79,20,1,0,2,293,0,0,1,0,0,2,0,0,1,0,0,0,0,0,490,0,0,490,0
314,171,121,17,0,0,0,302,0,3,1,0,0,0,0,0,2,0,0,0,0,0,617,0,0,617,0
315,109,95,21,0,0,0,317,0,1,0,0,2,0,0,0,0,1,1,0,0,0,547,0,0,547,0
316,107,90,15,1,0,1,265,1,0,0,0,0,1,3,1,0,0,0,1,0,1,487,0,2,489,0
317,255,117,41,2,0,2,405,1,1,0,0,0,0,1,0,1,0,0,0,0,0,826,0,2,828,0
318,171,136,21,0,0,0,328,1,3,0,0,0,0,0,0,0,0,1,0,0,0,661,0,0,661,0
319,166,132,24,0,0,1,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,5,635,1
320,154,173,37,0,0,0,419,0,0,0,0,0,0,0,0,1,0,0,1,0,0,785,0,1,786,0
321,258,117,39,0,1,1,288,1,0,0,0,1,0,1,0,0,0,0,0,0,0,707,0,7,714,0
322,158,127,25,2,3,4,380,0,1,0,0,1,0,0,1,0,0,0,0,0,0,702,0,3,705,0
323,100,106,16,1,0,0,352,0,2,0,0,0,0,0,0,0,0,0,0,0,0,577,0,2,579,0
324,104,103,36,2,0,0,298,1,1,0,0,1,1,0,3,2,0,4,0,0,0,556,0,3,559,0
325,118,83,26,2,0,0,293,1,0,0,0,0,0,0,0,0,1,0,0,0,0,524,0,0,524,0
326,185,126,11,1,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,2,529,0
327,102,80,7,0,0,0,231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,421,0,3,424,0
328,115,53,10,0,0,0,218,0,0,0,1,1,0,0,0,0,0,1,0,0,0,399,0,1,400,0
329,198,107,21,0,0,1,354,0,0,0,1,0,0,3,0,1,0,0,0,0,0,686,0,3,689,0
330,193,195,46,0,0,1,305,0,0,0,0,0,0,1,0,2,0,1,0,0,0,744,0,6,750,0
331,93,98,22,0,0,0,189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,403,0,3,406,0
332,79,120,18,0,0,0,115,1,0,0,1,0,0,0,0,0,2,0,0,0,0,336,0,3,339,0
333,191,143,29,2,0,0,280,0,1,0,0,1,0,0,0,0,0,0,0,0,0,647,0,3,650,0
334,186,164,38,0,1,0,308,0,1,1,1,0,0,1,0,0,0,1,1,0,0,703,0,4,707,0
335,179,123,23,0,0,1,268,0,2,0,0,0,0,1,0,2,0,0,0,1,0,600,0,6,606,0
336,191,120,29,1,0,0,264,0,1,0,2,0,1,0,0,1,0,0,0,0,0,610,0,6,616,0
337,169,103,28,0,0,1,192,0,0,0,0,0,0,1,1,1,0,1,0,0,0,497,0,2,499,0
338,146,133,31,2,0,1,234,0,0,0,1,0,0,0,1,1,0,0,0,0,0,550,0,7,557,0
339,132,147,19,1,0,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0,0,505,0,5,510,0
340,192,122,30,0,0,0,269,0,0,1,0,0,0,0,0,0,1,0,0,0,0,615,0,7,622,0
341,103,182,27,0,0,1,243,0,1,0,0,0,0,0,0,1,1,0,0,0,0,559,0,4,563,0
342,139,118,41,0,0,1,205,1,0,0,0,0,0,0,0,0,1,0,0,1,0,507,0,3,510,0
343,159,103,26,0,1,1,303,0,0,0,0,0,0,0,0,1,0,0,1,0,0,595,0,2,597,0
344,143,143,27,1,1,1,326,0,0,0,0,0,0,2,0,1,0,0,0,0,0,645,0,5,650,0
345,233,129,19,0,0,0,282,1,1,0,1,0,0,1,0,0,2,0,0,0,0,669,0,4,673,0
346,197,84,30,0,0,2,332,0,0,1,1,0,0,1,1,2,0,2,0,0,0,653,0,3,656,0
347,196,99,14,1,0,3,261,0,0,0,0,0,0,0,0,0,1,1,0,0,0,576,0,0,576,0
348,247,81,9,1,1,1,258,0,0,0,0,1,0,0,0,0,1,0,0,0,0,600,0,2,602,0
349,185,116,30,2,0,0,310,1,0,0,2,0,0,1,0,1,1,0,0,0,0,649,0,2,651,0
350,195,91,18,0,0,1,259,2,1,0,0,0,0,1,0,1,0,0,0,0,0,569,0,2,571,0
351,161,67,20,0,0,0,285,1,0,0,0,0,0,1,0,0,0,0,0,0,0,535,0,0,535,0
352,140,161,33,0,0,0,208,0,0,0,0,0,0,3,0,0,0,0,1,0,0,546,0,3,549,0
353,188,147,35,1,0,0,313,0,0,0,0,0,0,2,0,1,0,0,0,2,0,689,0,7,696,0
354,119,138,13,0,0,0,154,0,2,0,0,0,0,1,0,0,1,0,0,0,0,428,0,1,429,0
355,128,105,18,0,0,0,277,0,1,0,0,0,0,0,0,0,0,0,0,0,0,529,0,4,533,0
356,108,108,10,0,0,0,177,0,0,0,0,0,0,0,0,0,1,0,0,0,0,404,0,2,406,0
357,111,115,40,0,0,1,153,0,0,0,0,0,0,1,0,3,0,0,0,0,0,424,0,7,431,0
358,191,129,16,1,0,0,274,0,0,0,1,0,0,1,0,3,1,1,0,0,0,618,0,2,620,0
359,151,136,36,0,0,0,284,0,0,0,1,1,0,0,1,0,0,2,0,0,0,612,0,8,620,0
360,205,129,40,0,0,0,259,0,0,1,1,0,0,0,0,1,1,0,0,1,1,639,0,9,648,0
361,157,147,22,1,0,0,206,1,0,0,0,0,0,2,0,0,0,0,0,0,0,536,0,8,544,0
362,110,121,16,1,1,0,131,0,0,0,0,1,0,0,0,0,0,1,1,1,0,384,0,3,387,0
363,163,134,23,1,1,0,195,0,0,0,1,0,0,0,0,2,1,0,0,0,0,521,0,7,528,0
364,143,200,27,1,0,1,233,0,0,0,0,0,1,0,0,2,0,0,0,0,0,608,0,3,611,0
365,177,173,25,1,0,0,195,1,0,0,0,0,0,1,0,1,0,0,0,0,0,574,0,8,582,0
366,157,127,25,0,0,1,217,0,1,0,0,0,0,0,0,1,0,0,0,0,0,529,0,3,532,0
367,121,157,22,0,1,0,183,1,0,0,0,0,0,0,0,0,0,0,0,0,1,486,0,3,489,0
368,169,170,41,0,0,1,240,0,0,0,0,0,0,2,0,0,0,0,0,0,0,623,0,7,630,0
369,166,177,31,0,0,1,271,1,0,0,1,0,0,0,0,0,0,0,2,3,0,653,0,8,661,0
370,181,119,26,0,0,1,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,7,555,0
371,136,122,22,0,0,0,211,0,0,0,0,1,0,1,0,0,0,0,0,1,0,494,0,5,499,0
372,159,139,40,1,0,0,236,0,2,0,1,0,0,1,0,2,0,0,0,0,0,581,0,5,586,0
373,112,117,43,0,1,1,334,0,0,1,0,0,0,1,0,0,3,1,0,0,0,614,0,0,614,0
374,120,123,19,2,0,1,157,1,0,0,0,1,0,0,0,0,1,0,0,1,0,426,0,4,430,0
375,111,157,17,0,0,0,123,0,0,0,0,0,0,0,0,2,0,0,0,0,0,410,0,9,419,0
376,89,96,17,0,0,0,122,0,0,0,0,0,0,1,0,0,1,0,0,0,0,326,0,5,331,0
377,177,150,23,1,0,1,244,0,0,0,0,0,0,1,0,2,0,0,0,0,0,599,0,10,609,0
378,100,111,25,0,0,0,233,0,0,0,0,0,0,1,0,0,0,0,0,0,0,470,0,1,471,0
379,101,63,17,0,0,0,202,1,0,0,0,1,0,1,0,0,0,0,0,0,0,386,0,4,390,0
380,115,83,18,2,0,0,245,0,1,0,0,1,1,2,0,1,0,0,0,1,0,470,0,3,473,0
381,109,62,10,0,0,2,264,0,0,0,1,0,0,0,0,3,0,0,0,0,0,451,0,0,451,0
382,171,121,11,0,0,0,325,1,0,0,0,0,0,1,0,0,2,0,0,0,0,632,0,2,634,0
383,213,145,26,1,0,0,356,0,1,0,0,1,0,1,0,0,0,0,0,0,0,744,0,2,746,0
384,252,128,32,0,0,1,407,0,1,0,1,0,0,1,0,1,1,0,0,0,0,825,0,5,830,0
385,196,136,24,1,0,0,445,2,0,1,2,1,0,0,0,1,3,1,0,1,2,816,0,1,817,0
386,210,96,40,1,0,1,359,0,0,1,0,0,0,0,0,0,1,0,1,0,0,710,0,4,714,0
387,209,82,36,1,2,0,328,2,0,0,0,0,0,0,0,1,2,1,0,0,0,664,0,6,670,0
388,184,99,23,1,0,1,290,0,0,0,1,0,0,1,0,1,0,0,1,0,0,602,0,5,607,0
389,215,87,27,1,1,0,345,2,2,0,0,0,1,2,0,0,1,0,0,0,1,685,0,3,688,0
390,208,103,24,1,0,0,302,0,0,0,1,0,0,0,1,0,1,0,0,0,0,641,0,2,643,0
391,192,120,49,1,0,0,351,0,0,1,1,0,0,1,0,1,0,1,0,0,0,718,0,3,721,0
392,174,92,39,0,0,1,327,0,0,0,1,1,1,0,0,0,0,0,0,0,0,636,0,4,640,0
393,147,99,22,0,0,0,250,1,0,0,0,0,0,1,0,0,1,0,0,1,0,522,0,0,522,0
394,194,130,44,1,0,0,304,2,0,0,0,1,0,3,0,0,1,0,0,0,0,680,0,4,684,0
395,152,106,23,1,0,1,289,0,0,0,1,0,0,2,0,2,0,0,0,0,0,577,0,3,580,0
396,172,109,52,2,0,0,318,0,0,0,0,0,0,2,0,1,0,0,0,1,0,657,0,11,668,0
397,207,117,53,1,0,0,343,0,0,0,0,0,0,1,0,0,0,0,0,0,0,722,0,9,731,0
398,211,141,23,0,0,0,350,0,0,0,0,0,1,0,0,0,1,0,1,1,0,729,0,1,730,0
399,154,69,13,1,0,0,328,0,0,1,0,2,0,1,0,0,0,0,0,0,0,569,0,2,571,0
400,154,78,31,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,3,473,0
401,120,91,13,0,0,0,161,0,0,0,0,0,0,0,0,1,0,0,0,0,0,386,0,3,389,0
402,189,77,6,1,0,1,229,1,1,0,0,0,0,0,0,1,0,0,0,0,0,506,0,0,506,0
403,123,97,13,1,0,0,192,0,2,0,0,1,1,0,1,0,0,0,0,0,0,431,0,0,431,0
404,198,130,45,1,0,0,292,0,0,0,0,0,0,1,0,2,0,0,0,0,0,669,0,7,676,0
405,158,113,46,1,1,0,327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,2,649,0
406,164,61,20,2,0,0,297,0,0,0,1,0,1,1,0,1,1,2,2,1,0,554,0,1,555,0
407,245,129,30,1,0,2,357,1,1,0,0,0,0,1,0,0,1,0,0,0,0,768,0,3,771,0
408,135,69,53,0,0,0,241,0,0,0,0,1,0,1,0,2,1,1,0,0,0,504,0,4,508,0
409,148,50,20,0,0,0,265,0,0,0,0,1,0,1,0,0,0,0,0,0,0,485,0,0,485,0
410,238,120,34,0,0,0,263,0,0,0,2,1,0,0,0,0,2,0,1,1,0,662,0,5,667,0
411,243,117,19,1,1,1,226,0,0,1,1,0,0,1,0,0,0,0,0,0,0,611,0,3,614,0
412,256,145,37,0,0,0,291,0,0,0,0,0,0,2,0,0,2,0,0,1,0,734,0,3,737,0
413,201,122,32,0,0,1,282,0,0,0,0,0,0,1,0,0,0,0,1,0,0,640,0,9,649,0
414,222,115,31,0,1,2,227,0,1,0,0,0,0,0,0,0,0,0,1,0,0,600,0,3,603,0
415,123,73,35,0,0,0,201,0,0,0,0,0,0,0,0,0,1,0,0,0,0,433,0,1,434,0
416,199,115,26,1,0,0,222,0,0,0,0,1,0,2,0,1,0,0,0,0,0,567,0,3,570,0
417,227,155,47,0,0,1,324,0,0,0,0,0,0,1,1,0,0,0,0,0,0,756,0,8,764,0
418,211,143,26,0,0,1,331,1,0,0,1,1,0,0,0,2,1,0,1,0,0,719,0,3,722,0
419,139,53,24,0,0,0,151,0,0,0,0,0,0,1,0,0,0,1,0,1,0,370,0,4,374,0
420,158,94,25,1,0,0,310,0,1,0,0,0,0,0,1,0,0,0,0,0,0,590,0,4,594,0
421,215,110,38,0,0,0,259,0,1,0,0,0,0,1,0,1,1,0,0,1,0,627,0,5,632,0
422,243,106,31,2,0,2,419,0,0,0,0,0,2,0,0,0,1,1,0,0,1,808,0,2,810,0
423,244,144,36,0,1,1,441,0,0,0,0,0,1,1,0,0,3,0,0,0,0,872,0,3,875,0
424,229,131,42,0,0,1,300,0,0,0,0,1,0,0,0,1,0,1,0,0,0,706,0,4,710,0
425,213,199,36,0,0,1,284,0,0,0,0,0,0,0,0,2,1,0,0,1,0,737,0,5,742,0
426,210,93,20,3,0,1,311,0,1,0,0,0,0,0,0,2,0,0,0,1,0,642,0,5,647,0
427,184,102,25,1,0,1,330,0,0,0,0,0,0,1,0,0,1,0,0,1,1,647,0,4,651,0
428,136,76,15,0,0,1,219,0,0,1,0,0,0,1,0,1,0,0,0,0,0,450,0,3,453,0
429,135,165,16,0,0,0,260,0,0,0,0,0,0,0,1,1,1,0,0,0,0,579,0,5,584,0
430,136,71,20,0,0,0,210,0,0,0,0,0,0,1,0,1,0,0,0,0,0,439,0,1,440,0
431,115,62,16,1,0,0,175,2,0,0,0,0,1,0,0,0,0,0,0,1,0,373,0,0,373,0
432,188,88,17,0,0,0,278,0,0,0,0,0,1,0,0,1,0,1,0,0,0,574,0,1,575,0
433,174,72,9,0,0,0,326,0,1,0,0,0,0,0,0,0,0,0,0,1,0,583,0,5,588,0
434,170,73,24,0,0,0,284,2,0,0,0,1,0,0,1,0,0,0,0,0,0,555,0,2,557,0
435,224,102,13,0,0,1,387,1,0,0,0,0,1,1,0,0,1,0,0,0,0,731,0,3,734,0
436,161,67,20,1,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,1,482,0
437,140,73,28,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0,488,0
438,176,76,30,1,0,1,361,2,1,0,2,0,0,0,1,1,0,0,2,0,0,654,0,2,656,0
439,180,128,45,0,0,0,436,1,0,0,0,1,0,0,0,0,0,1,1,1,0,794,0,5,799,0
440,139,66,18,0,0,0,246,1,1,0,0,0,1,0,0,0,1,0,0,0,0,473,0,0,473,0
441,111,52,20,0,1,0,218,0,0,0,0,0,0,1,0,0,0,0,1,0,0,404,0,0,404,0
442,158,107,24,2,0,0,178,1,0,0,0,0,0,0,0,0,0,0,0,1,0,471,0,5,476,0
443,169,107,25,0,0,0,198,0,0,0,0,1,0,1,0,0,1,0,0,0,0,502,0,3,505,0
444,220,107,27,0,0,0,286,0,0,0,0,0,0,1,0,1,1,0,0,1,0,644,0,11,655,0
445,174,69,24,0,0,1,229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,498,0,2,500,0
446,169,100,22,0,0,0,206,0,0,0,0,0,0,1,0,0,0,0,0,0,0,498,0,1,499,0
447,137,78,19,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,4,400,0
448,279,93,53,1,2,1,283,2,1,0,0,1,1,2,0,3,0,0,0,0,0,722,0,2,724,0
449,227,166,37,0,1,0,306,1,1,0,0,1,0,0,0,1,1,0,0,0,0,742,0,5,747,0
450,185,111,26,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,3,633,0
451,125,70,18,0,0,2,127,0,0,0,0,0,0,1,0,0,0,0,0,1,0,344,0,2,346,0
452,128,90,12,0,0,1,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,6,438,0
453,203,114,33,0,0,0,276,0,1,0,1,0,0,2,2,0,1,0,0,0,0,633,0,10,643,0
454,218,106,36,0,0,0,265,0,0,0,0,1,0,0,1,0,2,0,0,0,0,629,0,5,634,0
455,149,84,23,0,0,0,269,1,1,0,0,0,0,0,0,0,1,1,0,0,0,529,0,1,530,0
456,78,48,17,0,0,0,114,0,0,0,0,1,0,1,0,0,0,0,0,0,0,259,0,2,261,0
457,129,96,22,0,0,0,136,0,0,0,0,0,0,0,0,2,1,1,0,0,0,387,0,2,389,0
458,141,67,7,0,0,1,151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,368,0,7,375,0
459,112,77,17,0,1,0,126,0,1,0,0,0,0,0,0,2,0,0,0,0,1,337,0,1,338,0
460,151,107,19,1,0,1,250,1,0,0,0,0,0,0,0,1,0,0,0,0,1,532,0,2,534,0
461,106,81,25,1,0,0,249,1,0,0,0,0,0,1,1,0,0,0,0,0,0,465,0,3,468,0
462,128,99,29,0,0,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,472,0,5,477,0
463,144,86,24,2,1,0,207,0,0,1,1,0,0,1,0,0,0,0,2,0,0,469,0,3,472,0
464,162,59,13,0,0,1,175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,411,0,0,411,0
465,244,145,10,1,0,1,252,0,1,0,0,2,0,1,0,0,0,0,0,0,0,657,0,1,658,0
466,159,109,18,1,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,9,527,0
467,185,149,23,1,0,0,237,0,0,1,0,1,0,0,0,0,0,0,0,0,0,597,0,4,601,0
468,261,86,7,0,0,1,267,1,0,0,0,1,0,1,0,0,0,1,0,0,0,626,0,1,627,0
469,151,46,20,0,0,0,190,0,0,0,2,0,0,1,0,0,0,0,0,0,0,410,0,0,410,0
470,180,92,15,1,0,0,277,0,0,0,1,1,1,1,0,1,0,0,1,0,0,571,0,3,574,0
471,122,110,26,0,0,0,188,1,0,0,0,0,0,0,0,0,2,0,0,0,0,449,0,1,450,0
472,191,150,27,1,0,0,269,0,0,0,0,0,0,0,0,1,0,1,0,0,0,640,0,3,643,0
473,182,123,23,0,0,2,232,1,0,0,0,0,0,3,0,0,0,0,0,0,0,566,0,6,572,0
474,197,134,32,2,1,0,306,0,0,0,1,0,0,1,0,0,0,0,1,0,0,675,0,6,681,0
475,188,121,32,1,0,0,279,1,0,0,0,0,0,1,0,0,0,1,0,0,2,626,0,5,631,0
476,205,118,24,1,0,2,285,0,2,0,0,1,0,1,1,0,0,0,0,0,0,640,0,4,644,0
477,185,92,23,0,0,0,276,0,3,0,0,0,0,0,0,0,0,0,0,0,0,579,0,2,581,0
478,148,98,29,0,0,0,221,0,1,0,0,0,0,0,0,0,0,0,1,0,0,498,0,3,501,0
