Polling Station No,GANAPATHY. K,P. BENJAMIN,REVATHI L,AGNI SELVARAJU. J,MUTHURAMAN. S,MURALI. S,RHEVANTH CHARAN,K. VENKATESAN,J. VENKATESAN,D. ANANDAN,K. GANAPATHY,V. KAMALA KANNAN,SARAVANAN KUMAR,R. SIVA,M. BALASUBRAMANIAN,S. BENJAMIN MOSES,PONMUTHU RAMESH,N.A. MANI,R. YUVARAJ,VIGNESH NANDAGOPAL,M. JAMES,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
22,159,114,20,1,0,0,327,1,0,0,1,0,0,1,0,1,0,1,1,0,0,627,0,5,632,0
23,189,101,36,1,1,2,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,5,703,0
24,187,122,46,2,0,0,423,0,0,0,0,0,2,0,0,1,0,0,0,0,0,783,0,7,790,0
25,207,134,42,0,0,0,378,0,0,0,0,0,0,0,0,2,0,1,1,0,0,765,0,3,768,0
26,180,148,30,0,0,1,398,0,0,0,0,0,1,0,0,0,0,1,1,0,0,760,0,6,766,0
27,167,108,36,0,0,1,430,0,0,0,0,0,1,0,0,2,1,0,0,0,0,746,0,2,748,0
28,184,121,37,0,0,2,319,0,0,1,0,1,0,0,0,0,0,0,0,0,0,665,0,4,669,0
29,155,102,25,0,0,1,321,0,0,0,0,0,0,0,0,1,0,0,0,0,0,605,0,6,611,0
30,161,99,36,0,0,0,350,0,0,0,0,0,0,1,0,0,2,0,0,1,0,650,0,3,653,0
31,134,116,25,2,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,4,574,0
32,121,108,24,0,0,0,276,0,0,0,0,0,0,2,1,0,0,0,0,1,0,533,0,3,536,0
33,106,69,20,0,0,1,315,0,0,0,0,0,0,1,0,0,0,1,0,1,0,514,0,2,516,0
34,186,133,48,1,0,2,457,1,0,0,0,0,0,0,0,2,2,1,0,0,1,834,0,5,839,0
35,190,133,41,0,0,2,391,0,0,0,0,0,0,1,0,0,4,0,0,0,0,762,0,4,766,0
36,149,94,35,0,0,3,345,2,1,0,0,0,0,0,0,2,0,0,0,0,0,631,0,4,635,0
37,167,122,31,0,1,1,334,1,2,1,0,0,0,0,0,1,1,1,0,0,0,663,0,4,667,0
38,169,138,37,0,0,0,378,0,2,0,0,0,0,0,0,1,1,1,2,0,0,729,0,4,733,0
39,171,74,38,0,0,0,242,1,0,0,0,0,0,0,0,0,0,0,1,1,0,528,0,1,529,0
40,190,101,29,1,0,0,313,1,0,0,0,0,0,2,1,0,1,0,1,0,0,640,0,0,640,0
41,228,175,46,0,0,0,373,0,0,0,0,0,0,3,0,0,0,1,0,0,0,826,0,2,828,0
42,186,119,28,1,0,0,384,0,1,0,0,0,0,0,1,0,2,0,0,1,0,723,0,2,725,0
43,140,109,37,0,1,0,343,0,1,0,0,0,0,0,0,1,0,0,0,0,0,632,0,3,635,0
44,138,95,13,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,2,461,0
45,109,141,28,1,0,0,291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,571,0,2,573,0
46,161,134,28,0,0,1,291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,616,0,2,618,0
47,152,134,24,0,0,2,354,0,0,0,0,0,0,2,0,0,1,0,2,0,0,671,0,1,672,0
48,133,90,30,0,0,4,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,5,472,0
49,208,199,25,1,1,0,343,0,1,0,0,0,0,0,0,1,0,1,0,0,0,780,0,5,785,0
50,294,129,25,3,0,2,425,0,0,0,0,0,1,0,0,1,1,10,0,1,0,892,0,1,893,0
51,223,167,34,1,0,1,448,0,0,0,0,0,0,1,1,0,0,2,1,0,0,879,0,9,888,0
