Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,0,0,822,221,279,17,0,139,0,3,2,0,0,2,0,716,0,716,0
2,0,0,686,183,283,9,0,83,0,0,0,0,0,3,2,582,0,582,0
3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,966,292,314,0,0,174,0,0,2,0,0,0,0,838,0,838,0
6,0,0,797,234,357,0,0,78,18,0,0,0,0,3,0,706,0,706,0
7,0,0,1055,364,303,0,0,178,32,0,0,0,0,0,0,900,0,900,0
8,8,0,1061,251,481,0,0,146,0,0,0,0,0,0,5,960,0,960,0
9,9,0,1122,261,574,0,0,160,0,0,0,0,0,0,9,1039,0,1039,0
10,0,0,1048,226,559,0,0,152,0,0,0,0,0,0,0,968,0,968,0
11,1,0,602,137,222,0,0,135,0,0,0,0,0,0,0,515,0,515,0
12,0,0,600,98,324,0,0,94,0,0,0,0,0,0,0,527,0,527,0
13,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0
14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0,736,302,174,0,0,150,0,0,0,0,0,0,0,681,0,681,0
16,16,0,537,118,242,0,0,115,0,0,0,0,0,0,0,511,0,511,0
17,17,0,722,213,188,0,0,173,0,0,0,0,0,0,0,619,0,619,0
18,18,0,432,86,183,0,0,48,65,0,0,0,0,0,0,395,0,395,0
19,19,0,887,203,382,19,0,103,0,0,2,0,0,0,0,803,0,803,0
20,20,0,753,140,328,13,0,94,0,0,0,0,0,0,0,659,0,659,0
21,21,0,598,200,195,28,0,102,0,0,0,0,0,0,0,549,0,549,0
22,22,0,661,276,109,15,0,154,0,0,0,0,0,3,8,596,0,596,0
23,23,0,918,234,391,0,0,72,92,0,0,0,0,0,5,822,0,822,0
24,24,0,651,151,323,0,0,82,0,0,0,0,0,0,2,596,0,596,0
25,25,0,790,207,361,0,0,122,0,0,0,0,0,0,2,728,0,728,0
26,26,0,669,183,296,9,0,106,18,0,0,0,0,0,0,621,0,621,0
27,27,0,962,252,358,19,0,206,0,0,0,0,0,0,9,870,0,870,0
28,28,0,693,184,344,0,0,68,0,0,0,0,0,0,2,634,0,634,0
29,29,0,781,278,299,0,0,93,26,0,0,0,0,0,5,728,0,728,0
30,30,0,880,169,388,0,0,70,147,0,0,0,0,0,2,784,0,784,0
31,31,0,857,290,178,0,0,185,100,0,0,0,3,2,0,786,0,786,0
32,32,0,743,206,223,0,0,183,33,0,0,0,0,0,0,660,0,660,0
33,33,0,810,217,319,0,0,118,58,0,0,0,0,0,0,0,0,737,0
34,34,0,794,182,360,0,0,92,55,0,0,0,0,0,2,0,0,711,0
35,35,0,734,137,376,0,0,54,38,0,0,0,0,0,0,625,0,625,0
36,36,0,721,301,187,0,0,105,16,0,0,0,0,0,11,637,0,637,0
37,37,0,1174,299,559,16,0,126,58,0,0,0,0,0,0,1066,0,1066,0
38,38,0,765,178,272,0,0,122,66,0,6,0,1,0,3,670,0,670,0
39,0,0,500,88,195,0,0,101,56,0,0,0,0,2,0,457,0,457,0
40,0,0,805,233,327,0,0,128,36,0,0,0,0,0,0,735,0,735,0
41,0,0,771,156,399,0,0,111,32,0,0,0,0,0,0,712,0,712,0
42,42,0,1020,236,474,0,0,120,26,0,2,0,0,0,0,890,0,890,0
43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,694,206,143,0,0,209,17,0,0,0,0,0,5,599,0,599,0
46,0,0,555,165,121,0,0,146,261,0,0,0,0,0,0,473,0,473,0
47,0,0,601,116,169,0,0,79,97,0,0,0,0,0,0,488,0,488,0
48,48,0,1017,178,418,36,0,166,83,0,0,0,0,0,0,897,0,89,0
49,49,0,873,199,409,201,0,115,57,0,0,0,0,0,0,805,0,805,0
50,50,0,795,225,296,16,0,151,0,0,0,0,0,0,0,728,0,728,0
51,51,0,1142,177,660,24,0,109,0,0,0,0,0,0,0,1056,0,1056,0
52,52,0,978,287,400,26,0,110,0,0,0,0,0,0,0,902,0,902,0
53,53,0,434,96,233,15,0,41,0,0,0,0,0,0,0,402,0,402,0
54,54,0,1027,273,429,24,0,108,0,0,0,0,0,0,0,909,0,909,0
55,0,0,948,237,417,23,0,79,80,0,0,0,0,0,0,845,0,845,0
56,0,0,835,233,316,0,0,67,100,0,0,0,0,0,3,744,0,744,0
57,0,0,726,209,219,0,0,126,43,0,0,0,0,0,0,630,0,630,0
58,58,0,894,184,418,0,0,56,84,0,0,0,0,0,0,762,0,762,0
59,59,0,1076,261,513,0,0,113,59,0,0,0,0,6,3,981,0,981,0
60,60,0,811,207,372,0,0,66,0,0,0,0,0,3,2,719,0,719,0
61,6,0,883,242,361,0,0,68,0,0,0,0,0,0,2,740,0,740,0
62,62,0,1097,377,291,0,0,193,0,0,0,0,0,0,2,996,0,996,0
63,63,0,1045,201,525,0,0,125,0,0,0,0,0,0,8,962,0,962,0
64,64,0,732,321,45,0,0,189,0,0,0,0,0,0,0,605,0,605,0
65,0,0,811,403,35,0,0,181,0,0,0,0,0,0,0,660,0,660,0
66,0,0,665,174,248,0,0,67,0,0,0,0,0,0,2,592,0,592,0
