Polling Station No,Candidate_1,RAMUKADNAN.P.A,RAMUKIVAR.M,NAGAHZALEV.D,NANAVARAS.R,ANNAKHTONIV.V,HSETAKNEV.S.V,NAGURUMLEV.R,NALEESAYAJ.P,HSERUS.E,YHTROOMAVLES.S,RAMUK AHDNAN.M,NARAHONAM.K,HSEMAR.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
52,234,18,375,1,3,0,258,1,0,0,0,1,0,891,891,0,5,896,0
53,199,11,672,2,0,0,110,2,0,0,0,1,3,1000,1000,0,6,1006,0
54,326,17,379,0,0,1,215,0,1,0,0,2,0,941,941,0,8,949,0
55,223,20,294,1,1,0,282,2,0,0,0,0,0,823,823,0,4,827,0
56,218,23,188,0,0,0,265,21,0,0,0,1,0,716,716,0,2,718,0
57,275,22,262,0,2,0,301,4,0,0,3,1,1,871,871,0,4,875,0
58,203,15,412,1,1,0,114,0,0,0,0,1,1,748,748,0,6,754,0
59,216,14,330,0,0,0,123,0,1,0,0,0,0,684,684,0,1,685,0
60,270,18,230,0,0,0,270,0,0,0,0,2,0,790,790,0,7,797,0
61,280,9,167,0,0,0,218,0,0,2,0,0,0,676,676,0,3,679,0
62,95,6,211,0,0,0,107,0,0,0,1,0,0,420,420,0,1,421,0
63,160,11,190,0,0,1,141,0,0,1,0,1,0,505,505,0,0,505,0
64,164,19,295,0,1,1,165,1,0,1,0,0,0,647,647,0,2,649,0
65,134,17,302,1,0,0,123,0,0,0,0,0,0,577,577,0,2,579,0
66,258,22,426,4,1,1,229,0,0,1,0,1,0,943,943,0,4,947,0
67,350,16,333,3,0,1,248,3,0,0,0,1,0,955,955,0,3,958,0
68,240,14,349,0,0,3,186,1,0,1,0,1,0,795,795,0,3,798,0
69,134,11,357,2,0,0,107,0,1,0,1,1,1,615,615,0,4,619,0
70,98,10,311,2,0,0,63,0,0,0,0,1,1,486,486,0,2,488,0
71,147,25,377,1,1,1,219,1,0,0,0,1,0,773,773,0,9,782,0
72,270,11,175,0,0,0,287,0,0,0,0,0,0,743,743,0,0,743,0
73,276,17,185,1,0,0,244,0,0,1,0,0,4,728,728,0,3,731,0
74,168,19,337,1,1,1,196,0,0,1,0,1,0,725,725,0,5,730,0
