Polling Station No,ARUMUGAM. V,NALLATHAMBI. A,RAJIV GANDHI. S,KALASTHIRI. S,SATHIYAMOORTHY. S,SEKAR. N,GNANASEKAR. A,DR.THIRUPATHI. N,RAJESH. S,VIJAYAKUMAR. G,ANJALI. M,GOVIND. T.G,SANKAR. S,GNANASEKARAN. M,GNANASEKARAN. R,THIRUPATHI. C,THIRUPATHI. S,THIRUPATHI. N,NALLATHAMBI. R,BALABHARATHI. S.V,DR.POOVALAGI. P,MOHAN RAJ. R,RAGUJOSEPH. J,VENKATESAN. K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,54,187,0,1,0,0,139,338,2,0,0,0,0,1,0,1,2,1,0,0,0,0,1,0,727,0,4,731,0
2,35,110,1,0,1,2,126,242,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,523,0,0,523,0
3,26,183,2,0,0,4,137,394,3,1,1,0,0,1,1,1,3,4,2,2,4,0,4,3,776,0,1,777,0
4,18,107,1,0,1,0,119,327,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,581,0,1,582,0
5,14,137,1,4,0,0,148,189,1,2,0,0,2,1,2,2,2,1,4,1,2,0,3,2,518,0,3,521,0
6,15,141,0,0,1,1,152,331,1,3,1,0,0,0,2,0,3,1,0,0,2,0,3,2,659,0,0,659,0
7,21,107,2,5,1,4,183,365,4,0,0,0,0,0,2,0,1,3,0,0,0,1,3,0,702,0,0,702,0
8,41,211,3,1,0,3,272,424,4,3,0,0,1,1,1,2,0,3,1,1,0,1,0,2,975,0,4,979,0
9,13,170,3,1,1,1,121,297,2,2,1,0,1,0,0,1,1,2,0,0,0,0,1,7,625,0,1,626,0
10,23,156,0,0,1,3,217,322,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,728,0,1,729,0
11,39,256,1,0,0,1,223,436,1,2,1,0,1,0,0,0,0,0,1,1,0,1,1,1,966,0,4,970,0
12,20,226,2,2,0,1,264,454,1,3,2,0,0,1,2,0,2,1,6,0,0,1,0,2,990,0,2,992,0
13,53,177,1,0,0,0,173,412,4,0,0,0,2,3,0,1,0,3,2,1,0,0,1,2,835,0,2,837,0
14,22,134,3,1,0,1,175,274,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,625,0,1,626,0
15,10,131,1,3,0,0,143,190,1,2,1,0,2,0,1,2,0,1,1,0,0,0,0,0,489,0,1,490,0
16,32,196,2,1,3,3,169,439,5,4,1,0,1,1,0,0,0,1,0,3,0,1,0,1,863,0,0,863,0
17,24,187,1,0,4,4,246,422,0,3,0,0,1,1,1,2,3,1,2,0,1,0,1,1,905,0,3,908,0
18,27,184,2,0,0,0,168,370,3,0,0,0,1,1,1,3,1,2,3,0,0,1,1,4,772,0,2,774,0
19,14,79,0,0,0,1,138,257,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,496,0,0,496,0
20,21,175,0,0,1,2,178,419,1,2,1,0,0,0,0,1,1,1,1,0,0,1,1,2,808,0,1,809,0
21,8,94,0,1,0,1,50,242,1,0,1,0,1,0,1,2,1,1,1,0,0,1,1,0,407,0,2,409,0
22,27,136,3,1,1,2,92,397,2,0,1,0,0,0,0,5,0,0,2,0,1,0,0,2,672,0,2,674,0
23,32,153,0,1,1,1,142,445,1,0,0,2,2,0,0,2,1,3,0,1,0,0,0,0,787,0,1,788,0
24,9,80,2,0,0,0,65,148,1,0,2,1,2,1,0,0,1,0,0,0,1,1,2,1,317,0,2,319,0
25,30,180,1,2,1,2,238,489,3,3,0,0,3,1,2,2,1,0,2,0,0,0,0,1,961,0,2,963,0
