Polling Station No,SELVAM K,MAHENDRAN K,MOORTHY P,KARTHIKEYAN S,BHARATHIRAJA A,PRINCE S,BOOMIRAJAN K,ARASU S,ARUN PANDIAN A J,AJAY KANNAN A,KARTHIKEYAN G,CHANDRA MOULISWARAN A,PITCHAI V,MUGESHKUMAR M,VELLADURAI A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
253,41,55,316,428,2,6,1,1,0,1,1,0,1,2,0,855,0,1,856,0
254,39,29,269,224,5,12,1,1,2,0,0,0,0,1,0,583,0,3,586,0
255,42,111,360,310,0,2,0,0,0,0,1,1,0,1,1,829,0,2,831,0
256,37,96,445,318,3,2,3,0,1,1,2,0,2,8,1,919,0,3,922,0
257,29,111,394,205,3,8,0,1,1,0,0,0,0,2,0,754,0,1,755,0
258,49,79,393,323,1,12,0,1,0,1,2,0,2,1,0,864,0,2,866,0
259,48,85,314,380,0,2,2,0,0,0,4,0,0,1,0,836,0,3,839,0
260,28,39,329,349,3,5,0,1,1,0,3,1,1,0,0,760,0,1,761,0
261,58,75,260,347,2,5,0,0,1,0,2,0,0,0,0,750,0,2,752,0
262,38,76,285,424,2,3,0,0,0,0,2,0,0,1,1,832,0,2,834,0
263,40,91,280,539,1,5,1,2,1,2,3,0,2,1,0,968,0,2,970,0
264,48,90,240,491,1,9,0,1,0,2,2,1,0,1,1,887,0,4,891,0
265,26,88,258,322,2,1,0,1,1,0,2,2,0,3,0,706,0,3,709,0
266,69,98,343,487,2,4,0,3,6,0,2,0,0,0,0,1014,0,4,1018,0
267,85,92,295,434,3,3,0,0,1,2,3,0,1,2,0,921,0,8,929,0
268,35,69,230,312,0,6,2,0,1,1,0,1,1,3,1,662,0,3,665,0
269,70,85,226,311,0,1,0,1,0,1,2,1,0,0,0,698,0,5,703,0
270,61,102,242,378,2,5,0,3,0,0,4,0,0,2,1,800,0,9,809,0
271,36,90,232,279,0,8,0,0,0,0,0,1,1,2,0,649,0,4,653,0
272,46,94,272,380,0,6,8,0,2,1,2,2,1,0,3,817,0,4,821,0
273,32,95,207,302,2,5,1,1,0,0,2,0,0,2,0,649,0,3,652,0
274,17,32,309,253,0,1,2,0,0,0,1,0,2,3,0,620,0,1,621,0
275,51,91,202,252,5,2,0,1,0,0,0,1,0,0,0,605,0,3,608,0
276,39,125,298,218,0,1,1,0,1,0,2,1,1,0,0,687,0,4,691,0
277,32,56,202,289,1,3,0,0,0,0,2,0,0,2,5,592,0,2,594,0
278,32,59,225,244,3,3,1,0,1,0,1,0,0,1,8,578,0,1,579,0
279,36,58,152,194,1,4,0,0,1,1,0,0,0,0,0,447,0,8,455,0
280,43,96,218,360,2,4,0,1,2,0,4,0,0,2,0,732,0,0,732,0
281,53,71,344,419,4,4,1,0,2,0,0,1,0,0,1,900,0,2,902,0
282,51,66,310,424,1,6,0,0,1,0,1,0,0,2,0,862,0,6,868,0
283,29,42,175,356,1,2,0,0,0,1,2,0,0,2,0,610,0,1,611,0
284,44,91,291,341,2,1,0,0,0,2,1,0,1,0,0,774,0,5,779,0
285,35,45,258,395,3,3,1,1,0,1,1,0,0,0,0,743,0,2,745,0
286,52,82,225,377,1,6,0,2,1,0,0,0,1,1,0,748,0,2,750,0
287,33,50,382,314,0,4,1,0,0,0,5,1,1,0,0,791,0,0,791,0
288,41,75,335,300,1,1,2,0,0,0,0,0,0,1,0,756,0,6,762,0
289,36,79,226,347,1,6,0,0,1,0,0,1,1,0,0,698,0,5,703,0
290,42,84,277,419,1,6,2,1,0,2,4,0,0,2,0,840,0,2,842,0
291,35,85,198,385,0,1,0,1,0,0,2,1,0,0,0,708,0,2,710,0
292,23,42,163,219,0,6,0,0,1,0,0,0,0,0,0,454,0,3,457,0
293,34,56,153,248,3,4,0,0,2,0,6,1,1,1,0,509,0,5,514,0
294,40,84,284,468,12,2,1,1,3,1,3,3,0,1,0,903,0,4,907,0
295,33,120,352,411,3,14,0,0,0,1,3,0,0,3,0,940,0,7,947,0
296,34,62,254,312,5,1,0,0,8,0,2,0,1,2,0,681,0,2,683,0
297,37,121,304,261,0,4,0,0,4,0,0,0,0,1,1,733,0,2,735,0
298,37,182,334,364,1,1,0,1,0,0,1,1,3,2,0,927,0,3,930,0
299,41,121,469,323,6,1,0,0,0,0,3,0,0,6,1,971,0,1,972,0
300,21,36,242,236,2,3,0,0,0,1,0,1,3,2,0,547,0,0,547,0
301,27,47,113,269,0,3,1,2,1,0,6,2,3,2,0,476,0,0,476,0
302,22,63,269,232,1,10,0,2,1,1,1,0,2,2,0,606,0,1,607,0
303,12,63,249,295,1,1,0,1,0,1,2,0,0,4,0,629,0,2,631,0
304,57,79,288,254,1,4,1,0,0,1,2,2,0,2,1,692,0,1,693,0
305,37,72,311,291,14,3,0,1,2,0,2,0,1,1,2,737,0,1,738,0
306,59,174,266,395,4,5,1,1,0,0,3,0,0,0,1,909,0,7,916,0
307,58,94,389,405,1,4,0,0,2,0,0,1,1,0,0,955,0,3,958,0
308,45,108,332,354,2,7,5,2,0,0,2,0,1,1,0,859,0,5,864,0
309,24,83,235,275,2,2,0,1,1,0,1,0,1,2,2,629,0,4,633,0
310,55,77,263,452,1,2,0,0,1,0,4,2,0,1,0,858,0,0,858,0
311,46,59,239,371,0,1,0,1,1,1,2,0,0,5,1,727,0,3,730,0
312,61,73,242,390,2,7,0,2,1,1,4,0,1,1,0,785,0,2,787,0
313,41,83,195,474,2,3,0,1,0,1,7,0,4,4,1,816,0,3,819,0
314,54,45,210,321,8,8,0,0,1,0,4,0,0,1,0,652,0,4,656,0
315,17,75,221,418,0,7,1,4,3,2,3,2,2,3,2,760,0,3,763,0
316,36,72,216,258,0,3,0,0,0,0,0,0,0,0,1,586,0,2,588,0
317,50,75,265,345,2,5,0,0,1,1,1,1,0,1,0,747,0,2,749,0
318,50,107,271,326,5,8,0,2,0,1,6,0,1,5,0,782,0,5,787,0
319,50,106,260,352,1,5,0,2,1,0,2,0,0,0,0,779,0,7,786,0
320,39,88,238,321,0,5,0,0,1,0,0,0,2,2,0,696,0,2,698,0
321,29,76,279,363,2,4,0,1,1,0,3,0,0,2,0,760,0,2,762,0
322,44,86,201,341,1,3,0,1,1,0,1,1,0,0,0,680,0,1,681,0
323,43,112,259,416,0,7,0,0,0,0,2,0,0,0,0,839,0,1,840,0
324,32,96,244,372,0,8,0,0,0,0,1,0,0,0,0,753,0,5,758,0
325,43,96,218,454,0,4,0,0,1,0,4,0,0,1,0,821,0,1,822,0
326,41,65,175,365,2,10,1,0,0,0,1,0,0,0,1,661,0,2,663,0
327,16,56,104,192,0,0,0,1,1,0,1,0,0,0,0,371,0,0,371,0
328,21,62,192,276,1,3,0,1,1,2,2,1,1,1,1,565,0,4,569,0
329,18,50,289,385,3,2,1,1,0,0,3,0,1,2,1,756,0,8,764,0
330,34,76,181,321,0,3,0,0,0,1,2,0,0,2,0,620,0,0,620,0
331,16,90,152,313,0,1,0,1,1,1,1,0,0,0,0,576,0,2,578,0
332,18,175,151,420,1,1,0,1,0,0,2,0,1,2,0,772,0,6,778,0
333,11,169,125,398,1,0,0,0,0,1,1,0,0,1,1,708,0,2,710,0
334,19,142,151,328,0,3,0,0,0,0,0,1,0,0,0,644,0,1,645,0
335,26,153,116,444,1,2,0,2,0,0,1,0,1,0,0,746,0,2,748,0
336,24,122,205,403,1,9,0,1,0,0,3,0,1,2,0,771,0,7,778,0
337,31,88,244,226,0,7,1,0,1,0,0,0,0,0,0,598,0,5,603,0
338,28,99,157,244,0,3,1,0,0,0,2,0,0,0,0,534,0,6,540,0
