Polling Station No,S. CHARLES,S.M.NASAR,PUNITHA SHANMUGAM,RAJASIMHA MAHENDRA,R.Edmund Jayendren,C.S. Karnan,SENTHILKUMAR. S,R. BAKTHAVATCHALAM,R.RAMESH KUMAR,P.JAYAKUMAR,K. ANNAMALAI,G.D. ARUNKUMAR,M. ERAJASIMMAN,R. KUMAR,S. SENTHILKUMAR,P. CHELLAPANDIAN,K. BALAKRISHNAN,R. MANIKANDAN,UNIESH RAJ. M,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
251,6,290,28,47,0,0,0,2,442,0,0,2,1,0,1,0,2,0,2,0,823,0,3,826,0
252,6,202,15,49,0,0,0,0,266,0,0,1,0,6,0,3,0,0,0,0,548,0,1,549,0
253,3,263,45,61,0,1,0,2,417,1,0,2,0,3,1,0,1,0,0,1,801,0,3,804,0
254,3,184,31,47,1,0,0,1,394,1,0,0,1,1,0,0,0,1,0,0,665,0,0,665,0
255,1,175,20,58,1,1,0,3,362,1,0,0,1,1,1,1,1,0,1,0,628,0,1,629,0
256,0,152,12,34,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,456,0,1,457,0
257,1,122,11,67,0,2,0,1,158,0,0,0,0,0,0,0,0,0,0,0,362,0,3,365,0
258,0,166,34,109,1,0,0,1,411,0,0,0,0,0,0,0,0,0,0,0,722,0,3,725,0
259,2,242,60,85,1,1,1,2,424,0,0,1,0,1,1,0,0,0,0,0,821,0,3,824,0
260,1,115,31,37,0,1,0,0,232,0,0,0,0,0,0,1,1,0,0,0,419,0,3,422,0
261,1,208,27,50,0,1,1,1,346,0,0,0,0,0,0,1,1,0,0,0,637,0,2,639,0
262,0,166,17,55,2,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,493,0,2,495,0
263,0,127,31,31,0,1,0,0,247,0,1,0,0,1,0,1,0,0,0,0,440,0,4,444,0
264,0,146,19,40,0,0,0,0,204,0,1,0,0,0,0,0,0,0,0,0,410,0,3,413,0
265,1,408,32,25,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,894,0,2,896,0
266,2,277,30,65,2,0,0,1,442,2,0,1,0,0,0,2,1,0,1,1,827,0,4,831,0
267,2,299,21,58,0,0,0,2,364,1,1,0,0,0,0,2,0,0,0,0,750,0,3,753,0
268,2,292,41,26,0,1,1,0,381,0,0,0,1,2,0,0,0,0,0,0,747,0,5,752,0
269,0,355,26,33,1,1,0,4,427,1,0,0,0,1,0,0,1,0,0,0,850,0,4,854,0
270,2,160,16,72,3,0,0,1,375,0,0,3,0,1,0,0,0,0,0,1,634,0,0,634,0
271,1,204,37,77,0,0,0,1,381,0,0,0,0,1,1,0,0,1,0,0,704,0,4,708,0
272,3,183,22,38,0,0,1,0,328,0,0,0,0,0,0,0,0,0,0,0,575,0,0,575,0
273,5,188,39,107,0,1,0,1,411,0,0,0,1,0,0,0,0,0,1,0,754,0,1,755,0
274,2,201,29,63,1,1,1,1,319,0,0,1,0,0,0,1,0,0,0,0,620,0,2,622,0
275,2,184,30,45,2,2,1,3,455,1,1,2,0,1,0,4,0,2,0,0,735,0,1,736,0
276,2,165,21,95,0,1,0,1,333,2,0,0,0,1,0,0,1,0,0,0,622,0,0,622,0
277,1,158,27,80,1,0,0,0,350,0,1,0,1,0,0,3,1,0,0,1,624,0,3,627,0
278,0,197,25,57,0,0,0,0,262,0,0,0,0,0,1,1,1,0,1,0,545,0,2,547,0
279,5,295,29,64,1,0,0,2,424,0,0,3,2,3,0,0,0,0,0,0,828,0,1,829,0
280,1,204,43,88,0,0,0,1,458,2,0,1,0,0,0,0,0,0,0,1,799,0,5,804,0
281,4,324,55,51,1,1,0,0,441,0,0,0,0,1,0,1,0,0,0,0,879,0,6,885,0
282,1,201,35,49,1,0,0,1,475,1,1,0,0,0,0,0,0,3,0,0,768,0,1,769,0
283,3,293,41,52,1,1,1,0,420,0,1,0,0,0,0,1,0,0,0,0,814,0,2,816,0
284,3,184,29,30,0,0,0,1,293,0,0,0,0,0,1,0,1,0,0,0,542,0,1,543,0
285,1,188,33,59,0,1,0,2,200,0,0,0,0,0,0,0,1,0,0,0,485,0,7,492,0
286,0,143,35,55,0,0,0,0,254,1,0,0,0,0,0,0,0,0,0,0,488,0,3,491,0
287,2,208,46,75,1,0,0,2,514,0,0,1,0,0,0,0,0,1,0,0,850,0,4,854,0
288,3,296,37,63,3,4,1,1,400,0,0,2,0,0,0,1,2,0,0,0,813,0,4,817,0
289,2,268,35,48,0,1,0,0,369,0,0,0,0,0,0,3,0,0,0,0,726,0,3,729,0
290,4,285,53,62,1,0,0,0,377,1,0,0,0,0,0,1,0,0,0,0,784,0,3,787,0
291,0,219,31,77,0,0,1,1,304,1,0,0,1,1,0,0,0,0,0,0,636,0,7,643,0
292,2,307,57,98,3,0,0,2,415,0,1,0,0,0,0,1,0,0,0,0,886,0,6,892,0
293,1,229,43,87,0,0,1,4,385,1,0,0,0,0,0,0,0,1,2,0,754,0,0,754,0
294,1,215,34,75,0,0,0,1,393,0,0,3,0,0,0,0,0,1,0,0,723,0,1,724,0
295,1,321,21,37,1,1,2,4,541,0,1,0,1,0,2,0,1,0,0,0,934,0,2,936,0
296,3,297,31,74,3,0,2,1,398,0,0,0,0,2,0,0,0,0,0,0,811,0,4,815,0
297,0,230,33,56,2,1,0,0,335,1,0,2,0,0,0,0,1,1,1,0,663,0,2,665,0
298,1,111,17,62,0,1,0,1,172,0,0,0,1,0,0,0,0,0,0,0,366,0,0,366,0
299,1,117,17,55,2,0,0,0,163,0,0,0,0,1,0,0,0,1,0,0,357,0,0,357,0
300,1,233,29,75,0,0,1,0,380,1,0,1,0,0,0,0,2,0,0,0,723,0,5,728,0
301,2,208,21,83,0,1,0,2,303,0,1,2,0,0,0,0,0,0,1,0,624,0,2,626,0
302,0,213,15,81,1,0,0,3,310,1,0,0,0,0,0,1,1,2,0,0,628,0,4,632,0
303,3,226,22,55,0,1,0,0,404,0,0,2,0,1,0,2,1,0,0,0,717,0,1,718,0
304,1,195,27,51,0,1,0,2,265,0,0,0,0,1,0,1,0,0,0,0,544,0,1,545,0
305,0,191,29,86,0,0,0,0,300,0,1,0,0,0,0,0,0,0,0,0,607,0,2,609,0
306,0,189,20,50,1,1,0,1,314,0,0,0,0,0,0,0,0,0,0,0,576,0,5,581,0
307,3,297,32,56,0,0,1,1,447,1,2,0,2,1,0,0,0,1,0,0,844,0,3,847,0
308,6,317,31,41,0,2,1,3,462,0,0,0,0,0,0,0,1,1,0,1,866,0,4,870,0
309,1,208,44,80,0,0,1,3,338,0,0,0,1,0,0,1,0,0,0,0,677,0,2,679,0
310,0,156,42,89,0,0,0,1,323,0,0,0,0,0,1,1,0,0,1,1,615,0,5,620,0
311,3,131,26,72,0,1,0,1,297,1,0,0,0,1,1,0,0,0,0,1,535,0,3,538,0
312,3,208,38,81,0,0,2,2,438,0,0,2,0,1,1,0,0,0,1,0,777,0,3,780,0
313,3,254,52,94,4,0,0,0,451,0,0,0,0,0,0,1,0,0,0,0,859,0,4,863,0
314,3,268,36,51,0,3,0,5,446,0,1,0,1,1,0,0,0,2,0,1,818,0,2,820,0
315,1,129,25,66,3,0,0,1,328,0,0,0,0,0,1,0,0,1,0,0,555,0,0,555,0
316,0,206,38,108,0,0,0,1,339,1,0,0,0,2,0,1,1,1,1,0,699,0,4,703,0
317,0,221,40,110,2,0,0,1,331,1,0,0,0,0,0,1,1,1,1,1,711,0,9,720,0
318,2,152,41,186,2,0,0,0,354,1,0,0,0,2,0,0,0,0,0,0,740,0,3,743,0
319,1,175,64,156,1,0,0,1,481,1,0,0,1,1,0,0,0,0,0,0,882,0,5,887,0
320,1,266,63,172,1,1,3,4,483,0,0,1,0,0,0,1,0,0,1,0,997,0,4,1001,0
321,0,333,31,30,0,0,0,0,319,0,0,0,0,1,0,1,0,0,0,1,716,0,1,717,0
322,2,173,46,45,0,0,0,0,441,2,0,0,0,0,0,1,0,1,1,0,712,0,4,716,0
323,0,158,31,96,2,1,0,1,281,0,0,1,0,0,0,0,1,0,0,0,572,0,4,576,0
324,0,127,23,118,0,0,0,2,301,0,1,0,0,0,0,0,0,0,0,0,572,0,3,575,0
325,0,187,53,144,0,1,0,1,364,0,0,0,1,0,1,0,0,1,0,0,753,0,9,762,0
326,0,315,42,153,1,0,0,2,391,0,0,0,0,1,1,1,1,0,0,0,908,0,5,913,0
327,1,245,48,141,1,1,0,1,478,0,0,1,0,0,0,0,0,0,0,0,917,0,7,924,0
328,0,204,57,156,1,1,0,1,469,1,0,2,0,2,1,0,0,3,0,0,898,0,2,900,0
329,5,272,61,106,2,0,0,1,475,0,0,1,0,1,1,2,1,0,0,2,930,0,3,933,0
330,0,186,29,64,0,0,1,1,372,0,0,0,0,0,0,0,0,0,0,0,653,0,3,656,0
331,0,216,49,104,0,0,0,0,325,0,0,0,0,0,0,1,0,0,0,0,695,0,3,698,0
332,1,184,31,66,1,1,0,1,330,1,0,2,2,2,0,2,0,2,0,0,626,0,5,631,0
333,0,251,63,114,1,1,0,0,480,0,0,0,0,0,0,0,0,0,0,0,910,0,7,917,0
334,0,225,42,79,1,0,0,1,390,2,0,1,0,1,0,1,0,0,0,0,743,0,2,745,0
335,0,159,41,113,0,0,0,2,370,1,0,0,0,0,0,1,0,0,0,0,687,0,1,688,0
336,1,225,51,150,1,0,0,0,465,1,1,0,0,0,0,3,0,0,1,0,899,0,5,904,0
337,0,295,36,84,0,0,2,2,463,0,0,1,0,0,0,0,0,0,0,0,883,0,7,890,0
338,1,130,25,84,1,0,0,1,324,0,0,0,1,0,0,0,0,0,0,0,567,0,3,570,0
339,0,262,41,108,0,0,0,0,490,1,1,0,0,0,0,0,0,1,0,0,904,0,1,905,0
340,2,216,34,129,0,1,0,2,482,0,1,0,0,3,2,2,0,1,0,1,876,0,2,878,0
341,4,264,43,50,3,1,0,1,536,0,0,0,0,1,0,0,1,1,0,1,906,0,3,909,0
342,1,179,33,147,0,3,0,2,454,1,2,0,0,0,0,1,0,1,0,0,824,0,8,832,0
343,0,117,25,69,1,0,0,0,240,0,1,0,0,0,0,0,0,1,0,1,455,0,2,457,0
344,2,133,18,55,0,0,0,1,260,0,0,0,0,1,0,0,1,0,0,0,471,0,1,472,0
345,1,200,25,99,1,0,1,0,282,0,1,0,0,1,0,0,0,0,0,0,611,0,2,613,0
346,1,242,36,113,0,1,0,1,396,1,0,0,0,1,0,1,2,0,0,0,795,0,4,799,0
347,0,254,36,118,3,4,1,0,379,1,0,0,0,2,0,0,0,0,1,0,799,0,2,801,0
348,2,192,54,121,0,0,0,0,351,0,0,1,0,2,0,0,0,3,0,2,728,0,6,734,0
349,0,204,50,102,1,0,0,1,308,1,0,0,0,0,0,1,0,0,0,0,668,0,4,672,0
350,1,232,59,121,0,0,1,0,441,2,0,1,0,0,0,0,0,0,0,1,859,0,4,863,0
351,4,245,69,132,4,2,0,0,496,0,0,2,0,0,0,0,0,0,0,0,954,0,5,959,0
352,0,256,17,37,1,2,0,0,265,0,0,0,0,1,0,0,0,1,0,0,580,0,1,581,0
353,0,301,18,53,0,0,0,4,488,0,1,0,1,1,0,1,0,3,0,1,872,0,2,874,0
354,1,161,31,182,0,0,0,2,461,1,0,0,1,1,0,1,0,1,1,0,844,0,4,848,0
355,1,107,20,56,0,1,1,2,157,0,0,0,0,0,0,0,0,0,0,0,345,0,1,346,0
356,2,248,39,125,3,1,2,1,563,0,0,0,0,2,1,0,0,0,0,0,987,0,3,990,0
357,2,188,44,83,0,1,0,1,546,0,0,0,0,0,0,2,2,1,0,1,871,0,2,873,0
358,0,234,42,70,1,0,0,3,453,0,0,0,2,1,0,0,0,0,0,0,806,0,1,807,0
359,1,235,30,72,1,2,0,0,410,0,0,0,0,0,0,1,0,0,0,0,752,0,3,755,0
360,1,176,28,46,0,1,0,1,332,0,0,0,0,2,0,1,0,0,0,0,588,0,2,590,0
361,0,224,28,65,1,0,0,1,314,1,0,0,1,1,0,0,0,0,0,1,637,0,2,639,0
362,0,147,28,56,2,0,0,0,228,1,0,0,0,1,0,0,0,1,0,0,464,0,6,470,0
363,0,166,27,78,0,1,0,0,274,1,0,0,0,0,0,0,1,0,0,0,548,0,3,551,0
364,1,116,35,52,0,0,0,0,192,0,0,2,0,0,0,1,0,0,1,2,402,0,1,403,0
365,1,179,23,57,0,1,0,0,270,0,0,0,0,2,0,0,0,0,1,0,534,0,3,537,0
366,3,335,40,86,2,0,0,2,430,0,0,1,0,1,0,0,0,1,0,2,903,0,4,907,0
367,4,245,39,100,1,1,1,0,398,1,0,1,0,0,0,0,0,0,0,0,791,0,3,794,0
368,2,227,34,77,0,0,2,0,361,0,1,1,0,0,0,1,1,0,0,1,708,0,1,709,0
369,0,216,27,59,2,0,0,0,228,0,0,0,0,0,0,0,1,0,0,0,533,0,3,536,0
370,1,187,31,31,1,0,0,0,285,0,0,2,0,0,0,1,0,1,1,0,541,0,2,543,0
371,1,237,37,79,1,2,0,1,365,1,0,0,0,0,0,0,0,1,0,0,725,0,2,727,0
372,1,321,17,105,0,1,0,0,355,1,0,1,0,1,0,1,0,3,0,0,807,0,5,812,0
373,0,148,24,163,1,0,1,2,251,0,0,0,1,0,0,2,1,1,0,0,595,0,9,604,0
374,0,79,18,100,3,0,0,0,213,0,0,0,1,0,1,2,0,0,0,0,417,0,2,419,0
375,0,229,27,86,1,1,0,0,305,0,0,0,0,1,0,0,1,0,1,0,652,0,7,659,0
376,0,222,28,54,1,0,0,0,364,0,0,0,1,1,2,0,1,0,0,0,674,0,4,678,0
377,1,223,27,89,2,0,0,3,345,0,0,0,1,0,0,3,0,0,0,0,694,0,4,698,0
378,0,294,29,54,4,1,0,2,401,1,0,0,0,0,0,0,0,1,0,0,787,0,1,788,0
379,1,191,22,25,5,0,0,0,284,3,0,0,0,1,0,1,1,1,0,0,535,0,1,536,0
380,1,175,10,19,0,0,1,0,191,1,0,0,2,0,1,1,0,0,0,0,402,0,1,403,0
381,3,337,31,44,0,1,0,3,426,0,0,2,0,1,1,1,0,3,0,0,853,0,0,853,0
382,2,203,37,107,2,0,0,1,343,0,0,1,0,0,0,0,0,0,0,0,696,0,2,698,0
383,3,294,30,96,14,0,0,0,369,0,0,0,1,0,0,0,1,0,0,0,808,0,4,812,0
384,0,199,49,128,1,0,0,1,365,0,0,0,0,1,0,1,1,1,0,0,747,0,5,752,0
385,0,167,21,67,0,1,0,0,287,2,0,0,0,1,0,0,0,0,0,0,546,0,3,549,0
386,4,171,23,71,2,0,0,3,312,0,0,0,0,0,0,0,0,0,0,1,587,0,2,589,0
387,1,180,20,34,2,0,1,1,224,0,0,0,0,0,0,1,0,2,1,0,467,0,1,468,0
388,6,276,41,93,7,0,1,1,419,0,0,0,1,1,0,1,1,0,1,0,849,0,4,853,0
389,1,258,48,78,2,1,0,2,362,0,1,0,0,1,0,0,0,0,0,0,754,0,7,761,0
390,1,231,25,88,1,0,0,0,311,0,0,0,0,0,0,0,0,0,0,1,658,0,1,659,0
391,2,152,22,53,1,0,1,0,227,0,1,1,0,0,1,0,0,0,0,0,461,0,1,462,0
392,0,192,29,75,2,0,3,2,308,7,0,1,0,1,0,1,1,0,1,0,623,0,2,625,0
393,1,219,30,135,3,0,0,1,390,0,1,1,1,2,0,1,0,1,1,1,788,0,8,796,0
394,2,280,63,71,1,0,0,1,445,0,0,0,0,1,1,0,1,1,1,0,868,0,3,871,0
395,1,260,49,61,1,1,0,0,425,0,0,0,0,0,0,0,1,0,0,0,799,0,4,803,0
396,2,242,32,79,0,1,0,0,266,1,0,0,0,0,0,2,0,0,0,0,625,0,6,631,0
397,3,244,35,71,4,0,0,0,311,0,0,0,1,0,1,1,0,0,1,0,672,0,3,675,0
398,1,167,21,75,1,0,0,0,263,0,0,0,0,0,1,1,1,1,0,0,532,0,2,534,0
399,0,205,35,124,1,2,0,1,334,2,0,1,0,0,0,2,0,0,0,0,707,0,1,708,0
400,4,249,47,99,3,3,1,0,498,1,0,0,0,4,1,0,0,1,0,0,911,0,1,912,0
401,1,239,38,57,2,1,0,0,404,0,0,0,0,2,1,1,0,0,0,0,746,0,0,746,0
402,6,267,32,60,0,0,2,0,481,1,0,0,1,1,0,0,0,1,0,0,852,0,5,857,0
403,0,199,22,69,1,0,0,4,400,0,0,0,0,1,0,0,0,0,0,0,696,0,5,701,0
404,2,249,45,71,3,2,0,0,561,2,0,1,0,0,1,1,0,2,0,0,940,0,4,944,0
405,0,230,38,121,1,2,0,1,467,2,0,2,1,1,0,0,1,0,0,2,869,0,1,870,0
406,1,250,25,102,4,0,0,1,320,1,0,1,0,0,1,1,0,0,0,0,707,0,1,708,0
407,0,186,39,71,0,0,0,1,353,1,0,1,0,0,0,1,1,1,0,0,655,0,3,658,0
408,1,212,53,54,3,0,0,1,401,0,0,2,0,0,0,0,0,1,0,0,728,0,4,732,0
409,3,316,30,78,2,0,0,4,445,1,0,1,1,0,3,1,0,1,0,1,887,0,3,890,0
410,2,288,35,60,0,0,0,3,413,0,1,1,0,1,3,0,0,0,0,1,808,0,2,810,0
411,6,129,11,24,1,0,0,0,269,1,0,0,0,1,0,0,0,1,0,0,443,0,0,443,0
412,1,173,43,171,0,0,0,7,497,0,0,0,0,3,1,1,0,1,1,0,899,0,2,901,0
413,3,228,13,48,0,1,0,2,373,1,0,0,0,0,1,0,0,0,0,0,670,0,1,671,0
414,3,247,54,182,0,2,0,0,560,2,0,0,1,1,0,1,0,1,0,0,1054,0,6,1060,0
415,1,102,25,40,1,0,0,1,385,0,0,1,0,0,0,0,0,1,0,0,557,0,0,557,0
416,1,99,19,31,2,1,0,0,310,0,0,0,0,0,0,0,1,1,1,0,466,0,1,467,0
417,1,208,73,82,0,0,2,1,548,0,1,2,0,3,0,0,1,0,0,1,923,0,1,924,0
418,1,111,30,46,1,0,0,0,344,2,0,0,0,0,0,0,0,0,0,0,535,0,3,538,0
419,2,82,31,48,1,0,1,1,423,0,0,0,0,1,0,0,0,0,2,0,592,0,4,596,0
420,0,177,46,74,0,0,0,2,636,0,0,0,0,0,2,0,1,1,0,1,940,0,3,943,0
421,1,180,57,83,0,1,1,1,604,0,0,1,0,4,1,1,1,1,0,0,937,0,4,941,0
422,2,174,48,85,0,0,0,0,610,0,0,0,0,1,0,0,0,1,0,0,921,0,2,923,0
423,3,139,40,102,1,0,0,5,567,0,1,1,0,1,0,0,1,0,1,1,863,0,5,868,0
424,0,208,32,70,0,2,0,3,420,0,0,0,0,0,1,0,2,0,0,0,738,0,5,743,0
425,2,320,22,79,0,1,1,0,442,0,0,0,0,0,0,0,0,0,0,0,867,0,1,868,0
426,2,206,38,67,1,1,0,1,439,1,0,0,0,0,1,3,1,1,0,1,763,0,2,765,0
427,2,154,39,68,2,0,1,2,408,0,0,0,0,0,0,1,0,2,0,0,679,0,4,683,0
428,0,185,30,56,0,1,1,1,492,0,0,1,0,1,0,0,0,1,0,2,771,0,1,772,0
429,2,190,31,39,1,0,2,2,340,0,0,1,0,3,0,1,0,0,0,0,612,0,0,612,0
430,0,117,40,46,0,1,0,2,454,0,0,0,0,0,0,0,0,0,0,0,660,0,3,663,0
431,2,158,30,70,1,0,0,2,518,1,0,0,1,3,0,0,0,0,1,0,787,0,4,791,0
432,1,139,21,82,0,0,0,1,273,0,0,0,0,0,0,0,0,0,1,0,518,0,3,521,0
433,0,141,50,71,3,1,0,2,390,2,0,0,1,0,0,0,2,0,0,0,663,0,0,663,0
434,0,150,44,62,1,0,0,2,443,1,0,1,0,0,1,1,0,1,0,1,708,0,8,716,0
435,1,163,44,69,1,1,1,1,513,0,0,0,0,1,1,0,0,0,0,0,796,0,3,799,0
436,1,130,33,41,0,0,1,0,358,0,0,1,0,0,0,0,0,0,0,1,566,0,3,569,0
437,5,190,44,53,0,1,0,0,481,0,0,1,0,1,0,1,0,1,0,0,778,0,3,781,0
438,1,109,17,36,0,1,0,2,311,0,1,1,0,1,0,0,1,0,0,1,482,0,2,484,0
439,1,157,38,76,0,0,0,0,364,0,1,0,0,0,1,0,0,0,0,0,638,0,2,640,0
440,4,175,39,45,0,0,0,4,520,0,1,3,1,1,1,0,1,1,0,1,797,0,8,805,0
441,2,164,34,61,0,1,0,1,417,0,1,0,0,2,0,0,0,0,0,0,683,0,1,684,0
442,2,139,39,68,0,0,1,1,434,0,0,0,0,1,0,0,0,0,0,0,685,0,5,690,0
443,1,211,54,75,1,0,0,2,466,0,0,3,0,1,0,0,2,0,0,0,816,0,5,821,0
444,2,280,38,90,2,0,1,2,507,0,0,1,0,1,2,0,1,0,0,0,927,0,3,930,0
445,2,263,25,69,0,0,0,4,438,0,1,0,1,1,0,2,0,0,0,0,806,0,4,810,0
446,2,180,58,91,0,1,1,0,500,0,0,1,1,0,0,1,0,0,0,0,836,0,0,836,0
447,3,184,52,45,0,2,2,3,523,0,1,1,1,1,2,0,0,0,0,1,821,0,1,822,0
448,2,124,33,54,2,2,1,2,424,0,0,1,0,0,0,0,0,0,0,0,645,0,3,648,0
449,2,163,45,42,0,3,0,2,417,0,0,1,0,2,3,0,0,1,1,0,682,0,1,683,0
450,2,203,50,62,0,1,1,3,482,0,0,1,1,1,2,0,1,2,0,0,812,0,0,812,0
451,1,213,37,90,2,0,0,1,508,1,0,0,2,1,0,0,0,1,0,1,858,0,3,861,0
452,0,138,34,62,0,0,1,0,460,1,0,0,0,0,2,2,0,0,0,0,700,0,4,704,0
453,3,212,39,158,2,1,0,2,336,0,0,0,0,0,0,2,0,0,0,0,755,0,7,762,0
454,4,192,64,101,2,0,0,2,416,0,0,2,0,0,0,1,1,0,0,0,785,0,4,789,0
455,1,117,31,77,0,0,0,0,313,1,0,0,0,1,0,0,0,1,0,0,542,0,0,542,0
456,3,123,16,70,0,2,1,1,320,0,1,0,0,1,0,0,0,0,0,1,539,0,3,542,0
457,0,101,19,64,3,0,0,1,240,0,0,0,0,0,0,1,0,0,0,0,429,0,3,432,0
458,3,178,38,75,1,0,1,2,400,0,1,0,0,2,0,1,0,0,0,0,702,0,0,702,0
459,1,166,36,110,2,1,0,1,356,0,0,2,1,0,1,1,0,0,0,3,681,0,3,684,0
460,0,168,23,67,0,0,0,1,304,0,0,0,0,0,1,0,0,0,0,0,564,0,1,565,0
461,0,133,30,57,1,0,0,0,284,2,0,1,0,0,0,0,0,0,0,0,508,0,3,511,0
462,0,123,21,55,0,0,0,2,299,0,0,0,1,0,0,1,0,0,0,0,502,0,1,503,0
463,0,127,36,84,0,0,0,0,337,0,2,1,1,0,0,0,0,0,0,0,588,0,3,591,0
464,1,105,27,86,0,0,1,1,215,0,0,0,0,0,0,0,0,1,0,0,437,0,4,441,0
465,0,133,32,94,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,1,504,0,2,506,0
466,1,86,17,97,0,0,0,1,234,0,0,0,0,0,1,0,0,0,0,0,437,0,3,440,0
467,0,137,25,51,3,0,0,4,345,2,1,0,0,1,0,3,1,0,0,0,573,0,1,574,0
468,1,266,35,105,3,0,1,2,413,0,0,2,0,0,0,0,1,1,0,0,830,0,2,832,0
469,1,212,22,87,3,0,1,0,245,0,0,0,0,0,0,0,1,0,0,0,572,0,5,577,0
470,2,289,30,103,0,0,0,1,304,0,0,1,0,0,2,0,1,0,1,0,734,0,4,738,0
471,1,202,25,140,0,1,1,2,465,0,1,0,1,2,0,0,0,0,0,0,841,0,3,844,0
472,0,168,12,118,0,0,1,1,173,0,0,0,0,0,0,0,0,0,0,0,473,0,6,479,0
473,4,201,25,121,1,0,0,0,375,0,0,1,0,1,0,1,0,0,0,0,730,0,1,731,0
474,1,291,39,131,1,0,0,0,413,1,0,1,0,2,2,0,0,0,0,0,882,0,4,886,0
475,2,220,25,128,0,0,0,0,291,1,0,0,1,0,0,0,1,1,0,0,670,0,0,670,0
476,1,182,30,98,0,0,1,1,275,0,0,0,0,0,0,1,0,1,0,0,590,0,6,596,0
477,2,290,33,79,1,1,0,2,324,0,0,0,0,3,0,0,1,1,0,0,737,0,1,738,0
478,0,251,41,138,2,0,1,1,447,0,0,0,0,1,0,1,0,0,0,0,883,0,7,890,0
479,1,421,34,94,1,0,0,1,408,0,0,1,0,1,1,0,1,0,0,1,965,0,4,969,0
480,4,265,27,79,1,0,1,0,318,1,1,1,0,0,0,1,0,1,0,0,700,0,2,702,0
481,1,246,32,93,1,1,1,2,342,0,0,1,0,0,0,1,0,1,0,0,722,0,2,724,0
482,1,453,24,70,0,0,2,0,396,0,0,0,1,1,2,0,0,0,0,0,950,0,4,954,0
483,1,356,16,73,0,1,0,3,408,1,0,0,0,0,0,0,0,0,0,0,859,0,4,863,0
484,1,240,39,93,0,0,1,0,254,0,1,0,0,0,0,0,0,1,0,0,630,0,6,636,0
485,2,297,27,81,0,0,1,6,386,0,0,1,1,0,1,0,0,0,0,0,803,0,1,804,0
486,1,313,27,82,0,0,0,1,384,1,0,0,0,0,0,1,0,1,0,0,811,0,2,813,0
487,1,298,21,64,0,1,0,1,360,0,0,0,0,3,0,1,1,0,1,1,753,0,1,754,0
488,4,153,27,39,1,0,1,2,384,0,0,1,0,0,0,1,0,0,0,0,613,0,1,614,0
489,2,345,35,81,0,0,1,4,393,0,0,0,0,1,3,0,1,0,0,0,866,0,3,869,0
490,0,179,34,126,0,0,0,3,239,1,0,0,0,0,0,0,0,1,0,1,584,0,4,588,0
491,4,230,26,101,1,0,0,0,339,0,0,0,0,2,0,0,2,1,0,0,706,0,3,709,0
492,4,262,36,90,0,2,0,1,419,0,1,0,0,0,1,1,0,0,0,0,817,0,4,821,0
493,2,273,44,60,2,1,1,2,406,0,0,0,0,1,1,1,1,0,0,1,796,0,0,796,0
494,2,234,23,110,1,0,0,0,418,0,0,1,0,0,0,0,0,0,0,0,789,0,5,794,0
495,0,414,26,174,0,0,0,0,311,0,1,0,0,2,0,0,0,0,0,1,929,0,4,933,0
496,0,167,13,130,2,0,0,2,199,0,0,0,0,0,0,0,0,0,0,0,513,0,2,515,0
497,2,246,34,179,3,1,0,0,456,1,0,0,0,5,2,2,0,1,3,0,935,0,4,939,0
498,3,185,46,94,1,1,1,4,616,0,1,2,0,1,1,0,0,1,0,0,957,0,3,960,0
499,0,140,21,256,0,0,1,0,276,0,0,0,0,0,0,2,0,0,0,0,696,0,3,699,0
500,4,103,11,99,0,0,0,1,299,2,0,0,0,0,0,0,0,0,0,0,519,0,1,520,0
501,3,131,27,122,0,1,0,0,189,0,0,0,0,0,1,0,0,0,0,0,474,0,5,479,0
502,1,137,41,123,0,0,0,2,257,0,0,0,0,0,0,0,0,0,0,0,561,0,6,567,0
