Polling Station No,AVARANGADU KARTHIK RAJA,THANGAM THENARASU,RAJAVARMAN.M.S.R,KANNAN.G,GUNASEKARAN.G,SAMAYAN.S,MURUGESAPANDIAN.T,RAJKUMAR.D,VELLAISAMY.P,ARAVINTHASAMY.J,KALIMUTHU.S,GURUSAMY.T,CHENNA KESAVAN.P,SETHURAMALINGAM.S,ADVOCATE THANGAPANDIAN,NALLAMARUTHU.K,PALANIYANDI.M,MALAI ALAGU.M,MARIMUTHU.M,MARNADU.M,MUNIYASAMY.R,RAJANGAM.C,JEYACHITRA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,24,202,33,1,2,204,1,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,472,0,1,473,0
2,35,213,55,0,4,391,2,1,0,0,3,1,0,2,1,1,2,1,2,0,1,1,1,717,0,4,721,0
3,25,211,45,1,0,290,0,0,1,1,0,1,0,2,0,1,0,3,0,0,0,0,0,581,0,0,581,0
4,102,467,125,1,1,148,11,0,1,0,0,0,0,3,6,0,3,3,1,0,0,0,0,872,0,1,873,0
5,30,99,86,0,0,123,3,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,346,0,1,347,0
6,22,177,39,0,0,124,6,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,373,0,0,373,0
7,125,269,62,2,0,132,1,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,597,0,2,599,0
8,38,285,95,0,1,121,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,546,0,1,547,0
9,44,209,116,0,2,180,0,1,1,0,0,1,1,1,3,1,0,12,3,0,0,1,0,576,0,0,576,0
10,55,434,93,0,2,432,4,1,2,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1029,0,1,1030,0
11,24,250,73,0,2,284,2,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,641,0,1,642,0
12,38,246,47,0,5,540,3,1,0,1,1,0,0,2,1,0,0,2,0,0,0,1,0,888,0,3,891,0
13,38,178,44,1,3,396,0,0,0,0,0,0,0,2,1,1,1,1,3,0,1,1,0,671,0,2,673,0
14,24,129,35,0,0,361,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,557,0,1,558,0
15,31,268,31,0,2,597,2,0,2,1,2,0,1,0,0,1,0,0,0,0,1,2,0,941,0,0,941,0
16,42,205,58,0,1,731,2,2,2,0,0,0,0,0,0,0,2,2,2,2,0,2,1,1054,0,2,1056,0
17,11,223,60,2,1,280,0,0,0,1,1,0,0,2,3,0,0,1,1,0,0,0,0,586,0,2,588,0
18,53,300,88,1,7,238,2,1,0,1,0,0,0,2,1,0,1,5,2,0,0,1,0,703,0,1,704,0
19,114,379,123,0,13,314,0,0,1,0,0,3,1,2,5,3,1,1,3,0,0,1,1,965,0,2,967,0
20,31,292,216,2,2,222,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,771,0,1,772,0
21,32,220,117,3,3,296,2,1,2,1,0,1,0,1,0,1,0,1,2,1,0,0,0,684,0,0,684,0
22,37,221,48,0,23,170,1,1,0,0,0,0,0,1,2,1,0,1,1,1,1,1,0,510,0,0,510,0
23,34,344,64,1,5,219,1,1,1,0,0,0,0,2,3,0,0,2,0,0,1,0,0,678,0,3,681,0
24,8,283,58,0,1,211,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,567,0,0,567,0
25,11,350,52,0,1,136,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,551,0,0,551,0
26,16,230,52,1,2,272,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,576,0,0,576,0
27,48,291,75,0,2,224,0,1,0,1,0,0,0,1,0,1,1,2,0,0,0,1,0,648,0,1,649,0
28,58,313,99,1,2,342,3,1,0,0,0,0,1,1,5,1,2,6,6,0,0,2,0,843,0,2,845,0
29,10,126,63,0,2,140,3,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,349,0,0,349,0
30,22,213,77,0,0,145,1,17,0,0,0,0,0,3,0,0,1,2,1,0,0,0,0,482,0,1,483,0
31,45,204,91,2,0,89,4,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,441,0,0,441,0
32,58,176,82,0,1,169,2,0,1,1,0,0,0,0,5,0,2,3,1,0,0,0,1,502,0,2,504,0
33,37,301,100,0,12,280,0,1,0,0,2,0,1,3,6,1,0,4,3,0,1,0,0,752,0,1,753,0
34,49,90,60,0,2,168,0,0,0,1,1,0,0,0,1,0,0,1,4,0,1,0,0,378,0,2,380,0
35,23,153,63,2,2,285,1,1,0,0,0,0,0,0,0,2,0,4,2,0,0,2,0,540,0,0,540,0
36,42,207,122,2,4,167,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,2,0,551,0,0,551,0
37,72,291,178,4,2,173,3,1,0,2,0,1,0,1,0,0,0,2,3,0,0,0,2,735,0,0,735,0
38,54,308,178,2,0,146,1,0,0,0,0,1,1,1,1,0,1,5,2,1,0,0,0,702,0,0,702,0
39,69,461,223,2,6,302,7,0,1,0,0,0,2,1,4,1,0,2,1,0,0,2,0,1084,0,4,1088,0
40,52,393,100,1,5,250,2,0,0,0,1,0,0,0,0,0,1,5,4,0,0,0,1,815,0,0,815,0
41,46,351,126,1,4,180,5,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,719,0,0,719,0
42,26,207,112,2,3,196,0,0,0,0,1,0,1,2,2,0,0,2,6,0,0,0,1,561,0,2,563,0
43,71,222,112,1,1,249,1,0,7,0,1,0,0,0,1,0,1,1,0,0,0,1,0,669,0,1,670,0
44,34,277,86,0,0,86,0,0,3,0,0,2,1,0,0,1,2,1,1,0,0,0,1,495,0,2,497,0
45,24,435,86,1,3,273,0,0,0,0,3,0,0,1,2,0,0,1,3,0,0,0,0,832,0,1,833,0
46,12,266,32,1,0,278,0,0,0,1,0,1,1,0,1,1,0,2,0,0,1,0,1,598,0,1,599,0
47,14,263,48,0,1,209,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,541,0,1,542,0
48,56,317,84,0,2,293,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,760,0,4,764,0
49,50,262,37,0,4,202,2,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,563,0,2,565,0
50,14,148,62,1,0,187,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,417,0,0,417,0
51,41,279,98,1,1,264,0,1,0,2,2,0,1,0,1,0,1,1,0,0,0,0,0,693,0,1,694,0
52,36,157,68,0,2,304,0,0,0,1,1,0,2,1,1,0,0,2,1,1,0,3,1,581,0,0,581,0
53,27,117,79,0,2,205,3,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,438,0,1,439,0
54,35,191,74,1,2,267,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,574,0,6,580,0
55,39,197,81,0,1,279,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,602,0,1,603,0
56,36,183,65,0,2,195,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,484,0,4,488,0
57,36,132,53,0,1,220,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,447,0,2,449,0
58,38,261,58,0,1,291,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,655,0,3,658,0
