Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,987,0,207,399,0,28,0,0,256,0,0,0,0,0,0,0,0,0,0,0,898,0,898,0,0
2,813,0,357,113,0,101,0,0,272,0,0,0,0,0,0,0,0,0,0,0,768,0,768,0,0
3,1081,0,162,434,0,31,0,0,322,0,0,0,0,0,0,0,0,0,0,0,960,0,960,0,0
4,745,0,123,322,0,24,0,0,228,0,0,0,0,0,0,0,0,0,0,0,712,0,712,0,0
5,1047,0,209,475,0,18,0,0,239,0,0,0,0,0,0,0,0,0,0,0,949,0,949,0,0
6,856,0,317,232,0,161,0,0,199,0,0,0,0,0,0,0,0,0,0,0,777,0,777,0,0
7,721,0,1501,294,0,18,0,0,209,0,0,0,0,0,0,0,0,0,0,0,677,0,677,0,0
8,1018,0,287,218,0,22,0,0,38,0,0,0,0,0,0,0,0,0,0,0,935,0,935,0,0
9,1105,0,267,364,0,201,0,0,375,0,0,0,0,0,0,0,0,0,0,0,1044,0,1044,0,0
10,926,0,274,209,0,51,0,0,300,0,0,0,0,0,0,0,0,0,0,0,845,0,845,0,0
11,969,0,355,191,0,33,0,0,313,0,0,0,0,0,0,0,0,0,0,0,901,0,901,0,0
12,1200,0,326,400,0,15,0,0,376,0,0,0,0,0,0,0,0,0,0,0,1129,0,1129,0,0
13,509,0,191,103,0,13,0,0,166,0,0,0,0,0,0,0,0,0,0,0,484,0,484,0,0
14,504,0,107,226,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,476,0,4761,0,0
15,739,0,245,254,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,709,0,709,0,0
16,503,0,104,235,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,477,0,477,0,0
17,374,0,75,169,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,360,0,360,0,0
18,304,0,701,122,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,290,0,290,0,0
19,537,0,136,219,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,521,0,521,0,0
20,928,0,410,172,0,21,0,0,253,0,0,0,0,0,0,0,0,0,10,0,879,0,879,0,0
21,397,0,82,55,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,341,0,341,0,0
22,651,0,167,207,0,24,0,0,196,0,0,0,0,0,0,0,0,0,0,0,602,0,602,0,0
23,969,0,397,96,0,16,0,0,367,0,0,0,0,0,0,0,0,0,0,0,892,0,892,0,0
24,830,0,209,197,0,0,0,0,283,0,0,0,0,0,0,0,0,2,0,0,721,0,721,0,0
25,710,0,235,255,0,0,0,0,167,0,0,0,0,0,0,0,0,1,0,0,681,0,681,0,0
26,736,0,207,238,0,18,0,0,231,0,0,0,0,0,0,0,0,2,0,0,703,0,703,0,0
27,465,0,142,175,0,17,0,0,97,0,0,0,0,0,0,0,0,2,0,0,436,0,4361,0,0
28,840,0,334,207,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,801,0,801,0,0
29,923,0,316,280,0,14,0,0,257,0,0,0,0,0,0,0,0,0,0,0,877,0,877,0,0
30,857,0,315,217,0,25,0,0,234,0,0,0,0,0,0,0,0,0,0,0,813,0,813,0,0
31,1080,0,223,458,0,27,0,0,290,0,0,0,0,0,0,0,0,0,0,0,1012,0,1012,0,0
32,908,0,209,379,0,22,0,0,207,0,0,0,0,18,0,0,0,0,0,0,850,0,850,0,0
33,669,0,172,240,0,16,0,0,180,0,0,0,0,0,0,0,0,0,0,0,615,0,615,0,0
34,642,0,198,162,0,0,0,36,187,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,0
35,1051,0,323,186,0,12,0,0,333,0,0,0,0,0,0,0,0,0,0,0,967,0,967,0,0
36,865,0,376,336,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,823,0,823,0,0
37,894,0,211,368,0,17,0,0,239,0,0,0,0,0,0,0,0,0,0,0,848,0,848,0,0
38,1213,0,428,410,0,31,0,0,254,0,0,0,0,0,0,0,0,0,0,0,1139,0,1139,0,0
39,895,0,321,313,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,846,0,8461,0,0
40,501,0,177,141,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,462,0,462,0,0
41,600,0,126,261,0,17,0,0,146,0,0,0,0,0,0,0,0,0,0,0,557,0,557,0,0
42,801,0,421,115,0,14,0,0,195,0,0,0,0,0,0,0,0,0,0,0,762,0,762,0,0
43,822,0,222,275,0,14,0,0,214,0,0,0,0,0,0,0,0,0,0,0,739,0,739,0,0
44,664,0,118,278,0,14,0,0,190,0,0,0,0,0,0,0,0,0,0,0,608,0,608,0,0
45,958,0,512,118,0,10,0,0,260,0,0,0,0,0,0,0,0,0,0,0,912,0,912,0,0
46,792,0,152,267,0,20,0,0,232,0,0,0,0,0,0,0,0,0,0,0,676,0,676,0,0
47,969,0,323,239,0,31,0,0,262,0,0,0,0,0,0,0,0,0,0,0,862,0,862,0,0
48,768,0,345,125,0,23,0,0,186,0,0,0,0,0,0,0,0,0,0,0,690,0,690,0,0
49,970,0,176,403,0,28,0,0,254,0,0,0,0,0,0,0,0,0,0,0,869,0,869,0,0
50,913,0,221,279,0,20,0,0,264,0,0,0,0,0,0,0,0,0,0,0,798,0,798,0,0
51,989,0,490,142,0,15,0,0,241,0,0,0,0,0,0,0,0,0,0,0,905,0,905,0,0
52,1001,0,438,176,0,16,0,0,279,0,0,0,0,0,0,0,0,0,10,0,925,0,925,0,0
53,687,0,304,113,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,636,0,636,0,0
54,1135,0,251,396,0,241,0,0,273,0,0,0,0,0,0,0,0,0,0,0,961,0,961,0,0
55,952,0,454,119,0,24,0,0,257,0,0,0,0,0,0,0,0,0,0,0,866,0,866,0,0
56,1106,0,460,310,0,21,0,0,2167,0,0,0,0,0,0,0,0,0,10,0,1029,0,1029,0,0
57,1115,0,76,620,0,34,0,0,247,0,0,0,0,0,0,0,0,0,0,0,995,0,995,0,0
58,997,0,473,128,0,29,0,0,214,0,0,0,0,0,0,0,0,0,0,0,863,0,863,0,0
59,760,0,163,186,0,18,0,0,209,0,0,0,0,0,0,0,0,0,0,0,582,0,582,0,0
60,1099,0,272,215,0,301,0,0,307,0,0,0,0,0,0,0,0,0,0,0,836,0,836,0,0
61,847,0,152,231,0,30,0,0,233,0,0,0,0,0,0,0,0,0,0,0,658,0,658,0,0
62,821,0,395,101,0,12,0,0,204,0,0,0,0,0,0,0,0,0,0,0,717,0,717,0,0
63,954,0,353,151,0,18,0,0,229,0,0,0,0,0,0,0,0,0,0,0,765,0,765,0,0
64,1032,0,212,238,0,39,0,0,277,0,0,0,0,0,0,0,0,0,0,0,776,0,776,0,0
65,965,0,217,199,0,28,0,0,253,0,0,0,0,0,0,0,0,0,0,0,701,0,701,0,0
66,660,0,207,100,0,10,0,0,143,0,0,0,0,0,0,0,0,0,0,0,464,0,464,0,0
67,932,0,229,152,0,24,0,0,273,0,0,0,0,0,0,0,0,0,0,0,688,0,688,0,0
68,998,0,234,183,0,35,0,0,274,0,0,0,0,0,0,0,0,0,0,0,737,0,737,0,0
69,1102,0,221,185,0,50,0,0,333,0,0,0,0,0,0,0,0,0,10,0,804,0,804,0,0
70,711,0,186,176,0,20,0,0,185,0,0,0,0,0,0,0,0,0,0,0,568,0,568,0,0
71,1072,0,333,200,0,28,0,0,275,0,0,0,0,0,0,0,0,0,0,0,846,0,846,0,0
72,811,0,162,174,0,25,0,0,195,0,0,0,0,0,0,0,0,0,0,0,567,0,567,0,0
73,1208,0,269,171,0,34,0,0,371,0,0,0,0,0,0,0,0,0,0,0,861,0,861,0,0
74,967,0,192,346,0,16,0,0,267,0,0,0,0,0,0,0,0,0,0,0,835,0,835,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,796,0,160,174,0,19,0,0,255,0,0,0,0,0,0,0,0,0,0,0,617,0,617,0,0
78,790,0,197,225,0,23,0,0,248,0,0,0,0,0,0,0,0,0,0,0,700,0,700,0,0
79,1144,0,394,219,0,20,0,0,358,0,0,0,0,0,0,0,0,0,0,0,1007,0,1007,0,0
80,887,0,206,199,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,776,0,7761,0,0
81,607,0,171,119,0,22,0,0,182,0,0,0,0,0,0,0,0,0,0,0,498,0,498,0,0
82,704,0,140,150,0,20,0,0,227,0,0,0,0,0,0,0,0,0,0,0,550,0,550,0,0
83,803,0,148,168,0,15,0,0,230,0,0,0,0,0,0,0,0,0,0,0,574,0,574,0,0
84,902,0,152,171,0,24,0,0,227,0,0,0,0,0,0,0,0,0,0,0,581,0,581,0,0
85,820,0,155,196,0,16,0,0,274,0,0,0,0,0,0,0,0,0,0,0,654,0,654,0,0
86,719,0,131,166,0,15,0,0,230,0,0,0,0,0,0,0,0,0,0,0,552,0,552,0,0
87,804,0,202,189,0,19,0,0,191,0,0,0,0,0,0,0,0,0,0,0,611,0,611,0,0
88,1046,0,207,224,0,32,0,0,276,0,0,0,0,0,0,0,0,0,0,0,750,0,750,0,0
89,985,0,195,210,0,24,0,0,328,0,0,0,0,0,0,0,0,0,0,0,767,0,767,0,0
90,995,0,231,203,0,26,0,0,240,0,0,0,0,0,0,0,0,0,0,0,711,0,711,0,0
91,938,0,208,176,0,25,0,0,299,0,0,0,0,0,0,0,0,0,0,0,719,0,719,0,0
92,1000,0,318,163,0,46,0,0,299,0,0,0,0,0,0,0,0,0,0,0,860,0,860,0,0
93,700,0,201,132,0,31,0,0,209,0,0,0,0,0,0,0,0,0,0,0,584,0,584,0,0
94,809,0,143,168,0,32,0,0,302,0,0,0,0,0,0,0,0,0,0,0,660,0,660,0,0
95,1026,0,156,334,0,44,0,0,328,0,0,0,0,0,0,0,0,0,0,0,867,0,86,0,0
96,1042,0,417,151,0,13,0,0,328,0,0,0,0,0,0,0,0,0,0,0,936,0,936,0,0
97,935,0,102,498,0,24,0,0,206,0,0,0,0,0,0,0,0,0,0,0,838,0,838,0,0
98,724,0,86,385,0,0,0,0,158,12,0,0,0,0,0,0,0,0,0,0,659,0,659,0,0
99,916,0,206,218,0,22,0,0,320,0,0,0,0,0,0,0,0,0,0,0,771,0,771,0,0
100,876,0,172,290,0,20,0,0,304,0,0,0,0,0,0,0,0,2,0,0,799,0,799,0,0
101,911,0,142,279,0,23,0,0,340,0,0,0,0,0,0,0,0,0,0,0,794,0,794,0,0
102,1144,0,464,159,0,31,0,0,344,0,0,0,0,0,0,0,0,0,0,0,1016,0,1016,0,0
103,711,0,134,291,0,21,0,0,195,0,0,0,0,0,0,0,0,0,0,0,651,0,651,0,0
104,724,0,99,137,0,15,0,0,404,0,0,0,0,0,0,0,0,0,0,0,662,0,662,0,0
105,876,0,167,148,0,25,0,0,428,0,0,0,0,0,0,0,0,0,0,0,777,0,777,0,0
106,988,0,245,225,0,19,0,0,288,0,0,0,0,0,0,0,0,0,0,0,783,0,783,0,0
107,836,0,185,176,0,47,0,0,221,0,0,0,0,0,0,0,0,0,0,0,637,0,637,0,0
108,992,0,166,218,0,30,0,0,313,0,0,0,0,0,0,0,0,0,0,0,736,0,736,0,0
109,903,0,144,265,0,18,0,0,325,0,0,0,0,0,0,0,0,0,0,0,764,0,764,0,0
110,705,0,185,191,0,25,0,0,203,0,0,0,0,0,0,0,0,0,0,0,611,0,611,0,0
111,857,0,216,193,0,48,0,0,198,0,0,0,0,0,0,0,0,0,0,0,658,0,658,0,0
112,693,0,169,128,0,14,0,0,173,0,0,0,0,0,0,0,0,0,0,0,492,0,492,0,0
113,1018,0,303,203,0,24,0,0,293,0,0,0,0,0,0,0,0,0,0,0,833,0,833,0,0
114,932,0,399,124,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,795,0,795,0,0
115,970,0,358,103,0,12,0,0,318,0,0,0,0,0,0,0,0,0,0,0,799,0,799,0,0
116,887,0,264,130,0,291,0,0,228,0,0,0,0,0,0,0,0,0,0,0,661,0,661,0,0
117,1198,0,214,355,0,25,0,0,378,0,0,0,0,0,0,0,0,0,0,0,987,0,98,0,0
118,693,0,141,179,0,18,0,0,186,0,0,0,0,0,0,0,0,0,0,0,530,0,530,0,0
119,969,0,196,252,0,15,0,0,313,0,0,0,0,0,0,0,0,0,0,0,787,0,787,0,0
120,977,0,207,269,0,29,0,0,275,0,0,0,0,0,0,0,0,0,0,0,788,0,788,0,0
121,802,0,195,162,0,29,0,0,196,0,0,0,0,0,0,0,0,0,0,0,590,0,590,0,0
122,933,0,185,214,0,33,0,0,350,0,0,0,0,0,0,0,0,0,0,0,805,0,805,0,0
123,815,0,208,160,0,34,0,0,235,0,0,0,0,0,0,0,0,0,0,0,655,0,655,0,0
124,927,0,180,259,0,30,0,0,298,0,0,0,0,0,0,0,0,0,0,0,781,0,781,0,0
125,1075,0,221,281,0,32,0,0,337,18,0,0,0,0,0,0,0,0,0,0,898,0,898,0,0
126,740,0,167,158,0,13,0,0,221,0,0,0,0,0,0,0,0,0,0,0,572,0,572,0,0
127,959,0,145,207,0,16,0,0,416,0,0,0,0,0,0,0,0,0,0,0,798,0,798,0,0
128,834,0,142,206,0,21,0,0,315,10,0,0,0,0,0,0,0,0,0,0,700,0,700,0,0
129,863,0,206,117,0,13,0,0,332,0,0,0,0,0,0,0,0,0,0,0,677,0,677,0,0
130,700,0,214,108,0,16,0,0,196,0,0,0,0,0,0,0,0,0,0,0,537,0,537,0,0
131,891,0,278,139,0,20,0,0,258,0,0,0,0,0,0,0,0,0,0,0,703,0,703,0,0
132,850,0,183,173,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,762,0,762,0,0
133,768,0,223,127,0,26,0,0,244,0,0,0,0,0,0,0,0,0,0,0,633,0,633,0,0
134,1020,0,265,187,0,20,0,0,312,0,0,0,0,0,0,0,0,0,0,0,792,0,792,0,0
135,744,0,153,141,0,19,0,0,222,0,0,0,0,0,0,0,0,0,0,0,543,0,543,0,0
136,512,0,90,127,0,19,0,0,174,0,0,0,0,0,0,0,0,0,0,0,413,0,413,0,0
137,712,0,157,179,0,25,0,0,193,0,0,0,0,0,0,0,0,0,0,0,567,0,567,0,0
138,796,0,201,114,0,18,0,0,278,0,0,0,0,0,0,0,0,0,0,0,622,0,622,0,0
139,862,0,179,157,0,17,0,0,230,0,0,0,0,0,0,0,0,0,0,0,593,0,593,0,0
140,762,0,149,135,0,26,0,0,235,0,0,0,0,0,0,0,0,0,0,0,556,0,5561,0,0
141,1065,0,255,180,0,34,0,0,307,0,0,0,0,0,0,0,0,0,0,0,782,0,782,0,0
142,723,0,160,161,0,19,0,0,218,0,0,0,0,0,0,0,0,0,0,0,566,0,566,0,0
143,918,0,238,165,0,28,0,0,258,0,0,0,0,0,0,0,0,0,0,0,699,0,699,0,0
144,557,0,95,222,0,17,0,0,154,0,0,0,0,0,0,0,0,0,0,0,492,0,492,0,0
145,980,0,120,233,0,37,0,0,449,0,0,0,0,0,0,0,0,0,0,0,845,0,845,0,0
146,998,0,112,162,0,28,0,0,478,0,0,0,0,0,0,0,0,0,0,0,795,0,795,0,0
147,1088,0,71,14,0,42,0,0,670,0,0,0,0,0,0,0,0,0,0,0,947,0,947,0,0
148,908,0,75,203,0,20,0,0,444,0,0,0,0,0,0,0,0,0,0,0,765,0,765,0,0
149,1018,0,202,323,0,40,0,0,321,0,0,0,0,0,0,0,0,0,0,0,895,0,895,0,0
150,879,0,216,177,0,32,0,0,281,0,0,0,0,0,0,0,0,0,0,0,711,0,711,0,0
151,1008,0,215,242,0,31,0,0,336,0,0,0,0,0,0,0,0,0,0,0,833,0,833,0,0
152,923,0,150,211,0,31,0,0,268,0,0,0,0,0,0,0,0,0,0,0,671,0,671,0,0
153,890,0,151,275,0,25,0,0,327,0,0,0,0,0,0,0,0,0,0,0,794,0,794,0,0
154,895,0,120,151,0,34,0,0,3901,0,0,0,0,0,0,0,0,0,0,0,705,0,705,0,0
155,795,0,123,221,0,34,0,0,236,15,0,0,0,0,0,0,0,0,0,0,635,0,635,0,0
156,971,0,207,193,0,31,0,0,292,21,0,0,0,0,0,0,0,0,0,0,752,0,752,0,0
157,907,0,233,167,0,33,0,0,210,2,0,0,0,0,0,0,0,0,0,0,654,0,654,0,0
158,1008,0,229,198,0,37,0,0,277,0,0,0,0,0,0,0,0,0,0,0,754,0,754,0,0
159,916,0,177,185,0,20,0,0,281,11,0,0,0,0,0,0,0,0,2,0,681,0,681,0,0
160,967,0,184,285,0,25,0,0,341,0,0,0,0,0,0,0,0,0,2,0,842,0,842,0,0
161,788,0,164,176,0,36,0,0,244,0,0,0,0,0,0,0,0,0,0,0,631,0,631,0,0
162,1002,0,230,197,0,22,0,0,366,0,0,0,0,0,0,0,0,0,0,0,824,0,824,0,0
163,919,0,201,215,0,22,0,0,310,0,0,0,0,0,0,0,0,0,0,0,755,0,755,0,0
164,885,0,261,162,0,15,0,0,298,0,0,0,0,0,0,0,0,0,0,0,764,0,764,0,0
165,811,0,129,2401,0,23,0,0,299,0,0,0,0,0,0,0,0,0,0,0,701,0,701,0,0
166,897,0,140,231,0,23,0,0,336,0,0,0,0,0,0,0,0,0,0,0,741,0,741,0,0
167,902,0,175,304,0,14,0,0,276,0,0,0,0,0,0,0,0,0,0,0,7761,0,776,0,0
168,804,0,130,253,0,21,0,0,224,0,0,0,0,0,0,0,0,0,0,0,630,0,630,0,0
169,743,0,187,153,0,16,0,0,231,0,0,0,0,0,0,0,0,0,0,0,593,0,593,0,0
170,901,0,245,162,0,27,0,0,257,0,0,0,0,0,0,0,0,0,0,0,700,0,700,0,0
171,919,0,266,216,0,20,0,0,236,0,0,0,0,0,0,0,0,0,0,0,741,0,741,0,0
172,755,0,176,172,0,15,0,0,242,0,0,0,0,0,0,0,0,0,0,0,609,0,609,0,0
173,755,0,141,160,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,615,0,615,0,0
174,727,0,151,161,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,588,0,588,0,0
175,775,0,198,158,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,692,0,692,0,0
