Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Candidate_21,Candidate_22,Candidate_23,Candidate_24,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,19,1,182,95,2,1,325,1,2,0,2,4,0,1,0,0,2,0,2,3,0,1,1,2,2,646,0,646,0
2,25,0,125,53,0,1,217,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,2,2,428,0,428,0
3,26,2,154,95,2,0,352,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,636,0,636,0
4,20,3,142,109,1,2,283,1,0,2,2,1,1,0,0,0,1,0,0,4,0,2,0,1,1,575,0,575,0
5,15,0,132,114,0,1,322,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,3,3,593,0,593,0
6,23,0,165,89,0,0,336,0,0,0,0,1,2,1,1,1,0,0,2,1,1,1,0,2,2,626,0,626,0
7,21,1,123,69,0,0,196,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,0,0,417,0,417,0
8,36,2,215,96,1,0,265,0,0,0,1,0,0,0,1,0,1,0,2,3,1,1,0,1,1,626,0,626,0
9,26,2,122,76,0,0,195,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,425,0,425,0
10,19,1,123,58,1,2,214,1,1,3,1,0,0,0,1,0,0,0,1,1,0,0,1,4,4,432,0,432,0
11,50,2,247,100,2,1,386,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,7,7,802,0,802,0
12,25,3,196,82,1,0,358,3,2,0,2,0,0,0,0,1,0,0,0,3,0,0,0,8,8,684,0,684,0
13,36,1,208,113,1,1,382,0,0,1,2,0,0,0,0,0,3,0,5,5,1,1,1,4,4,765,0,765,0
14,26,0,151,86,0,0,283,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,555,0,555,0
15,25,0,185,101,0,0,315,1,0,2,2,0,0,1,0,0,1,0,0,2,0,0,0,4,4,639,0,639,0
16,53,1,248,119,0,1,406,2,0,2,2,0,0,1,1,1,1,0,0,1,0,0,0,3,3,842,0,842,0
17,42,1,197,126,0,0,301,0,0,0,0,0,1,0,0,0,3,0,0,4,1,2,0,4,4,682,0,682,0
18,30,1,147,96,0,0,224,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,6,6,508,0,508,0
19,33,1,167,85,1,0,265,0,0,0,2,0,0,0,0,1,1,0,0,6,0,1,0,3,3,566,0,566,0
