Polling Station No,Candidate_1,1,2,3,4,5,6,7,8,9,10,11,12,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,294,64,133,358,1,18,3,1,3,1,0,0,0,876,0,5,881,0
2,197,38,110,260,1,24,11,0,0,0,1,0,0,642,0,5,647,0
3,276,63,226,315,4,4,3,1,3,2,0,1,2,900,0,5,905,0
4,189,63,181,292,3,4,1,0,0,1,0,1,0,735,0,2,737,0
5,220,28,237,165,4,0,2,0,0,0,2,0,2,662,0,4,666,0
6,249,44,123,238,1,0,0,1,0,1,0,1,0,658,0,2,660,0
7,220,20,180,145,2,1,1,1,0,0,0,1,0,571,0,2,573,0
8,163,22,149,117,0,0,0,0,0,0,0,0,0,453,0,0,453,0
9,230,44,204,242,0,5,0,0,1,0,0,0,1,727,0,3,730,0
10,211,24,309,145,2,0,0,0,0,0,0,1,2,697,0,4,701,0
11,198,35,289,98,0,1,0,2,0,0,0,1,1,626,0,4,630,0
12,170,31,189,176,4,6,1,0,2,0,1,0,2,582,0,6,588,0
13,231,36,211,265,1,1,1,0,1,0,0,1,0,749,0,4,753,0
14,360,52,408,223,2,2,1,2,1,1,1,0,1,1055,0,6,1061,0
15,316,72,222,171,2,1,3,0,1,0,1,0,1,790,0,3,793,0
16,390,46,176,168,2,2,0,0,1,0,1,0,2,788,0,2,790,0
17,330,64,309,216,3,12,1,0,0,1,0,0,0,936,0,4,940,0
18,241,88,350,188,1,3,0,0,0,1,0,0,1,874,0,3,877,0
19,105,27,201,105,0,6,0,0,0,0,0,0,2,446,0,2,448,0
20,282,50,499,194,3,0,1,0,1,0,1,0,1,1033,0,2,1035,0
21,270,62,317,207,1,2,1,1,1,1,1,2,0,866,0,1,867,0
22,244,38,227,189,0,1,1,0,1,0,0,0,0,701,0,2,703,0
23,170,16,330,215,3,1,1,1,2,2,1,2,5,751,0,7,758,0
24,212,22,215,175,2,1,1,0,3,0,0,2,0,634,0,5,639,1
25,242,46,134,127,0,1,0,0,0,0,0,0,1,551,0,0,551,0
26,288,25,95,95,1,0,0,0,1,0,0,0,0,506,0,1,507,0
27,300,48,186,306,6,0,1,1,1,5,2,2,1,859,0,4,863,0
28,246,33,137,136,0,2,0,0,0,0,0,1,0,555,0,4,559,0
29,410,24,126,167,2,0,2,0,0,0,0,0,1,732,0,2,734,0
30,175,25,183,154,2,1,0,0,0,0,0,1,2,544,0,2,546,0
31,278,39,115,240,3,0,2,0,2,0,0,0,0,679,0,5,684,0
32,116,15,114,141,0,1,1,0,2,0,0,0,0,390,0,1,391,0
33,257,21,190,108,0,6,0,0,2,0,0,1,1,586,0,0,586,0
34,240,32,167,189,2,8,0,0,0,0,0,1,1,640,0,2,642,0
35,174,38,199,168,2,3,0,0,2,0,0,0,0,587,0,1,588,0
36,242,39,167,318,7,1,0,0,0,0,0,0,0,774,0,3,777,0
37,278,52,135,289,2,2,1,0,1,0,0,0,0,760,0,1,761,0
38,179,20,117,149,1,0,0,0,0,1,0,0,0,467,0,3,470,0
39,275,16,52,135,0,1,1,0,0,1,0,0,0,481,0,4,485,0
40,250,33,207,225,4,1,2,0,1,0,0,1,3,728,0,1,729,0
41,215,21,119,126,0,1,0,0,0,0,1,0,1,484,0,2,486,0
42,281,32,188,304,3,0,1,2,0,2,0,0,1,814,0,3,817,0
43,301,17,59,85,1,0,1,1,0,0,0,0,0,465,0,4,469,0
44,284,19,177,197,2,3,1,0,0,0,0,0,0,683,0,1,684,0
45,273,36,195,291,3,4,0,0,3,0,1,0,0,807,0,3,810,0
