Polling Station No,UMADEVI. P,KUTTY (ALIAS) SUDHAKAR. A,LEKSHMANA SINGH. D,DR. SRIDHARAN. A,PERUMAL. K,LAKSHMI. N,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
118,34,201,280,200,3,3,721,0,6,727,0
119,26,140,191,225,5,3,590,0,3,593,0
120,27,266,240,265,1,4,803,0,4,807,0
121,50,279,202,235,4,2,772,0,2,774,0
122,20,177,179,120,1,4,501,0,3,504,0
123,16,199,248,106,3,3,575,0,4,579,0
124,14,225,189,218,1,1,648,0,2,650,0
125,5,88,63,47,1,2,206,0,1,207,0
126,19,203,195,133,0,2,552,0,0,552,0
127,17,204,182,123,4,5,535,0,4,539,0
128,20,233,155,208,0,3,619,0,2,621,0
129,29,172,189,118,0,1,509,0,1,510,0
130,11,166,190,157,8,0,532,0,6,538,0
131,9,158,212,172,3,1,555,0,1,556,0
132,8,150,231,180,1,0,570,0,2,572,0
133,21,161,209,254,1,2,648,0,2,650,0
134,37,125,304,278,4,1,749,0,11,760,0
135,33,166,215,184,1,3,602,0,4,606,0
136,19,127,210,159,2,2,519,0,1,520,0
137,10,250,286,178,5,1,730,0,4,734,0
138,14,228,263,231,1,1,738,0,5,743,0
139,27,225,294,302,3,2,853,0,3,856,0
140,39,371,103,261,2,1,777,0,4,781,0
141,34,254,130,274,2,3,697,0,5,702,0
142,26,198,219,325,1,3,772,0,5,777,0
143,20,247,192,331,4,3,797,0,3,800,0
144,25,211,237,331,3,1,808,0,6,814,0
145,27,137,128,163,4,0,459,0,1,460,0
146,22,156,99,192,5,0,474,0,2,476,0
147,21,191,210,243,0,2,667,0,6,673,0
148,15,287,237,252,3,1,795,0,3,798,0
149,26,302,210,271,6,3,818,0,7,825,0
150,28,283,261,154,4,3,733,0,4,737,0
151,18,121,254,220,2,1,616,0,1,617,0
152,18,129,200,205,4,1,557,0,4,561,0
153,8,108,134,86,2,1,339,0,2,341,0
154,13,98,145,85,0,1,342,0,2,344,0
155,9,158,170,103,2,2,444,0,3,447,0
156,24,240,225,205,6,1,701,0,10,711,0
157,18,143,206,201,0,1,569,0,4,573,0
158,25,148,250,224,0,0,647,0,0,647,0
159,21,147,202,172,0,1,543,0,1,544,0
160,24,157,214,245,4,0,644,0,4,648,0
161,10,115,213,181,1,2,522,0,5,527,0
162,17,171,285,200,1,0,674,0,3,677,0
163,20,307,229,274,3,0,833,0,5,838,0
164,16,192,195,228,1,1,633,0,3,636,0
165,20,210,185,343,6,3,767,0,1,768,0
166,15,213,232,256,1,1,718,0,2,720,0
167,15,352,53,146,2,0,568,0,0,568,0
168,16,341,35,104,0,2,498,0,3,501,0
169,32,413,158,250,3,0,856,0,1,857,0
170,26,236,163,238,0,2,665,0,2,667,0
171,19,331,99,239,1,3,692,0,4,696,0
172,26,314,117,214,3,1,675,0,2,677,0
173,17,398,74,150,3,1,643,0,2,645,0
174,27,349,99,226,2,1,704,0,4,708,0
175,2,68,37,77,0,2,186,0,0,186,0
176,13,116,31,84,0,0,244,0,1,245,0
177,8,248,85,86,0,1,428,0,0,428,0
178,13,258,97,101,2,2,473,0,4,477,0
179,8,148,61,33,1,0,251,0,0,251,0
180,10,171,81,96,3,0,361,0,0,361,0
181,9,175,97,54,0,0,335,0,2,337,0
182,17,438,117,183,5,1,761,0,2,763,0
183,14,145,57,91,0,2,309,0,2,311,0
184,3,115,41,46,0,0,205,0,3,208,0
185,13,231,96,90,0,0,430,0,2,432,0
186,33,356,79,147,2,2,619,0,2,621,0
187,11,160,71,80,2,1,325,0,0,325,0
188,14,161,137,80,1,0,393,0,1,394,0
189,36,437,127,159,2,3,764,0,2,766,0
190,48,286,118,161,1,1,615,0,7,622,0
