Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,8,54,116,3,2,53,0,0,1,0,0,1,0,0,0,238,0,1,239,0
2,2,30,73,151,1,1,111,0,0,0,0,0,3,1,0,0,371,0,2,373,0
3,3,1,4,52,0,1,20,0,0,0,0,0,0,0,0,0,78,0,2,80,0
4,4,0,5,35,0,0,16,0,0,0,0,0,0,0,0,0,56,0,1,57,0
5,5,0,6,28,1,0,14,0,0,0,0,0,0,0,0,0,49,0,0,49,0
6,6,0,9,20,1,0,15,0,0,0,0,0,1,0,0,0,46,0,2,48,0
7,7,1,14,35,2,1,60,0,1,0,0,0,1,0,0,0,115,0,0,115,0
8,8,39,120,340,7,1,444,1,0,2,1,2,2,1,1,1,962,0,2,964,0
9,9,25,115,342,6,5,332,1,0,1,1,0,2,1,1,0,832,0,3,835,0
10,10,41,96,231,5,2,357,0,1,0,0,3,5,8,0,5,754,0,6,760,0
11,11,30,48,253,1,2,231,0,1,1,3,1,2,4,1,0,578,0,3,581,0
12,12,20,102,210,3,0,141,0,1,1,0,1,1,1,0,0,481,0,1,482,0
13,13,1,33,46,0,0,66,0,0,0,0,0,2,0,1,1,150,0,1,151,0
14,14,3,52,52,1,2,100,0,1,0,1,1,4,3,1,0,221,0,1,222,0
15,15,40,154,215,4,3,346,0,0,0,1,1,3,0,1,1,769,0,5,774,0
16,16,47,126,240,1,1,256,1,0,0,0,0,1,1,0,1,675,0,4,679,0
17,17,33,111,396,2,1,288,1,0,2,1,1,0,0,2,1,839,0,3,842,0
18,18,43,160,378,2,2,450,0,0,1,0,0,4,0,0,0,1040,0,1,1041,0
19,19,12,101,179,1,2,174,1,0,0,0,0,2,2,0,0,474,0,1,475,0
