Polling Station No,Candidate_1,S .JARAGNAHT,N.P .HSENID,N .RAMUKHSENID,S .YMASAGNAR,K .UHTUMILAK,S .NAGURUMALAB,G .IHZIVRALAM,KARABUM ILA DEMAHOM,M .RAMUKAYAJIV,A .AHSAB NHOJ,P .LEVAHTUMA,S .NANHSIRKAMAR .RD,K .IVEDAKIHTRAK,N .IHTRUMAVASEK,D .LABANAHD,RAMUKHSENID,RAMUKHSENID,V .RAMUKHSENID,V .MAGNILAHAM,M .LEVANIHTAR,S .HSEMAR,K .INAMAHTNASAV,K .YMASADAKNEV,G .MALAHCATAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
193,193,142,39,205,0,3,370,2,1,1,0,0,0,0,1,2,1,4,0,0,0,1,1,0,0,773,0,1,774,0
194,194,267,38,208,1,1,313,0,1,1,0,0,0,0,2,2,1,1,1,1,0,0,2,1,0,841,0,5,846,0
195,195,57,19,109,0,0,216,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,3,0,1,410,0,1,411,0
196,196,63,23,94,1,3,265,1,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,455,0,1,456,0
197,197,118,39,213,0,10,338,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,722,0,1,723,0
198,198,72,27,147,0,3,311,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,565,0,0,565,0
199,199,46,16,119,1,1,170,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,354,0,1,355,0
200,200,76,28,125,0,2,284,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,522,0,2,524,0
201,201,116,53,170,0,4,268,1,0,0,0,0,0,0,3,1,0,0,2,0,0,0,1,2,0,621,0,3,624,0
202,202,53,17,86,0,0,164,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,321,0,0,321,0
203,203,70,24,163,2,5,361,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,631,0,2,633,0
204,204,22,7,550,0,3,142,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,729,0,3,732,0
205,205,32,11,605,0,0,136,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,2,792,0,1,793,0
206,206,76,12,576,1,0,187,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,858,0,1,859,0
207,207,169,26,287,0,0,309,1,0,0,1,1,0,0,2,0,3,1,1,1,0,0,1,0,0,803,0,3,806,0
208,208,113,19,249,1,0,215,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,603,0,1,604,0
209,209,96,14,295,2,0,172,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,583,0,4,587,0
210,210,11,9,408,1,0,104,0,0,0,0,0,0,0,2,0,0,1,0,2,1,1,0,1,1,542,0,0,542,0
211,211,13,9,484,0,0,110,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,2,0,625,0,1,626,0
212,212,8,17,549,2,1,121,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,703,0,1,704,0
213,213,2,10,569,0,0,105,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,1,0,693,0,2,695,0
214,214,88,12,282,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,530,0,2,532,0
215,215,154,23,243,0,0,211,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,636,0,1,637,0
216,216,58,12,261,1,1,232,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,1,573,0,2,575,0
217,217,65,29,226,1,4,432,1,2,0,1,0,0,0,1,0,1,1,2,3,1,1,2,0,0,773,0,3,776,0
218,218,43,21,535,2,1,193,1,0,0,1,0,0,0,1,1,3,0,0,0,1,1,1,1,0,806,0,1,807,0
219,219,58,22,334,3,1,357,1,0,1,1,1,1,0,2,0,0,3,0,7,2,1,3,1,1,800,0,3,803,0
220,220,58,10,392,1,0,94,2,1,0,0,0,0,0,0,1,1,1,0,3,0,0,0,1,0,565,0,1,566,0
221,221,53,6,447,0,1,191,0,0,0,0,0,0,0,1,1,0,2,0,2,1,0,1,1,2,709,0,0,709,0
222,222,35,16,393,0,1,188,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,639,0,0,639,0
223,223,26,18,389,0,0,142,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,2,583,0,1,584,0
224,224,50,12,443,2,0,168,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,679,0,0,679,0
225,225,118,17,303,0,3,224,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,670,0,1,671,0
226,226,121,16,283,0,0,139,0,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0,1,1,568,0,3,571,0
227,227,77,10,212,0,1,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,1,423,0
228,228,71,17,203,0,0,152,2,0,0,0,3,0,0,0,1,2,1,1,0,0,0,0,0,0,453,0,1,454,0
229,229,130,8,170,0,0,158,1,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,1,474,0,2,476,0
230,230,184,44,198,0,1,237,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,1,0,0,671,0,8,679,0
231,231,162,34,232,1,0,353,1,0,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,790,0,4,794,0
232,232,111,27,337,1,2,377,0,1,1,0,0,0,0,1,1,0,2,0,1,0,0,1,1,1,865,0,0,865,0
233,233,124,25,338,2,5,329,0,2,0,0,0,1,0,1,3,1,1,0,2,1,0,1,0,0,836,0,1,837,0
234,234,193,28,219,1,3,338,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,785,0,5,790,0
235,235,155,30,202,0,0,319,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,708,0,3,711,0
236,236,106,11,162,2,1,258,0,1,0,0,1,0,0,1,1,2,1,1,2,0,2,1,0,0,553,0,1,554,0
237,237,158,28,203,2,2,299,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,698,0,4,702,0
238,238,96,17,152,1,1,268,1,0,2,1,1,0,0,0,0,0,4,1,1,1,0,2,0,2,551,0,1,552,0
239,239,115,25,182,0,0,274,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,1,602,0,3,605,0
240,240,148,23,179,0,2,222,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,579,0,2,581,0
241,241,119,23,215,0,0,180,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,541,0,3,544,0
242,242,117,19,258,0,0,258,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,660,0,4,664,0
243,243,116,23,274,0,8,340,1,0,0,0,0,1,1,3,0,0,0,2,1,0,0,2,0,0,772,0,0,772,0
244,244,79,12,177,0,1,104,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,376,0,4,380,0
245,245,146,33,187,0,0,256,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,625,0,0,625,0
246,246,165,29,199,0,1,239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,634,0,0,634,0
247,247,212,42,233,1,0,293,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,786,0,10,796,0
248,248,168,31,234,1,4,291,0,1,0,2,0,0,0,1,0,3,2,2,0,0,0,1,0,1,742,0,4,746,0
249,249,102,14,145,1,0,257,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,525,0,3,528,1
250,250,89,17,180,1,0,261,0,0,0,0,1,0,0,2,1,3,3,0,1,0,0,0,0,0,559,0,0,559,0
251,251,158,23,251,1,0,364,0,0,0,1,1,1,0,2,1,3,1,2,1,0,1,2,1,0,814,0,3,817,0
252,252,87,19,96,0,0,182,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,391,0,4,395,0
253,253,74,13,129,0,1,126,1,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,0,1,352,0,1,353,1
254,254,153,22,153,0,0,224,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,558,0,0,558,0
255,255,153,46,215,2,1,339,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,3,764,0,3,767,0
256,256,172,34,125,0,3,336,1,0,0,1,0,1,1,0,0,1,0,2,1,1,0,1,1,0,681,0,1,682,0
257,257,101,13,112,0,0,183,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,413,0,2,415,0
258,258,105,33,207,1,0,324,0,0,2,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,678,0,2,680,0
259,259,231,31,217,1,3,265,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,2,757,0,7,764,0
260,260,191,18,204,0,0,224,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,640,0,5,645,0
261,261,173,22,163,0,0,293,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,1,1,659,0,1,660,0
262,262,211,31,226,0,0,237,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,708,0,8,716,0
263,263,140,12,117,0,1,203,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,479,0,0,479,0
264,264,118,15,144,1,0,218,1,0,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,504,0,1,505,0
265,265,133,19,263,2,0,250,0,1,0,0,1,0,1,1,0,0,8,1,6,1,1,1,2,3,694,0,3,697,0
266,266,84,6,150,0,1,175,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,423,0,1,424,0
267,267,85,17,150,1,0,167,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,427,0,2,429,0
268,268,119,8,201,0,2,228,1,0,0,2,0,1,0,1,1,1,2,1,2,0,0,0,0,1,571,0,1,572,0
269,269,226,29,209,1,0,307,0,0,0,0,0,0,0,2,1,1,1,2,1,1,0,0,0,0,781,0,1,782,0
270,270,119,12,103,0,0,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,391,0,1,392,0
271,271,135,34,195,1,1,308,1,0,0,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0,682,0,3,685,0
272,272,228,22,131,0,1,320,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,709,0,2,711,0
273,273,102,19,151,0,0,186,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,463,0,1,464,0
274,274,89,23,145,0,1,202,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,466,0,1,467,0
275,275,129,33,201,0,0,314,2,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,685,0,2,687,0
276,276,108,32,142,0,0,299,0,0,2,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,591,0,1,592,0
277,277,110,27,147,2,1,256,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,545,0,3,548,0
278,278,155,25,129,0,3,239,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,555,0,3,558,0
279,279,112,22,255,0,1,316,0,0,0,0,0,1,0,2,1,1,3,0,0,0,1,2,0,2,719,0,3,722,0
280,280,110,26,218,0,0,304,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,665,0,1,666,0
281,281,167,24,226,0,3,301,2,1,1,0,1,0,0,1,9,0,2,0,1,0,0,1,1,1,742,0,1,743,0
282,282,144,24,112,1,0,222,1,0,0,0,0,1,0,3,2,1,0,0,0,0,0,1,0,0,512,0,0,512,0
283,283,114,32,228,0,0,265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,641,0,4,645,0
284,284,117,36,210,0,1,307,1,0,1,0,0,0,1,1,2,2,1,1,0,0,0,1,0,0,682,0,2,684,0
285,285,234,40,253,2,1,391,2,4,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,933,0,2,935,0
286,286,126,15,206,0,3,330,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,685,0,1,686,0
287,287,133,35,270,2,2,362,1,1,2,1,1,0,0,1,2,0,1,0,0,0,0,1,0,2,817,0,5,822,0
288,288,142,34,204,2,1,313,1,0,0,0,0,1,1,3,1,3,0,0,0,0,0,0,0,1,707,0,1,708,0
289,289,235,31,232,3,2,382,0,0,2,1,0,1,1,0,0,2,1,1,1,0,0,3,0,1,899,0,2,901,1
