Polling Station No,Candidate_1,. S . R A M) P US KB ( H T I J A,N A R .A M M) C . UN K KI . GL( I M A T,. T . L A M ) MK AT YN I( N A L A P,. K . N) K AM N T N( A K,. S . N A) RK DV NT ( E J A G,. V .) MK AM VP L( E S,. C . I N) K A V M A AT V( A H T,. P . N) K AL GK UM RM UL MD UA RN I( H T,. M . I A) LD AN MI A( N N A,. G . R A) MD UN KI N( U R A,. A . N A) SD RN AI ( V A L E,. M . L E) VD IN HI T( K A S,. V .) MD AN VI L( E S,. G . N A) YD AN RI D( N E S,. S . M A V) LD EN SI A( N A N G,. M . N A S) D A RN AI ( L I M A T,. S . I V ) LD E N S LI ( I M A T,. P . I) ND AN MI O( O P,. S . N A N) D N N A I V( I N A M,. A . K . N ) AD RN AI H( O N A M,. R . N A N) D H N S I I( R K L I V,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
26,26,1,149,18,1,179,170,1,0,1,2,1,2,0,0,2,1,0,2,0,0,0,0,530,0,1,531
27,27,0,124,25,0,139,233,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,528,0,0,528
28,28,1,214,18,0,207,169,0,0,3,3,3,1,1,1,1,0,0,0,0,0,0,0,622,0,3,625
29,29,0,113,17,0,188,209,2,2,1,0,0,0,0,0,2,0,1,1,2,0,0,0,538,0,2,540
30,30,4,172,36,1,240,327,1,0,0,1,2,0,1,1,1,0,0,2,2,1,0,4,796,0,3,799
31,31,1,183,24,2,268,194,1,1,1,0,1,1,0,1,3,1,1,12,0,4,3,2,704,0,1,705
32,32,0,178,17,1,209,214,2,1,0,2,1,0,1,0,2,0,1,1,0,0,0,0,630,0,0,630
33,33,5,215,30,3,323,447,4,0,1,3,2,1,0,0,3,0,0,1,0,1,3,4,1046,0,1,1047
34,34,1,230,30,2,311,336,0,2,0,1,1,1,1,2,1,0,2,3,2,0,0,1,927,0,3,930
35,35,1,78,18,0,243,402,0,0,2,2,1,0,0,0,0,0,1,1,0,0,1,0,750,0,2,752
36,36,1,194,25,3,240,413,2,2,2,1,1,0,1,3,4,0,0,7,1,2,1,2,905,0,4,909
37,37,3,225,33,0,262,400,2,0,2,1,1,3,1,1,3,1,2,2,0,2,2,1,947,0,7,954
38,38,0,105,13,1,196,247,1,1,1,2,0,1,1,0,1,1,0,0,1,0,1,1,574,0,0,574
39,39,0,87,18,0,139,242,1,0,2,1,1,0,1,0,1,1,0,1,1,1,0,1,498,0,2,500
40,40,1,61,35,1,245,623,1,1,1,1,0,1,2,2,0,2,0,9,0,0,1,0,987,0,1,988
41,41,0,90,9,0,130,169,1,1,1,0,1,0,0,1,2,0,0,2,1,1,2,1,412,0,1,413
42,42,3,259,19,1,152,199,1,0,0,0,1,0,0,0,1,0,3,7,0,0,1,0,647,0,2,649
43,43,0,136,49,0,184,329,3,2,0,0,0,1,0,0,0,1,2,4,1,0,2,1,715,0,0,715
44,44,1,182,25,0,202,378,1,4,1,1,1,3,0,0,5,1,2,4,1,0,2,2,816,0,1,817
45,45,0,109,19,1,151,135,1,1,0,0,2,0,1,0,0,0,0,0,1,0,1,1,423,0,3,426
46,46,0,182,19,4,296,315,1,0,4,3,1,2,1,1,3,1,3,0,0,1,0,0,837,0,3,840
47,47,0,232,13,0,179,62,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,489,0,3,492
48,48,1,252,21,1,261,165,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,707,0,0,707
49,49,0,126,20,1,158,374,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,683,0,1,684
50,50,0,202,18,2,192,455,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,878,0,1,879
51,51,1,41,6,1,132,182,0,0,1,1,0,1,0,0,0,0,0,1,0,1,2,0,370,0,2,372
52,52,1,199,28,2,263,319,1,3,0,2,1,4,1,0,0,1,0,0,0,0,2,2,829,0,2,831
53,53,3,174,16,1,211,100,1,0,1,0,2,1,0,0,2,1,1,0,1,1,0,1,517,0,4,521
54,54,2,91,28,1,183,313,1,1,2,1,1,1,0,1,2,1,0,0,1,3,0,1,634,0,3,637
55,55,1,204,13,0,232,373,3,1,2,4,2,4,0,0,0,1,2,1,0,2,2,0,847,0,3,850
56,56,2,115,34,2,279,622,2,2,2,0,1,1,0,0,0,1,0,0,0,0,1,1,1065,0,2,1067
57,57,1,183,43,1,278,370,5,1,2,0,3,0,0,0,1,0,1,2,1,1,3,3,899,0,2,901
58,58,2,189,35,1,266,379,1,1,3,0,3,2,1,1,1,1,0,3,1,0,3,3,896,0,3,899
