Polling Station No,Candidate_1,. S . R A M) P US KB ( H T I J A,N A R .A M M) C . UN K KI . GL( I M A T,. T . L A M ) MK AT YN I( N A L A P,. K . N) K AM N T N( A K,. S . N A) RK DV NT ( E J A G,. V .) MK AM VP L( E S,. C . I N) K A V M A AT V( A H T,. P . N) K AL GK UM RM UL MD UA RN I( H T,. M . I A) LD AN MI A( N N A,. G . R A) MD UN KI N( U R A,. A . N A) SD RN AI ( V A L E,. M . L E) VD IN HI T( K A S,. V .) MD AN VI L( E S,. G . N A) YD AN RI D( N E S,. S . M A V) LD EN SI A( N A N G,. M . N A S) D A RN AI ( L I M A T,. S . I V ) LD E N S LI ( I M A T,. P . I) ND AN MI O( O P,. S . N A N) D N N A I V( I N A M,. A . K . N ) AD RN AI H( O N A M,. R . N A N) D H N S I I( R K L I V,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
208,208,3,275,17,3,428,259,2,3,5,6,2,6,3,1,4,0,4,8,1,4,7,3,1044,0,1,1045
209,209,2,239,22,4,396,305,1,9,3,2,1,2,1,1,1,2,1,3,0,1,0,3,999,0,4,1003
210,210,1,181,25,1,365,338,11,2,0,1,0,4,3,0,1,0,0,2,0,2,1,0,938,0,2,940
211,211,1,384,21,0,391,204,7,0,1,1,0,1,0,1,2,2,1,3,0,0,2,0,1022,0,1,1023
212,212,1,115,23,0,198,449,1,0,3,1,0,1,0,1,2,1,0,0,0,0,1,6,803,0,0,803
213,213,0,124,16,1,263,386,1,1,3,0,0,0,1,0,2,0,1,0,0,2,0,1,802,0,1,803
214,214,1,107,23,1,153,417,1,0,1,0,0,0,1,0,2,0,1,6,0,1,2,0,717,0,2,719
215,215,1,260,21,4,441,148,3,1,2,3,1,2,2,1,4,2,0,2,4,0,0,1,903,0,2,905
216,216,4,77,13,3,119,179,0,0,2,2,3,2,1,1,1,2,1,0,0,0,0,0,410,0,3,413
217,217,1,216,9,1,236,87,2,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,558,0,0,558
218,218,0,137,12,1,183,118,1,1,1,1,1,2,1,2,0,0,0,1,1,0,0,1,464,0,0,464
219,219,0,107,4,0,173,97,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,388,0,0,388
220,220,3,254,30,7,369,261,4,2,3,4,4,5,0,2,2,4,1,4,0,1,1,2,963,0,4,967
221,221,1,63,19,1,181,68,0,2,0,1,2,2,1,0,0,0,3,1,2,1,1,1,350,0,3,353
222,222,0,190,27,1,400,123,1,1,0,0,2,0,2,0,1,1,1,0,2,1,2,1,756,0,1,757
223,223,3,104,27,3,326,195,5,2,5,6,1,4,0,2,1,1,5,4,3,1,3,8,709,0,11,720
224,224,1,58,26,1,167,327,1,3,3,1,1,2,1,1,0,0,0,0,0,0,0,0,593,0,2,595
225,225,1,101,15,2,247,240,0,0,1,0,2,0,1,0,1,2,0,3,0,3,1,2,622,0,3,625
226,226,7,76,27,0,256,248,3,2,1,0,1,2,2,0,0,7,1,1,3,1,0,3,641,0,2,643
227,227,0,81,25,1,156,270,4,1,1,0,0,1,0,1,1,18,2,3,0,1,2,0,568,0,1,569
228,228,2,149,21,1,230,102,1,1,0,0,0,0,0,3,2,0,0,4,0,0,6,2,524,0,3,527
229,229,1,177,17,2,238,122,2,1,2,1,3,1,0,0,1,4,1,3,0,2,0,0,578,0,3,581
230,230,16,94,19,0,220,248,3,1,0,5,2,2,0,1,2,1,0,7,0,3,0,3,627,0,1,628
231,231,4,239,20,1,285,88,2,1,0,1,1,2,0,1,1,0,2,2,1,3,2,1,657,0,2,659
232,232,0,109,13,1,144,81,1,0,1,0,0,1,1,0,2,0,2,0,0,0,0,0,356,0,1,357
233,233,2,114,21,1,219,181,3,1,0,4,1,0,2,1,0,1,0,3,3,0,2,0,559,0,1,560
234,234,1,66,26,0,183,201,3,1,1,0,5,3,0,0,2,1,1,0,2,3,0,2,501,0,1,502
235,235,1,80,36,2,249,311,2,0,2,2,4,0,2,2,3,3,1,3,2,2,0,2,709,0,0,709
236,236,2,55,7,2,148,178,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,398,0,0,398
237,237,1,180,21,4,493,184,2,1,1,6,11,4,1,2,2,2,4,1,0,5,0,0,925,0,1,926
238,238,0,153,23,1,396,337,5,4,1,2,3,4,1,2,3,3,2,1,1,5,2,0,949,0,3,952
239,239,0,192,13,4,360,316,0,2,2,2,1,1,1,2,1,0,2,2,0,2,3,1,907,0,5,912
240,240,2,132,15,0,154,179,1,0,1,3,1,1,0,1,1,0,0,4,0,1,2,1,499,0,0,499
241,241,0,195,22,2,328,122,0,1,0,0,0,1,0,1,0,1,0,3,3,6,2,1,688,0,1,689
242,242,4,95,8,3,204,105,1,2,4,1,0,2,1,0,2,0,1,1,1,1,1,0,437,0,0,437
243,243,2,179,24,2,323,209,3,0,0,1,0,2,1,0,0,1,1,0,0,0,0,2,750,0,1,751
244,244,1,171,26,0,207,216,2,1,2,0,2,0,2,0,2,0,0,0,0,0,0,0,632,0,0,632
245,245,1,156,4,2,118,102,0,1,1,3,0,1,0,0,1,1,0,1,0,0,0,0,392,0,0,392
246,246,7,391,36,4,405,138,2,1,0,0,0,3,0,2,7,2,0,1,0,2,1,2,1004,0,6,1010
247,247,4,258,12,2,251,114,3,1,4,1,1,2,0,4,4,3,1,5,2,0,1,0,673,0,2,675
248,248,1,97,13,2,187,162,0,0,1,0,0,1,0,1,3,0,2,0,0,1,1,1,473,0,1,474
249,249,3,80,12,1,181,194,0,1,2,1,1,1,0,1,1,0,1,1,1,1,2,2,487,0,0,487
250,250,2,149,32,3,330,136,1,0,1,3,0,1,2,0,1,1,0,2,0,2,2,0,668,0,2,670
251,251,2,127,15,2,367,25,0,0,0,2,2,2,1,1,0,2,1,3,1,7,0,0,560,0,0,560
252,252,5,182,13,2,523,107,1,3,2,5,0,0,1,1,4,2,1,2,0,5,2,0,861,0,4,865
253,253,2,220,33,0,389,139,4,1,1,0,0,2,0,2,1,1,0,3,1,2,1,1,803,0,4,807
254,254,4,187,28,3,216,102,1,1,0,0,1,0,1,1,2,1,0,0,2,3,3,0,556,0,0,556
255,255,3,219,12,0,367,117,1,0,1,2,1,3,0,0,3,2,0,2,0,1,0,0,734,0,0,734
256,256,3,128,6,4,214,233,1,0,2,1,1,4,0,0,4,2,1,2,0,0,1,0,607,0,1,608
257,257,0,87,14,1,222,152,0,1,0,1,0,1,0,0,1,1,0,1,0,4,1,1,488,0,1,489
258,258,2,171,18,3,218,98,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,516,0,0,516
259,259,2,148,20,2,253,130,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,3,564,0,1,565
260,260,2,192,14,0,231,53,1,0,0,3,2,2,2,3,7,3,0,1,1,1,0,0,518,0,5,523
261,261,2,133,32,0,264,585,4,1,2,1,1,1,1,0,1,1,0,1,1,0,3,3,1037,0,5,1042
262,262,0,50,21,0,114,232,0,0,2,0,1,0,2,1,1,2,0,0,2,0,0,0,428,0,2,430
263,263,0,117,74,2,280,400,2,5,4,2,0,3,1,0,1,0,1,3,3,1,3,1,903,0,2,905
264,264,1,124,15,1,189,257,0,1,1,1,0,1,2,3,2,1,1,0,0,1,1,1,603,0,1,604
265,265,0,93,12,2,234,325,1,0,3,1,1,1,0,2,0,0,0,3,0,1,0,0,679,0,3,682
266,266,0,71,25,0,102,276,0,2,0,1,0,1,0,0,0,2,1,0,1,2,2,1,487,0,1,488
267,267,4,116,30,2,256,390,3,2,2,2,1,3,1,1,3,1,0,0,1,1,3,1,823,0,1,824
268,268,0,173,27,2,297,313,1,0,1,5,0,1,0,0,1,2,0,1,1,1,2,0,828,0,2,830
269,269,1,159,16,2,159,6,3,0,1,0,1,1,0,1,1,1,0,2,0,0,1,0,355,0,2,357
270,270,5,275,25,2,298,333,3,2,3,8,3,5,4,4,5,3,1,4,1,3,1,0,988,0,4,992
271,271,5,178,24,2,277,408,2,4,5,2,3,3,1,1,2,2,0,3,2,0,0,1,925,0,2,927
272,272,2,169,38,4,385,178,3,4,1,5,5,6,3,5,4,5,0,2,0,1,4,0,824,0,4,828
273,273,0,75,12,2,262,167,2,5,1,2,3,1,3,0,6,1,0,2,0,3,2,3,552,0,5,557
274,274,6,208,34,3,326,72,2,0,6,6,2,3,0,1,3,2,2,5,2,0,2,2,687,0,5,692
275,275,1,174,33,2,425,125,0,2,3,8,3,5,2,4,2,4,2,2,2,2,2,2,805,0,3,808
276,276,2,191,27,7,356,145,1,5,1,2,1,5,0,3,2,0,0,3,2,3,5,0,761,0,4,765
277,277,1,184,77,4,220,183,5,2,0,2,2,3,0,3,2,0,1,1,0,1,2,1,694,0,2,696
278,278,1,145,20,1,177,58,1,2,30,1,0,2,0,1,3,2,0,0,0,0,0,1,445,0,0,445
279,279,2,203,35,1,290,223,2,0,3,4,1,5,1,3,4,1,2,0,1,2,1,1,785,0,4,789
280,280,3,191,26,3,354,197,2,2,0,1,1,3,1,0,1,0,1,4,0,1,2,2,795,0,0,795
281,281,2,182,51,5,277,136,1,1,4,1,1,5,3,2,3,1,0,0,0,2,1,1,679,0,1,680
282,282,0,120,31,2,225,235,0,1,1,0,0,1,2,0,2,2,0,0,0,2,0,1,625,0,1,626
283,283,5,91,23,3,228,413,8,2,1,2,4,3,1,4,2,6,4,0,0,2,2,2,806,0,5,811
284,284,0,101,28,2,199,500,4,1,1,2,1,0,1,0,2,4,0,1,0,2,1,1,851,0,3,854
285,285,1,64,14,1,72,153,1,1,0,1,0,0,0,1,0,1,0,2,0,1,2,0,315,0,2,317
286,286,2,166,26,1,291,240,0,0,2,3,2,0,2,1,1,0,0,2,1,0,1,1,742,0,0,742
287,287,2,121,15,1,185,228,0,2,0,0,1,4,0,1,0,1,1,0,1,0,1,2,566,0,1,567
288,288,0,97,25,0,142,351,1,1,1,0,0,1,0,0,0,2,0,0,0,1,1,2,625,0,0,625
289,289,0,218,18,1,309,370,2,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,924,0,1,925
290,290,2,211,12,6,218,345,2,3,1,1,0,0,0,2,1,2,0,1,0,1,1,1,810,0,2,812
291,291,0,150,16,1,216,230,1,0,2,0,3,0,1,2,3,2,0,3,0,1,1,1,633,0,2,635
292,292,1,212,46,1,234,231,3,1,0,0,9,2,1,1,3,2,0,7,1,1,2,2,760,0,1,761
293,293,3,150,29,2,146,162,2,1,2,0,6,2,0,1,4,0,0,1,1,1,0,0,513,0,0,513
294,294,2,234,34,4,358,306,2,1,3,2,2,4,0,1,3,4,1,7,1,0,2,2,973,0,4,977
295,295,1,120,22,1,232,392,3,2,0,0,0,1,0,1,2,0,0,0,0,1,1,0,779,0,0,779
296,296,2,130,19,0,188,176,0,2,0,1,1,2,0,0,1,1,1,2,1,1,1,0,529,0,1,530
297,297,5,164,19,1,182,230,3,1,1,2,3,2,2,2,2,1,0,0,1,0,0,1,622,0,0,622
298,298,1,97,11,1,138,127,1,0,0,2,1,2,1,0,0,0,0,0,0,2,0,1,385,0,1,386
299,299,3,49,12,4,224,200,2,4,0,0,1,1,0,0,0,3,0,1,0,1,0,0,505,0,0,505
300,300,1,113,10,2,167,292,5,2,1,2,1,5,1,1,3,4,0,1,1,3,0,1,616,0,1,617
301,301,0,108,29,7,392,416,4,4,4,1,5,2,2,2,2,2,2,1,3,4,1,2,993,0,3,996
302,302,0,152,49,1,239,508,3,1,1,1,3,0,1,2,1,2,1,0,0,2,0,0,967,0,0,967
303,303,0,109,21,3,228,267,4,0,1,3,1,0,1,1,1,0,0,2,0,3,1,2,648,0,0,648
304,304,1,102,15,0,135,237,2,0,0,1,0,1,0,3,0,0,0,2,1,0,1,0,501,0,0,501
305,305,2,108,29,3,219,332,0,2,1,3,0,1,2,2,3,0,1,1,1,2,0,2,714,0,2,716
306,306,2,93,25,4,180,289,1,1,1,0,1,0,0,0,1,2,0,1,0,0,0,0,601,0,4,605
307,307,0,101,14,1,158,278,0,1,1,2,0,2,2,0,0,0,0,0,0,1,1,0,562,0,0,562
308,308,1,154,24,2,206,319,2,1,0,1,3,0,0,2,2,2,0,0,1,0,1,0,721,0,3,724
309,309,5,134,20,2,199,216,1,0,2,3,1,2,0,12,1,1,2,0,1,2,3,1,608,0,4,612
310,310,2,237,63,3,374,116,1,1,3,0,2,2,2,1,2,0,0,2,2,0,0,1,814,0,2,816
311,311,1,50,15,1,105,146,1,1,3,3,2,3,0,0,0,2,1,1,0,2,2,0,339,0,1,340
312,312,2,38,25,2,123,322,4,1,3,2,0,5,0,3,1,0,0,1,0,4,0,0,536,0,0,536
313,313,3,78,23,3,186,281,6,2,2,4,3,4,0,9,2,3,0,1,2,0,1,3,616,0,3,619
314,314,2,77,7,1,242,247,3,2,3,4,1,3,1,2,4,2,0,3,1,1,1,0,607,0,0,607
315,315,1,130,17,2,219,344,5,1,1,2,1,3,1,0,1,1,1,3,1,2,2,1,739,0,1,740
316,316,2,103,13,1,167,97,1,2,0,0,5,4,1,2,0,0,0,1,0,2,1,0,402,0,0,402
317,317,0,132,27,1,158,370,1,0,4,2,2,3,1,1,0,1,0,1,1,1,2,0,708,0,0,708
318,318,1,179,31,3,431,269,0,2,1,1,1,1,0,1,0,1,0,4,0,1,4,3,934,0,0,934
319,319,3,140,14,2,204,269,1,1,0,2,1,0,1,1,2,0,0,1,0,1,3,4,650,0,2,652
320,320,2,96,22,0,151,252,0,1,0,4,1,1,1,0,0,2,0,0,0,0,0,1,534,0,0,534
