Polling Station No,KARTHIK.R,DHRAVIDAMANI.M,PON.JAYASEELAN,DEEPAK SAI KISHORE.A,RAJ.S.K,THILAGARAJ.N,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,14,444,188,141,3,3,793,0,9,802,0
2,14,270,174,110,0,1,569,0,4,573,0
3,19,206,103,114,1,3,446,0,3,449,0
4,20,263,138,133,0,1,555,0,0,555,0
5,4,149,215,42,1,3,414,0,5,419,0
6,10,374,266,161,1,4,816,0,6,822,0
7,9,214,190,114,2,1,530,0,5,535,0
8,7,253,152,110,1,2,525,0,4,529,0
9,5,308,93,83,1,2,492,0,1,493,0
10,14,286,132,78,4,5,519,0,7,526,0
11,19,407,191,150,1,1,769,0,6,775,0
12,6,336,165,144,3,3,657,0,7,664,0
13,22,141,195,114,7,3,482,0,6,488,0
14,31,438,246,119,4,3,841,0,7,848,0
15,29,216,63,82,2,1,393,0,0,393,0
16,16,153,81,83,0,0,333,0,5,338,0
17,10,211,337,98,2,1,659,0,7,666,0
18,45,147,93,58,0,1,344,0,2,346,0
19,36,82,143,110,5,3,379,0,6,385,0
20,6,48,106,36,1,0,197,0,1,198,0
21,19,216,181,135,0,0,551,0,6,557,0
22,3,163,219,75,2,1,463,0,4,467,0
23,1,43,174,36,2,0,256,0,0,256,0
24,61,206,187,172,5,1,632,0,5,637,0
25,50,235,227,220,0,4,736,0,2,738,0
26,36,249,224,186,0,1,696,0,2,698,0
27,64,327,231,237,1,5,865,0,6,871,0
28,68,233,138,116,1,0,556,0,1,557,0
29,24,205,134,105,1,0,469,0,0,469,0
30,29,98,143,83,0,1,354,0,2,356,0
31,66,349,247,266,2,6,936,0,1,937,0
32,29,133,107,88,1,0,358,0,2,360,0
33,36,213,120,98,0,3,470,0,4,474,0
34,22,197,171,97,1,0,488,0,0,488,0
35,35,162,151,98,1,3,450,0,1,451,0
36,38,285,146,130,2,10,611,0,6,617,0
37,38,321,182,162,0,1,704,0,1,705,0
38,78,344,229,164,4,4,823,0,0,823,0
39,19,270,118,148,1,1,557,0,2,559,0
40,59,152,113,88,2,1,415,0,3,418,0
41,23,227,152,110,0,0,512,0,1,513,0
42,45,365,156,187,1,5,759,0,8,767,0
43,36,388,102,140,0,4,670,0,1,671,0
44,26,352,122,139,0,2,641,0,3,644,0
45,27,377,95,169,2,3,673,0,2,675,0
46,31,263,137,116,0,1,548,0,1,549,0
47,2,433,93,76,0,0,604,0,4,608,0
48,6,342,100,84,1,4,537,0,3,540,0
49,7,234,93,89,3,4,430,0,5,435,0
50,38,209,300,190,8,7,752,0,22,774,0
51,12,180,371,116,3,8,690,0,10,700,0
52,13,183,318,96,4,5,619,0,8,627,0
53,9,150,181,90,1,2,433,0,5,438,0
54,4,158,204,115,2,2,485,0,6,491,0
55,12,253,342,196,4,3,810,0,14,824,0
56,12,116,189,105,2,1,425,0,5,430,0
57,6,221,210,74,2,4,517,0,4,521,0
58,23,221,207,138,3,4,596,0,6,602,0
59,5,174,187,81,3,2,452,0,8,460,0
60,10,352,148,65,0,1,576,0,1,577,0
61,25,203,206,142,5,1,582,0,12,594,0
62,43,280,121,176,2,3,625,0,5,630,0
63,14,468,82,131,1,2,698,0,2,700,0
64,12,230,133,110,1,4,490,0,3,493,0
65,7,198,153,89,3,2,452,0,5,457,0
66,10,377,172,115,0,6,680,0,3,683,0
67,47,296,225,248,1,5,822,0,6,828,0
68,18,556,77,127,2,1,781,0,5,786,0
69,29,262,137,111,0,0,539,0,5,544,0
70,14,234,71,69,0,1,389,0,1,390,0
71,7,476,154,175,0,0,812,0,6,818,0
72,8,161,70,77,0,2,318,0,2,320,0
73,15,274,122,123,1,2,537,0,0,537,0
74,30,239,184,109,3,1,566,0,1,567,0
75,15,585,68,149,0,3,820,0,19,839,0
76,10,703,83,136,0,6,938,0,23,961,0
77,37,299,223,112,2,3,676,0,3,679,0
78,22,175,273,105,1,1,577,0,5,582,0
79,26,185,206,133,0,2,552,0,3,555,0
80,21,206,122,103,0,1,453,0,2,455,0
81,7,95,244,78,2,2,428,0,1,429,0
82,14,178,185,197,0,7,581,0,5,586,0
83,18,282,183,152,4,3,642,0,6,648,0
84,13,246,354,142,6,5,766,0,9,775,0
85,10,228,225,201,3,3,670,0,4,674,0
86,12,217,252,137,2,1,621,0,2,623,0
87,6,198,303,192,8,2,709,0,11,720,0
88,8,173,268,98,4,3,554,0,4,558,0
89,8,203,112,107,2,1,433,0,2,435,0
90,12,315,97,109,0,2,535,0,0,535,0
91,8,351,192,118,3,3,675,0,4,679,0
92,7,432,106,127,3,0,675,0,10,685,0
93,15,215,413,163,3,4,813,0,3,816,0
94,12,280,390,236,2,0,920,0,6,926,0
95,26,335,233,243,12,4,853,0,10,863,0
96,33,513,200,239,2,4,991,0,2,993,0
97,24,346,306,206,2,4,888,0,8,896,0
98,14,551,113,137,1,0,816,0,1,817,0
99,10,208,493,222,9,4,946,0,7,953,0
100,10,538,212,190,8,0,958,0,3,961,0
101,8,445,161,133,4,0,751,0,5,756,0
102,25,232,220,145,2,4,628,0,2,630,0
103,48,241,327,142,2,1,761,0,5,766,0
104,1,408,52,133,0,0,594,0,1,595,0
105,1,349,115,59,0,1,525,0,3,528,0
106,13,195,168,146,1,5,528,0,2,530,0
107,3,264,135,116,0,0,518,0,0,518,0
108,16,280,197,179,0,2,674,0,4,678,0
109,1,352,205,194,2,0,754,0,3,757,0
110,56,206,210,156,5,1,634,0,4,638,0
111,29,179,129,109,1,2,449,0,2,451,0
112,60,350,202,191,2,4,809,0,3,812,0
113,66,286,273,184,1,4,814,0,5,819,0
114,48,297,222,157,1,1,726,0,2,728,0
115,33,292,199,175,1,2,702,0,4,706,0
116,18,247,162,141,3,0,571,0,1,572,0
117,25,181,92,97,1,0,396,0,1,397,0
118,26,259,166,136,1,1,589,0,0,589,0
119,51,258,262,192,1,4,768,0,1,769,0
120,44,324,252,159,1,3,783,0,7,790,0
121,63,304,210,206,1,1,785,0,5,790,0
122,55,270,218,171,2,4,720,0,1,721,0
123,36,224,128,185,1,3,577,0,0,577,0
124,23,308,174,84,1,1,591,0,4,595,0
125,87,259,303,215,1,3,868,0,2,870,0
126,64,233,321,191,3,0,812,0,4,816,0
127,81,324,254,178,0,3,840,0,2,842,0
128,74,268,236,175,1,2,756,0,0,756,0
129,41,390,132,174,1,1,739,0,1,740,0
130,32,470,154,178,2,1,837,0,4,841,0
131,38,346,230,226,2,1,843,0,4,847,0
132,60,256,141,179,0,1,637,0,3,640,0
133,30,484,164,189,5,5,877,0,5,882,0
134,13,317,125,108,0,0,563,0,3,566,0
135,59,327,208,164,0,2,760,0,5,765,0
136,16,253,180,161,1,2,613,0,2,615,0
137,33,400,266,209,1,2,911,0,3,914,0
138,17,343,160,120,2,3,645,0,4,649,0
139,13,450,137,142,3,2,747,0,4,751,0
140,48,382,161,157,3,5,756,0,4,760,0
141,21,224,210,181,2,2,640,0,2,642,0
142,52,217,165,144,1,1,580,0,1,581,0
143,85,343,289,135,2,2,856,0,8,864,0
144,73,295,190,183,0,0,741,0,4,745,0
145,72,282,267,178,0,2,801,0,3,804,0
146,22,314,181,203,1,4,725,0,5,730,0
147,30,349,164,236,4,0,783,0,6,789,0
148,40,284,134,208,0,0,666,0,3,669,0
149,16,292,126,198,1,0,633,0,4,637,0
150,21,281,176,193,1,1,673,0,3,676,0
151,27,228,134,153,2,1,545,0,6,551,0
152,36,278,161,172,1,0,648,0,1,649,0
153,28,350,155,172,2,2,709,0,6,715,0
154,30,266,252,222,3,2,775,0,2,777,0
155,30,326,272,202,1,1,832,0,2,834,0
156,39,232,270,160,0,0,701,0,10,711,0
157,14,447,148,175,1,1,786,0,3,789,0
158,27,266,194,189,0,0,676,0,2,678,0
159,23,390,113,129,0,0,655,0,6,661,0
160,18,218,190,233,1,2,662,0,1,663,0
161,21,204,78,103,0,0,406,0,0,406,0
162,28,351,151,140,2,0,672,0,7,679,0
163,14,328,123,197,0,0,662,0,4,666,0
164,19,239,206,182,2,0,648,0,5,653,0
165,9,287,282,147,2,1,728,0,0,728,0
166,12,294,166,93,3,3,571,0,0,571,0
167,8,229,247,157,3,1,645,0,3,648,0
168,23,410,274,171,0,0,878,0,5,883,0
169,39,300,253,196,5,1,794,0,4,798,0
170,12,456,202,161,1,0,832,0,2,834,0
171,14,184,202,142,3,3,548,0,1,549,0
172,20,189,275,189,3,3,679,0,5,684,0
173,17,193,245,195,3,1,654,0,6,660,0
174,24,308,169,243,4,0,748,0,2,750,0
175,17,186,176,220,3,1,603,0,4,607,0
176,26,267,187,184,0,0,664,0,2,666,0
177,20,268,212,237,3,1,741,0,3,744,0
178,23,398,169,155,3,1,749,0,1,750,0
179,35,542,141,191,1,2,912,0,2,914,0
180,11,498,116,158,1,2,786,0,1,787,0
181,27,414,168,186,4,3,802,0,6,808,0
182,25,354,157,196,2,1,735,0,3,738,0
183,56,287,196,229,2,2,772,0,3,775,0
184,29,261,156,177,1,2,626,0,2,628,0
185,50,197,170,218,5,3,643,0,2,645,0
186,13,292,165,132,3,4,609,0,3,612,0
187,33,285,283,332,4,4,941,0,7,948,0
188,9,292,63,116,1,6,487,0,1,488,0
189,14,228,97,137,0,0,476,0,5,481,0
190,17,358,112,107,1,0,595,0,4,599,0
191,36,189,105,129,1,0,460,0,2,462,0
192,2,60,48,55,0,0,165,0,0,165,0
193,16,167,130,79,0,0,392,0,0,392,0
194,22,121,103,84,0,0,330,0,1,331,0
195,68,275,239,170,2,0,754,0,2,756,0
196,6,149,122,96,1,0,374,0,2,376,0
197,38,308,120,126,1,2,595,0,2,597,0
198,35,314,179,66,1,1,596,0,2,598,0
199,88,344,206,227,1,2,868,0,6,874,0
200,88,244,225,149,1,1,708,0,0,708,0
201,20,216,133,106,0,2,477,0,2,479,0
202,29,94,89,112,1,0,325,0,0,325,0
203,33,160,202,147,0,1,543,0,0,543,0
204,20,187,220,60,0,0,487,0,2,489,0
205,27,303,167,158,1,1,657,0,3,660,0
206,16,186,123,149,1,3,478,0,3,481,0
207,1,38,20,30,0,1,90,0,0,90,0
208,5,334,55,38,0,0,432,0,3,435,0
209,15,391,65,93,0,0,564,0,4,568,0
210,27,365,71,118,2,3,586,0,6,592,0
211,26,254,230,300,1,1,812,0,4,816,0
212,41,296,148,203,2,0,690,0,1,691,0
213,25,228,166,260,3,1,683,0,2,685,0
214,42,260,197,226,2,4,731,0,5,736,0
215,39,303,201,300,4,2,849,0,2,851,0
216,11,198,128,241,1,1,580,0,3,583,0
217,16,173,137,183,4,0,513,0,5,518,0
218,6,29,10,17,1,1,64,0,2,66,0
219,2,114,49,48,1,2,216,0,2,218,0
220,12,127,121,88,3,1,352,0,3,355,0
221,28,348,214,256,5,3,854,0,1,855,0
222,0,113,127,34,1,0,275,0,4,279,0
223,3,126,109,52,1,1,292,0,0,292,0
224,0,75,89,37,0,0,201,0,0,201,0
225,10,222,159,57,1,1,450,0,1,451,0
226,30,295,349,231,0,1,906,0,4,910,0
227,13,238,225,117,2,1,596,0,4,600,0
228,11,141,164,122,0,1,439,0,1,440,0
229,6,98,63,59,1,0,227,0,2,229,0
