Polling Station No,Candidate_1,M.NAGEMRAK,NAHTANIMAS.P.M,JARATAN NSN,ABMASANANGURIHT.P MAHTN,REDNUOG INAM,IMHSKALAYAJIV.R,MAGUMURA.K,LEVUNAMMI .R,NAYEKIHTRAK,MAHTWOG,JARATAN.T,YMASINALAP,NABIHTRAP.P,INAM.P,NARDNEJAR.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,11,90,232,2,109,0,0,1,2,0,0,0,1,2,0,450,0,0,450,0
2,2,31,152,369,3,165,0,0,0,1,0,0,0,2,2,0,725,0,2,727,0
3,3,12,136,288,1,137,0,0,0,0,0,0,0,1,0,0,575,0,1,576,0
4,4,20,188,232,0,281,1,0,0,0,0,0,0,0,0,1,723,0,3,726,0
5,5,29,175,169,1,207,0,0,1,1,0,1,0,0,0,1,585,0,3,588,0
6,6,42,211,204,0,352,0,0,0,0,1,0,0,0,2,0,812,0,1,813,0
7,7,38,245,270,4,417,0,0,1,0,0,0,0,2,1,2,980,0,4,984,0
8,8,20,147,186,2,181,0,0,0,3,0,0,0,0,0,0,539,0,5,544,0
9,9,39,183,255,2,264,0,0,0,0,0,0,1,1,0,0,745,0,1,746,2
10,10,13,170,129,1,243,0,1,0,0,0,0,0,1,1,1,560,0,0,560,0
11,11,10,184,118,1,219,0,0,0,0,0,0,0,0,0,0,532,0,1,533,0
12,12,15,170,138,3,245,0,0,1,0,2,0,0,0,2,1,577,0,0,577,0
13,13,29,243,273,0,382,2,1,1,1,0,0,1,1,0,2,936,0,3,939,0
14,14,16,179,164,3,318,0,0,0,0,0,0,1,4,0,2,687,0,4,691,0
15,15,21,217,182,2,335,1,0,0,2,0,0,1,1,1,0,763,0,1,764,0
16,16,29,129,173,0,173,0,0,0,0,0,0,0,1,0,1,506,0,6,512,0
17,17,41,131,144,1,135,0,0,2,0,1,0,0,1,0,1,457,0,0,457,0
18,18,67,129,270,1,286,0,0,0,3,3,0,0,1,1,0,761,0,11,772,0
19,19,16,118,136,0,150,0,0,2,0,1,0,1,0,0,0,424,0,3,427,0
20,20,29,121,194,3,175,1,0,3,0,0,0,1,2,2,0,531,0,0,531,0
21,21,39,210,245,1,277,1,0,5,1,1,2,2,5,1,0,790,0,7,797,0
22,22,19,196,256,3,204,0,0,3,2,0,0,2,1,1,0,687,0,0,687,0
23,23,13,86,71,0,91,0,0,1,1,0,0,0,2,1,0,266,0,2,268,0
24,24,21,86,141,1,166,0,1,1,0,0,0,0,0,0,0,417,0,1,418,0
25,25,25,119,226,3,96,0,1,1,0,0,0,0,1,0,0,472,0,0,472,0
26,26,32,244,231,1,287,1,0,0,0,1,0,0,0,0,0,797,0,3,800,0
27,27,26,210,216,2,320,1,0,0,1,1,0,1,0,0,1,779,0,3,782,0
28,28,9,170,159,1,178,0,0,0,0,0,0,2,2,0,0,521,0,2,523,0
29,29,22,240,180,1,273,3,0,1,0,0,0,0,0,1,0,721,0,2,723,0
30,30,21,145,100,0,216,0,0,0,0,0,0,0,0,0,1,483,0,1,484,0
31,31,10,130,111,1,189,0,0,0,0,0,0,0,0,0,2,443,0,1,444,0
32,32,21,224,233,2,372,1,1,0,1,0,0,0,1,1,0,857,0,4,861,0
33,33,17,146,157,1,248,0,0,2,0,0,0,0,0,0,0,571,0,2,573,0
34,34,16,153,135,1,186,0,0,0,1,0,1,0,0,1,1,495,0,10,505,0
35,35,26,188,270,3,308,1,2,0,1,1,1,0,2,2,1,806,0,2,808,0
36,36,21,170,258,3,403,1,1,0,0,0,1,0,2,0,1,861,0,2,863,0
37,37,26,233,218,1,296,0,0,0,1,0,0,0,1,2,1,779,0,7,786,0
38,38,29,185,161,0,211,0,0,0,0,0,0,0,1,1,0,588,0,4,592,0
39,39,20,142,166,1,234,0,0,0,0,1,0,0,0,2,0,566,0,1,567,0
40,40,16,120,134,3,285,1,1,0,0,0,1,1,0,1,0,563,0,1,564,0
41,41,23,196,214,1,383,0,0,0,1,1,1,0,1,1,1,823,0,4,827,0
42,42,31,211,247,1,240,0,1,1,0,1,0,0,0,0,0,733,0,3,736,0
43,43,29,175,172,1,284,0,1,1,0,0,0,1,0,0,2,666,0,1,667,0
44,44,26,152,197,1,237,0,0,0,0,0,0,2,0,0,2,617,0,1,618,0
45,45,18,201,194,0,228,0,0,0,1,1,0,0,1,0,0,644,0,2,646,0
46,46,32,217,150,4,348,1,0,0,1,1,0,0,0,1,0,755,0,3,758,0
47,47,31,225,213,0,244,0,0,0,0,0,0,0,0,0,0,713,0,4,717,0
48,48,19,194,192,3,198,3,1,0,1,0,0,0,1,2,1,615,0,4,619,0
49,49,35,194,273,3,389,0,0,2,0,0,0,2,0,1,2,901,0,4,905,0
50,50,27,181,148,3,299,0,1,0,1,0,0,1,1,0,0,662,0,1,663,0
51,51,44,243,209,1,276,0,0,0,1,0,0,1,0,0,2,777,0,5,782,0
52,52,16,106,153,1,163,1,0,0,0,0,0,0,1,0,0,441,0,6,447,0
53,53,38,191,391,1,140,1,0,4,0,0,0,0,0,1,1,768,0,3,771,0
54,54,17,174,183,1,98,0,0,0,0,0,0,1,0,0,3,477,0,0,477,0
55,55,14,114,167,1,126,0,0,0,1,0,0,0,0,2,0,425,0,2,427,0
56,56,23,182,199,1,156,1,0,0,0,0,0,0,1,0,1,564,0,1,565,0
57,57,12,110,162,0,64,0,0,0,0,0,0,0,0,0,1,349,0,0,349,0
58,58,5,112,190,0,137,0,1,0,1,0,0,1,1,0,0,448,0,0,448,0
59,59,30,196,254,2,194,3,0,0,0,1,0,0,5,4,2,691,0,3,694,0
60,60,32,180,209,0,371,2,0,1,1,4,0,2,3,0,2,807,0,3,810,0
61,61,15,134,239,4,179,0,0,0,0,0,0,1,1,2,0,575,0,2,577,0
62,62,18,178,205,1,206,0,0,1,0,0,0,1,1,0,0,611,0,1,612,0
63,63,14,158,181,2,210,1,0,2,0,0,0,0,1,2,0,571,0,2,573,0
64,64,24,208,188,2,300,1,0,2,0,0,0,0,2,1,1,729,0,3,732,0
65,65,30,164,148,5,294,0,0,0,1,3,0,3,1,1,1,651,0,1,652,0
66,66,11,186,206,1,167,0,1,6,0,0,0,0,3,1,1,583,0,5,588,0
67,67,20,148,203,2,150,0,0,3,1,1,0,2,3,1,0,534,0,4,538,0
68,68,40,194,363,5,282,2,0,8,1,0,0,0,2,2,1,900,0,3,903,0
69,69,17,233,252,1,98,2,0,0,0,0,0,0,2,0,1,606,0,1,607,0
70,70,12,171,233,4,73,1,0,0,0,0,0,0,1,0,0,495,0,1,496,0
71,71,12,227,294,4,104,1,0,0,0,0,1,0,0,0,1,644,0,2,646,0
72,72,21,256,207,3,247,0,1,5,0,0,0,0,0,0,1,741,0,3,744,0
73,73,12,167,180,0,110,1,0,0,0,2,0,1,2,0,3,478,0,2,480,0
74,74,10,143,223,3,129,0,0,0,0,0,0,1,0,0,1,510,0,0,510,0
75,75,28,256,227,1,271,0,0,0,1,0,0,3,1,0,1,789,0,0,789,0
76,76,7,82,152,2,74,0,0,0,0,0,0,0,1,1,0,319,0,0,319,0
77,77,29,231,310,2,200,0,2,0,0,0,0,1,1,2,2,780,0,1,781,0
78,78,20,140,354,3,112,0,0,1,0,0,0,0,1,0,0,631,0,0,631,0
79,79,15,176,275,2,112,0,1,1,0,0,0,0,0,1,0,583,0,0,583,0
80,80,37,215,369,3,205,2,0,3,0,0,0,1,2,2,2,841,0,5,846,0
81,81,13,196,345,1,193,0,0,0,1,0,1,0,2,0,1,753,0,0,753,0
82,82,24,125,337,4,144,0,0,3,0,1,1,0,2,0,0,641,0,1,642,0
83,83,16,124,187,0,215,1,0,0,0,0,0,1,1,2,0,547,0,2,549,0
84,84,5,85,251,1,63,0,0,0,0,0,0,0,1,0,0,406,0,0,406,0
85,85,16,186,335,3,146,2,0,0,1,0,0,1,1,0,0,691,0,0,691,0
86,86,29,264,280,1,239,0,0,1,2,0,0,1,3,3,0,823,0,1,824,0
87,87,42,202,292,0,163,0,0,1,1,0,3,0,0,3,0,707,0,3,710,0
88,88,26,230,253,0,149,0,0,1,0,0,0,0,0,0,0,659,0,4,663,0
89,89,31,152,228,2,134,0,0,14,0,0,1,1,1,0,1,565,0,2,567,0
90,90,18,69,82,2,63,0,0,1,0,0,1,2,0,0,0,238,0,0,238,0
91,91,34,151,207,2,232,0,0,0,0,0,0,0,1,2,1,630,0,1,631,0
92,92,23,125,183,4,160,0,0,1,1,1,0,1,0,0,0,499,0,4,503,0
93,93,14,144,248,0,107,0,0,1,2,0,0,1,0,1,1,519,0,0,519,0
94,94,25,96,171,1,131,0,0,3,0,0,0,0,0,0,0,427,0,3,430,0
95,95,22,224,171,0,173,1,0,1,0,0,0,1,0,0,1,594,0,0,594,0
96,96,17,170,97,1,110,0,0,0,1,0,0,0,1,2,1,400,0,2,402,0
97,97,31,166,199,1,203,1,0,4,1,0,1,1,0,1,0,609,0,1,610,0
98,98,20,122,140,0,88,0,0,1,1,0,0,0,1,0,0,373,0,0,373,0
99,99,38,147,241,2,112,0,0,2,1,0,1,3,2,0,0,549,0,0,549,0
100,100,44,110,203,1,162,2,0,2,1,0,0,0,1,0,0,526,0,0,526,0
101,101,33,136,255,1,107,0,0,2,1,0,0,0,0,0,1,536,0,0,536,0
102,102,17,120,258,4,212,1,1,1,0,0,1,2,1,1,1,620,0,4,624,0
103,103,32,130,167,2,164,0,2,0,1,1,0,2,1,0,0,502,0,1,503,0
104,104,24,121,218,2,163,1,0,2,1,1,1,0,1,0,0,535,0,2,537,0
105,105,16,128,240,2,149,0,0,8,3,0,0,0,1,1,1,549,0,4,553,0
106,106,17,187,282,4,257,3,0,0,0,0,1,1,0,0,0,752,0,0,752,0
107,107,15,248,346,3,255,0,0,7,2,0,0,2,1,0,0,879,0,1,880,0
108,108,22,209,243,1,176,0,1,4,0,0,0,3,3,0,0,662,0,1,663,0
109,109,12,99,207,0,67,1,0,4,0,3,3,0,2,2,0,400,0,1,401,0
110,110,10,143,240,0,99,0,0,3,0,2,0,2,1,1,1,502,0,2,504,0
111,111,25,152,234,1,141,2,0,4,1,0,1,0,2,1,2,566,0,4,570,0
112,112,34,301,326,2,201,1,0,0,1,0,0,0,3,1,1,871,0,1,872,0
113,113,22,166,231,2,157,0,0,2,0,0,0,0,1,4,0,585,0,5,590,0
114,114,12,207,258,2,166,0,0,2,1,0,0,0,2,1,1,652,0,3,655,0
