Polling Station No,Candidate_1,INDIRANI.T,SATHYABAMA.P,DHIVYA,GOWRI CHITRA,ANANTHI.S,INDHIRANI.C,GOWRI.P,MOHANRAJ.M,ROHINI.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
298,298,189,262,16,99,0,1,1,0,1,569,0,2,571,0
299,299,101,192,13,87,1,1,0,1,0,396,0,3,399,0
300,300,140,174,25,87,0,0,0,0,1,427,0,3,430,0
301,301,206,213,28,120,0,0,0,0,0,567,0,2,569,0
302,302,189,216,15,81,0,0,0,1,0,502,0,3,505,0
303,303,136,160,15,55,1,0,0,0,0,367,0,2,369,0
304,304,223,280,39,106,0,1,0,0,2,651,0,5,656,0
305,305,192,349,27,121,0,0,0,1,2,692,0,4,696,0
306,306,215,303,48,111,0,1,1,0,0,679,0,3,682,0
307,307,166,347,30,156,0,0,0,0,0,699,0,1,700,0
308,308,149,359,23,202,0,0,0,0,3,736,0,1,737,0
309,309,217,201,4,56,0,0,0,0,1,479,0,3,482,0
310,310,147,289,9,57,0,0,0,0,0,502,0,2,504,0
311,311,151,294,13,64,0,0,1,0,2,525,0,5,530,0
312,312,207,322,16,196,1,1,0,4,0,747,0,6,753,0
313,313,192,298,23,69,0,1,0,0,2,585,0,6,591,0
314,314,142,231,16,57,0,0,0,0,1,447,0,1,448,0
315,315,95,185,13,72,0,0,0,0,2,367,0,4,371,0
316,316,196,215,5,52,0,1,0,3,2,474,0,1,475,0
317,317,199,407,17,105,0,0,1,1,2,732,0,9,741,0
318,318,182,216,10,80,1,0,1,0,2,492,0,2,494,0
319,319,236,264,21,136,0,0,1,0,0,658,0,7,665,0
320,320,219,398,20,155,2,2,0,0,1,797,0,4,801,0
