Polling Station No,DURAI. CHANDRASEKARAN,DURAI. SENTHILNATHAN,VELU. KARTHIKEYAN,MATHI. MANIKANDAN,S. VIJAYAKUMAR,VIJAYA BABU,V. VENU,ABIMAN,ER.S. ARJUN,R. SATHIYANARAYANAN,RAJASEKARAN. S,R. RAJKUMAR,JAYAINDHRAESWARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
85,267,35,225,171,1,0,1,2,0,1,0,0,0,703,0,2,705,0
86,175,25,181,134,0,40,0,0,0,0,0,1,0,556,0,2,558,0
87,224,35,161,202,1,13,1,1,2,0,0,2,0,642,0,2,644,0
88,205,28,260,164,0,1,0,0,1,0,0,2,0,661,0,2,663,0
89,272,25,127,160,0,2,0,0,0,0,1,0,0,587,0,0,587,0
90,2 216,17,232,173,2,3,1,1,2,2,0,0,1,650,0,1,651,0
91,280,46,106,255,1,19,12,0,0,0,1,0,0,720,0,1,721,0
92,292,62,202,358,1,6,2,1,0,1,2,2,3,932,0,2,934,0
93,234,19,254,158,3,1,0,0,0,1,0,1,0,671,0,1,672,0
94,230,36,145,242,2,2,1,3,1,1,1,3,0,667,0,1,668,0
95,332,40,114,353,3,4,0,3,0,0,4,0,1,854,0,1,855,0
96,219,25,145,209,1,1,0,0,0,0,0,0,0,600,0,2,602,0
97,175,21,123,186,0,2,1,1,1,0,1,0,0,511,0,1,512,0
98,178,18,111,182,1,3,0,0,0,1,1,0,1,496,0,0,496,0
99,368,33,186,323,1,0,1,0,0,1,0,1,1,915,0,4,919,0
100,283,32,89,192,2,1,0,1,0,0,1,0,1,602,0,1,603,0
101,235,28,70,179,2,10,0,0,1,2,0,0,0,527,0,3,530,0
102,203,29,97,200,0,0,0,2,1,0,0,0,1,533,0,2,535,0
103,422,40,166,267,2,2,3,1,0,0,0,1,0,904,0,8,912,0
104,415,43,38,290,3,1,0,1,2,0,0,0,0,793,0,3,796,0
105,279,11,30,209,1,0,0,0,0,0,0,1,1,532,0,0,532,0
106,133,20,49,195,1,0,0,0,0,1,1,0,0,400,0,2,402,0
107,262,21,248,228,1,0,1,0,0,2,1,1,3,768,0,4,772,0
108,199,24,157,298,0,1,0,0,1,1,1,1,1,684,0,2,686,0
109,124,11,102,108,0,2,0,0,0,0,0,0,0,347,0,3,350,0
110,283,28,198,334,3,2,1,3,0,2,1,2,0,857,0,4,861,0
111,295,35,266,280,3,1,2,0,0,0,0,0,0,882,0,2,884,0
112,216,22,268,163,0,0,0,0,0,0,2,1,0,672,0,1,673,0
113,285,33,209,237,0,1,0,0,1,0,1,1,1,769,0,7,776,0
114,204,19,160,152,1,0,0,0,1,0,1,0,1,539,0,2,541,0
115,210,24,270,220,2,2,0,0,0,0,0,1,0,729,0,1,730,0
116,124,12,84,115,0,0,0,0,0,0,1,0,0,336,0,1,337,0
117,195,22,240,190,1,1,2,0,2,0,2,2,0,657,0,2,659,0
118,278,17,264,211,1,3,0,1,0,0,0,2,1,778,0,5,783,0
119,188,17,365,134,3,0,2,0,0,1,1,1,0,712,0,2,714,0
120,204,41,288,378,4,0,1,1,0,0,0,3,0,920,0,3,923,0
121,175,23,186,153,2,2,1,0,1,1,0,1,0,545,0,1,546,0
122,276,30,119,242,0,0,3,0,0,1,0,0,2,673,0,2,675,0
123,245,41,208,204,1,3,1,0,0,1,2,3,1,710,0,5,715,0
124,173,32,92,162,0,3,0,0,0,1,2,1,0,466,0,2,468,0
125,411,27,240,259,2,6,1,0,3,0,2,1,1,953,0,3,956,0
126,184,22,153,116,1,0,2,0,0,0,0,0,1,479,0,1,480,0
127,173,26,207,216,1,0,3,2,0,1,1,3,0,633,0,4,637,0
128,190,24,171,172,0,0,0,0,1,0,2,0,0,560,0,2,562,0
