Polling Station No,SHAN. RAMANATHAN,N. KRISHNAKUMAR,KARUPPU MURUGANANTHAM,H. MOHAMED ABDUL KHADIR,S. MUTHUVEL,R. VIJAYSARAVANAN,S. KARIKALA CHOLAN,D. KUMARAN,M. SANTHOSH,R. SABTHAGIRI,R. MURALIDHARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
157,248,38,77,0,1,320,0,0,0,1,2,687,0,2,689,0
158,144,15,43,0,2,129,5,0,0,0,2,340,0,5,345,0
159,161,14,56,0,0,191,1,0,0,0,0,423,0,3,426,0
160,310,56,106,3,2,275,4,1,1,0,3,761,0,6,767,0
161,108,14,42,0,0,91,0,0,0,0,1,256,0,2,258,0
162,286,37,114,2,1,295,3,1,0,0,3,742,0,2,744,0
163,149,18,54,1,0,165,2,0,1,0,1,391,0,3,394,0
164,238,30,76,1,1,186,1,1,0,0,1,535,0,5,540,0
165,137,14,75,0,1,104,3,0,0,0,0,334,0,1,335,0
166,182,12,46,0,1,147,3,0,0,0,1,392,0,4,396,0
167,66,10,12,0,0,94,0,0,0,0,0,182,0,2,184,0
168,226,38,100,0,1,317,7,1,0,2,1,693,0,5,698,0
169,215,44,144,1,3,397,5,1,2,2,5,819,0,12,831,0
170,106,26,48,0,1,163,1,1,0,0,1,347,0,3,350,0
171,167,27,90,0,1,178,3,2,1,3,3,475,0,1,476,0
172,211,18,82,3,2,285,2,0,1,0,1,605,0,2,607,0
173,220,27,82,0,3,327,4,0,1,0,2,666,0,1,667,0
174,220,47,90,0,1,286,3,2,0,0,1,650,0,5,655,0
175,268,30,123,6,0,365,3,2,0,1,3,801,0,8,809,0
176,219,45,119,4,2,285,4,3,3,2,4,690,0,1,691,0
177,189,23,55,0,2,121,2,2,0,0,7,401,0,3,404,0
178,207,28,112,1,0,304,1,2,0,0,2,657,0,7,664,0
179,205,31,109,1,2,296,4,0,1,1,4,654,0,1,655,0
180,160,23,74,0,2,218,1,0,0,1,1,480,0,2,482,0
181,186,17,47,1,2,147,0,1,0,1,0,402,0,5,407,0
182,317,45,80,0,7,338,5,2,2,0,1,797,0,7,804,0
183,260,44,112,2,3,234,0,2,1,0,4,662,0,8,670,0
184,242,19,79,0,2,214,2,0,2,0,2,562,0,3,565,0
185,174,22,108,1,0,205,2,0,1,0,0,513,0,5,518,0
186,256,32,73,1,6,343,2,2,0,2,4,721,0,5,726,0
187,233,29,60,0,1,184,1,0,0,1,2,511,0,4,515,0
188,220,21,120,1,3,243,3,1,1,0,1,614,0,7,621,0
189,145,20,45,0,0,128,2,0,0,0,4,344,0,0,344,0
190,230,28,53,0,0,207,2,1,0,0,1,522,0,5,527,0
191,260,38,89,1,1,238,1,0,0,0,5,633,0,9,642,0
192,245,39,81,0,2,218,3,1,1,1,2,593,0,4,597,0
193,139,21,68,0,1,211,6,0,0,0,2,448,0,3,451,0
194,137,15,51,1,2,175,1,0,0,0,4,386,0,7,393,0
195,279,36,95,0,1,191,5,0,0,0,4,611,0,7,618,0
196,121,21,46,0,0,153,0,0,1,0,3,345,0,4,349,0
197,288,27,73,0,1,259,1,1,0,0,1,651,0,8,659,0
198,129,22,45,0,1,163,3,0,2,0,2,367,0,4,371,0
199,233,34,88,1,3,178,2,1,1,0,0,541,0,7,548,0
200,287,29,76,0,0,293,0,0,1,1,3,690,0,11,701,0
201,261,24,75,0,0,208,2,0,0,0,0,570,0,12,582,0
202,234,42,81,2,0,214,3,1,0,0,2,579,0,9,588,0
203,209,25,82,0,3,293,5,0,0,0,1,618,0,4,622,0
204,146,22,13,0,0,122,0,0,0,0,2,305,0,4,309,0
205,294,26,58,2,0,173,3,0,1,0,0,557,0,2,559,0
206,287,31,62,1,1,221,3,1,0,2,2,611,0,6,617,0
207,216,20,47,0,2,164,2,1,0,0,1,453,0,7,460,0
208,196,23,69,0,0,206,7,1,0,0,1,503,0,5,508,0
209,195,23,74,1,0,201,2,1,0,0,1,498,0,4,502,0
210,202,13,75,1,0,194,0,1,0,0,4,490,0,2,492,0
211,202,24,84,1,0,181,0,0,0,0,0,492,0,10,502,0
212,230,40,104,2,1,218,1,1,1,1,2,601,0,0,601,0
213,178,20,74,0,5,240,1,1,0,0,4,523,0,1,524,0
214,286,36,66,0,1,272,3,2,0,0,3,669,0,2,671,0
215,248,29,100,1,1,271,4,0,1,1,2,658,0,0,658,0
216,324,33,113,1,1,346,5,0,0,1,4,828,0,6,834,0
217,255,31,73,3,1,312,5,0,0,0,4,684,0,3,687,0
218,301,62,104,0,0,419,3,1,0,1,2,893,0,6,899,1
219,254,24,106,0,2,363,5,0,0,0,1,755,0,5,760,0
220,299,74,108,0,0,328,1,1,0,0,0,811,0,5,816,0
221,238,52,104,2,2,287,2,2,0,1,1,691,0,3,694,0
222,210,55,78,0,1,236,2,0,1,0,3,586,0,8,594,0
223,153,33,64,1,1,188,2,0,0,0,1,443,0,2,445,0
224,157,32,61,0,0,201,1,1,0,0,2,455,0,5,460,0
225,177,37,93,0,0,253,0,0,2,1,1,564,0,7,571,0
226,209,54,59,1,1,285,2,1,0,2,0,614,0,3,617,0
227,176,54,202,2,3,509,2,1,1,2,2,954,0,1,955,0
228,129,35,65,0,3,342,5,0,0,0,1,580,0,4,584,0
229,254,42,47,5,5,281,2,2,1,0,2,641,0,5,646,0
230,307,59,116,1,2,417,7,0,0,0,2,911,0,1,912,0
231,165,26,72,1,1,339,3,0,0,1,0,608,0,1,609,0
232,196,16,82,0,1,298,1,0,0,2,0,596,0,2,598,0
233,241,40,103,1,3,453,4,0,0,1,4,850,0,5,855,0
234,172,32,66,1,4,346,3,0,0,1,0,625,0,1,626,0
235,196,42,106,1,5,408,2,1,0,1,3,765,0,3,768,0
236,187,31,63,3,0,313,1,0,0,0,5,603,0,2,605,1
237,265,49,159,0,1,267,2,0,1,0,25,769,0,2,771,0
238,300,39,105,3,1,282,2,2,0,0,2,736,0,6,742,0
239,181,24,82,1,1,278,0,1,0,0,2,570,0,1,571,0
240,167,32,68,0,1,162,5,0,0,0,2,437,0,4,441,0
241,273,34,146,0,1,244,0,0,0,0,0,698,0,10,708,0
242,118,20,65,1,0,193,3,1,0,0,2,403,0,1,404,0
243,248,48,141,1,3,390,1,0,0,0,10,842,0,7,849,0
244,239,43,83,2,0,431,5,1,3,0,0,807,0,4,811,0
245,153,27,80,1,3,329,1,0,0,0,6,600,0,2,602,0
246,180,29,99,2,3,271,0,0,0,1,2,587,0,4,591,0
247,186,24,47,0,1,200,0,0,1,1,0,460,0,1,461,0
248,316,38,89,1,2,291,3,0,1,0,6,747,0,5,752,0
249,206,25,72,0,1,239,3,0,0,0,3,549,0,3,552,0
250,335,52,124,1,1,312,0,1,1,0,3,830,0,8,838,0
251,350,56,72,1,0,318,0,0,0,0,3,800,0,10,810,0
252,218,47,63,2,0,315,2,0,0,1,6,654,0,2,656,0
253,238,37,71,1,3,227,2,0,2,0,1,582,0,11,593,0
254,253,18,50,3,1,230,2,0,1,1,2,561,0,2,563,0
255,165,21,82,1,1,189,1,1,0,1,2,464,0,1,465,0
256,331,46,160,0,1,360,6,0,1,0,4,909,0,4,913,0
257,123,21,88,2,0,256,2,0,0,2,1,495,0,1,496,0
258,200,42,38,1,2,213,1,0,0,0,1,498,0,2,500,0
259,217,38,55,0,0,275,0,0,0,0,1,586,0,5,591,0
260,223,21,80,3,3,440,8,0,2,1,2,783,0,1,784,0
261,212,26,95,0,1,287,1,1,1,0,0,624,0,5,629,0
262,198,41,120,2,1,251,0,0,0,0,5,618,0,7,625,0
263,126,19,118,3,1,238,2,1,1,0,3,512,0,2,514,0
264,201,22,132,1,3,290,3,0,0,1,5,658,0,3,661,0
265,333,39,156,0,1,346,1,0,2,2,6,886,0,6,892,0
266,210,28,45,2,1,297,4,0,2,1,2,592,0,2,594,0
267,260,26,53,1,0,360,9,1,0,0,0,710,0,0,710,0
268,301,34,93,0,1,346,2,0,1,0,3,781,0,8,789,0
269,303,24,154,3,5,363,5,0,1,1,7,866,0,6,872,0
270,378,37,95,1,2,287,5,2,1,2,2,812,0,10,822,0
271,204,46,105,3,0,405,10,0,1,2,3,779,0,6,785,0
272,354,52,153,7,3,390,10,1,3,1,5,979,0,2,981,0
273,433,20,106,1,2,192,2,0,0,0,2,758,0,3,761,0
274,346,52,218,2,6,432,9,0,2,1,2,1070,0,6,1076,0
275,353,19,142,2,2,210,3,0,0,0,1,732,0,4,736,0
276,504,30,99,0,1,192,1,0,2,1,6,836,0,3,839,0
277,216,22,57,1,1,223,1,0,0,0,1,522,0,1,523,0
278,177,17,55,0,4,160,3,0,0,0,1,417,0,4,421,0
279,217,22,43,0,1,323,2,1,0,0,1,610,0,7,617,0
280,168,23,43,0,0,175,1,0,1,0,0,411,0,1,412,0
281,242,45,54,1,2,247,4,0,0,1,1,597,0,4,601,0
282,138,14,49,0,0,148,2,1,0,0,2,354,0,4,358,0
283,211,36,68,0,0,208,1,0,0,0,0,524,0,4,528,0
284,172,36,47,1,0,205,1,0,0,0,1,463,0,2,465,0
285,220,41,73,0,0,253,3,0,0,0,0,590,0,5,595,0
286,286,39,66,1,2,260,5,0,1,1,1,662,0,5,667,0
287,303,41,79,0,4,317,3,1,3,0,2,753,0,5,758,0
288,290,55,68,0,3,263,1,1,0,0,2,683,0,6,689,0
289,216,30,60,1,0,258,0,0,0,0,0,565,0,4,569,0
290,249,43,67,1,1,262,3,0,0,0,0,626,0,5,631,0
291,255,45,65,0,0,293,1,0,0,1,2,662,0,7,669,0
292,267,41,55,0,1,266,1,0,0,0,0,631,0,5,636,0
293,282,62,91,1,0,333,0,1,0,0,2,772,0,6,778,0
294,289,53,90,1,1,380,2,2,0,0,2,820,0,6,826,0
295,159,17,23,0,0,266,2,0,0,0,0,467,0,3,470,0
296,241,44,56,1,8,352,2,1,0,1,1,707,0,3,710,0
297,303,69,145,2,5,425,4,1,0,2,2,958,0,2,960,0
