Polling Station No,Polling Station No.,NAVLESIAGIHTRAK,NITSUJ NOMIS .A .RD,YMASAIREP .I,NAHTANAWSIV .A,IVLESIALAK .N,RAKNAS .D,NARDNEGAN .K.M,NAGURUM ALAB .S,HSAKARPAYAJ .K,NASERIHTAK .K,JARAGAN .D,YMASAYIREP .M,LEVINAM .P,NAHTANAVSIV .K,NAGURUMLEV .K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,1,16,306,170,218,1,3,0,2,1,0,0,0,0,0,718,0,2,720,0
2,2,0,12,290,179,181,1,1,0,0,0,1,0,1,5,0,671,0,0,671,0
3,3,2,19,234,256,157,1,1,0,1,0,1,0,0,1,0,673,0,1,674,0
4,4,1,22,289,115,161,2,0,0,1,0,1,0,0,2,0,594,0,3,597,0
5,5,3,12,219,117,149,4,2,1,0,0,0,0,2,1,1,511,0,3,514,0
6,6,1,10,340,94,109,1,2,0,0,0,0,0,2,1,0,560,0,3,563,0
7,7,2,30,263,175,231,5,0,1,1,3,2,0,1,0,0,714,0,1,715,0
8,8,0,24,229,227,210,2,3,0,0,1,1,1,1,1,0,700,0,2,702,0
9,9,1,4,109,109,80,2,1,0,0,0,0,1,0,0,0,307,0,0,307,0
10,10,3,9,331,154,398,6,3,0,0,1,1,3,2,3,3,917,0,1,918,0
11,11,2,23,380,175,173,2,2,0,0,1,0,1,0,5,2,766,0,7,773,0
12,12,1,13,374,150,264,1,0,0,0,0,1,1,0,1,2,808,0,4,812,0
13,13,3,28,344,162,231,7,3,0,0,1,0,0,1,1,1,782,0,1,783,0
14,14,1,12,399,103,149,1,0,0,0,0,0,0,1,3,0,669,0,3,672,0
15,15,1,34,402,184,236,2,3,0,0,1,2,2,3,4,0,874,0,5,879,0
16,16,3,25,535,136,226,4,2,1,1,0,1,1,2,7,1,945,0,6,951,0
17,17,0,15,242,103,228,2,0,0,0,0,1,3,1,0,0,595,0,7,602,0
18,18,1,19,373,148,357,4,4,0,0,0,0,2,0,1,2,911,0,1,912,0
19,19,3,34,425,203,288,7,2,1,0,0,0,1,2,6,0,972,0,4,976,0
20,20,1,16,297,158,172,1,2,0,0,0,0,1,0,4,0,652,0,3,655,0
21,21,0,18,292,197,295,2,2,2,0,2,0,1,6,6,1,824,0,1,825,0
22,22,2,42,303,194,191,2,1,1,0,0,0,0,0,2,1,739,0,5,744,0
23,23,2,33,443,194,317,4,2,0,2,1,2,0,0,5,0,1005,0,2,1007,0
24,24,1,15,500,249,203,1,1,2,0,0,2,0,3,1,0,978,0,2,980,0
25,25,1,54,256,132,124,2,1,0,0,0,0,0,0,0,0,570,0,2,572,0
26,26,3,10,108,47,105,1,0,0,0,0,0,1,1,0,1,277,0,1,278,0
27,27,0,36,205,116,228,2,0,0,0,0,0,1,4,2,0,594,0,3,597,0
28,28,3,23,185,55,255,4,1,0,1,1,0,0,0,1,0,529,0,0,529,0
29,29,1,40,331,70,285,1,5,1,2,2,1,0,2,3,1,745,0,3,748,0
30,30,1,15,311,121,335,0,3,0,0,0,1,0,1,3,0,791,0,2,793,0
31,31,2,26,347,85,349,3,0,0,0,0,0,1,2,2,0,817,0,7,824,0
32,32,4,16,290,134,131,4,2,1,0,0,0,3,4,6,1,596,0,1,597,0
33,33,1,20,221,103,217,1,1,1,0,0,1,0,0,1,0,567,0,1,568,0
34,34,3,35,354,85,226,3,3,0,0,0,0,0,5,3,0,717,0,7,724,0
35,35,0,23,241,38,205,4,1,0,0,0,0,0,0,1,0,513,0,1,514,0
36,36,2,36,332,54,235,2,1,0,0,0,1,1,1,0,1,666,0,1,667,0
37,37,1,37,440,100,306,5,3,1,0,1,1,1,3,2,1,902,0,2,904,0
38,38,0,34,279,120,128,6,2,0,3,0,0,1,1,0,0,574,0,1,575,0
39,39,1,57,234,91,226,1,0,0,0,1,0,0,0,1,0,612,0,3,615,0
40,40,2,13,369,72,273,1,1,0,0,0,1,2,1,0,0,735,0,2,737,0
41,41,0,10,245,47,157,0,0,0,0,0,0,1,0,0,0,460,0,4,464,0
42,42,0,30,358,43,386,0,3,0,1,1,0,1,0,3,0,826,0,4,830,0
43,43,0,54,413,45,455,11,1,0,1,1,1,1,7,4,1,995,0,1,996,0
44,44,3,30,288,100,312,2,2,0,0,0,0,2,1,3,0,743,0,1,744,0
45,45,2,11,276,110,334,7,0,0,0,1,2,0,1,1,2,747,0,2,749,0
46,46,2,27,248,48,288,1,0,0,0,0,0,0,1,0,0,615,0,2,617,0
47,47,1,38,217,70,337,0,1,0,0,1,0,0,1,1,1,668,0,3,671,0
