Polling Station No,ESWARAN. P,INGUR. C. LOGANATHAN,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,JAYAKUMAR. S,ARUNACHALAM. V. P,SHANTHOSH KRISHNAN. S,VALARMATHI. P,SANTHOSH. S,SELVARAJU. M,PALANISAMY. M,VENKATACHALAM. C,GEORGE STEPHEN. A,JAYAPRAKASH. K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,0,53,311,289,189,3,0,1,1,3,2,4,3,859,0,2,861,0
2,1,31,297,407,178,2,0,2,1,1,4,3,4,931,0,5,936,0
3,0,31,138,214,163,2,0,1,0,0,3,2,2,556,0,1,557,0
4,0,36,155,149,126,0,0,0,1,1,4,1,2,475,0,2,477,0
5,0,13,121,194,118,0,0,1,0,2,7,1,2,459,0,2,461,0
6,1,22,179,194,173,2,0,0,0,0,2,3,4,580,0,4,584,0
7,2,29,149,123,172,0,1,1,1,0,0,0,1,479,0,2,481,0
8,0,24,243,231,173,0,0,0,0,0,5,1,1,678,0,2,680,0
9,1,15,165,286,133,2,0,0,1,0,2,1,1,607,0,2,609,0
10,3,21,171,183,148,2,1,2,1,1,4,4,0,541,0,2,543,0
11,2,12,200,242,158,2,0,0,0,0,2,1,1,620,0,1,621,0
12,2,20,227,299,132,1,0,0,1,1,7,2,5,697,0,5,702,0
13,1,15,167,297,128,2,0,0,0,0,2,2,0,614,0,1,615,0
14,2,23,162,280,74,1,0,0,0,1,5,3,3,554,0,1,555,0
15,1,12,117,175,112,1,0,1,0,0,2,3,0,424,0,1,425,0
16,3,23,210,174,162,0,0,0,0,0,0,1,0,573,0,0,573,0
17,1,17,168,309,214,0,0,0,1,0,3,0,1,714,0,1,715,0
18,0,20,197,198,124,3,0,1,0,0,3,0,1,547,0,1,548,0
19,11,51,198,191,176,5,2,0,1,0,1,0,0,636,0,2,638,0
20,3,23,219,222,222,0,0,1,2,1,5,3,2,703,0,6,709,0
21,0,27,197,171,236,0,0,1,0,0,2,1,1,636,0,1,637,0
22,1,10,188,145,193,0,0,0,0,0,1,2,0,540,0,2,542,0
23,4,28,266,212,244,1,1,1,1,0,5,2,2,767,0,5,772,0
24,2,17,209,169,150,2,0,0,0,2,1,0,3,555,0,6,561,0
25,1,19,258,171,155,1,0,1,0,0,3,1,1,611,0,6,617,0
26,1,24,313,302,261,1,0,0,0,0,4,6,3,915,0,8,923,0
27,1,15,173,153,100,4,0,0,2,2,2,0,0,452,0,0,452,0
28,1,26,352,386,245,1,0,0,2,0,8,3,3,1027,0,8,1035,0
29,6,32,401,226,219,2,0,0,1,3,1,1,4,896,0,5,901,0
30,1,29,325,343,184,2,0,0,1,1,5,2,1,894,0,7,901,0
31,0,23,377,325,235,0,0,0,0,0,2,2,1,965,0,5,970,1
32,3,16,254,120,215,1,0,1,2,2,4,3,1,622,0,3,625,0
33,0,11,129,66,136,1,0,0,0,0,1,1,0,345,0,5,350,0
34,1,16,196,186,119,0,0,1,0,1,1,0,2,523,0,1,524,0
35,0,17,180,167,103,0,0,0,2,0,6,0,2,477,0,1,478,0
36,1,24,159,209,153,1,0,1,0,2,4,0,0,554,0,2,556,0
37,3,14,336,93,129,0,2,1,0,1,5,1,2,587,0,1,588,0
38,5,26,242,312,162,2,1,0,0,1,9,2,1,763,0,5,768,0
39,3,10,221,232,157,3,0,2,0,2,3,2,2,637,0,4,641,0
40,0,15,117,168,92,2,0,0,1,2,5,3,1,406,0,5,411,0
41,12,13,182,186,199,2,2,1,0,2,4,3,4,610,0,5,615,0
42,2,20,140,249,151,0,0,4,1,0,4,1,0,572,0,7,579,0
43,3,26,182,279,307,1,2,3,0,0,5,4,4,816,0,5,821,0
44,0,22,167,375,182,1,0,0,0,0,5,0,2,754,0,7,761,0
45,0,9,244,187,113,0,0,1,0,0,1,2,1,558,0,0,558,0
46,2,28,464,93,229,0,1,0,0,0,1,0,1,819,0,0,819,0
47,5,14,120,158,132,0,0,1,2,0,8,1,2,443,0,2,445,0
48,0,27,309,203,258,0,2,4,2,1,11,5,2,824,0,3,827,0
49,0,13,276,135,238,0,0,0,0,0,4,2,1,669,0,3,672,0
50,2,31,222,196,258,1,1,0,0,1,4,3,1,720,0,4,724,0
51,1,13,181,184,187,3,0,0,0,2,4,1,1,577,0,4,581,0
52,5,16,186,194,264,1,0,2,4,0,9,1,1,683,0,5,688,0
53,3,7,167,259,206,0,1,0,0,2,3,2,1,651,0,7,658,0
54,14,14,319,225,262,2,0,1,4,0,5,5,3,854,0,1,855,0
55,6,25,167,134,186,0,2,1,1,0,4,4,1,531,0,2,533,0
56,3,20,185,292,211,1,1,2,0,1,1,0,2,719,0,3,722,0
57,0,15,189,173,203,1,0,1,0,1,5,0,1,589,0,3,592,0
58,2,15,234,361,221,2,2,1,0,3,9,1,2,853,0,10,863,0
59,3,27,157,282,262,0,0,2,2,2,4,2,1,744,0,4,748,0
60,1,10,124,125,139,1,0,2,9,0,3,1,1,416,0,1,417,0
61,15,12,187,331,136,1,1,2,1,0,2,1,0,689,0,0,689,0
62,6,22,167,316,208,1,0,0,0,0,0,0,0,720,0,3,723,0
63,1,25,174,216,158,0,0,0,0,0,1,0,1,576,0,1,577,0
64,2,14,227,332,121,1,0,0,0,1,1,1,1,701,0,0,701,0
65,2,3,108,101,52,0,0,0,0,0,0,0,0,266,0,0,266,0
66,4,18,207,247,155,0,1,0,0,0,2,1,1,636,0,1,637,0
67,2,18,237,221,180,0,0,2,2,1,1,0,2,666,0,1,667,0
68,1,24,164,244,129,0,0,1,1,1,1,3,1,570,0,1,571,0
69,0,15,237,189,129,0,0,2,0,2,0,1,0,575,0,1,576,0
70,0,11,182,220,150,0,0,4,0,2,6,1,1,577,0,3,580,0
71,7,5,117,201,152,1,0,0,2,0,0,0,1,486,0,2,488,0
72,2,19,197,246,218,0,0,3,1,3,3,2,2,696,0,3,699,0
73,6,14,251,358,187,2,0,1,6,3,6,3,5,842,0,7,849,0
74,4,17,197,340,270,2,0,2,2,7,9,2,1,853,0,4,857,0
75,1,29,206,359,184,3,0,1,1,0,5,1,2,792,0,8,800,0
76,5,24,254,215,220,3,0,0,1,0,2,1,8,733,0,9,742,0
77,0,26,148,221,99,1,0,0,0,0,2,0,0,497,0,8,505,0
78,0,14,243,299,155,2,2,1,2,1,4,6,1,730,0,4,734,0
79,11,15,242,387,255,1,0,0,0,5,3,1,2,922,0,6,928,0
80,3,16,172,245,132,1,0,1,0,0,4,4,0,578,0,2,580,0
81,5,24,276,315,251,2,1,0,0,0,3,2,2,881,0,1,882,0
82,6,28,189,213,162,0,0,1,0,0,3,2,1,605,0,3,608,0
83,2,16,157,122,196,2,0,1,0,1,1,0,0,498,0,4,502,0
84,0,29,223,280,225,0,0,3,0,0,2,1,1,764,0,6,770,0
85,1,28,183,130,210,1,0,0,2,0,6,0,1,562,0,5,567,0
86,2,6,265,201,108,1,0,0,0,0,3,1,2,589,0,3,592,0
87,5,17,297,335,277,1,0,3,2,1,5,2,1,946,0,6,952,0
88,1,21,204,193,125,0,0,4,0,2,2,8,3,563,0,2,565,0
89,7,17,315,310,298,0,1,0,5,3,4,5,6,971,0,6,977,0
90,3,27,245,330,274,0,0,3,0,2,3,5,0,892,0,5,897,0
91,2,25,234,180,136,1,1,0,0,0,1,0,0,580,0,3,583,0
92,1,35,136,239,142,1,0,0,2,0,1,1,1,559,0,1,560,0
93,9,11,141,245,81,0,0,0,2,1,1,0,1,492,0,3,495,0
94,1,24,186,249,96,0,0,0,0,0,0,0,0,556,0,1,557,0
95,5,30,283,281,209,5,0,1,1,1,1,0,0,817,0,3,820,0
96,0,9,160,135,108,2,0,0,0,0,0,1,0,415,0,0,415,0
97,2,48,365,309,283,0,0,1,2,0,3,4,4,1021,0,2,1023,0
98,1,39,182,220,310,2,1,1,0,0,2,0,0,758,0,1,759,0
99,0,21,154,225,182,3,0,2,0,0,2,0,0,589,0,3,592,0
100,0,20,152,164,188,1,0,0,1,1,0,0,0,527,0,1,528,0
101,0,26,195,193,185,2,0,1,0,1,1,0,0,604,0,2,606,0
102,1,11,69,95,104,1,0,1,1,0,1,0,0,284,0,1,285,0
103,1,29,209,263,280,3,0,1,0,0,5,0,2,793,0,5,798,0
104,3,32,155,207,293,1,0,1,1,0,5,0,2,700,0,2,702,0
105,0,30,142,262,178,4,0,1,2,0,3,0,1,623,0,2,625,0
106,2,26,235,246,203,1,0,0,0,0,2,1,1,717,0,6,723,0
107,1,28,182,149,226,1,0,0,0,0,2,0,0,589,0,5,594,0
108,0,26,155,175,154,0,0,2,0,1,1,1,1,516,0,0,516,0
109,2,35,178,218,273,2,0,1,0,0,3,2,3,717,0,1,718,0
110,3,12,174,222,193,0,0,1,0,1,5,1,3,615,0,7,622,0
111,1,18,205,154,164,0,0,0,0,0,1,0,0,543,0,4,547,0
112,1,32,311,175,350,6,0,2,0,0,2,0,3,882,0,1,883,0
113,0,45,249,226,283,1,0,1,0,0,6,0,0,811,0,3,814,0
114,4,37,217,270,276,0,0,2,0,0,5,1,1,813,0,7,820,0
115,4,17,199,185,254,1,0,2,0,1,6,2,0,671,0,0,671,0
116,2,23,166,247,139,0,0,1,1,0,2,0,0,581,0,1,582,0
117,0,20,264,226,207,1,0,1,0,0,4,1,1,725,0,0,725,0
118,1,25,213,354,259,0,0,0,0,1,5,1,1,860,0,1,861,0
119,5,47,236,218,466,0,0,0,0,2,5,2,1,982,0,4,986,0
120,4,25,178,248,169,0,0,1,1,0,2,1,0,629,0,2,631,0
121,2,16,130,294,124,0,0,0,0,0,1,1,2,570,0,0,570,0
122,1,16,202,410,125,0,0,2,0,0,1,1,1,759,0,2,761,0
123,0,27,212,250,133,0,0,0,0,1,0,1,0,624,0,1,625,0
124,2,15,165,267,151,0,0,1,0,0,1,1,1,604,0,2,606,0
125,1,33,225,426,271,1,0,0,0,1,6,1,0,965,0,3,968,0
126,0,39,340,294,299,0,1,0,1,2,7,2,3,988,0,1,989,0
