Polling Station No,KARIKALAPANDIYAN.A,CHANDRAPRABHA.M,MAHALINGAM.P,KARTHIK.A,CHANDRA.M,VARATHARAJAN.A,DR. SHYAM KRISHNASAMY,ALAGURAJA T,SUDANDIRADOSS.M,SURYAPRAKASH.R,DEVIALAKSHMI SARANYA.K,PANDIYAMMAL.M,MUTHURAJ.U,MURUGESAN.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,67,245,302,151,26,1,0,0,1,0,4,1,4,1,803,0,5,808,0
2,11,56,67,40,4,0,0,0,0,0,1,1,0,1,181,0,0,181,0
3,76,292,318,146,25,0,0,2,0,0,5,0,2,1,867,0,4,871,0
4,36,199,247,158,0,2,177,5,1,2,2,2,2,6,839,0,3,842,0
5,65,191,152,127,1,1,171,9,2,6,5,1,2,9,742,0,5,747,0
6,42,128,101,140,2,0,45,2,0,1,1,3,1,2,468,0,5,473,0
7,36,241,289,217,1,1,37,0,2,0,3,1,1,2,831,0,2,833,0
8,41,239,129,196,8,1,3,2,0,0,2,0,1,0,622,0,4,626,0
9,55,228,204,201,4,0,103,1,2,0,1,0,0,2,801,0,5,806,0
10,39,210,314,127,4,0,17,3,1,0,2,2,5,1,725,0,3,728,0
11,68,88,294,89,2,1,49,1,0,1,2,1,5,1,602,0,2,604,0
12,39,94,148,88,2,1,99,0,1,0,0,3,1,2,478,0,3,481,0
13,28,79,167,82,2,1,139,2,2,0,2,0,4,1,509,0,2,511,0
14,75,147,161,170,1,0,1,0,1,1,2,0,3,0,562,0,1,563,0
15,43,230,237,146,3,0,0,0,1,0,0,1,2,0,663,0,2,665,0
16,16,14,652,49,0,0,1,0,0,0,1,0,1,0,734,0,2,736,0
17,9,20,425,27,0,1,1,2,0,2,2,3,3,1,496,0,0,496,0
18,63,148,196,101,4,2,95,3,0,0,0,3,1,5,621,0,0,621,0
19,34,110,242,140,6,0,0,0,0,0,3,1,3,1,540,0,4,544,0
20,23,134,210,256,1,0,2,1,1,2,2,2,4,1,639,0,2,641,0
21,30,32,108,64,0,0,216,1,0,0,0,2,0,0,453,0,0,453,0
22,72,200,156,201,14,1,9,2,0,0,0,0,2,2,659,0,5,664,0
23,47,123,256,281,6,0,10,5,1,0,3,4,1,2,739,0,0,739,0
24,20,240,256,115,13,0,0,1,0,0,1,0,1,1,648,0,2,650,0
25,24,201,120,74,3,1,0,1,0,0,1,0,1,1,427,0,0,427,0
26,35,152,404,296,1,0,1,3,1,1,1,5,3,0,903,0,3,906,0
27,15,199,130,56,1,0,0,0,0,0,2,0,0,0,403,0,4,407,0
28,22,224,171,280,4,0,0,2,0,1,5,4,0,0,713,0,1,714,0
29,38,79,53,95,4,0,19,3,1,0,0,0,1,0,293,0,1,294,0
30,18,188,197,235,0,1,0,0,0,3,0,0,3,1,646,0,1,647,0
31,5,41,18,63,1,0,0,1,1,0,3,0,0,1,134,0,1,135,0
32,31,167,179,210,0,1,0,2,0,1,3,3,2,2,601,0,2,603,0
33,19,125,228,323,1,1,0,2,2,0,0,3,2,1,707,0,1,708,0
34,23,76,136,133,0,0,0,1,0,0,0,0,0,3,372,0,4,376,0
35,16,66,581,56,1,1,1,2,0,0,1,1,4,0,730,0,1,731,0
36,33,71,190,92,3,0,118,6,0,3,1,0,3,2,522,0,1,523,0
