Polling Station No,ANANDHARAJA. D.,KADARKARAIRAJ. A,KAMALA VEL SELVAN. P,NAINAR NAGENTHRAN,AJITH. M,ESAKKIRAJA. K,THANGA DURAI. P,MUTHUKANNU. C,VELMURUGAN. S,AJITHKUMAR. S,KALIRAJ. M,SARAVANAN. P,THANGA MARIAPPAN. J,NARMADA NANDHAKUMAR,MAHENDRAN. M,MAHESHKUMAR. M,MANIVASAGAM.S,MAYAKKANNAN. V,MUTHARASAN. M,RAMESH KUMAR. B,VIJENDRAN. G,VENKATESAN. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
67,22,145,3,233,153,2,1,0,0,1,0,1,0,1,0,0,0,0,0,5,0,1,568,0,1,569,0
68,38,128,0,263,234,54,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,720,0,3,723,0
69,10,133,1,178,93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,418,0,0,418,0
70,11,135,0,177,142,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0,0,0,472,0,1,473,0
71,31,193,5,293,227,1,0,0,5,0,0,2,0,0,2,2,6,2,1,3,1,1,775,0,1,776,0
72,22,173,2,192,88,134,0,1,10,2,1,2,1,1,1,1,2,0,1,1,0,1,636,0,2,638,0
73,57,290,2,115,128,4,0,0,64,0,0,0,0,0,0,3,2,6,0,1,2,1,675,0,1,676,0
74,21,169,2,101,104,37,0,1,148,0,0,0,1,0,3,1,1,10,1,0,0,0,600,0,1,601,0
75,19,169,0,153,91,124,0,0,9,0,2,0,1,0,0,0,0,1,0,1,0,0,570,0,1,571,0
76,20,93,0,167,122,144,0,2,2,0,0,1,0,0,3,0,1,0,1,0,0,0,556,0,0,556,0
77,44,284,1,85,105,2,1,0,89,0,1,0,0,0,1,0,1,1,1,0,1,0,617,0,1,618,0
78,12,163,2,242,145,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,570,0,0,570,0
79,15,235,0,99,151,0,0,0,38,0,0,0,0,0,2,2,1,7,0,2,2,2,556,0,0,556,0
80,37,267,1,171,202,17,0,0,34,0,1,2,1,0,1,0,2,2,0,0,0,0,738,0,2,740,0
81,31,231,2,249,150,19,0,0,8,0,0,0,2,0,1,0,2,2,0,0,0,0,697,0,0,697,0
82,24,201,1,183,215,32,0,0,2,0,0,2,0,0,1,0,0,4,0,2,0,0,667,0,1,668,0
83,20,113,0,242,152,44,0,0,0,1,0,0,0,0,1,2,1,0,0,3,0,0,579,0,1,580,0
84,33,225,2,296,212,20,0,0,1,1,0,1,0,1,1,1,5,3,0,3,2,0,807,0,1,808,0
85,35,222,0,248,267,8,1,0,14,0,0,0,0,0,1,2,1,0,1,0,0,1,801,0,1,802,0
86,30,221,2,233,167,22,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,683,0,0,683,0
87,8,142,0,218,105,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,479,0,6,485,0
88,18,247,0,142,247,11,1,0,7,0,0,4,0,2,1,2,0,0,0,0,1,0,683,0,2,685,0
89,31,151,2,181,177,95,1,1,1,0,1,0,1,0,2,1,2,3,0,0,2,2,654,0,3,657,0
90,36,204,3,320,163,33,0,0,31,2,1,2,3,0,1,1,3,0,2,0,1,1,807,0,3,810,0
91,14,202,2,248,164,2,1,0,0,0,1,1,1,0,4,1,1,1,0,2,1,2,648,0,1,649,0
92,26,228,0,196,146,10,0,1,16,0,0,0,0,0,3,0,1,4,0,2,0,1,634,0,1,635,0
93,15,119,2,186,104,36,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,468,0,2,470,0
94,24,79,3,319,150,77,0,1,0,0,0,0,5,0,0,2,2,0,3,7,1,2,675,0,1,676,0
95,25,243,3,305,214,6,0,1,4,1,0,2,0,1,2,1,2,4,1,2,2,0,819,0,2,821,0
96,82,220,2,312,198,13,0,0,0,0,0,0,1,0,0,1,1,2,0,4,2,0,838,0,1,839,0
97,41,206,0,313,194,134,1,1,16,1,0,2,0,0,3,1,2,1,2,4,0,1,923,0,3,926,0
98,9,231,1,255,145,72,1,0,1,0,0,0,3,1,3,2,1,8,1,7,1,0,742,0,0,742,0
99,13,115,0,288,65,47,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,531,0,1,532,0
100,24,156,1,255,63,166,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,668,0,1,669,0
101,9,158,1,252,92,57,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,574,0,0,574,0
102,8,96,0,177,105,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,395,0,0,395,0
103,19,271,2,336,163,53,0,0,0,0,2,1,1,0,2,0,2,2,0,0,2,1,857,0,4,861,0
104,28,250,2,212,253,0,0,0,0,1,0,1,2,0,0,1,4,1,0,2,0,0,757,0,2,759,0
105,26,247,1,336,154,13,0,2,2,0,1,0,0,0,0,0,4,3,0,3,1,1,794,0,7,801,0
106,23,291,0,179,81,25,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,604,0,1,605,0
107,15,340,2,241,138,11,0,0,1,0,0,0,3,0,4,2,2,6,0,0,2,0,767,0,0,767,0
108,47,137,2,57,95,1,0,1,20,1,0,0,1,1,0,1,3,0,2,3,0,0,372,0,1,373,0
109,24,235,0,249,130,128,1,1,1,0,0,1,0,0,3,1,2,3,0,5,1,0,785,0,1,786,0
110,12,112,1,98,110,7,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,0,347,0,1,348,0
111,33,290,2,216,278,30,1,0,1,0,0,0,4,1,0,0,2,1,1,1,1,2,864,0,1,865,0
112,27,241,0,221,283,55,0,1,0,0,0,0,0,0,0,1,2,0,2,6,3,2,844,0,1,845,0
113,13,169,2,175,152,48,0,0,0,0,0,0,2,0,1,0,2,2,0,7,1,1,575,0,4,579,0
114,57,201,1,182,160,106,0,1,0,1,0,1,0,0,0,0,3,2,0,1,0,1,717,0,2,719,0
115,12,147,1,216,95,165,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,642,0,1,643,0
116,28,172,2,185,144,30,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,567,0,0,567,0
117,45,260,1,250,228,26,0,0,2,0,1,1,0,0,0,1,6,2,0,4,0,0,827,0,0,827,0
118,29,181,3,252,172,20,0,0,0,0,0,0,1,1,1,3,3,2,0,0,1,1,670,0,4,674,0
119,33,331,1,183,294,11,1,0,0,0,1,0,0,0,1,1,0,4,0,0,0,1,862,0,2,864,0
120,45,241,0,238,172,22,0,1,1,0,1,0,0,0,2,1,1,0,0,0,0,1,726,0,1,727,0
121,35,269,2,177,114,6,0,1,37,0,0,1,2,0,2,0,1,1,0,0,0,1,649,0,2,651,0
122,39,115,2,217,99,139,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,615,0,2,617,0
123,43,235,2,197,167,9,0,0,0,0,0,0,2,1,1,1,2,2,0,0,0,0,662,0,2,664,0
124,37,252,2,254,125,159,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,834,0,0,834,0
125,45,202,2,171,137,69,0,0,95,0,0,0,0,1,2,1,0,1,0,0,1,0,727,0,0,727,0
126,46,239,4,353,193,121,1,1,3,1,1,1,4,1,3,1,3,3,0,1,2,1,983,0,2,985,0
127,30,267,1,333,279,4,0,1,1,0,0,1,3,1,0,1,3,2,0,3,1,0,931,0,1,932,0
128,23,166,2,275,89,223,2,0,0,0,0,0,0,0,1,0,5,1,1,0,1,2,791,0,0,791,0
129,36,225,1,275,68,334,3,1,0,1,0,1,1,0,2,2,2,0,0,0,0,1,953,0,2,955,0
130,32,158,3,342,89,240,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,870,0,1,871,0
131,13,99,1,93,39,135,0,0,53,0,1,0,0,0,0,0,1,0,0,0,0,0,435,0,1,436,0
132,9,377,1,73,163,3,0,0,0,1,0,2,0,0,1,0,0,1,2,0,0,0,633,0,1,634,0
133,0,257,3,35,77,7,0,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,385,0,1,386,0
134,15,174,0,149,101,72,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,515,0,0,515,0
135,27,239,4,191,99,49,1,0,0,0,1,2,3,0,1,2,1,1,0,0,0,1,622,0,1,623,0
136,14,166,0,196,128,21,0,0,0,1,0,0,0,0,0,0,2,3,0,0,3,1,535,0,0,535,0
137,15,164,1,99,58,92,0,0,0,0,0,0,0,0,2,0,3,0,0,1,1,0,436,0,1,437,0
138,50,187,0,156,103,0,0,0,50,0,0,0,2,1,0,2,2,2,0,1,0,0,556,0,0,556,0
139,53,184,3,197,117,101,1,1,33,1,0,0,2,1,0,0,1,4,0,0,1,0,700,0,2,702,0
140,33,78,0,229,113,119,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,575,0,3,578,0
141,23,100,1,192,112,165,3,0,24,0,0,1,0,1,0,2,1,1,1,1,0,0,628,0,0,628,0
142,27,13,0,229,30,90,0,0,0,1,0,1,3,1,0,0,0,0,0,1,0,0,396,0,2,398,0
143,7,55,2,124,83,158,1,3,0,0,0,0,0,0,0,1,2,0,0,1,0,1,438,0,0,438,0
144,38,138,0,283,148,224,2,0,0,0,1,2,0,0,0,0,6,0,2,4,1,2,851,0,0,851,0
145,34,217,1,244,270,0,0,0,0,0,0,1,0,0,1,4,1,1,0,2,0,0,776,0,1,777,0
