Polling Station No,ANANDHARAJA. D.,KADARKARAIRAJ. A,KAMALA VEL SELVAN. P,NAINAR NAGENTHRAN,AJITH. M,ESAKKIRAJA. K,THANGA DURAI. P,MUTHUKANNU. C,VELMURUGAN. S,AJITHKUMAR. S,KALIRAJ. M,SARAVANAN. P,THANGA MARIAPPAN. J,NARMADA NANDHAKUMAR,MAHENDRAN. M,MAHESHKUMAR. M,MANIVASAGAM.S,MAYAKKANNAN. V,MUTHARASAN. M,RAMESH KUMAR. B,VIJENDRAN. G,VENKATESAN. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
197,9,88,2,111,99,116,1,0,0,1,2,1,1,0,1,0,1,1,0,1,0,0,435,0,1,436,0
198,49,330,1,294,130,133,0,0,6,1,0,1,1,0,1,1,3,6,1,2,2,2,964,0,0,964,0
199,39,179,3,255,226,4,0,0,0,0,0,0,2,0,1,2,3,3,1,3,2,0,723,0,2,725,0
200,19,233,0,112,160,12,0,0,0,0,0,1,0,0,0,0,3,5,2,1,0,0,548,0,3,551,0
201,29,128,0,93,102,8,2,0,15,1,0,0,2,1,3,1,2,3,3,1,1,0,395,0,0,395,0
202,29,199,3,312,209,104,1,0,0,0,1,1,1,1,0,1,2,0,0,6,0,1,871,0,2,873,0
203,16,457,0,101,192,3,0,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,777,0,2,779,0
204,20,313,0,153,181,27,0,0,0,0,0,0,0,0,1,0,2,6,0,3,0,1,707,0,5,712,0
205,35,330,0,195,270,8,0,0,0,0,0,2,1,1,1,1,3,5,1,2,3,0,858,0,2,860,0
206,33,448,2,58,278,3,0,0,0,0,0,0,0,0,1,2,5,4,2,1,3,0,840,0,4,844,0
207,20,635,1,58,230,3,0,0,0,1,0,1,1,2,7,1,0,2,1,0,1,0,964,0,0,964,0
208,8,237,1,188,72,50,0,1,0,0,0,0,4,0,2,1,5,4,0,2,0,0,575,0,2,577,0
