Polling Station No,ANNADURAI K,KANNAN S,SEKAR C V,GURUMOORTHY M,MATHAN C,ANNADURAI C N,SURESH M R,SURESH R,MOHAMED SHARIF M,MUTHUKUMAR D,ZIAUDEEN A J,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,302,51,295,0,176,2,0,0,1,1,0,828,0,6,834,0
2,260,56,315,2,153,2,2,1,1,0,1,793,0,2,795,0
3,191,44,219,3,176,0,1,1,1,1,0,637,0,2,639,0
4,71,24,118,3,72,0,0,0,0,0,1,289,0,0,289,0
5,21,4,16,0,13,0,0,0,1,0,0,55,0,0,55,0
6,290,70,229,3,220,3,2,0,1,1,2,821,0,5,826,0
7,185,34,130,2,179,0,0,0,0,0,0,530,0,4,534,0
8,234,59,146,5,198,0,1,1,3,1,0,648,0,1,649,0
9,152,44,60,3,125,0,0,1,1,0,2,388,0,0,388,0
10,243,96,308,6,215,3,0,0,1,2,1,875,0,7,882,0
11,110,57,121,1,129,1,0,1,0,0,0,420,0,2,422,0
12,143,77,191,3,124,3,1,1,0,1,1,545,0,0,545,0
13,201,29,220,2,168,0,2,0,0,0,1,623,0,3,626,0
14,248,58,334,3,175,0,1,0,0,1,0,820,0,1,821,0
15,136,39,263,2,238,1,3,1,2,2,1,688,0,2,690,0
16,198,59,267,2,187,0,1,0,1,2,2,719,0,2,721,0
17,118,145,143,1,222,3,2,0,1,1,1,637,0,0,637,0
18,218,53,283,6,261,2,1,1,1,0,2,828,0,2,830,0
19,239,55,217,2,181,0,2,0,0,1,0,697,0,5,702,0
20,182,39,204,4,168,4,0,1,1,0,1,604,0,2,606,0
21,212,32,278,2,208,0,0,0,0,0,0,732,0,0,732,0
22,371,66,236,2,186,0,0,2,1,2,0,866,0,2,868,0
23,208,21,138,1,84,4,1,0,0,0,0,457,0,0,457,0
24,183,91,228,4,192,5,2,2,2,0,0,709,0,2,711,0
25,205,45,259,1,142,0,0,0,0,2,0,654,0,4,658,0
26,161,13,93,0,114,0,0,0,0,0,0,381,0,0,381,0
27,233,72,221,2,280,0,0,2,0,0,0,810,0,0,810,0
28,98,23,77,1,128,0,2,1,1,0,1,332,0,3,335,0
29,206,46,193,3,190,6,0,0,0,2,1,647,0,2,649,0
30,131,49,94,1,133,4,1,0,0,1,1,415,0,0,415,0
31,180,32,214,3,243,1,1,4,0,0,1,679,0,5,684,0
32,1 151,40,199,2,156,0,1,0,0,1,1,551,0,2,553,0
33,359,15,90,2,99,0,0,1,1,0,2,569,0,4,573,0
34,271,23,114,0,133,0,0,1,0,0,1,543,0,3,546,0
35,94,6,97,2,80,1,0,0,0,0,0,280,0,0,280,0
36,312,22,136,0,212,1,2,2,2,1,2,692,0,4,696,0
37,298,23,56,1,130,0,0,0,0,0,0,508,0,2,510,0
38,286,15,32,2,77,1,0,0,0,1,0,414,0,0,414,0
39,361,24,58,0,121,1,2,0,1,3,0,571,0,2,573,0
40,239,29,110,0,211,1,3,3,2,0,0,598,0,2,600,0
41,352,54,133,2,204,1,0,1,0,1,2,750,0,0,750,0
42,352,6,74,1,66,0,1,0,0,0,2,502,0,1,503,0
43,216,27,119,2,124,0,1,0,0,0,1,490,0,3,493,0
44,205,25,130,0,187,0,0,1,0,2,0,550,0,3,553,0
45,266,39,136,0,242,0,1,0,1,1,0,686,0,2,688,0
46,226,27,249,2,224,1,0,0,0,0,0,729,0,2,731,0
47,164,19,215,2,103,0,0,0,0,0,1,504,0,4,508,0
48,134,38,232,0,144,1,1,0,0,1,1,552,0,2,554,0
49,113,29,97,0,196,0,1,0,1,0,3,440,0,2,442,0
50,195,29,156,0,161,2,0,0,0,0,1,544,0,4,548,0
51,490,37,55,2,151,2,0,1,0,0,1,739,0,2,741,0
