Polling Station No,Candidate_1,AMAGNAHT.P IN,ULAB.S,INARAVU HSERUS,IHTRAK.J,YMASINALAP,ESREENNAP MAVL,KALAYAJIV.C IMHS,NILAHTRIMA MAG,IHTRAK,ASERAMUK.R N,SIRKALAPOG NANH,NANAVARAS,LEUMAS.G JAR,JARAVIS,UKLIHTNES.P RAM,JARAVLES,LEVINALAP.K,NAGURUM.A NAHDNA,AJAR.R,HCATAKNEV MALA,LEVAYAJ.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
237,246,210,57,8,0,0,1,208,0,0,0,0,1,0,0,0,2,3,1,0,0,0,491,0,0,491,0
238,247,244,121,27,0,1,4,366,0,0,0,0,0,0,0,1,3,3,0,0,0,0,770,0,3,773,0
239,248,249,89,16,0,0,0,234,0,0,0,0,0,0,0,0,2,0,1,0,0,0,591,0,0,591,0
240,249,255,87,13,1,0,0,248,2,1,1,0,0,0,0,0,0,4,1,0,0,0,613,0,2,615,0
241,250,146,95,25,0,0,0,292,1,0,1,0,0,0,0,1,2,2,0,0,0,0,565,0,1,566,0
242,251,190,93,31,0,0,0,292,0,0,1,0,0,0,0,0,1,1,1,0,0,0,610,0,3,613,0
243,252,119,56,7,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,308,0
244,253,213,130,22,0,0,0,280,0,0,0,0,0,0,0,0,2,0,0,0,0,0,647,0,3,650,0
245,254,226,92,6,0,0,2,266,1,0,1,0,0,0,0,0,0,2,0,0,0,1,597,0,9,606,0
246,255,130,72,7,0,0,0,196,0,0,0,0,1,0,0,0,0,1,0,0,0,0,407,0,2,409,0
247,256,208,107,23,0,0,0,379,1,0,0,0,1,0,0,0,0,0,0,0,0,0,719,0,1,720,0
248,257,203,128,15,2,0,1,354,0,0,0,1,0,0,0,1,0,1,1,0,0,1,708,0,5,713,0
249,258,260,100,19,0,0,0,270,0,0,0,0,0,0,0,0,0,1,0,0,0,0,650,0,2,652,0
250,259,141,173,18,0,0,0,224,0,0,1,0,0,0,0,0,0,1,3,0,0,0,561,0,3,564,0
251,260,101,115,23,0,0,1,98,0,0,0,0,0,0,0,0,1,1,0,0,0,0,340,0,3,343,0
252,261,189,148,23,0,1,0,168,0,1,0,1,0,0,0,0,0,0,0,1,0,0,532,0,2,534,0
253,262,214,112,23,0,1,0,272,0,0,0,1,0,0,0,0,3,1,0,0,0,0,627,0,2,629,0
254,263,185,121,25,1,0,1,291,0,0,0,0,0,0,0,1,1,1,0,0,0,0,627,0,3,630,0
255,264,108,73,11,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,1,290,0
256,265,198,146,43,1,1,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,607,0
257,267,208,61,11,0,0,0,209,0,0,0,0,0,0,0,1,0,1,1,0,0,0,o 492 la,R 0 fo,0,toT 492,eT 0 f
258,268,240,96,9,0,1,1,146,0,1,0,0,0,0,0,0,8,1,1,0,0,0,toT 504,.oN 0,2,506,o .o 0
259,269,357,127,13,0,0,1,342,0,0,0,0,0,0,0,0,6,2,0,0,0,0,848,0,2,850,N 0
260,270,250,138,23,1,0,0,275,1,0,1,0,0,0,0,1,5,1,4,0,0,0,700,0,1,701,0
261,271,255,122,24,0,0,1,327,1,0,1,1,0,1,1,1,4,4,1,2,0,1,747,0,0,747,0
262,272,271,129,18,1,0,1,291,1,0,0,0,0,0,0,0,0,1,0,0,0,0,713,0,6,719,0
263,273,173,152,11,0,0,0,195,0,2,1,1,0,1,0,0,0,1,1,0,0,0,538,0,2,540,0
264,274,110,117,13,0,0,0,276,0,0,0,0,0,0,0,0,0,0,1,0,0,0,517,0,1,518,0
265,275,84,88,15,0,0,1,178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,367,0
266,276,167,78,21,0,0,0,206,0,0,0,0,0,1,0,0,0,0,0,0,0,0,473,0,3,476,0
267,277,201,192,36,0,0,0,345,0,0,1,0,0,0,1,2,2,0,1,0,1,0,782,0,3,785,0
268,278,207,99,17,1,1,0,219,0,0,0,0,0,1,0,0,2,1,2,0,1,0,551,0,4,555,0
269,279,368,93,34,0,0,1,256,0,0,0,0,1,0,0,0,1,1,0,0,0,0,755,0,2,757,0
270,280,304,190,21,1,0,0,298,0,0,0,0,0,1,2,1,0,5,1,0,0,1,825,0,2,827,0
271,281,166,84,22,1,0,0,213,0,0,0,0,2,0,0,1,0,2,0,0,0,0,491,0,3,494,0
272,282,208,192,11,0,0,1,234,1,0,0,0,0,0,0,2,0,0,3,0,0,1,653,0,2,655,0
273,283,248,180,21,0,1,0,362,0,1,0,1,0,1,0,0,0,1,0,0,0,1,817,0,0,817,0
274,284,280,157,23,0,0,0,266,1,1,0,0,0,0,0,0,7,2,4,0,0,0,741,0,2,743,0
275,285,189,105,23,1,0,0,336,0,0,0,0,1,1,1,0,0,1,0,1,0,0,659,0,4,663,0
276,286,242,100,18,0,0,0,212,0,0,0,0,0,0,0,0,1,1,0,0,0,0,574,0,2,576,0
277,287,108,42,9,0,0,1,146,0,0,1,0,0,0,0,0,1,0,0,0,0,0,308,0,0,308,0
278,288,286,74,22,0,0,0,218,0,1,2,0,1,0,0,0,2,0,0,1,1,0,608,0,1,609,0
279,289,203,167,19,0,0,1,183,1,1,1,1,1,1,0,4,4,0,2,0,0,0,589,0,2,591,0
280,290,233,95,28,1,0,0,308,0,0,0,0,0,1,0,1,3,1,1,0,0,0,672,0,0,672,0
281,291,265,246,45,1,0,0,360,1,0,3,0,0,0,0,1,0,5,1,1,0,0,929,0,2,931,0
282,292,140,168,21,1,0,1,242,0,0,0,2,0,1,0,2,2,0,0,0,0,0,580,0,0,580,0
283,294,175,82,18,1,0,0,214,0,0,0,0,0,0,0,1,1,0,1,0,0,0,o 493 la,R 0 fo,2,toT 495,eT 0 f
284,295,162,89,25,1,0,0,226,0,1,0,0,0,0,0,0,1,2,1,0,0,0,toT 508,.oN 0,1,509,o .o 0
285,296,215,186,20,0,0,1,254,0,2,0,0,0,0,0,0,0,3,1,0,0,0,682,0,2,684,N 0
286,297,179,99,27,2,0,0,133,0,0,0,0,1,1,1,4,2,0,0,0,0,0,449,0,0,449,0
287,298,305,148,15,0,0,1,219,0,1,0,0,0,1,0,0,1,6,2,0,0,0,699,0,4,703,0
288,299,136,99,11,0,0,0,123,0,0,1,1,0,0,0,0,1,0,0,0,0,0,372,0,0,372,0
289,300,323,147,30,0,0,0,286,0,0,0,1,0,0,0,0,3,1,0,0,0,0,791,0,3,794,0
290,301,174,203,28,0,0,0,217,1,1,0,0,0,0,0,0,1,3,0,1,0,0,629,0,0,629,0
291,302,271,154,17,0,0,1,290,0,1,0,0,1,1,0,3,4,0,0,0,0,0,743,0,3,746,0
292,303,277,109,26,0,1,2,281,0,0,0,0,0,0,0,1,1,0,0,0,0,0,698,0,4,702,0
293,304,270,99,25,2,0,1,294,0,1,2,0,0,0,1,0,2,0,1,0,0,0,698,0,1,699,0
294,305,252,104,27,0,0,1,256,1,1,0,0,0,0,0,0,1,0,0,0,0,1,644,0,3,647,0
295,306,278,127,28,0,0,0,395,2,1,0,1,0,1,0,0,2,1,1,2,0,1,840,0,2,842,0
296,307,197,100,39,1,0,0,234,0,1,0,0,2,0,0,1,3,1,1,0,0,1,581,0,2,583,0
297,308,190,83,24,0,0,0,149,0,0,0,0,1,0,0,0,1,0,0,0,0,0,448,0,1,449,0
298,309,228,222,25,2,1,1,265,0,1,1,0,0,0,1,1,2,3,2,1,0,1,757,0,3,760,0
299,310,213,130,23,0,0,1,346,0,1,0,0,0,0,1,1,1,0,0,0,0,0,717,0,2,719,0
300,311,320,136,13,0,1,1,209,0,0,1,1,0,0,0,1,0,2,0,0,0,0,685,0,3,688,0
301,312,88,39,9,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,3,268,0
302,313,131,330,11,1,0,1,191,0,0,0,0,0,0,0,2,0,0,2,0,0,0,669,0,0,669,0
303,314,137,276,8,0,0,0,188,0,1,0,0,1,0,0,0,1,0,1,0,0,0,613,0,0,613,0
304,315,154,241,13,0,0,0,190,0,1,0,0,0,0,2,1,0,1,2,0,1,0,606,0,1,607,0
305,316,497,144,28,0,0,0,199,0,0,0,0,0,0,0,2,7,1,0,0,0,0,878,0,1,879,0
306,317,420,82,18,1,0,2,402,1,0,0,0,0,1,0,0,2,2,1,1,0,2,935,0,4,939,0
307,318,259,165,17,0,0,3,213,1,0,1,1,0,2,0,0,2,2,1,0,0,1,668,0,1,669,0
308,319,244,93,38,1,0,2,194,0,2,1,1,3,0,1,2,3,2,1,0,1,0,589,0,2,591,0
309,321,345,239,20,2,1,2,264,2,1,0,0,0,1,0,5,7,1,3,0,1,1,o 895 la,R 0 fo,3,toT 898,eT 0 f
310,322,188,124,15,0,0,0,213,0,1,0,0,0,0,0,2,2,1,0,0,0,1,toT 547,.oN 0,6,553,o .o 0
311,323,324,222,22,2,0,0,275,1,0,0,0,0,0,0,1,0,1,0,0,0,0,848,0,1,849,N 0
312,324,220,277,24,0,0,0,283,0,0,0,0,0,1,0,1,3,0,2,1,0,0,812,0,0,812,0
