Polling Station No,Candidate_1,AMAGNAHT.P IN,ULAB.S,INARAVU HSERUS,IHTRAK.J,YMASINALAP,ESREENNAP MAVL,KALAYAJIV.C IMHS,NILAHTRIMA MAG,IHTRAK,ASERAMUK.R N,SIRKALAPOG NANH,NANAVARAS,LEUMAS.G JAR,JARAVIS,UKLIHTNES.P RAM,JARAVLES,LEVINALAP.K,NAGURUM.A NAHDNA,AJAR.R,HCATAKNEV MALA,LEVAYAJ.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
101,105,328,138,27,0,0,1,301,1,1,1,0,0,0,1,1,2,0,0,0,0,0,o 802 la,R 0 fo,3,toT 805,eT 0 f
102,106,244,183,33,0,0,2,322,0,0,0,0,0,0,1,1,1,3,1,0,0,2,toT 793,.oN 0,0,793,o .o 0
103,107,358,118,25,2,1,0,300,0,0,1,0,0,0,0,2,1,3,0,0,0,0,811,0,2,813,N 0
104,108,256,112,27,0,1,0,242,0,0,0,0,0,0,0,1,0,0,1,0,0,1,641,0,1,642,0
105,109,329,67,32,0,0,1,165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,595,0,3,598,0
106,110,193,76,19,0,0,1,185,0,0,0,1,0,1,0,0,0,1,0,0,0,0,477,0,1,478,0
107,111,93,39,5,0,0,1,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,212,0,0,212,0
108,112,281,106,18,0,0,0,207,1,0,1,1,1,0,1,1,1,2,0,0,0,0,621,0,3,624,0
109,113,178,56,10,1,0,0,187,0,1,0,0,0,0,0,0,2,0,0,1,0,1,437,0,0,437,0
110,114,256,147,20,1,1,0,269,0,0,0,0,2,0,0,5,5,0,0,0,0,0,706,0,4,710,0
111,115,227,101,5,1,2,1,232,0,0,0,0,0,0,0,1,3,3,0,0,0,1,577,0,3,580,0
112,116,238,93,15,0,1,1,161,0,0,0,1,0,0,0,0,1,0,0,0,0,0,511,0,3,514,0
113,117,248,135,45,1,0,2,397,1,2,1,1,1,1,1,0,3,4,1,0,0,0,844,0,3,847,0
114,118,218,114,21,1,0,0,248,1,1,0,0,0,0,0,0,1,1,0,0,0,0,606,0,5,611,0
115,119,146,111,74,1,0,1,252,0,0,0,1,0,0,1,0,3,0,1,1,0,0,592,0,3,595,0
116,120,203,109,50,1,1,1,157,1,0,0,0,0,0,0,1,2,1,0,0,0,0,527,0,0,527,0
117,121,208,215,31,2,1,2,273,2,0,0,1,0,1,1,7,4,0,2,0,0,0,750,0,2,752,0
118,122,227,163,76,1,0,1,440,1,1,0,1,0,2,0,2,2,1,1,0,0,0,919,0,1,920,0
119,123,125,111,85,2,3,1,148,0,0,0,0,0,0,0,1,6,1,0,1,0,0,484,0,3,487,0
120,124,211,114,144,3,1,0,249,0,0,0,0,0,0,0,2,2,3,0,0,0,0,729,0,4,733,0
121,125,286,116,88,0,0,2,215,1,2,0,1,0,0,1,0,0,1,1,0,0,1,715,0,1,716,0
122,126,130,46,76,0,0,0,265,1,0,0,0,0,0,0,0,1,0,0,0,0,0,519,0,1,520,0
123,127,219,83,6,0,1,0,119,0,0,0,0,0,0,1,0,0,1,1,0,0,0,431,0,1,432,0
124,128,254,222,8,1,0,3,220,1,2,0,0,0,2,2,0,13,4,2,1,0,1,736,0,6,742,0
125,129,316,139,14,0,0,0,166,1,0,0,0,0,0,1,2,3,2,0,0,0,1,645,0,3,648,0
126,130,468,168,33,2,1,1,237,0,0,1,0,1,0,0,1,1,2,0,0,1,0,917,0,8,925,0
127,132,143,97,3,0,0,0,148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,o 392 la,R 0 fo,0,toT 392,eT 0 f
128,133,197,117,13,1,0,3,237,0,0,1,0,0,0,0,2,1,0,0,1,0,0,toT 573,.oN 0,1,574,o .o 0
129,134,213,128,9,0,0,0,234,0,0,0,0,1,0,0,1,2,2,0,0,0,2,592,0,4,596,N 0
130,135,168,143,14,0,0,0,224,1,0,2,0,0,0,0,1,0,0,3,0,1,0,557,0,1,558,0
131,136,272,143,30,2,0,0,323,0,1,0,0,0,2,0,1,2,1,0,0,0,1,778,0,4,782,0
132,137,225,159,19,1,0,0,288,0,1,0,0,1,0,1,0,2,4,2,0,1,0,704,0,0,704,0
133,138,266,163,33,1,0,2,216,1,0,1,0,0,2,3,0,4,1,1,0,1,0,695,0,2,697,0
134,139,263,152,31,0,0,1,244,1,0,0,0,0,2,0,3,2,1,0,1,0,0,701,0,1,702,0
135,140,405,155,18,0,0,1,231,0,2,0,0,0,0,1,2,7,2,1,0,0,0,825,0,6,831,0
136,141,241,195,19,0,0,3,166,0,0,0,0,0,0,1,4,5,0,4,0,0,3,641,0,4,645,0
137,142,115,160,16,0,0,1,135,0,0,0,0,0,0,0,2,2,3,2,0,0,0,436,0,1,437,0
138,143,245,206,16,1,0,0,116,0,0,0,0,0,0,0,1,3,2,0,0,0,0,590,0,5,595,0
139,144,227,168,25,0,0,2,247,0,3,1,0,0,0,0,1,5,2,0,0,0,1,682,0,3,685,0
140,145,375,194,35,1,0,1,323,0,0,1,0,0,1,0,2,3,1,2,0,0,0,939,0,2,941,0
141,146,413,227,63,0,0,1,309,0,0,0,0,1,1,0,1,3,3,0,0,0,0,1022,0,1,1023,0
142,147,183,109,10,0,0,0,115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,418,0,0,418,0
143,148,189,74,12,1,0,2,168,0,0,0,0,0,0,0,1,1,0,0,0,0,0,448,0,0,448,0
144,149,245,90,15,0,0,2,212,0,2,0,0,0,0,0,0,3,0,2,0,0,0,571,0,1,572,0
145,150,345,227,27,1,0,1,240,0,0,0,0,0,0,1,0,1,2,0,0,0,1,846,0,0,846,0
146,151,241,100,13,0,0,1,143,0,0,4,1,0,0,0,0,0,2,0,0,1,0,506,0,1,507,0
147,152,229,121,10,0,0,1,159,1,0,0,0,0,0,0,1,2,0,0,0,0,0,524,0,0,524,0
148,153,324,140,14,1,1,1,216,1,1,0,0,0,0,1,0,2,1,1,0,0,0,704,0,2,706,0
149,154,306,156,18,1,0,0,185,0,0,1,0,1,0,1,4,3,0,0,1,0,1,678,0,3,681,0
150,155,214,223,5,1,0,0,326,0,0,1,0,1,0,1,0,1,0,0,0,0,0,773,0,0,773,0
151,156,230,144,20,0,1,0,170,1,1,0,0,0,1,1,2,2,0,2,0,0,0,575,0,2,577,0
152,157,232,111,18,0,0,0,131,0,1,0,0,0,0,0,0,0,1,0,0,0,1,495,0,1,496,0
153,159,251,139,45,2,0,4,421,2,2,0,1,0,0,0,2,0,1,0,0,0,0,o 870 la,R 0 fo,2,toT 872,eT 0 f
154,160,150,107,24,0,0,2,226,1,0,0,0,0,1,0,0,2,0,0,0,0,0,toT 513,.oN 0,1,514,o .o 0
155,161,115,108,39,1,1,1,216,0,1,0,0,1,1,1,1,1,3,1,0,0,0,491,0,0,491,N 0
156,162,171,90,35,0,0,1,253,0,0,0,0,0,0,0,0,1,0,2,0,0,0,553,0,0,553,0
157,163,237,83,19,2,0,1,239,2,0,0,0,1,0,0,2,2,0,0,1,0,0,589,0,1,590,0
158,164,183,125,54,0,0,0,146,0,0,0,0,0,0,0,0,6,1,0,0,0,0,515,0,3,518,0
159,165,125,107,64,0,0,1,172,1,1,3,0,0,2,1,1,1,0,0,0,0,0,479,0,2,481,0
160,166,283,102,18,1,0,0,269,0,1,1,0,1,0,0,2,5,2,1,0,0,0,686,0,0,686,0
161,167,190,71,21,3,0,2,333,1,1,1,1,2,1,0,0,4,2,1,1,1,0,636,0,0,636,0
162,168,156,74,16,1,0,0,234,0,0,0,0,1,0,0,1,3,1,0,0,1,0,488,0,1,489,0
163,169,290,121,36,1,0,0,387,1,0,0,0,0,0,0,1,2,0,3,0,0,0,842,0,5,847,0
164,170,229,114,16,0,0,0,257,0,1,0,0,1,0,1,1,1,1,0,0,0,0,622,0,2,624,0
165,171,176,104,18,3,1,0,211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,514,0,1,515,0
166,172,206,136,56,0,0,4,451,0,1,0,2,0,0,0,0,2,3,0,0,0,1,862,0,4,866,0
167,173,314,177,67,7,0,0,465,1,1,0,0,0,1,1,2,1,1,0,0,0,0,1038,0,3,1041,0
168,174,379,153,46,2,1,2,329,1,2,1,1,0,3,1,0,4,3,0,0,0,2,930,0,3,933,0
169,175,322,110,47,1,0,1,244,0,0,1,0,1,0,1,0,1,1,0,0,1,3,734,0,1,735,0
170,176,341,218,90,2,0,3,213,1,1,2,0,0,0,1,0,2,0,2,0,0,0,876,0,2,878,0
171,177,188,121,41,0,0,2,195,0,0,0,0,0,0,0,1,0,0,0,1,0,0,549,0,1,550,0
172,178,191,61,30,0,0,0,96,0,2,0,0,0,0,0,0,1,0,0,1,0,0,382,0,0,382,0
173,179,221,94,33,0,1,0,252,0,3,0,0,0,0,0,0,1,1,0,0,0,2,608,0,0,608,0
174,180,286,89,78,0,1,0,133,1,1,1,0,0,0,0,0,3,0,0,1,0,0,594,0,0,594,0
175,181,247,103,18,0,0,0,132,0,0,1,1,1,0,0,0,1,0,0,0,0,1,505,0,2,507,0
176,182,360,149,67,0,2,1,219,1,0,0,1,0,0,0,1,2,2,0,0,0,0,805,0,7,812,0
177,183,194,65,26,0,0,0,126,0,0,0,1,0,1,0,1,1,1,0,0,0,1,417,0,1,418,0
178,184,253,77,13,0,0,0,132,0,0,0,0,0,0,0,1,3,2,1,0,0,0,482,0,3,485,0
179,186,165,63,23,0,2,1,189,0,0,0,0,0,1,0,1,0,1,0,0,0,1,o 447 la,R 0 fo,3,toT 450,eT 0 f
180,187,183,95,32,0,0,0,249,1,0,0,0,0,1,0,0,1,2,0,1,0,0,toT 565,.oN 0,2,567,o .o 0
181,188,172,72,22,0,1,2,337,1,0,2,0,0,0,1,0,2,1,0,1,0,0,614,0,2,616,N 0
182,189,177,67,17,0,0,1,313,1,0,0,0,0,0,0,1,0,3,1,0,0,0,581,0,5,586,0
183,190,181,69,20,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,0,451,0
184,191,220,95,19,0,0,1,244,0,0,0,0,1,0,0,0,1,1,0,2,0,1,585,0,4,589,0
185,192,116,65,17,0,0,1,318,0,0,1,0,0,0,1,0,2,0,0,0,0,0,521,0,2,523,0
