Polling Station No,ARTHANARI. S.K.,SELLAMMAL. V.M.,MONISHA CHINNADURAI.,JAYASANKARAN. A.P.,SELVABHARATHI. R.,PALANIYAMMAL. S.,RAMESH. G.,SELVAKANNAN. L.,POOMALAI. C.,MANIKANDAN. M.,MANIMARAN. A.,MANICKAM. K.,RAJESHKANNAN. K.,VARATHARAJ. G.,JAGAN. T.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
46,76,0,20,319,134,1,0,1,0,0,0,0,0,0,1,552,0,0,552,0
47,220,1,26,386,249,1,0,0,2,0,0,0,1,0,0,886,0,3,889,0
48,217,6,34,360,223,0,1,0,1,0,0,0,2,0,1,845,0,4,849,0
49,184,4,23,183,208,1,1,0,3,0,0,1,2,1,2,613,0,3,616,0
50,122,1,25,255,176,1,1,0,0,0,1,0,1,0,1,584,0,4,588,0
51,e 1180,0,25,445,227,0,0,0,2,0,0,1,1,1,0,882,0,3,885,0
52,130,1,17,334,303,2,1,2,4,0,0,2,0,0,0,796,0,7,803,0
53,166,1,20,389,309,1,2,1,0,0,1,1,1,2,2,896,0,6,902,0
54,195,3,19,258,250,1,1,0,3,0,0,0,0,1,0,731,0,3,734,0
55,168,0,23,297,212,0,0,0,0,0,0,0,2,0,1,703,0,2,705,0
56,169,3,30,274,288,0,0,1,1,0,1,3,1,0,0,771,0,6,777,0
57,155,1,20,264,239,2,0,1,0,0,0,0,1,1,0,684,0,3,687,0
58,177,2,32,366,302,2,1,2,0,0,1,5,1,2,2,895,0,7,902,0
59,180,1,16,331,332,0,0,2,0,1,1,3,1,0,0,868,0,3,871,0
60,189,0,30,296,294,2,0,0,0,0,0,3,1,0,0,815,0,8,823,0
61,292,0,22,252,377,2,4,0,0,0,0,0,2,0,1,952,0,2,954,0
62,155,1,11,106,190,0,0,0,0,0,1,0,0,1,0,465,0,4,469,0
63,204,2,20,225,262,1,0,0,2,0,1,5,2,1,2,727,0,5,732,0
64,158,2,28,219,293,0,2,0,1,0,0,2,3,1,0,709,0,5,714,0
65,220,0,27,328,318,1,4,0,0,1,0,1,3,1,0,904,0,4,908,0
66,199,0,17,290,260,0,1,1,1,0,0,0,1,0,0,770,0,2,772,0
67,139,5,8,154,208,0,2,0,1,1,0,0,0,3,1,522,0,1,523,0
68,161,2,26,310,213,1,0,0,0,0,1,1,2,1,0,718,0,5,723,0
69,279,0,41,376,366,1,2,0,0,0,0,2,3,0,1,1071,0,5,1076,0
70,249,2,22,227,249,0,0,0,1,0,0,1,2,0,0,753,0,6,759,0
71,195,1,52,429,221,0,3,0,1,0,0,0,2,1,1,906,0,1,907,0
72,284,0,16,255,182,0,0,0,1,0,0,1,1,0,0,740,0,1,741,0
73,284,2,25,288,285,1,9,1,0,0,1,1,2,0,0,899,0,6,905,0
74,202,1,17,389,156,2,0,0,2,3,0,1,0,0,0,773,0,31,804,0
75,172,2,7,163,209,0,1,0,2,0,2,0,2,0,0,560,0,3,563,0
76,113,2,8,122,186,0,0,0,1,1,0,2,1,0,0,436,0,2,438,0
77,247,2,32,194,292,1,1,0,1,0,0,1,3,0,0,774,0,3,777,0
78,223,0,12,136,127,0,0,0,0,1,0,0,0,0,0,499,0,3,502,0
79,171,0,25,250,294,1,0,0,0,0,0,0,0,0,0,741,0,0,741,0
80,79,0,23,158,132,0,1,0,0,0,0,0,2,0,2,397,0,1,398,0
81,105,6,21,206,359,2,1,1,0,1,0,0,3,0,1,706,0,5,711,0
82,204,0,23,298,188,1,1,0,0,0,0,0,1,1,0,717,0,1,718,0
83,180,0,32,194,157,0,1,0,1,0,0,1,0,0,0,566,0,1,567,0
84,83,2,18,306,106,0,1,1,0,0,0,1,2,2,0,522,0,2,524,0
85,159,2,24,210,178,2,2,0,2,0,0,0,2,1,1,583,0,1,584,0
86,189,2,11,205,188,1,0,0,0,0,0,1,2,1,0,600,0,1,601,0
87,161,1,19,233,141,0,0,1,1,1,0,0,0,0,0,558,0,3,561,0
88,197,0,36,383,257,0,1,1,1,1,0,0,5,0,0,882,0,5,887,0
89,124,1,34,260,208,0,0,0,0,0,0,1,2,0,0,630,0,2,632,0
90,198,1,27,253,287,1,0,0,0,0,0,0,1,1,0,769,0,3,772,0
91,178,3,26,531,187,0,0,0,1,0,0,0,1,1,0,928,0,3,931,0
92,202,2,14,351,244,0,0,0,1,1,1,0,2,1,2,821,0,2,823,0
93,76,0,18,265,138,0,0,0,1,0,0,0,3,1,0,502,0,0,502,0
94,127,0,27,276,142,1,0,0,0,0,0,0,0,1,0,574,0,2,576,0
95,212,0,28,477,227,0,0,0,0,0,0,1,0,0,0,945,0,6,951,0
96,200,0,23,397,192,1,1,1,0,1,0,1,3,0,0,820,0,3,823,0
97,161,2,20,547,246,1,0,1,0,2,0,0,2,1,1,984,0,2,986,0
98,244,2,7,177,170,0,0,0,1,0,0,0,0,0,2,603,0,1,604,0
99,187,1,32,419,282,1,2,0,1,0,0,0,2,0,0,927,0,1,928,0
100,174,1,38,436,203,0,2,0,2,0,0,0,1,0,1,858,0,4,862,0
101,146,1,27,432,261,2,0,0,0,0,1,2,0,0,2,874,0,3,877,0
102,e 2281,2,25,343,237,0,0,1,0,0,1,1,1,0,0,892,0,1,893,0
103,137,1,28,363,190,0,1,0,0,0,1,1,1,0,1,724,0,4,728,0
104,111,4,24,302,197,0,1,2,0,0,0,3,0,1,0,645,0,3,648,0
105,105,0,19,311,186,1,0,0,0,3,0,1,2,0,1,629,0,6,635,0
106,138,0,13,260,149,0,0,0,0,0,0,0,0,0,0,560,0,2,562,0
107,211,2,28,319,219,2,1,0,1,0,0,0,1,0,0,784,0,5,789,0
108,148,3,26,256,170,1,0,2,0,0,0,0,0,2,1,609,0,4,613,0
109,95,1,7,262,92,2,0,1,0,0,0,0,2,0,0,462,0,0,462,0
110,157,2,35,384,239,0,1,0,0,1,0,2,1,0,0,822,0,4,826,0
111,185,2,22,255,196,0,0,1,0,0,1,0,2,0,0,664,0,32,696,0
112,122,2,16,289,171,1,1,0,4,0,1,0,1,0,0,608,0,3,611,0
113,261,1,25,210,197,1,0,0,0,0,0,0,0,1,0,696,0,2,698,0
114,198,0,19,396,192,2,3,0,1,0,0,0,0,1,1,813,0,5,818,0
115,74,0,25,278,122,1,2,0,0,1,0,0,0,0,2,505,0,0,505,0
116,119,0,30,368,167,1,0,0,0,0,0,0,0,0,1,686,0,2,688,0
117,131,0,19,266,167,1,1,1,1,0,0,0,3,0,0,590,0,4,594,0
118,71,0,15,342,148,0,0,2,1,2,0,0,1,1,1,584,0,4,588,0
119,262,2,18,285,262,1,0,1,0,0,1,0,4,1,0,837,0,1,838,0
120,235,2,23,266,254,0,0,2,0,0,0,0,2,0,0,784,0,1,785,0
121,62,7,22,260,266,0,2,2,0,0,1,0,5,1,0,628,0,4,632,0
122,87,0,29,165,169,0,0,0,0,0,1,1,1,0,1,454,0,1,455,0
123,189,3,42,216,221,0,1,1,2,0,0,0,2,1,0,678,0,6,684,0
124,129,0,37,222,154,0,1,2,0,0,0,2,0,1,0,548,0,2,550,0
125,128,1,39,276,229,0,0,1,0,0,0,1,2,1,0,678,0,1,679,0
126,86,0,20,193,158,1,1,0,2,0,0,2,3,1,0,467,0,3,470,0
127,109,1,25,311,119,1,0,2,0,0,0,0,1,1,0,570,0,1,571,0
128,76,0,33,284,116,0,0,0,0,1,0,1,5,0,0,516,0,1,517,0
129,204,1,24,415,245,1,1,2,1,1,0,1,1,0,1,898,0,7,905,0
130,164,2,20,208,182,0,1,0,0,0,0,0,0,0,0,577,0,1,578,0
131,145,2,27,231,213,0,0,0,1,0,0,0,0,0,0,619,0,4,623,0
132,134,1,19,192,120,1,0,0,0,1,0,2,1,0,0,471,0,1,472,0
133,163,2,38,252,176,0,1,1,1,0,0,0,3,0,0,637,0,5,642,0
134,188,1,26,290,332,0,0,1,0,0,0,2,1,0,1,842,0,3,845,0
135,184,0,14,329,159,0,0,0,1,0,1,1,0,0,0,689,0,4,693,0
136,203,1,33,298,201,0,0,0,0,0,0,0,6,1,0,743,0,3,746,0
137,248,1,33,219,271,0,0,2,0,0,0,0,1,1,0,776,0,1,777,0
138,184,0,24,498,261,1,0,0,2,1,0,1,2,1,0,975,0,6,981,0
139,212,2,30,275,212,0,2,0,2,1,1,1,2,0,1,741,0,3,744,0
140,110,1,17,211,133,0,0,0,0,0,0,0,0,1,0,473,0,4,477,0
141,138,1,22,365,152,1,0,1,0,0,0,1,1,0,1,683,0,2,685,0
142,234,3,30,202,291,0,0,1,0,0,1,2,3,0,0,767,0,1,768,0
143,144,0,22,206,173,0,0,0,0,0,0,0,1,0,0,546,0,3,549,0
144,87,0,8,238,227,0,1,0,2,0,0,0,1,0,0,564,0,2,566,0
145,64,0,6,178,163,0,1,1,1,0,2,0,2,0,0,418,0,1,419,0
146,184,3,21,288,248,2,0,3,2,0,1,0,0,0,0,752,0,7,759,0
147,93,0,14,257,270,1,0,1,2,0,1,1,2,0,1,643,0,0,643,0
148,128,3,5,279,152,1,2,0,1,0,0,0,2,1,2,576,0,4,580,0
149,177,0,35,390,258,0,0,0,0,0,0,1,3,0,0,864,0,1,865,0
150,175,0,21,228,214,2,1,0,0,1,0,1,1,0,1,645,0,0,645,0
151,198,5,35,188,366,2,1,1,3,0,0,3,1,2,0,805,0,5,810,0
152,202,1,22,206,201,2,2,3,1,0,0,3,2,1,3,649,0,4,653,0
153,e 3274,5,20,237,411,3,1,1,2,0,0,0,1,2,1,958,0,5,963,0
154,162,2,7,198,287,1,1,0,0,0,0,0,3,0,0,661,0,0,661,0
155,63,0,9,127,239,1,0,1,1,0,0,1,0,1,0,443,0,0,443,0
156,262,4,35,309,403,0,0,0,0,0,0,1,1,2,0,1017,0,5,1022,0
157,159,0,19,136,263,1,0,0,0,0,0,1,0,0,0,579,0,3,582,0
158,192,2,29,177,398,1,0,2,0,0,0,0,1,1,0,803,0,8,811,0
159,185,0,12,143,256,2,0,1,3,0,1,0,1,0,0,604,0,0,604,0
160,199,0,25,241,281,1,0,0,0,0,0,3,5,0,0,755,0,3,758,0
161,238,0,10,147,211,0,0,0,0,0,0,0,0,1,0,607,0,1,608,0
162,106,0,4,136,156,0,0,0,0,0,0,0,0,0,0,402,0,4,406,0
163,205,1,11,238,325,0,1,0,0,0,0,2,1,0,0,784,0,4,788,0
164,137,0,16,176,185,0,0,0,0,0,0,0,2,0,0,516,0,0,516,0
165,181,0,15,165,183,1,0,0,0,0,0,0,1,0,0,546,0,4,550,0
166,172,0,16,148,199,0,0,0,0,0,0,0,0,1,1,537,0,5,542,0
167,154,1,6,148,134,0,0,0,0,0,0,0,0,0,0,443,0,3,446,0
168,307,0,26,144,235,0,1,0,1,0,0,0,0,0,2,716,0,5,721,0
169,244,0,22,312,294,1,0,0,0,0,0,1,0,0,0,874,0,2,876,0
170,215,1,22,261,248,0,0,0,0,1,0,0,1,0,0,749,0,4,753,0
171,193,0,12,215,232,0,1,0,1,0,1,0,1,1,0,657,0,1,658,0
172,197,2,31,284,308,1,0,1,1,1,0,0,1,0,1,828,0,4,832,0
173,159,0,20,151,194,0,0,0,0,0,0,0,1,0,0,525,0,1,526,0
174,104,2,16,182,164,0,0,0,0,0,0,0,3,0,0,471,0,2,473,0
175,240,0,28,328,261,0,0,0,0,0,0,0,2,1,0,860,0,2,862,0
176,246,2,14,123,234,0,1,0,1,0,0,1,1,0,1,624,0,1,625,0
177,487,0,15,50,132,3,0,0,1,0,0,0,1,0,0,689,0,2,691,0
178,297,2,16,146,236,2,0,0,0,1,0,0,0,0,0,700,0,2,702,0
179,151,0,15,160,240,0,0,0,1,0,0,0,1,0,0,568,0,2,570,0
180,156,0,21,196,240,1,0,0,0,0,0,1,0,0,0,615,0,3,618,0
181,210,0,11,192,229,0,0,0,1,0,1,0,1,0,1,646,0,4,650,0
182,201,0,17,164,222,0,0,0,0,0,0,0,1,0,0,605,0,4,609,0
183,170,0,29,141,187,1,1,0,0,0,0,0,0,0,0,529,0,1,530,0
184,138,2,17,176,225,0,0,0,0,0,0,0,0,0,0,558,0,7,565,0
185,152,0,22,164,184,0,1,0,1,0,0,0,1,0,0,525,0,1,526,0
186,151,1,14,172,180,0,0,0,1,0,0,1,1,0,1,522,0,1,523,0
187,187,1,13,208,281,0,2,0,0,0,0,0,0,0,0,692,0,3,695,0
188,285,0,19,227,234,4,0,0,0,0,0,0,0,0,0,769,0,5,774,0
189,215,1,23,162,276,1,1,0,1,0,0,0,0,0,0,680,0,4,684,0
190,216,1,24,246,297,0,0,0,1,0,0,0,0,0,0,785,0,5,790,0
191,211,1,28,155,315,0,0,0,0,0,0,0,0,0,0,710,0,3,713,0
192,305,2,16,284,309,1,0,0,0,1,0,1,4,0,0,923,0,2,925,0
193,87,0,6,76,136,0,0,0,0,2,0,0,0,0,0,307,0,2,309,0
194,276,0,21,188,309,0,0,0,0,4,0,0,2,2,1,803,0,3,806,0
195,193,2,13,161,223,2,1,0,1,0,0,1,3,5,0,605,0,6,611,0
196,302,4,22,139,332,0,2,1,2,0,0,2,1,0,0,807,0,3,810,0
197,191,2,15,110,246,0,0,0,0,1,0,0,1,0,0,566,0,1,567,0
198,202,0,27,198,308,0,1,0,0,0,0,0,1,0,2,739,0,3,742,0
199,186,1,20,135,288,2,0,0,3,0,0,1,2,3,0,641,0,3,644,0
200,252,1,35,280,180,0,0,0,1,0,0,1,0,1,0,751,0,8,759,0
201,173,1,37,161,230,0,4,1,1,0,0,0,1,1,1,611,0,5,616,0
202,155,0,22,124,211,0,0,0,1,0,0,0,0,0,0,513,0,1,514,0
203,148,1,12,136,142,1,0,0,0,0,0,0,1,0,0,441,0,2,443,0
204,e 471,1,29,194,178,0,0,0,0,0,0,0,2,0,0,475,0,0,475,0
205,193,0,48,351,207,0,0,2,2,0,0,0,0,0,0,803,0,4,807,0
206,259,2,36,200,200,0,0,1,0,0,0,0,0,1,1,700,0,3,703,0
207,238,1,28,219,236,0,0,1,0,0,0,0,2,0,0,725,0,4,729,0
208,353,0,27,351,260,0,0,0,1,0,0,0,2,0,0,994,0,4,998,0
209,70,0,6,249,217,1,0,0,0,0,1,0,1,0,0,545,0,0,545,0
210,81,2,17,299,168,0,1,0,0,0,0,0,3,2,0,573,0,1,574,0
211,110,2,17,157,179,1,0,1,0,0,0,0,0,0,0,467,0,1,468,0
212,210,4,28,230,204,0,0,0,0,0,0,2,1,0,0,679,0,3,682,0
213,125,0,23,280,313,0,0,2,1,0,0,0,2,0,1,747,0,4,751,0
214,78,1,24,249,189,0,1,1,1,0,0,1,1,0,0,546,0,2,548,0
215,283,2,21,347,282,0,0,1,2,0,1,1,1,0,0,941,0,8,949,0
216,223,1,21,241,201,0,0,0,0,0,0,1,3,0,0,691,0,2,693,0
217,136,2,9,219,134,0,0,0,0,0,0,1,1,1,0,503,0,2,505,0
218,241,4,29,398,262,1,0,1,1,0,0,3,4,0,1,945,0,2,947,0
219,143,1,23,247,211,0,1,0,1,0,2,0,4,0,0,633,0,4,637,0
220,141,0,14,194,189,1,0,0,1,0,0,0,1,1,0,542,0,0,542,0
221,240,0,15,300,289,0,1,0,0,0,0,0,1,0,1,847,0,2,849,0
222,179,1,26,281,217,0,0,0,1,0,0,0,3,0,1,709,0,1,710,0
223,233,0,12,161,152,0,0,0,1,0,0,1,1,0,0,561,0,4,565,0
224,159,0,24,225,248,0,0,0,0,0,2,0,2,1,1,662,0,1,663,0
225,130,3,19,201,296,0,0,0,0,0,0,0,0,0,0,649,0,5,654,0
226,188,2,21,226,237,0,1,1,0,0,1,0,1,0,0,678,0,5,683,0
227,206,0,11,242,176,0,0,0,1,0,0,0,2,0,0,638,0,5,643,0
228,149,0,17,224,201,1,0,0,1,0,0,0,0,0,0,593,0,2,595,0
229,96,1,13,147,187,0,0,0,0,0,0,0,1,0,1,446,0,0,446,0
230,179,1,30,227,304,0,0,0,1,0,0,0,1,0,0,743,0,5,748,0
231,264,1,21,272,304,1,0,0,1,0,0,1,4,0,0,869,0,5,874,0
232,138,1,19,205,195,0,0,0,1,0,0,0,0,0,0,559,0,1,560,0
233,94,0,14,104,299,0,0,0,0,0,0,3,1,0,0,515,0,4,519,0
234,122,1,9,140,165,0,0,1,1,0,0,0,2,0,0,441,0,0,441,0
235,124,0,23,216,186,0,0,0,0,0,0,0,0,0,0,549,0,3,552,0
236,197,0,11,132,199,0,0,0,0,0,0,0,0,0,0,539,0,4,543,0
237,244,1,21,173,239,1,0,0,2,0,1,0,0,1,0,683,0,4,687,0
238,160,2,24,167,183,1,0,0,0,0,0,0,1,1,0,539,0,5,544,0
239,134,0,13,138,167,1,1,0,0,0,0,0,1,2,1,458,0,3,461,0
240,27,0,0,33,44,0,0,0,0,0,0,0,0,0,0,104,0,0,104,0
241,220,1,20,249,246,2,0,0,0,0,0,0,0,0,0,738,0,2,740,0
242,207,2,26,246,265,1,0,0,1,0,0,0,2,0,0,750,0,4,754,0
243,177,1,18,118,214,0,0,0,2,0,0,0,1,0,0,531,0,2,533,0
244,153,2,28,209,346,0,0,0,1,0,0,0,2,1,0,742,0,2,744,0
245,177,2,23,228,222,0,0,0,1,0,1,0,0,0,0,654,0,2,656,0
246,48,1,4,100,127,0,1,0,0,0,1,0,1,0,0,283,0,0,283,0
247,91,1,19,286,175,2,0,0,2,0,1,2,3,0,1,583,0,3,586,2
248,103,0,9,211,166,0,1,0,2,0,0,2,7,0,1,502,0,6,508,0
249,123,1,34,231,306,1,0,1,1,0,0,0,1,0,0,699,0,5,704,0
250,193,1,6,258,94,1,1,0,0,0,0,0,0,0,0,554,0,3,557,0
251,205,2,9,213,84,0,0,0,0,0,0,0,0,0,0,513,0,4,517,0
252,272,2,31,357,300,1,1,1,1,0,0,0,2,0,0,968,0,4,972,0
253,182,1,17,232,274,0,0,0,1,1,0,1,8,0,0,717,0,5,722,0
254,76,1,20,211,124,0,1,0,0,0,0,0,4,0,0,437,0,1,438,0
255,e 5181,1,25,279,268,1,0,0,2,0,0,0,1,0,0,758,0,2,760,0
256,146,2,18,173,212,2,0,2,0,0,0,1,0,0,1,557,0,5,562,0
257,177,2,10,194,192,0,0,0,0,0,0,0,1,0,1,577,0,4,581,0
258,141,0,16,179,153,0,0,0,0,0,0,0,0,0,0,489,0,2,491,0
259,152,0,11,305,269,1,1,2,1,0,1,0,1,0,0,744,0,5,749,0
260,136,2,26,263,165,2,0,1,0,0,0,0,0,1,0,596,0,2,598,0
261,161,0,40,378,307,2,0,1,1,1,0,0,2,1,2,896,0,3,899,0
262,99,1,12,184,153,0,0,0,1,0,0,0,1,1,1,453,0,4,457,0
263,139,0,14,185,202,1,3,2,1,0,0,0,1,1,0,549,0,7,556,0
264,157,2,10,214,245,0,0,0,1,0,0,0,0,1,0,630,0,2,632,0
265,156,1,13,236,218,0,0,0,0,0,0,0,1,1,0,626,0,8,634,0
266,111,3,16,279,235,1,10,0,0,0,0,0,3,0,1,659,0,2,661,0
267,280,2,32,279,318,2,0,1,0,0,0,0,2,0,1,917,0,6,923,0
268,168,3,21,257,333,0,1,0,4,0,1,0,3,0,2,793,0,2,795,0
269,133,3,19,258,173,0,0,1,0,0,1,0,0,0,1,589,0,4,593,0
270,121,3,15,264,236,1,0,0,2,1,2,1,2,1,1,650,0,5,655,0
271,87,1,20,335,164,0,0,2,1,1,0,0,0,2,0,613,0,2,615,0
272,105,2,11,224,136,0,0,3,3,0,1,1,1,2,1,490,0,1,491,0
273,100,0,15,281,184,2,0,0,1,0,0,1,0,0,0,584,0,1,585,0
274,145,0,9,390,231,1,0,0,0,1,1,0,1,1,0,780,0,2,782,0
275,170,1,31,298,241,0,0,0,1,0,1,0,0,0,0,743,0,2,745,0
276,160,0,16,247,176,1,0,2,1,0,0,0,0,0,0,603,0,4,607,0
277,126,3,19,270,211,0,0,1,0,0,0,0,0,0,0,630,0,2,632,0
278,253,1,29,336,184,1,0,1,2,0,0,1,2,0,0,810,0,3,813,0
279,152,3,27,392,340,0,1,2,0,1,2,1,4,0,1,926,0,3,929,0
280,81,0,12,236,184,0,0,0,0,0,0,0,1,0,1,515,0,6,521,0
281,125,0,14,264,106,0,1,0,0,0,0,1,0,0,1,512,0,3,515,0
282,287,0,41,338,271,1,0,0,1,0,0,0,4,2,0,945,0,4,949,0
283,197,2,29,215,201,1,0,0,2,0,0,0,0,1,0,648,0,2,650,0
284,159,1,14,211,104,0,0,0,0,0,1,1,0,0,0,491,0,4,495,0
285,164,1,26,225,187,1,2,0,1,0,1,0,2,0,1,611,0,0,611,0
286,109,1,10,222,224,0,0,1,0,0,0,1,0,0,0,568,0,1,569,0
287,220,0,30,249,289,2,0,0,0,0,0,0,1,1,1,793,0,1,794,1
288,138,0,10,219,175,1,0,0,0,0,0,2,2,0,2,549,0,4,553,0
289,114,0,17,214,241,0,0,0,1,0,0,0,1,1,1,590,0,3,593,0
290,116,0,13,199,154,0,1,2,2,0,1,0,1,0,0,489,0,2,491,0
291,155,1,34,233,216,0,1,2,1,0,1,2,6,0,0,652,0,5,657,0
292,109,0,10,156,146,2,1,0,1,0,1,0,0,0,0,426,0,4,430,0
293,138,1,25,226,222,2,0,1,1,2,0,1,1,0,0,620,0,2,622,0
294,86,0,20,232,198,0,0,0,1,0,0,2,0,0,0,539,0,1,540,0
295,138,1,18,285,260,0,0,0,1,0,0,2,1,1,1,708,0,3,711,0
296,105,1,13,275,161,2,0,1,2,0,1,2,1,0,1,565,0,6,571,0
297,73,2,17,130,197,1,1,0,1,0,0,0,0,0,1,423,0,4,427,0
298,186,1,14,200,187,1,0,0,1,0,0,0,0,0,0,590,0,3,593,0
299,131,0,21,190,130,0,0,0,0,0,0,0,1,1,0,474,0,4,478,0
300,172,2,26,365,182,0,1,1,0,0,2,0,7,1,0,759,0,5,764,0
301,251,4,19,315,205,1,0,0,3,1,1,7,4,0,2,813,0,5,818,0
302,234,3,33,274,145,1,2,4,1,0,1,4,5,0,2,709,0,13,722,0
303,256,1,28,369,175,0,0,1,0,0,1,1,3,2,0,837,0,2,839,0
304,303,2,16,331,143,1,0,0,1,0,1,1,1,1,0,801,0,5,806,0
305,130,0,11,286,71,2,0,1,0,0,0,1,1,0,1,504,0,2,506,0
306,e 6169,4,25,325,121,3,2,4,3,0,1,2,3,0,2,664,0,6,670,0
