Polling Station No,M SURESH,P K SEKARBABU,R FOUZAN SHARIFF,R MANOHAR,SINORA P S ASHOK,SIVALINGAM ASHOK,ASHOK KUMAR,S GANESH,D KABILAN,M KALAIVENTHAN,SANKAR A,J SHANMUGAPRIYAN,R DINESH,J M NIRAIMOZHI,A NEPOLIAN,BABU SINGH,K E MANOHAR,G VISU,I VINOD,P VIJAYAKUMAR,T VIJAYARAJ,S VEERABATHRAN,V JAGADEESAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,0,137,5,139,200,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,489,0,6,495,0
2,0,202,7,83,237,1,0,1,0,1,3,0,0,1,0,1,1,0,0,0,0,0,0,538,0,7,545,0
3,1,124,7,168,154,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,457,0,3,460,0
4,2,78,4,134,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,304,0,5,309,0
5,3,121,4,193,143,1,0,0,0,0,0,0,0,1,0,4,0,1,0,2,0,0,0,473,0,10,483,0
6,1,171,11,126,268,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,579,0,5,584,0
7,1,118,12,102,205,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,440,0,3,443,0
8,0,117,4,85,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,350,0,3,353,0
9,2,171,3,135,233,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,548,0,6,554,0
10,2,123,9,117,202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,454,0,3,457,0
11,1,122,6,224,182,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,541,0,3,544,0
12,0,111,12,136,174,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,437,0,0,437,0
13,1,118,13,126,168,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,432,0,3,435,0
