Polling Station No,AALANGATTUR ANANDHI,KAVIBHARATHI.K,SIVABALAN.M,HARIBASKAR.P,RAMASAMY.S,EASWARAMURTHI.K,GOBAL.S.C.R,VIJAY VENKATESH.M,KARTHI.M,SANKARKUMAR.K.A,SELVI.A,DHANABAL.C,VEERAN.K,SHEIK DAVOOD.A.M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,8,3,402,396,12,1,2,171,3,2,4,6,8,1,1019,0,1,1020,0
2,0,2,141,152,3,0,0,39,1,1,0,1,5,2,347,0,1,348,0
3,18,2,342,453,8,2,5,204,3,2,6,15,18,6,1084,0,3,1087,0
4,0,1,72,59,1,0,0,35,0,0,0,0,4,0,172,0,0,172,0
5,16,2,252,320,4,3,0,221,1,0,0,7,6,0,832,0,3,835,0
6,5,4,239,331,5,1,0,110,1,1,2,16,13,0,728,0,5,733,0
7,2,0,86,91,0,0,0,51,0,2,1,2,3,0,238,0,0,238,0
8,0,0,79,94,1,1,0,23,0,0,1,5,1,0,205,0,0,205,0
9,11,1,280,249,2,2,2,145,4,1,2,5,5,0,709,0,3,712,0
10,9,2,331,294,10,4,3,176,3,0,0,6,10,5,853,0,4,857,0
11,3,1,190,184,6,1,0,120,1,0,3,2,4,0,515,0,1,516,0
12,5,0,91,70,0,0,0,49,0,2,0,1,1,0,219,0,0,219,0
13,6,3,123,153,4,1,1,52,1,3,1,1,2,2,353,0,2,355,0
14,12,3,273,207,3,2,1,153,5,2,2,6,14,3,686,0,4,690,0
15,7,3,206,154,4,0,3,153,0,6,1,8,6,2,553,0,2,555,0
16,7,3,313,295,7,0,3,201,3,4,0,9,7,6,858,0,2,860,0
17,5,2,429,340,12,0,2,244,1,3,2,10,18,2,1070,0,2,1072,0
18,5,1,213,222,7,2,1,100,0,0,1,3,6,2,563,0,3,566,0
19,2,2,90,103,1,1,4,122,2,0,1,3,3,2,336,0,2,338,0
20,5,2,419,172,2,0,0,122,1,2,0,3,6,3,737,0,2,739,0
21,7,0,342,159,3,1,2,79,2,0,2,8,10,2,617,0,4,621,0
22,9,10,416,308,3,1,1,264,3,2,1,13,22,6,1059,0,2,1061,0
23,13,0,182,193,2,5,1,157,0,2,1,3,5,1,565,0,4,569,0
24,22,3,214,272,4,2,4,320,2,3,2,5,6,1,860,0,7,867,0
25,47,3,235,212,2,8,3,268,2,3,0,4,4,0,791,0,5,796,0
26,17,0,208,149,2,7,3,184,0,1,0,1,2,1,575,0,0,575,0
27,21,0,214,139,4,11,3,281,2,2,0,1,2,0,680,0,1,681,0
28,6,2,225,195,4,0,3,324,1,4,0,4,16,1,785,0,6,791,0
29,14,2,136,139,2,1,0,113,1,0,1,0,5,2,416,0,1,417,0
30,6,1,80,122,1,3,1,99,0,0,0,2,2,3,320,0,0,320,0
31,24,3,209,164,3,0,4,187,1,0,0,3,5,1,604,0,0,604,0
32,10,1,139,73,0,4,2,125,1,0,0,2,1,1,359,0,1,360,0
33,24,1,242,86,1,3,0,238,0,1,2,6,17,3,624,0,2,626,0
34,28,1,232,310,2,20,4,300,2,3,0,6,4,2,914,0,4,918,0
35,14,3,214,129,1,0,2,162,0,3,1,2,3,1,535,0,1,536,0
36,16,1,161,166,3,4,1,142,0,0,0,0,3,1,498,0,1,499,0
37,11,0,158,198,3,2,0,147,0,0,0,1,1,3,524,0,2,526,0
38,24,0,180,277,3,0,0,108,0,0,1,2,5,2,602,0,5,607,0
39,20,1,128,97,1,2,1,123,1,3,1,2,2,1,383,0,1,384,0
40,16,1,474,151,1,2,3,263,1,3,0,6,25,7,953,0,1,954,0
41,38,1,204,255,2,0,4,278,1,0,1,1,2,1,788,0,3,791,0
42,16,5,243,250,6,5,12,273,1,1,1,7,4,1,825,0,4,829,0
