Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,0,765,306,0,54,234,0,113,0,0,0,0,0,1,2,713,0,0,713,0
2,2,0,1024,275,0,70,306,0,274,0,0,0,0,0,0,3,932,0,0,932,0
3,3,0,741,214,0,0,286,0,128,0,0,0,0,0,0,0,645,0,0,645,0
4,0,0,960,398,0,23,195,0,239,0,0,0,0,0,0,2,857,0,0,857,0
5,0,0,697,84,0,27,398,0,106,0,0,0,0,0,0,3,621,0,0,621,0
6,6,0,787,329,0,16,105,0,273,0,0,0,0,0,0,0,737,0,0,737,0
7,7,0,1162,128,0,34,556,0,274,0,0,0,0,3,0,2,1004,0,0,1004,0
8,8,0,1031,204,0,54,419,5,243,0,0,0,0,3,2,0,939,0,0,939,0
9,9,0,1047,449,0,12,335,2,158,0,0,2,3,2,01,0,970,0,0,970,0
10,10,0,686,94,0,42,362,0,99,0,0,0,0,0,2,0,603,0,0,603,0
11,11,0,606,60,0,23,321,0,121,0,0,0,0,0,2,3,533,0,0,533,0
12,12,0,885,197,0,24,134,0,307,0,0,0,0,0,0,0,667,0,0,667,0
13,13,0,958,191,0,25,165,0,301,0,0,0,0,0,0,0,690,0,0,690,0
14,14,0,618,106,0,39,331,0,74,0,0,0,2,0,0,0,560,0,0,560,0
15,15,0,755,164,0,28,385,1,751,0,0,0,0,0,1,0,660,0,0,660,0
16,16,0,1008,374,0,19,262,5,253,0,0,0,2,0,0,3,925,0,0,925,0
17,17,0,823,129,0,21,332,0,144,0,0,0,0,0,0,0,629,0,0,629,0
18,18,0,691,101,0,17,422,0,53,0,0,0,0,0,0,0,601,0,0,601,0
19,19,0,833,264,0,53,256,0,160,0,0,0,0,0,0,0,737,0,0,737,0
20,20,0,1015,243,0,46,365,2,265,0,0,0,0,0,0,0,930,0,0,930,0
21,21,0,606,99,0,10,338,0,77,0,0,0,0,0,0,0,528,0,0,528,0
22,22,0,936,422,0,14,230,2,195,0,0,0,0,0,0,3,867,0,0,867,0
23,23,0,1002,318,0,20,424,0,130,0,0,0,0,0,0,0,898,0,0,898,0
24,24,0,1052,387,0,34,302,0,200,0,0,0,0,0,0,3,937,0,0,937,0
25,25,0,807,148,0,0,409,0,116,0,0,0,0,0,0,0,687,0,0,687,0
26,26,0,1041,239,0,37,485,0,154,0,0,0,0,0,0,0,925,0,0,925,0
