Polling Station No,KATHARBATCHA MUTHURAMALINGAM,GBS K.NAGENDRAN,S.M. MUTHU KESAVAN,DR.J. ABUBAKKAR SITHICK,SHAHUL HAMEED,C. PARIRAJAN,S. MURUGABOOPATHY,KAN ILANGO,KARTHIGAI PANDI,A. CHINNA RAJA,BALAKRISHNAN,PULLANI,K. MALESWARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
341,411,28,21,0,139,0,0,0,0,3,0,0,0,602,0,1,603,0
342,277,144,40,2,262,1,0,3,1,1,1,0,1,733,0,3,736,0
343,210,449,25,0,184,0,2,0,0,2,0,1,0,873,0,1,874,0
344,256,71,8,0,139,0,0,0,0,0,0,0,0,474,0,0,474,0
345,292,135,12,0,128,0,0,1,0,0,0,0,0,568,0,0,568,0
346,237,115,21,1,253,1,0,1,0,0,0,0,0,629,0,0,629,0
347,362,113,47,0,357,1,0,1,0,0,0,2,1,884,0,2,886,0
348,343,26,32,1,249,0,0,0,0,1,1,0,0,653,0,0,653,0
349,71,90,28,0,198,1,0,1,0,0,0,0,1,390,0,2,392,0
350,237,120,26,2,319,2,0,1,0,2,0,0,0,709,0,2,711,0
351,382,52,52,3,439,2,2,1,0,1,1,1,0,936,0,1,937,0
352,122,282,36,0,245,1,0,6,1,3,0,0,2,698,0,4,702,0
353,247,257,26,0,304,9,1,2,0,4,0,2,1,853,0,1,854,0
354,260,189,35,0,275,1,1,2,0,1,0,0,0,764,0,4,768,0
355,80,70,8,0,71,0,0,1,0,0,0,0,0,230,0,2,232,0
356,90,159,11,0,119,1,0,1,0,0,0,2,1,384,0,1,385,0
357,209,370,19,0,213,2,1,4,1,2,0,1,3,825,0,5,830,0
358,99,151,14,0,128,0,0,2,0,12,2,0,2,410,0,2,412,0
359,248,144,22,0,180,0,0,0,0,2,0,0,0,596,0,1,597,0
360,229,172,21,1,230,1,0,3,1,4,1,1,2,666,0,0,666,0
361,141,152,30,0,241,0,0,2,0,1,0,1,1,569,0,2,571,0
362,255,148,31,1,240,0,1,2,0,3,1,1,1,684,0,4,688,0
363,210,228,32,1,228,1,0,3,1,1,0,0,0,705,0,2,707,0
364,94,171,11,0,159,0,0,1,1,2,0,1,1,441,0,2,443,0
365,251,134,40,2,349,0,1,1,0,5,1,2,0,786,0,4,790,0
366,225,151,29,0,339,0,0,1,1,1,1,2,0,750,0,2,752,0
367,159,170,51,1,167,0,0,3,0,0,0,0,0,551,0,1,552,0
368,213,269,27,1,124,0,0,3,1,0,1,0,1,640,0,0,640,0
369,273,174,73,1,223,1,0,7,0,3,0,2,1,758,0,3,761,0
370,188,158,33,4,456,1,8,5,2,4,0,0,3,862,0,4,866,0
371,119,123,27,3,273,0,5,1,2,3,0,2,1,559,0,6,565,0
372,263,190,27,3,379,0,0,2,0,2,0,0,0,866,0,3,869,0
373,159,182,16,0,338,2,0,1,0,1,0,2,2,703,0,3,706,0
374,129,108,36,1,378,1,1,3,1,1,1,1,2,663,0,5,668,0
375,174,177,27,0,331,1,1,7,2,5,1,1,5,732,0,4,736,0
376,234,260,46,0,336,1,0,3,0,1,0,1,2,884,0,0,884,0
377,207,166,54,0,328,1,0,3,1,0,1,1,1,763,0,0,763,0
378,396,17,16,0,108,3,2,2,0,0,0,0,0,544,0,5,549,0
379,157,170,20,0,208,0,2,1,0,2,0,1,1,562,0,1,563,0
380,142,316,39,0,283,3,1,4,0,1,0,2,0,791,0,0,791,0
381,67,78,9,0,90,0,0,1,0,3,0,0,0,248,0,0,248,0
382,135,186,38,1,266,0,1,3,0,3,0,0,0,633,0,2,635,0
383,142,205,37,0,265,0,1,3,1,1,2,1,1,659,0,3,662,0
384,139,241,12,0,162,3,0,2,0,0,0,0,1,560,0,2,562,0
385,213,95,17,2,310,0,0,2,0,1,1,0,0,641,0,1,642,0
386,144,59,27,1,143,1,0,3,0,1,0,0,0,379,0,2,381,0
387,175,102,30,0,287,0,0,9,0,2,0,1,0,606,0,4,610,0
388,127,111,14,0,253,0,0,2,0,1,1,2,1,512,0,0,512,0
389,167,239,30,1,263,1,1,1,1,1,1,1,1,708,0,3,711,0
390,184,247,27,1,190,1,0,5,0,0,0,1,0,656,0,5,661,0
391,225,182,15,2,166,0,1,0,0,3,1,0,1,596,0,2,598,0
392,173,41,9,0,215,0,1,0,0,0,1,0,1,441,0,2,443,0
393,131,185,13,3,378,1,0,14,2,3,1,0,3,734,0,4,738,0
394,92,172,12,1,181,0,0,8,0,1,0,0,1,468,0,2,470,0
395,334,34,31,1,333,0,0,10,0,0,0,0,1,744,0,0,744,0
396,158,265,13,0,214,0,0,7,0,0,0,1,0,658,0,3,661,0
397,187,259,35,1,130,0,2,4,0,0,0,0,1,619,0,3,622,0
398,214,221,25,1,291,0,0,10,2,4,2,2,0,772,0,11,783,0
399,180,256,15,0,234,1,0,6,0,0,0,0,1,693,0,2,695,0
