Polling Station No,KATHARBATCHA MUTHURAMALINGAM,GBS K.NAGENDRAN,S.M. MUTHU KESAVAN,DR.J. ABUBAKKAR SITHICK,SHAHUL HAMEED,C. PARIRAJAN,S. MURUGABOOPATHY,KAN ILANGO,KARTHIGAI PANDI,A. CHINNA RAJA,BALAKRISHNAN,PULLANI,K. MALESWARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
42,474,29,15,2,134,1,0,1,0,1,0,0,0,657,0,1,658,0
43,341,3,11,0,83,0,0,0,0,0,0,0,0,438,0,3,441,0
44,456,5,2,1,52,0,0,0,0,0,0,0,0,516,0,1,517,0
45,504,6,10,0,64,0,0,0,0,0,0,0,0,584,0,2,586,0
46,476,2,8,0,97,0,0,0,0,0,0,0,0,583,0,2,585,0
47,370,7,2,1,72,0,0,0,0,0,0,0,0,452,0,3,455,0
48,209,11,2,1,45,0,0,0,0,0,1,0,0,269,0,2,271,0
49,459,6,6,2,122,0,0,0,0,0,0,1,0,596,0,2,598,0
50,422,3,3,1,107,0,0,1,0,0,0,0,0,537,0,2,539,0
51,244,6,2,0,58,0,0,0,0,0,0,0,0,310,0,1,311,0
52,450,13,10,0,98,1,0,0,0,0,1,0,0,573,0,5,578,0
53,454,3,7,0,95,0,0,0,0,0,1,0,0,560,0,2,562,0
54,309,7,15,0,127,0,0,0,0,1,0,0,1,460,0,3,463,0
55,297,4,5,2,142,0,0,0,0,0,0,0,0,450,0,0,450,0
56,176,168,31,2,272,1,0,1,2,2,0,0,1,656,0,1,657,0
57,74,223,36,1,198,0,0,1,1,0,0,0,1,535,0,2,537,0
58,86,169,16,1,211,2,0,1,1,0,0,0,0,487,0,0,487,0
59,236,137,20,6,327,1,0,1,2,0,0,1,0,731,0,1,732,0
60,400,27,7,0,117,1,0,0,1,0,0,0,0,553,0,2,555,0
61,322,15,4,0,109,0,0,0,0,0,0,0,0,450,0,2,452,0
62,387,3,14,1,135,0,1,0,0,0,0,1,0,542,0,3,545,0
63,287,4,3,2,83,0,0,0,0,0,0,0,0,379,0,1,380,0
64,274,73,14,1,219,1,0,0,0,1,1,3,0,587,0,1,588,0
65,265,33,10,2,165,2,0,0,0,0,0,0,0,477,0,2,479,0
66,207,5,13,1,57,0,0,0,1,0,0,0,0,284,0,0,284,0
67,164,1,5,0,34,0,0,0,0,0,0,0,0,204,0,0,204,0
68,449,5,9,1,117,0,0,0,1,0,0,0,0,582,0,3,585,0
69,203,51,8,2,46,0,0,0,1,1,0,0,0,312,0,4,316,0
70,410,26,6,0,70,0,0,0,0,0,0,0,0,512,0,1,513,0
71,321,8,6,1,76,0,0,0,0,0,0,0,0,412,0,2,414,0
72,328,14,1,1,63,2,0,0,0,0,1,0,0,410,0,3,413,0
73,314,20,13,2,122,0,0,0,0,0,0,0,0,471,0,0,471,0
74,372,6,6,0,56,1,0,0,0,2,0,0,0,443,0,0,443,0
75,393,119,18,1,241,0,0,0,1,1,0,0,3,777,0,3,780,0
76,235,97,12,1,117,0,0,0,0,0,0,0,1,463,0,3,466,0
77,128,61,21,2,97,0,0,1,1,2,0,0,0,313,0,0,313,0
78,350,54,13,0,145,1,1,0,0,2,0,0,0,566,0,5,571,0
79,201,25,21,2,119,0,0,0,0,1,0,0,0,369,0,0,369,0
80,135,99,24,1,164,0,0,0,2,1,2,2,2,432,0,4,436,0
81,128,354,32,4,461,1,1,0,2,1,1,0,0,985,0,1,986,0
82,134,330,31,2,380,2,0,0,1,1,1,1,0,883,0,1,884,0
83,85,209,25,1,254,2,1,2,0,0,3,0,0,582,0,7,589,0
84,82,157,44,1,307,0,2,0,0,0,0,0,0,593,0,1,594,0
85,71,156,17,0,207,1,0,0,0,0,0,2,0,454,0,4,458,0
86,103,120,71,2,202,1,2,2,0,0,0,0,1,504,0,1,505,0
87,141,59,26,1,165,0,1,1,1,4,1,3,2,405,0,2,407,0
88,118,118,49,2,309,0,1,3,1,5,8,1,0,615,0,1,616,0
89,228,177,43,0,167,1,1,1,2,1,2,0,2,625,0,5,630,0
90,610,18,15,1,115,1,1,0,0,0,0,1,0,762,0,6,768,0
91,87,44,27,2,86,0,0,1,0,1,0,0,1,249,0,1,250,0
92,194,295,59,2,326,1,0,0,1,3,0,0,2,883,0,2,885,0
93,344,183,28,2,215,1,0,0,1,0,1,2,3,780,0,3,783,0
94,148,6,6,0,37,0,0,0,0,0,0,0,0,197,0,3,200,0
95,142,74,40,3,262,3,0,0,0,0,1,0,1,526,0,3,529,0
96,208,113,24,2,187,1,0,0,0,3,0,2,0,540,0,4,544,0
97,253,166,40,0,334,0,0,0,1,0,1,1,0,796,0,2,798,0
98,92,60,5,0,117,0,2,0,0,0,0,0,0,276,0,0,276,0
99,341,290,42,0,180,0,1,0,0,0,1,0,1,856,0,3,859,0
100,176,126,71,4,241,2,2,1,1,6,2,3,3,638,0,4,642,0
101,100,43,7,0,55,0,0,0,0,3,0,0,1,209,0,3,212,0
102,107,143,16,0,167,0,0,0,0,0,0,0,0,433,0,2,435,0
103,88,139,13,1,141,1,0,0,1,0,0,1,1,386,0,3,389,0
104,98,135,19,0,125,0,0,0,0,0,0,0,1,378,0,3,381,0
105,141,164,17,2,191,0,0,0,0,0,1,0,1,517,0,8,525,0
106,146,189,33,1,201,0,0,0,0,0,0,0,0,570,0,4,574,0
107,76,90,13,1,89,0,1,0,1,0,0,0,0,271,0,2,273,0
108,115,144,16,1,172,0,0,0,0,0,0,0,0,448,0,2,450,0
109,130,166,15,0,169,0,1,0,0,0,0,1,1,483,0,2,485,0
110,105,91,14,1,111,0,0,0,1,0,0,0,0,323,0,0,323,0
111,312,125,11,0,197,0,0,1,0,1,0,0,0,647,0,3,650,0
112,148,125,23,0,222,1,0,0,0,0,0,1,0,520,0,0,520,0
113,133,160,21,2,209,0,0,0,0,1,0,0,0,526,0,6,532,0
114,200,110,23,4,165,2,1,0,0,0,0,1,0,506,0,1,507,0
115,200,74,13,0,144,0,0,0,1,0,0,0,0,432,0,3,435,0
116,180,63,11,0,83,1,0,1,0,0,0,0,0,339,0,1,340,0
117,154,156,27,0,219,0,0,0,0,0,1,1,0,558,0,3,561,0
118,99,111,17,0,165,2,0,0,0,1,1,0,0,396,0,1,397,0
119,200,233,34,0,275,0,0,0,1,2,0,0,0,745,0,1,746,0
120,326,113,19,0,200,0,0,0,1,0,0,0,1,660,0,4,664,0
121,189,99,18,0,162,0,1,1,0,0,0,1,0,471,0,0,471,0
122,105,112,11,0,164,0,1,1,0,1,0,0,1,396,0,3,399,0
123,90,141,14,1,108,1,1,0,0,0,0,0,1,357,0,3,360,0
124,227,186,28,2,243,0,0,0,0,1,1,1,1,690,0,6,696,0
125,99,87,17,0,113,1,0,0,0,0,0,0,0,317,0,1,318,0
126,142,189,21,1,195,0,0,0,0,1,0,1,1,551,0,2,553,0
127,64,136,20,1,191,1,0,0,0,0,0,0,1,414,0,4,418,0
128,117,158,21,0,207,0,1,0,0,0,0,1,1,506,0,3,509,0
129,175,235,25,0,262,0,1,0,1,0,0,0,1,700,0,3,703,0
130,428,31,132,1,283,0,0,2,0,0,1,0,1,879,0,7,886,0
131,206,195,44,1,317,0,0,0,1,0,0,0,2,766,0,5,771,0
132,89,185,10,0,168,1,0,0,0,0,0,0,1,454,0,2,456,0
133,96,202,16,0,179,1,0,0,0,0,0,0,0,494,0,6,500,0
134,85,141,8,2,131,0,0,1,0,0,0,0,0,368,0,1,369,0
135,210,284,13,0,251,1,0,0,0,1,0,2,1,763,0,2,765,0
136,362,153,29,1,178,0,1,2,0,0,0,0,1,727,0,1,728,0
137,137,206,21,0,248,1,0,2,0,0,0,0,1,616,0,1,617,0
138,493,15,20,2,135,0,0,0,0,0,0,1,0,666,0,5,671,0
139,325,1,9,1,64,0,0,0,0,0,0,1,0,401,0,3,404,0
140,264,106,35,0,211,0,0,0,0,0,0,0,0,616,0,2,618,0
141,139,41,7,1,101,1,0,0,0,0,0,0,0,290,0,0,290,0
142,211,134,14,2,250,0,0,1,1,1,0,2,0,616,0,2,618,0
143,277,72,12,0,101,0,2,0,0,1,2,0,0,467,0,2,469,0
144,184,51,12,0,94,0,0,0,0,0,0,0,0,341,0,2,343,0
145,189,173,16,0,258,1,0,0,0,0,0,0,0,637,0,3,640,0
146,386,37,5,1,73,0,0,1,0,0,0,0,0,503,0,1,504,0
147,340,1,4,1,73,0,1,0,0,0,0,0,0,420,0,0,420,0
148,481,40,9,1,146,1,0,1,0,0,0,2,0,681,0,1,682,0
149,623,24,10,1,144,1,0,0,2,0,0,0,0,805,0,1,806,0
150,263,70,5,0,88,0,0,0,0,0,0,0,0,426,0,0,426,0
151,254,164,32,0,251,0,0,0,0,0,0,0,0,701,0,4,705,0
152,131,149,19,1,177,0,1,0,0,0,0,0,2,480,0,0,480,0
153,80,145,8,0,110,1,0,1,1,0,0,0,1,347,0,2,349,0
154,178,111,20,0,131,0,0,0,0,0,0,0,0,440,0,0,440,0
155,139,73,24,2,331,0,0,0,1,0,0,1,1,572,0,2,574,0
156,179,94,42,2,449,2,0,1,1,1,1,2,0,774,0,4,778,0
157,223,68,17,1,353,1,0,1,1,2,2,0,0,669,0,2,671,0
158,233,269,66,0,335,0,0,0,0,0,0,0,0,903,0,2,905,0
159,107,141,17,0,145,0,0,0,0,0,0,0,0,410,0,1,411,0
160,91,42,17,0,98,0,2,0,0,0,0,0,0,250,0,1,251,0
161,132,126,20,0,110,0,0,1,0,0,0,0,1,390,0,3,393,0
162,210,101,20,0,229,0,1,2,0,0,0,1,0,564,0,5,569,0
163,210,97,21,2,136,0,0,0,0,0,0,1,0,467,0,0,467,0
164,88,129,9,0,143,1,0,0,0,0,0,1,0,371,0,0,371,0
165,88,76,18,1,115,1,0,1,0,1,0,0,0,301,0,1,302,0
166,207,96,17,1,168,0,0,1,0,0,0,0,1,491,0,2,493,0
167,177,140,35,0,209,0,1,0,0,1,0,1,1,565,0,3,568,0
168,178,124,25,1,150,1,0,0,0,0,0,1,0,480,0,4,484,0
169,201,236,27,0,232,0,0,0,0,0,0,1,0,697,0,4,701,0
170,178,191,36,2,221,0,0,1,1,1,0,1,1,633,0,5,638,0
171,235,50,50,2,191,2,0,0,0,2,0,1,1,534,0,6,540,0
172,219,93,39,1,220,1,0,1,1,3,0,0,0,578,0,1,579,0
173,177,156,29,0,162,0,1,0,0,6,0,0,0,531,0,2,533,0
174,60,99,6,0,89,0,0,0,0,0,0,1,0,255,0,1,256,0
175,91,334,26,0,159,1,0,0,1,1,0,2,3,618,0,3,621,0
176,117,257,69,0,178,0,1,1,3,0,1,2,3,632,0,7,639,0
177,117,346,39,5,239,0,0,1,4,0,2,2,1,756,0,1,757,0
178,259,199,39,1,191,0,1,2,3,2,0,3,2,702,0,4,706,0
179,109,203,32,1,256,0,0,0,1,2,0,2,2,608,0,10,618,0
180,77,207,12,2,217,1,1,0,0,2,3,2,2,526,0,1,527,0
181,77,510,46,0,134,0,0,1,2,2,0,2,3,777,0,3,780,0
182,87,281,19,0,99,0,1,0,1,0,0,1,4,493,0,1,494,0
183,226,218,12,0,64,0,0,0,1,0,0,0,1,522,0,1,523,0
184,430,87,23,1,60,2,0,1,0,0,0,0,0,604,0,2,606,0
185,160,302,58,0,214,0,0,1,0,2,1,1,1,740,0,3,743,0
186,230,298,45,2,195,1,0,0,0,1,0,1,0,773,0,1,774,0
187,55,250,34,1,166,0,0,1,0,1,0,0,3,511,0,3,514,0
188,106,249,49,2,307,1,0,3,3,5,0,2,6,733,0,9,742,0
189,144,297,86,0,343,0,2,1,2,2,0,0,2,879,0,4,883,0
190,83,206,29,2,172,1,0,1,1,0,2,0,3,500,0,1,501,0
191,182,320,47,2,276,1,1,1,2,1,1,0,1,835,0,3,838,0
192,267,119,31,0,208,1,1,1,0,3,0,2,1,634,0,0,634,0
193,244,267,106,0,172,0,0,1,0,1,1,1,4,797,0,6,803,0
194,80,395,17,1,65,0,0,0,0,0,0,0,4,562,0,1,563,0
195,150,305,35,1,173,0,0,0,0,2,1,0,2,669,0,1,670,0
196,55,425,13,0,100,0,0,0,0,0,0,1,2,596,0,3,599,0
197,54,357,17,1,84,0,0,0,0,1,0,0,0,514,0,0,514,0
198,53,288,10,0,75,0,1,0,0,0,0,0,1,428,0,3,431,0
199,179,275,27,0,135,1,0,1,0,0,0,0,1,619,0,0,619,0
200,101,357,21,1,195,1,0,0,1,1,0,0,2,680,0,3,683,0
201,65,314,19,0,162,1,0,0,0,1,2,1,1,566,0,1,567,0
202,181,118,23,0,189,1,1,0,0,0,0,1,0,514,0,2,516,0
203,297,97,17,3,319,2,0,0,2,2,0,0,0,739,0,4,743,0
204,82,114,20,1,134,0,0,0,0,0,0,1,1,353,0,2,355,0
