Polling Station No,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
14,65,11,149,2,1,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,535,0,2,537,0
15,46,5,144,1,3,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,2,395,0
16,99,8,233,0,1,264,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,612,0,5,617,0
17,66,8,124,0,0,246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,446,0,2,448,0
18,47,12,164,0,0,257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,483,0,1,484,0
19,75,9,164,0,0,231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,482,0,2,484,0
20,74,10,177,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,3,485,0
21,83,17,177,2,2,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,585,0,4,589,0
22,85,12,167,1,1,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,3,497,0
23,84,21,188,0,1,328,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,626,0,6,632,0
24,80,10,238,2,1,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,576,0,4,580,0
