Polling Station No,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
176,34,13,428,4,1,207,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,690,0,3,693,0
177,30,17,518,3,1,224,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,798,0,1,799,0
178,7,7,436,1,2,152,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,607,0,2,609,0
179,34,16,473,1,1,159,6,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,1,3,0,0,700,0,3,703,0
180,46,17,390,0,2,223,3,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,687,0,0,687,0
181,54,13,293,3,0,206,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,570,0,3,573,0
182,44,17,418,1,0,188,4,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,679,0,7,686,0
183,62,7,296,1,0,247,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,618,0,3,621,0
184,75,16,179,0,0,251,4,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,530,0,1,531,0
185,61,12,340,0,0,183,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,599,0,3,602,0
186,100,15,215,0,0,230,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,565,0,3,568,0
187,121,15,240,1,0,198,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,580,0,4,584,0
188,31,18,296,3,0,319,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,2,0,0,0,675,0,0,675,0
189,128,16,258,0,0,195,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,603,0,4,607,0
190,90,19,261,1,1,281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,655,0,1,656,0
191,107,14,279,0,1,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,595,0,5,600,0
192,65,10,302,2,1,208,3,0,4,0,1,1,0,1,0,1,1,0,2,0,0,1,0,0,0,0,603,0,7,610,0
193,158,22,191,1,0,154,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,531,0,10,541,0
194,119,5,118,0,0,119,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,364,0,10,374,0
195,118,15,222,1,1,289,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,650,0,6,656,0
196,260,17,140,0,1,144,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,569,0,5,574,0
197,181,16,173,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,540,0,13,553,0
198,210,16,200,0,0,178,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,607,0,11,618,0
199,158,19,183,0,1,174,1,1,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,543,0,3,546,0
200,84,17,299,1,0,322,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,728,0,3,731,0
201,31,6,190,2,0,160,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,395,0,0,395,0
202,58,13,143,0,1,226,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,447,0,0,447,0
203,113,7,190,2,0,472,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,2,793,0,0,793,0
204,ge 341,4,264,1,0,349,3,0,0,1,0,2,2,0,3,0,0,0,0,0,1,1,0,0,0,0,672,0,0,672,0
205,80,25,177,1,1,331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,618,0,1,619,0
206,70,22,221,1,0,377,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5,0,1,0,701,0,1,702,0
207,34,18,444,0,0,272,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,775,0,4,779,0
208,77,6,299,1,0,248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,637,0,3,640,0
209,71,15,228,0,0,208,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,527,0,2,529,0
210,39,8,171,0,0,142,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,364,0,2,366,0
211,45,14,168,2,2,267,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,3,0,2,0,509,0,1,510,0
212,62,12,226,3,0,319,0,0,1,1,0,1,0,0,0,1,2,0,2,1,2,1,1,0,0,0,635,0,2,637,0
213,25,14,126,1,2,168,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,342,0,3,345,0
214,57,16,144,2,0,269,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,492,0,2,494,0
215,73,16,236,0,0,374,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,706,0,4,710,0
216,82,17,197,1,0,258,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,560,0,3,563,0
217,38,15,233,2,0,370,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,2,670,0,3,673,0
218,45,5,171,2,0,235,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,464,0,0,464,0
219,37,18,258,1,0,253,1,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,574,0,4,578,0
220,35,10,184,2,0,212,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,448,0,0,448,0
221,46,12,128,1,0,269,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,461,0,0,461,0
222,76,14,188,1,0,341,2,0,0,0,0,1,0,0,0,2,0,0,1,0,1,1,4,0,0,1,633,0,1,634,0
223,34,7,153,1,0,211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,1,408,0
224,30,11,168,0,2,257,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,472,0,1,473,0
225,46,19,153,0,0,251,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,473,0,2,475,0
226,24,5,221,2,1,295,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,554,0,2,556,0
227,35,5,158,1,0,408,1,0,0,0,1,0,1,0,0,1,2,0,0,0,3,1,7,0,0,1,625,0,3,628,0
228,49,11,174,0,1,333,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,575,0,1,576,0
229,45,7,109,1,2,282,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,452,0,1,453,1
230,47,21,149,2,0,273,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,500,0,0,500,0
231,19,11,322,2,1,280,2,0,0,1,0,0,0,0,1,2,1,0,1,0,1,1,1,0,0,1,647,0,1,648,0
232,17,6,380,1,1,337,2,0,0,1,0,0,1,0,1,2,2,0,2,0,1,0,3,1,1,1,760,0,3,763,0
233,40,19,236,1,1,391,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,695,0,1,696,0
234,36,25,192,1,1,423,3,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,2,0,0,0,690,0,1,691,0
235,70,29,256,1,1,477,1,0,0,0,1,0,0,0,1,2,1,0,2,3,2,4,2,2,0,0,855,0,3,858,0
