Polling Station No,Candidate_1,RAMUK KOHSA.A,NARAHDIRIG.M,MANIHTARINUM.M.A,LIPAK.G,NANAVARAS.K,K.RAKAHDUS,RAMUK LIHTNES .S,HTONIV.R,NADNANA.A,AJARAYALI.S,AMARIBUS.NASARAYIVAK,NANHSIRKALAPOG.N,MAVISAHDAS .V,R.MANAHTNAS,IHTAPUHTES.R,HSENID.M,INALAP.A,INAM.N,YMASINUM.K,MANIHTARINUM.V,NARDNEJAR.T,NAYAJIV.M,NARIDNAHCAMEH.V,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
252,28,8,212,353,294,0,0,1,0,1,4,1,2,1,1,4,0,1,3,2,0,1,2,919,919,0,4,923,0
253,25,1,235,293,140,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,2,1,702,702,0,0,702,0
254,17,0,132,200,127,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,480,480,0,4,484,0
255,21,2,170,271,77,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,546,546,0,1,547,0
256,23,3,231,257,140,1,1,0,0,0,0,1,1,1,1,2,0,3,1,0,0,2,0,668,668,0,1,669,0
257,16,0,178,205,52,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,456,456,0,0,456,0
258,10,1,123,299,135,1,1,0,0,1,26,3,1,2,0,4,1,0,1,0,0,2,0,611,611,0,2,613,0
259,19,1,242,274,112,0,0,0,0,0,0,1,1,0,0,0,0,5,2,2,2,2,0,663,663,0,3,666,0
260,7,1,160,135,326,1,1,0,1,0,2,0,0,1,1,0,1,1,2,0,1,2,0,643,643,0,0,643,0
261,7,0,56,124,263,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,456,456,0,1,457,0
262,26,2,187,542,100,2,0,0,1,0,0,6,3,0,0,3,2,1,0,4,0,3,3,885,885,0,3,888,0
263,10,3,127,154,202,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,503,503,0,0,503,0
264,14,0,173,188,225,0,0,0,0,1,1,0,2,1,0,4,0,0,4,0,1,3,0,617,617,0,1,618,0
265,25,0,105,241,399,1,2,1,0,2,0,0,0,1,1,1,0,4,1,0,2,2,0,788,788,0,2,790,0
266,16,0,112,237,595,2,1,0,4,0,1,3,0,0,0,2,1,0,0,0,0,1,0,975,975,0,0,975,0
267,11,3,283,444,87,0,0,0,0,0,0,1,1,2,0,1,0,0,1,1,0,0,0,835,835,0,3,838,0
268,23,1,147,205,110,1,0,0,1,0,0,0,1,0,1,2,1,0,1,0,1,0,0,495,495,0,1,496,0
269,32,0,161,419,172,0,0,0,1,0,1,0,0,3,0,0,1,3,7,2,0,3,0,805,805,0,0,805,0
270,28,1,264,400,130,0,1,0,0,1,0,2,0,1,0,2,0,4,3,0,0,0,1,838,838,0,2,840,0
271,26,2,189,449,166,2,1,1,1,1,1,0,0,1,0,4,2,2,1,1,0,3,0,853,853,0,2,855,0
272,30,4,306,396,136,1,1,3,0,0,0,5,3,5,2,5,0,2,0,0,1,4,0,904,904,0,0,904,0
273,19,1,116,187,463,0,2,0,2,0,3,1,0,3,1,1,1,2,0,2,1,1,0,806,806,0,1,807,0
274,48,3,178,298,320,0,1,2,1,1,0,0,2,1,1,0,3,3,5,2,6,6,1,882,882,0,4,886,0
275,12,0,102,117,459,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,2,8,1,709,709,0,1,710,0
276,34,0,130,282,144,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,594,594,0,0,594,0
277,25,1,157,265,95,1,1,1,0,0,1,0,1,0,1,0,1,1,2,2,0,3,2,560,560,0,0,560,0
278,21,1,205,285,233,2,0,0,1,0,1,1,1,0,0,1,0,4,3,2,0,3,0,764,764,0,2,766,0
279,26,0,189,316,130,0,0,1,0,0,2,1,1,1,0,1,0,0,2,3,0,3,0,676,676,0,4,680,0
280,21,2,263,524,140,0,0,0,2,1,2,1,4,2,0,1,0,1,2,5,3,1,0,975,975,0,1,976,0
281,29,0,167,205,138,3,0,1,0,0,1,0,0,0,0,0,1,3,2,1,1,0,0,552,552,0,4,556,0
282,28,3,229,309,124,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,699,699,0,1,700,0
283,10,1,169,146,91,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,419,419,0,2,421,0
284,26,0,167,157,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,450,450,0,1,451,0
285,40,1,287,358,214,1,0,0,1,2,1,1,0,0,1,0,0,1,3,5,0,0,0,916,916,0,6,922,0
286,17,1,176,186,124,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,509,509,0,1,510,0
287,26,1,195,306,112,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,2,0,650,650,0,4,654,0
288,26,0,166,370,155,0,2,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,725,725,0,2,727,0
289,24,2,220,343,109,0,0,0,0,0,3,0,0,0,0,0,0,1,3,1,0,1,0,707,707,0,0,707,0
290,17,3,175,248,122,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,569,569,0,4,573,0
291,9,2,46,111,483,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,4,5,0,666,666,0,0,666,0
292,11,1,163,281,402,2,2,1,0,0,1,0,1,2,0,3,1,3,1,2,1,1,3,882,882,0,3,885,0
293,6,1,93,180,248,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,532,532,0,1,533,0
294,6,0,114,208,239,1,0,0,0,0,0,2,0,2,0,0,0,1,0,1,1,0,0,575,575,0,1,576,0
295,20,3,142,218,378,1,0,0,0,0,1,0,0,0,2,1,0,0,2,1,1,3,0,773,773,0,1,774,0
296,32,1,173,262,247,1,1,0,2,0,0,2,2,0,2,1,0,1,5,1,0,0,1,734,734,0,2,736,0
297,23,0,242,281,133,1,0,0,0,0,1,1,0,2,0,2,2,0,0,1,0,2,0,691,691,0,4,695,0
298,36,2,273,305,191,0,0,1,1,0,1,0,2,0,0,1,1,2,1,1,0,0,1,819,819,0,5,824,0
299,30,2,263,329,100,1,0,0,0,0,2,0,3,1,0,1,0,0,2,0,1,1,1,737,737,0,2,739,0
300,18,1,181,185,77,0,0,0,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,469,469,0,3,472,0
301,43,1,272,447,158,0,1,2,1,0,0,1,0,4,0,3,0,0,3,3,2,4,0,945,945,0,3,948,0
302,85,4,317,485,68,0,2,4,2,2,1,0,2,0,0,1,3,4,3,3,1,2,2,991,991,0,3,994,0
303,25,0,233,305,107,2,0,0,0,0,0,0,3,0,0,1,0,0,1,1,1,0,0,679,679,0,0,679,0
304,17,1,223,390,100,0,2,0,0,1,2,1,0,0,0,1,0,0,1,1,0,0,0,740,740,0,2,742,0
305,41,6,350,505,118,2,0,1,0,0,1,1,3,1,0,2,2,2,1,2,2,1,0,1041,1041,0,0,1041,0
306,9,3,189,175,318,2,0,0,0,0,0,1,0,3,0,5,0,0,1,0,2,3,0,711,711,0,3,714,0
307,32,1,234,384,165,1,0,0,0,0,1,1,1,3,0,1,0,0,3,1,1,0,0,829,829,0,2,831,0
308,17,4,262,311,71,1,1,0,0,1,1,1,1,0,0,1,1,1,2,3,0,0,0,679,679,0,2,681,0
309,11,0,176,139,163,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,493,493,0,0,493,0
310,8,0,102,169,167,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,449,449,0,0,449,0
311,11,1,163,174,280,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,634,634,0,1,635,0
312,22,2,162,226,386,0,0,0,0,1,1,2,0,0,0,2,0,1,2,0,1,2,1,811,811,0,3,814,0
313,11,0,93,140,202,0,0,0,0,0,1,1,0,0,0,1,0,0,2,1,2,0,0,454,454,0,0,454,0
314,16,2,212,262,289,2,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,3,0,792,792,0,4,796,0
315,19,0,146,208,168,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,0,548,548,0,1,549,0
316,5,1,100,141,187,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,438,438,0,0,438,0
317,17,2,199,240,170,1,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,635,635,0,5,640,0
318,17,0,199,224,140,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,583,583,0,1,584,0
319,14,0,281,279,139,0,0,1,1,0,1,1,1,0,0,4,1,0,1,0,1,1,0,726,726,0,2,728,0
320,7,2,323,310,120,0,0,0,0,0,1,0,2,1,1,0,0,0,3,1,0,0,0,771,771,0,1,772,0
321,18,0,183,287,284,0,0,0,0,0,0,0,2,2,1,0,1,3,1,4,1,1,0,788,788,0,4,792,0
322,13,1,240,332,227,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,821,821,0,2,823,0
323,29,1,214,297,263,1,1,0,0,1,1,0,0,5,1,1,1,0,0,0,0,0,0,816,816,0,2,818,0
324,29,4,225,456,110,2,1,1,1,1,1,1,2,0,0,1,2,2,3,1,2,1,0,846,846,0,1,847,0
325,35,0,290,416,128,2,0,0,0,1,0,1,0,3,1,3,1,3,1,2,1,0,0,888,888,0,4,892,0
326,21,3,259,369,200,2,0,0,2,0,0,1,0,2,1,3,0,2,1,3,1,1,0,871,871,0,5,876,0
327,28,1,321,402,188,2,1,0,0,0,0,0,1,1,0,0,0,1,1,3,1,0,0,951,951,0,4,955,0
328,13,1,195,193,156,0,0,0,1,0,2,1,0,0,0,0,2,2,1,0,1,1,0,569,569,0,3,572,0
329,8,0,270,242,62,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0,0,588,588,0,2,590,0
330,26,2,189,454,188,4,1,2,0,1,4,2,2,4,3,4,2,2,10,3,6,2,1,912,912,0,4,916,0
331,34,2,216,373,43,0,1,1,0,0,3,0,1,2,0,2,0,1,1,2,1,0,1,684,684,0,2,686,0
332,33,1,256,456,81,2,2,0,3,3,3,1,1,0,0,1,2,1,8,4,2,3,2,865,865,0,1,866,0
333,17,2,171,202,199,0,1,0,1,0,1,0,1,2,0,1,0,0,3,1,0,1,0,603,603,0,1,604,0
334,20,4,109,113,235,0,0,0,1,0,0,1,1,3,0,2,1,0,0,0,0,0,0,490,490,0,0,490,0
335,22,0,191,191,59,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,470,470,0,0,470,0
336,22,2,256,292,268,2,1,0,0,0,2,4,1,2,0,1,0,0,0,0,0,3,0,856,856,0,2,858,0
337,10,2,108,174,390,0,0,0,1,0,2,4,1,0,0,1,1,0,1,2,1,3,0,701,701,0,1,702,0
338,26,0,232,278,71,0,0,2,0,0,0,1,0,4,0,1,0,0,2,0,1,0,0,618,618,0,1,619,0
339,17,2,198,248,293,1,1,0,0,0,2,2,5,2,3,0,0,3,7,3,4,2,1,794,794,0,2,796,0
340,15,0,171,266,42,1,1,0,2,0,0,0,1,1,0,1,0,0,0,1,1,1,1,505,505,0,0,505,0
341,13,0,197,281,395,2,0,0,1,0,0,2,0,0,0,0,0,1,2,1,1,0,0,896,896,0,1,897,0
