Polling Station No,Candidate_1,RAMUK KOHSA.A,NARAHDIRIG.M,MANIHTARINUM.M.A,LIPAK.G,NANAVARAS.K,K.RAKAHDUS,RAMUK LIHTNES .S,HTONIV.R,NADNANA.A,AJARAYALI.S,AMARIBUS.NASARAYIVAK,NANHSIRKALAPOG.N,MAVISAHDAS .V,R.MANAHTNAS,IHTAPUHTES.R,HSENID.M,INALAP.A,INAM.N,YMASINUM.K,MANIHTARINUM.V,NARDNEJAR.T,NAYAJIV.M,NARIDNAHCAMEH.V,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
67,12,1,273,152,51,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,496,496,0,1,497,0
68,42,1,477,518,35,0,0,1,0,0,3,0,0,3,0,0,2,0,1,2,0,0,1,1086,1086,0,2,1088,0
69,10,0,229,216,24,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,483,483,0,1,484,0
70,9,0,164,145,224,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,545,545,0,0,545,0
71,18,15,230,408,107,0,0,1,1,1,0,2,0,1,0,0,1,0,4,0,0,2,0,791,791,0,2,793,0
72,11,8,206,259,96,2,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,590,590,0,3,593,0
73,5,0,84,136,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,285,285,0,0,285,0
74,22,2,309,416,169,2,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,3,0,928,928,0,3,931,0
75,47,4,244,364,152,4,2,0,0,3,2,6,5,2,0,2,2,4,5,1,0,4,4,857,857,0,7,864,0
76,24,1,275,472,70,0,0,0,1,0,3,1,0,0,1,1,0,3,2,1,0,0,0,855,855,0,0,855,0
77,24,1,272,340,140,9,2,1,0,1,2,1,2,5,1,1,0,3,4,1,2,3,3,818,818,0,3,821,0
78,20,1,132,195,238,2,0,0,0,0,1,1,0,0,0,2,0,0,2,1,0,2,0,597,597,0,3,600,0
79,15,1,294,257,204,2,1,0,1,0,2,2,1,1,0,2,1,1,6,5,2,4,0,802,802,0,0,802,0
80,17,2,153,215,584,3,1,0,1,0,3,1,2,2,0,0,2,1,1,0,3,0,0,991,991,0,1,992,0
81,16,1,140,249,67,1,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,480,480,0,2,482,0
82,12,3,192,136,416,2,2,1,0,0,0,2,0,2,1,1,1,1,1,0,2,5,0,780,780,0,1,781,0
83,14,0,93,61,355,2,0,0,0,0,0,1,0,0,0,1,6,0,1,1,3,0,0,538,538,0,1,539,0
84,8,1,193,241,300,2,0,0,1,2,1,1,3,2,0,2,4,1,3,3,3,2,0,773,773,0,0,773,0
85,9,2,119,342,186,1,2,2,0,1,1,1,3,1,1,0,3,0,1,2,1,0,1,679,679,0,0,679,0
86,12,0,179,270,225,2,0,0,0,0,0,2,1,3,0,1,0,3,2,6,2,2,0,710,710,0,0,710,0
87,8,1,57,93,392,1,0,0,1,0,2,21,0,1,0,1,0,0,0,0,2,2,0,582,582,0,2,584,0
88,24,2,137,386,62,2,0,1,0,1,1,7,2,3,2,2,2,0,9,1,2,1,2,649,649,0,2,651,0
89,12,1,131,238,136,1,0,2,0,0,0,7,1,0,0,1,0,1,2,0,1,3,0,537,537,0,2,539,0
90,21,0,195,251,123,1,1,0,0,0,1,2,0,0,0,1,1,6,3,1,1,2,0,610,610,0,2,612,0
91,15,1,48,150,225,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,443,443,0,1,444,0
92,28,2,257,426,70,0,1,1,0,0,3,1,2,1,0,1,1,2,0,3,0,0,0,799,799,0,1,800,0
93,25,2,168,376,146,2,0,0,1,3,4,5,1,6,0,2,2,2,4,5,2,2,1,759,759,0,2,761,0
94,6,1,180,183,40,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,2,2,1,422,422,0,0,422,0
95,5,0,205,157,57,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,432,432,0,0,432,0
96,2,0,261,278,69,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,615,615,0,1,616,0
97,7,1,61,198,396,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,1,672,672,0,2,674,0
98,17,0,105,242,318,3,0,0,1,0,1,1,1,1,0,3,0,1,1,1,0,11,0,707,707,0,1,708,0
99,14,3,89,187,642,2,2,0,1,2,1,2,2,1,0,4,0,6,4,5,8,7,1,983,983,0,3,986,0
100,12,2,111,313,68,2,1,0,0,0,1,1,2,0,0,1,1,0,2,2,1,0,1,521,521,0,2,523,0
101,19,1,243,314,154,2,1,1,2,0,0,1,3,3,2,3,1,0,0,0,1,1,1,753,753,0,1,754,0
102,13,2,210,247,85,0,0,0,1,0,1,1,0,0,0,1,1,0,2,1,2,2,0,569,569,0,2,571,0
103,10,2,198,392,43,2,0,1,0,0,0,1,1,1,0,0,0,0,1,6,1,0,0,659,659,0,1,660,0
104,30,1,259,237,81,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,611,611,0,1,612,0
105,30,0,106,195,713,3,1,1,0,0,1,0,0,0,1,3,1,2,0,2,4,9,1,1073,1073,0,3,1076,0
106,9,0,14,76,868,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,973,973,0,1,974,0
107,34,2,206,273,98,2,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,0,622,622,0,3,625,0
108,42,1,251,268,293,1,0,0,0,0,0,0,0,2,0,1,0,1,2,1,0,1,1,865,865,0,1,866,0
109,18,0,47,161,400,3,0,1,0,0,1,0,0,0,0,1,1,0,2,2,5,3,0,645,645,0,0,645,0
110,10,2,76,108,269,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,4,2,1,477,477,0,0,477,0
111,16,0,92,235,316,2,0,0,0,0,1,0,0,0,0,0,0,1,0,4,3,2,0,672,672,0,4,676,0
112,22,0,73,240,353,2,2,1,2,0,1,2,0,1,0,3,0,0,1,0,0,1,2,706,706,0,3,709,0
113,25,1,154,153,624,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,5,4,0,976,976,0,2,978,0
114,23,1,109,292,96,0,0,1,0,0,1,1,0,1,0,6,1,0,2,0,1,2,0,537,537,0,3,540,0
115,17,2,210,293,78,2,0,0,0,0,1,0,1,0,0,1,1,1,2,1,0,1,0,611,611,0,1,612,0
116,19,2,204,369,47,1,0,2,0,0,1,3,1,2,0,2,0,2,0,0,1,1,0,657,657,0,1,658,0
117,8,1,80,88,425,2,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,613,613,0,1,614,0
118,11,0,81,78,343,0,0,0,0,0,0,1,1,3,0,3,1,1,0,1,2,1,1,528,528,0,2,530,0
119,12,1,59,110,310,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,1,0,500,500,0,0,500,0
120,13,0,62,98,311,3,0,0,0,0,0,1,0,2,0,0,0,1,3,0,0,2,0,496,496,0,1,497,0
121,36,3,164,322,428,2,0,0,1,0,0,1,0,0,0,0,0,3,7,0,1,3,3,974,974,0,2,976,0
122,15,1,164,130,548,1,2,2,0,0,2,1,1,2,1,0,0,0,0,1,1,1,0,873,873,0,2,875,0
123,30,1,85,202,182,3,0,0,1,0,1,0,0,1,0,5,0,1,0,0,1,2,1,516,516,0,3,519,0
124,16,0,47,242,579,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,18,0,910,910,0,0,910,0
125,9,0,38,120,201,0,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,10,0,385,385,0,0,385,0
126,15,0,100,146,539,4,0,0,0,0,0,1,0,3,0,0,0,0,0,3,1,0,1,813,813,0,1,814,0
127,13,0,104,134,427,3,0,0,0,0,1,3,1,1,1,1,0,0,3,1,0,1,0,694,694,0,1,695,0
128,23,0,80,213,612,2,2,2,1,0,1,2,3,0,1,1,3,1,1,1,4,4,0,957,957,0,4,961,0
129,13,0,71,167,470,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,726,726,0,0,726,0
130,8,1,224,251,120,1,0,0,0,0,1,2,0,0,1,2,0,0,0,1,0,1,1,614,614,0,5,619,0
131,23,2,160,273,209,1,1,0,0,2,2,0,0,0,0,1,1,0,1,2,1,3,1,683,683,0,7,690,0
132,29,0,134,271,303,3,0,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,746,746,0,2,748,0
133,27,3,235,323,192,2,0,0,0,2,0,0,0,0,2,2,0,0,0,1,1,0,1,791,791,0,5,796,0
134,28,2,219,416,114,1,0,0,0,3,2,2,2,1,1,4,1,1,4,4,0,3,1,809,809,0,0,809,0
135,10,2,138,323,112,1,1,1,2,0,0,2,0,0,0,1,2,0,2,0,1,4,1,603,603,0,1,604,0
136,13,0,155,212,386,1,1,0,0,1,0,1,0,0,0,2,1,0,1,0,3,0,0,777,777,0,1,778,0
137,16,2,255,436,84,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,800,800,0,1,801,0
138,14,2,107,282,263,2,0,0,0,0,1,3,0,0,0,0,0,0,1,0,3,0,2,680,680,0,2,682,0
139,4,2,63,144,442,2,2,2,0,0,1,1,1,0,0,1,0,1,1,1,0,2,0,670,670,0,0,670,0
140,5,0,147,205,320,2,0,1,0,0,1,1,2,3,1,1,1,2,2,0,1,1,1,697,697,0,2,699,0
141,15,4,95,280,334,0,2,0,1,2,2,0,1,1,0,1,0,1,1,2,3,3,2,750,750,0,1,751,0
142,35,1,325,414,158,1,2,2,0,0,2,0,1,2,1,1,2,0,1,2,0,0,0,950,950,0,0,950,0
143,11,1,64,158,274,1,2,0,0,0,0,1,0,0,0,1,1,0,2,1,1,0,0,518,518,0,0,518,0
144,9,0,58,96,314,2,0,2,0,0,0,0,0,0,0,2,1,1,2,1,2,1,1,492,492,0,0,492,0
145,26,3,118,228,276,3,1,1,0,1,2,1,2,1,1,2,0,1,1,1,2,0,0,671,671,0,2,673,0
146,16,3,109,251,407,3,1,0,0,0,1,0,0,0,1,1,2,3,4,3,4,3,3,815,815,0,3,818,0
147,16,1,78,98,517,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,1,1,719,719,0,3,722,0
148,16,2,52,182,433,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,5,0,696,696,0,2,698,0
149,23,2,205,347,375,0,2,1,0,1,0,1,0,0,0,2,1,0,1,0,0,3,0,964,964,0,1,965,0
150,5,2,114,136,154,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,420,420,0,0,420,0
151,7,2,54,164,321,0,1,1,0,0,4,0,0,0,0,2,0,1,0,2,2,2,0,563,563,0,0,563,0
152,15,1,89,175,548,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,3,0,839,839,0,2,841,0
153,21,1,170,213,399,5,1,2,0,0,0,1,0,0,1,1,1,2,4,3,2,2,0,829,829,0,4,833,0
154,16,1,28,195,425,2,1,0,1,1,0,4,1,0,1,1,0,0,0,0,0,5,0,682,682,0,2,684,0
155,26,2,304,415,63,0,0,1,0,0,0,0,1,2,0,0,0,2,2,0,1,0,1,820,820,0,2,822,0
156,19,1,213,465,46,1,0,0,0,0,2,0,1,0,0,1,1,0,0,1,0,0,0,751,751,0,0,751,0
157,30,0,210,260,240,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,746,746,0,3,749,0
158,15,1,92,195,382,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,693,693,0,2,695,0
159,25,0,238,279,234,0,1,0,0,0,2,1,0,0,0,2,2,2,2,1,0,2,0,791,791,0,4,795,0
160,1,0,104,194,206,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,3,4,0,518,518,0,1,519,0
161,13,1,117,236,418,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,789,789,0,1,790,0
162,20,1,161,243,385,2,2,0,0,1,0,0,0,0,0,0,0,1,3,2,2,6,0,829,829,0,1,830,0
163,19,2,110,278,132,3,1,0,0,1,0,1,0,0,2,2,0,0,0,0,0,1,1,553,553,0,1,554,0
164,9,0,29,144,374,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,560,560,0,0,560,0
165,9,1,75,165,313,1,0,0,0,0,0,4,0,1,1,0,0,0,0,2,1,1,0,574,574,0,1,575,0
166,23,3,87,226,356,1,2,0,0,1,1,0,0,0,0,1,1,3,2,1,2,3,0,713,713,0,4,717,0
167,4,0,43,161,383,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,0,1,599,599,0,1,600,0
168,10,0,160,120,226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,520,520,0,0,520,0
169,17,2,86,219,273,4,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,4,0,611,611,0,1,612,0
170,12,0,105,182,115,1,1,1,1,1,0,1,1,0,0,0,0,0,2,1,0,1,1,426,426,0,0,426,0
171,37,1,52,364,515,3,1,1,0,2,0,1,5,0,0,0,2,1,1,1,2,4,0,993,993,0,2,995,0
172,16,1,189,355,348,0,2,2,0,1,0,2,1,1,0,0,1,0,4,2,1,2,0,928,928,0,4,932,0
173,25,0,168,151,73,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,424,424,0,1,425,0
174,11,1,53,138,404,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,609,609,0,1,610,0
175,9,0,27,138,427,1,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,608,608,0,0,608,0
176,60,3,215,387,225,2,1,0,0,0,2,0,5,2,0,2,1,3,4,4,2,2,0,920,920,0,5,925,0
177,5,0,42,185,128,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,2,0,368,368,0,1,369,0
178,10,1,86,196,187,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,1,489,489,0,2,491,0
179,10,3,167,216,9,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,410,410,0,2,412,0
180,22,0,183,359,192,0,1,1,0,0,0,0,0,0,0,3,2,1,3,2,3,2,0,774,774,0,3,777,0
181,16,0,201,246,73,0,0,1,0,0,0,1,1,0,0,0,2,3,0,2,0,0,0,546,546,0,1,547,0
182,11,0,59,183,436,1,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,0,700,700,0,2,702,0
183,6,0,122,191,329,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,651,651,0,1,652,0
184,6,0,90,195,375,0,0,0,1,0,2,6,0,2,0,0,0,1,0,0,0,0,0,678,678,0,0,678,0
185,5,0,62,155,463,0,1,0,2,0,0,1,0,2,0,0,1,0,1,0,0,0,0,693,693,0,1,694,0
186,11,0,46,153,407,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,4,0,627,627,0,0,627,0
187,16,1,46,185,274,1,1,1,0,1,1,3,3,3,0,4,2,0,2,0,4,0,0,548,548,0,0,548,0
188,15,1,175,300,372,2,4,0,0,1,2,1,0,1,2,3,1,1,8,5,2,7,0,903,903,0,4,907,0
189,21,0,184,201,133,2,0,0,0,0,1,1,0,0,0,0,1,1,3,0,1,2,0,551,551,0,1,552,0
190,20,1,20,138,335,2,0,0,1,2,1,0,0,0,0,1,0,1,3,0,1,3,1,530,530,0,0,530,0
191,18,1,259,287,34,0,0,0,0,0,1,0,0,1,0,0,1,2,5,1,0,0,1,611,611,0,0,611,0
192,8,1,23,116,359,2,0,1,1,0,1,0,4,0,0,1,0,1,0,3,2,6,0,529,529,0,0,529,0
193,4,0,37,115,352,3,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,519,519,0,0,519,0
194,67,0,164,367,108,0,0,0,1,0,1,0,2,1,0,1,0,1,0,0,1,1,0,715,715,0,1,716,0
195,12,1,111,162,287,1,0,0,1,0,0,0,1,2,0,2,0,1,1,3,0,1,2,588,588,0,2,590,0
196,11,1,143,444,62,1,0,0,0,1,0,1,0,2,0,1,0,0,3,4,2,4,0,680,680,0,0,680,0
197,5,2,370,203,48,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,633,633,0,0,633,0
198,12,0,347,164,69,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,598,598,0,0,598,0
199,47,2,198,512,88,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0,853,853,0,1,854,0
200,10,0,59,97,330,8,0,0,0,1,0,0,1,0,1,0,2,1,0,1,1,3,1,516,516,0,1,517,0
201,4,0,156,230,110,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,506,506,0,5,511,0
202,12,0,60,136,441,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,650,650,0,0,650,0
203,19,0,59,137,465,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,688,688,0,2,690,0
