Polling Station No,KRISHNASWAMY.A,MEKALA.J,RAJASEKARAN.K,ELUMALAI.T.A,PRAKASAM.R,SIVAKUMAR.S,DHASARATHAN.R,PURUSHOTHAMAN.B,RAVIKUMAR.M,VELU.S,DR.JAYANTHI.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
124,265,23,6,56,404,0,0,0,1,1,1,757,0,1,758,0
125,173,14,2,148,252,0,0,1,1,0,1,592,0,5,597,0
126,193,19,1,66,347,1,0,1,1,0,0,629,0,3,632,0
127,235,28,0,111,378,2,0,0,0,0,0,754,0,5,759,0
128,197,20,0,167,331,1,0,0,4,0,2,722,0,2,724,0
129,164,12,1,134,260,0,0,0,0,0,1,572,0,0,572,0
130,308,27,3,69,375,0,0,0,0,0,1,783,0,3,786,0
131,166,19,2,72,384,0,0,0,0,1,0,644,0,3,647,0
132,167,17,1,71,366,0,0,0,1,0,0,623,0,4,627,0
133,185,13,2,52,156,0,0,0,0,0,1,409,0,1,410,0
134,229,32,0,109,372,0,0,1,0,2,0,745,0,2,747,0
135,249,44,0,83,471,1,0,0,0,0,0,848,0,5,853,0
136,296,40,1,128,440,0,0,0,0,0,0,905,0,6,911,0
137,190,33,1,61,334,0,0,0,0,1,2,622,0,6,628,0
138,243,29,2,51,278,0,0,0,0,2,0,605,0,2,607,0
139,161,18,0,50,261,0,0,0,4,1,1,496,0,1,497,0
140,176,31,0,95,354,0,1,0,0,2,1,660,0,1,661,0
141,189,53,3,114,495,1,1,1,0,1,0,858,0,10,868,0
142,193,36,0,58,519,1,0,0,2,0,1,810,0,3,813,0
143,189,21,1,99,451,2,0,2,1,0,0,766,0,4,770,0
144,215,29,0,166,520,0,2,1,1,0,1,935,0,3,938,0
145,222,19,1,108,509,0,0,0,1,0,1,861,0,1,862,0
146,187,32,0,212,472,0,0,0,2,1,1,907,0,6,913,0
147,212,42,2,88,474,0,1,0,0,0,0,819,0,1,820,0
148,117,26,0,42,189,0,0,0,0,0,1,375,0,3,378,0
149,184,12,3,194,494,1,1,1,2,3,0,895,0,7,902,0
150,122,30,0,159,420,1,0,1,0,0,0,733,0,5,738,0
151,182,22,3,135,461,2,0,3,1,0,1,810,0,5,815,0
152,190,24,5,72,399,2,0,1,0,0,1,694,0,4,698,0
153,178,21,5,56,358,1,0,0,0,0,0,619,0,2,621,0
154,153,20,1,52,266,1,0,0,1,0,0,494,0,0,494,0
155,122,17,0,64,189,0,0,1,0,0,0,393,0,4,397,0
156,197,16,2,66,336,1,0,1,0,0,0,619,0,9,628,0
157,96,15,2,24,224,0,0,0,0,0,0,361,0,0,361,0
158,227,42,1,87,449,0,1,1,2,0,1,811,0,4,815,0
159,288,32,1,59,366,0,0,0,0,0,0,746,0,4,750,0
160,135,11,1,34,341,1,1,1,0,0,1,526,0,5,531,0
161,179,25,0,47,350,1,0,1,1,1,2,607,0,3,610,0
162,206,28,1,62,454,1,0,1,1,0,1,755,0,3,758,0
163,200,41,0,55,483,0,0,0,0,0,0,779,0,3,782,0
164,225,33,0,85,374,0,0,1,0,2,0,720,0,4,724,0
165,173,23,0,33,304,1,0,0,0,1,0,535,0,1,536,0
166,177,44,0,68,500,0,1,1,1,1,0,793,0,5,798,0
167,212,46,0,57,476,0,0,0,1,0,1,793,0,2,795,0
168,236,35,1,72,522,1,0,0,0,0,0,867,0,7,874,0
169,223,28,1,63,366,1,0,0,0,0,0,682,0,4,686,0
170,204,16,1,67,238,1,1,1,2,2,0,533,0,2,535,0
171,219,29,2,57,507,1,0,0,0,0,0,815,0,1,816,0
172,222,52,1,107,519,2,1,2,1,1,1,909,0,4,913,0
173,137,27,0,29,527,3,0,0,1,0,1,725,0,3,728,0
174,208,46,2,63,491,1,0,1,0,1,0,813,0,4,817,0
175,177,16,2,93,386,0,0,0,0,1,0,675,0,5,680,0
176,188,51,2,91,421,0,0,0,1,1,1,756,0,4,760,0
177,206,27,2,113,407,0,0,0,1,0,0,756,0,3,759,0
178,192,19,1,68,346,0,0,0,3,0,0,629,0,2,631,0
179,209,24,3,66,411,1,1,0,1,3,0,719,0,8,727,0
180,211,39,2,80,484,0,0,0,2,1,0,819,0,6,825,0
181,212,40,1,59,402,0,0,0,0,0,0,714,0,6,720,0
182,156,32,1,67,379,2,0,0,1,0,0,638,0,3,641,0
183,223,15,1,66,251,0,0,1,0,0,0,557,0,9,566,0
184,146,22,1,89,379,1,0,1,0,0,0,639,0,4,643,0
185,131,22,0,51,270,0,0,0,0,0,0,474,0,2,476,0
186,180,22,0,58,294,0,0,0,2,0,0,556,0,4,560,0
187,115,28,0,60,264,1,1,0,1,0,0,470,0,3,473,0
188,175,18,5,189,413,2,1,0,0,2,0,805,0,3,808,0
