Polling Station No,KRISHNASWAMY.A,MEKALA.J,RAJASEKARAN.K,ELUMALAI.T.A,PRAKASAM.R,SIVAKUMAR.S,DHASARATHAN.R,PURUSHOTHAMAN.B,RAVIKUMAR.M,VELU.S,DR.JAYANTHI.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
266,245,13,1,152,403,0,1,0,1,0,0,816,0,3,819,0
267,261,20,1,86,522,2,0,0,1,0,0,893,0,0,893,0
268,213,26,2,133,417,0,0,0,2,1,0,794,0,1,795,0
269,161,27,0,113,359,1,0,0,1,0,0,662,0,3,665,0
270,122,31,0,137,316,0,0,0,2,0,0,608,0,2,610,0
271,305,17,0,186,363,0,0,0,1,0,1,873,0,1,874,0
272,129,3,0,77,186,1,0,0,0,0,0,396,0,1,397,0
273,273,28,2,124,415,1,0,2,1,0,0,846,0,4,850,0
274,203,25,0,69,322,0,2,0,0,2,1,624,0,6,630,0
275,194,34,2,97,313,0,0,1,1,0,0,642,0,5,647,0
276,258,42,2,104,350,1,0,0,0,0,1,758,0,5,763,0
277,87,29,1,55,328,1,1,1,1,0,0,504,0,5,509,0
278,86,36,1,54,311,0,1,0,0,0,0,489,0,1,490,0
279,82,10,1,40,96,1,0,0,1,1,2,234,0,0,234,0
280,149,44,0,70,505,1,0,0,0,0,0,769,0,4,773,0
281,113,28,0,49,242,0,0,1,1,1,0,435,0,3,438,0
282,193,40,1,169,383,2,0,1,1,0,0,790,0,6,796,0
283,91,20,1,54,227,1,0,0,2,1,0,397,0,1,398,0
284,134,49,2,77,581,2,2,1,0,0,1,849,0,0,849,0
285,73,43,1,73,370,1,1,1,0,1,0,564,0,2,566,0
286,173,30,0,112,267,0,0,0,1,0,2,585,0,6,591,0
287,274,30,2,60,362,0,0,1,0,1,0,730,0,2,732,0
288,244,37,3,93,266,0,0,1,0,1,1,646,0,5,651,0
289,316,19,1,80,460,0,0,0,1,0,0,877,0,2,879,0
290,226,23,0,62,259,0,0,0,0,0,1,571,0,1,572,0
291,280,45,1,89,394,0,0,0,0,0,1,810,0,6,816,0
292,153,24,1,88,263,0,0,2,2,2,0,535,0,3,538,0
293,179,33,0,79,338,1,0,1,0,0,2,633,0,3,636,0
294,225,38,1,98,374,0,0,0,1,0,1,738,0,11,749,0
295,160,23,0,43,240,0,1,1,1,1,2,472,0,3,475,0
296,114,19,0,26,221,0,0,0,0,0,0,380,0,2,382,0
297,146,29,3,72,267,0,0,0,0,0,2,519,0,9,528,0
298,129,30,3,66,266,1,0,0,0,2,4,501,0,0,501,0
299,144,31,0,85,245,0,0,0,0,0,1,506,0,4,510,0
300,143,34,1,66,242,0,0,0,0,0,0,486,0,3,489,0
301,173,48,0,83,460,1,0,1,0,0,1,767,0,9,776,0
302,198,40,1,87,444,0,0,0,0,0,2,772,0,3,775,0
303,170,44,1,54,437,1,0,0,1,0,1,709,0,3,712,0
304,191,42,2,77,425,0,1,1,2,2,0,743,0,2,745,0
305,187,43,2,102,495,0,0,1,0,1,1,832,0,4,836,0
306,188,32,0,66,351,0,2,0,0,0,0,639,0,4,643,0
307,210,29,0,83,417,0,0,0,1,1,0,741,0,5,746,0
308,189,38,3,83,432,1,0,0,1,0,2,749,0,5,754,0
309,171,33,1,134,369,0,1,3,0,0,0,712,0,2,714,0
310,184,23,0,109,339,1,0,0,1,0,1,658,0,4,662,0
311,159,36,1,73,334,0,0,0,0,0,0,603,0,4,607,0
312,221,46,0,77,368,0,1,0,0,1,0,714,0,4,718,0
313,245,38,2,126,304,1,1,0,0,2,7,726,0,7,733,0
314,152,17,2,74,251,0,0,1,2,0,0,499,0,0,499,0
315,222,19,0,90,321,0,0,5,0,0,1,658,0,5,663,0
316,192,17,3,71,265,1,0,1,0,0,1,551,0,1,552,0
317,180,39,2,95,272,0,0,0,0,2,0,590,0,1,591,0
318,193,30,0,131,325,0,0,0,0,0,1,680,0,2,682,0
319,140,24,0,81,303,0,0,0,1,0,0,549,0,3,552,0
320,308,41,1,105,348,0,0,1,0,0,4,808,0,3,811,0
321,219,21,1,72,278,1,0,0,1,0,0,593,0,2,595,0
322,300,44,1,103,400,0,0,0,1,0,4,853,0,8,861,0
323,195,27,1,98,303,1,0,0,0,0,2,627,0,4,631,0
324,210,30,0,95,223,0,0,1,0,0,1,560,0,6,566,0
325,170,14,3,61,274,1,0,0,0,0,1,524,0,2,526,0
326,163,7,1,63,266,0,0,0,1,0,1,502,0,1,503,0
