Polling Station No,Candidate_1,. V . N A V ) K O D G M N D A L ( E . R D,. K . I M H S ) K K A T L N A ( H T N A H S,. A . N A) K N P AJ VA A( R A S,. G . I ) M K A M G T A ( V I S,. M ) . K N V A T V ( I S,I N A M U B N) K AM AP Y( I M W O S,. J B D .) HK TV NA AT S( A R P,. S ) . N K A L M D N T W A K H I S N V A ( M,) K . P L K . U M H M D L A D M A N (,. I N U M .) MD AN GI U( M U R A,. V . ) R D A N M I U ( K,. G . N A ) N D A N V I ( A R A S,. R ) . MD AN VI ( I S,. A ) . N D A N V I ( I S,. Y H T R O O ) D M. M N A I R ( A D N U S,. M . I H ) TD AN P I U( R I H T,. D . N A) JD AN RI A( G A N,. K . ) I D N N A I L ( A P,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
228,228,140,19,0,1,170,459,1,1,1,0,0,4,0,0,1,2,2,0,2,803,0,4,807
229,229,128,11,0,0,127,202,0,1,1,0,1,0,1,1,0,1,1,0,1,476,0,0,476
230,230,190,17,0,1,200,331,2,1,2,1,0,5,1,1,0,2,0,0,2,756,0,6,762
231,231,172,11,2,0,134,244,0,1,0,0,2,11,0,0,0,4,1,0,0,582,0,1,583
232,232,241,28,2,1,242,373,2,1,1,2,1,7,0,1,1,4,3,1,0,911,0,4,915
233,233,88,5,2,0,107,136,1,3,0,0,0,2,0,0,0,0,1,1,0,346,0,0,346
234,234,159,12,6,2,155,337,3,2,0,1,3,1,0,2,0,2,0,1,0,686,0,2,688
235,235,84,9,6,1,164,534,4,0,0,2,1,5,1,5,1,1,1,0,0,819,0,2,821
236,236,122,14,4,1,175,392,1,4,1,0,6,5,0,2,0,5,2,1,1,736,0,3,739
237,237,147,11,2,0,156,346,1,5,2,1,3,7,1,2,1,2,2,0,1,690,0,0,690
238,238,100,15,1,3,143,280,1,4,2,0,3,4,0,0,0,4,0,2,0,562,0,1,563
239,239,49,8,0,0,100,241,0,2,3,1,1,2,0,1,0,2,1,0,0,411,0,0,411
240,240,80,10,1,0,77,240,1,1,0,0,0,1,0,1,0,2,2,2,0,418,0,0,418
241,241,54,8,1,1,139,189,0,1,0,2,2,1,0,1,2,3,2,0,1,407,0,1,408
242,242,103,11,11,0,176,439,3,0,2,1,3,7,0,1,1,3,0,0,0,761,0,1,762
243,243,231,24,0,1,278,253,1,0,1,0,3,3,0,1,1,2,3,1,0,803,0,2,805
244,244,145,18,0,0,168,351,1,4,1,0,0,5,1,2,0,4,3,0,1,704,0,0,704
245,245,168,65,3,4,183,326,2,5,1,4,4,7,2,3,0,7,3,3,1,791,0,5,796
246,246,235,5,1,0,193,104,0,1,2,0,1,4,1,1,0,1,1,0,0,550,0,1,551
247,247,215,17,0,1,199,335,1,3,4,0,2,4,0,1,1,2,1,3,1,790,0,2,792
248,248,90,16,1,1,147,672,2,8,3,2,1,3,0,2,1,4,6,0,2,961,0,1,962
249,249,93,16,1,0,100,400,0,2,2,0,0,1,1,0,1,1,0,0,0,618,0,2,620
250,250,237,10,0,0,121,123,0,1,1,0,2,3,0,0,2,3,2,1,0,506,0,1,507
251,251,96,25,4,3,439,326,9,3,4,1,4,6,4,1,3,2,4,1,0,935,0,3,938
252,252,82,20,2,1,201,454,2,2,0,0,1,7,1,0,1,1,2,0,1,778,0,0,778
253,253,438,16,1,0,450,38,0,0,3,1,2,5,2,0,0,5,0,0,0,961,0,0,961
254,254,356,8,0,5,303,31,2,0,1,0,0,3,1,1,0,2,3,0,0,716,0,0,716
255,255,278,10,0,1,273,208,3,2,1,0,0,3,0,0,2,0,2,1,0,784,0,2,786
256,256,72,15,0,0,206,410,1,3,1,1,0,2,1,3,1,0,3,2,1,722,0,2,724
257,257,115,23,1,2,199,349,3,5,5,2,2,2,0,0,2,0,0,0,0,710,0,4,714
258,258,433,15,1,0,190,50,1,1,3,0,0,3,0,1,1,13,9,2,0,723,0,0,723
259,259,113,26,1,0,225,450,0,4,0,1,1,4,1,0,0,1,3,1,1,832,0,5,837
260,260,130,18,6,1,178,264,6,1,3,0,0,1,2,0,1,4,0,0,1,616,0,2,618
261,261,97,21,2,0,148,272,6,3,0,1,1,3,0,0,0,0,1,2,0,557,0,2,559
262,262,31,6,2,0,117,235,1,0,0,0,1,2,1,1,1,1,0,1,0,400,0,0,400
263,263,96,13,3,3,292,534,3,4,0,0,0,1,1,1,0,1,2,0,0,954,0,2,956
264,264,101,13,6,1,161,395,2,1,0,0,0,1,1,0,1,5,1,0,0,689,0,4,693
265,265,311,31,2,0,275,301,3,2,0,1,1,2,0,0,2,4,6,0,0,941,0,4,945
266,266,138,15,6,0,212,370,2,4,1,0,0,0,0,0,1,4,1,0,0,754,0,3,757
267,267,134,10,7,3,235,267,2,2,1,1,2,6,2,2,0,6,3,1,0,684,0,3,687
268,268,52,9,3,0,110,163,3,1,1,2,0,3,0,1,0,2,0,0,0,350,0,1,351
269,269,91,22,1,0,179,286,2,2,1,1,1,1,1,2,0,1,1,1,1,594,0,1,595
270,270,112,9,1,1,199,339,2,2,1,3,2,4,0,2,0,2,2,0,0,681,0,1,682
271,271,157,33,1,3,189,284,0,4,1,1,1,2,0,1,0,1,3,2,0,683,0,1,684
272,272,169,15,1,6,221,349,19,2,1,0,1,3,0,1,0,3,2,0,0,793,0,1,794
273,273,140,13,1,2,184,221,24,1,2,3,1,6,0,0,2,1,2,3,0,606,0,1,607
274,274,101,18,1,2,205,285,5,1,1,0,2,8,1,1,2,3,3,0,1,640,0,0,640
275,275,134,33,2,0,184,340,1,3,1,0,0,8,1,0,0,2,1,0,2,712,0,3,715
276,276,150,24,3,1,277,277,9,4,1,0,1,6,0,5,0,5,0,1,0,764,0,4,768
277,277,63,24,9,2,246,402,2,2,3,4,0,4,1,2,0,2,4,0,2,772,0,3,775
278,278,79,7,1,0,99,204,2,0,1,0,2,5,1,1,1,5,2,0,0,410,0,0,410
279,279,118,24,2,0,196,518,13,2,1,2,4,3,1,1,2,8,3,2,0,900,0,1,901
280,280,74,25,0,3,242,436,2,3,4,2,3,2,0,1,1,2,3,1,0,804,0,4,808
281,281,39,25,1,2,152,195,0,1,1,0,1,0,0,3,3,1,1,0,0,425,0,2,427
282,282,127,32,3,6,327,525,7,5,5,1,3,9,0,3,3,6,6,5,2,1075,0,5,1080
283,283,160,42,5,0,208,347,2,1,2,1,2,1,2,4,1,7,6,7,0,798,0,2,800
284,284,218,22,4,0,270,376,3,6,2,1,2,8,0,2,1,1,5,0,1,922,0,1,923
285,285,227,23,5,1,265,309,2,5,1,1,1,3,0,1,0,2,4,1,0,851,0,1,852
286,286,85,13,0,1,108,487,1,4,0,1,2,6,0,2,0,4,2,0,1,717,0,2,719
287,287,62,15,3,1,157,405,1,3,1,0,1,9,1,1,0,0,0,0,0,660,0,2,662
288,288,134,21,4,3,304,454,1,1,3,1,3,10,1,3,0,3,1,0,2,949,0,3,952
289,289,87,8,3,0,101,238,2,0,0,1,0,2,0,0,0,0,1,0,0,443,0,0,443
290,290,135,26,2,1,188,292,2,0,1,0,2,3,2,0,1,2,3,1,1,662,0,0,662
291,291,207,33,2,2,298,375,2,5,1,2,2,1,1,3,1,2,5,0,0,942,0,1,943
292,292,64,7,0,2,157,151,1,2,4,0,1,3,0,1,0,0,0,0,0,393,0,0,393
293,293,318,34,0,7,452,79,1,0,4,1,3,8,2,0,1,4,3,1,1,919,0,2,921
294,294,116,39,4,2,342,372,2,9,2,2,3,3,3,5,1,3,4,1,0,913,0,4,917
295,295,96,25,1,1,162,362,1,3,2,0,2,4,0,1,0,2,5,1,0,668,0,3,671
296,296,127,30,3,1,263,485,7,6,3,1,2,5,0,1,0,5,1,1,1,942,0,1,943
297,297,97,24,1,0,133,419,1,3,1,2,0,3,0,0,0,1,1,0,0,686,0,2,688
298,298,73,30,0,1,126,456,1,1,1,1,0,0,1,1,1,1,1,0,0,695,0,2,697
299,299,257,31,1,0,359,255,2,0,7,1,2,10,1,3,5,4,5,2,0,945,0,3,948
300,300,126,23,0,1,175,400,1,2,2,3,6,4,1,0,0,3,3,0,2,752,0,0,752
301,301,37,4,0,0,135,290,0,0,0,0,1,1,1,0,0,0,0,0,0,469,0,1,470
302,302,131,18,1,0,91,430,0,2,2,0,2,0,0,0,1,4,1,0,0,683,0,1,684
303,303,78,29,0,2,110,467,2,3,3,0,1,2,0,1,0,2,0,1,0,701,0,1,702
304,304,158,15,1,0,274,433,2,2,1,2,0,3,2,1,0,3,1,0,1,899,0,2,901
305,305,204,30,2,2,258,383,1,2,1,2,0,6,0,2,2,3,2,0,0,900,0,3,903
306,306,104,32,0,0,181,467,2,0,7,1,0,7,0,4,1,2,1,1,0,810,0,1,811
307,307,129,25,2,1,189,282,4,1,3,1,2,0,0,1,1,6,4,1,1,653,0,6,659
308,308,59,4,0,0,75,337,4,2,0,1,1,1,0,0,1,3,5,0,0,493,0,1,494
309,309,88,6,2,2,136,257,5,7,3,2,5,12,3,3,2,10,1,0,1,545,0,2,547
310,310,113,25,1,2,207,579,8,15,7,2,4,5,4,4,2,3,1,0,0,982,0,3,985
311,311,231,18,2,1,163,103,0,1,0,0,0,3,0,1,2,7,5,1,0,538,0,3,541
312,312,143,11,2,2,80,311,0,1,2,0,2,5,0,0,0,1,3,2,0,565,0,5,570
313,313,370,25,1,2,278,270,1,2,3,0,0,1,0,1,1,3,3,0,0,961,0,1,962
314,314,172,19,21,1,137,198,1,4,0,0,1,2,1,0,0,3,5,1,0,566,0,2,568
315,315,183,22,9,1,189,225,2,2,2,0,0,6,0,0,1,6,3,0,0,651,0,0,651
316,316,207,29,1,0,242,306,4,2,1,0,1,3,1,3,0,2,1,0,0,803,0,4,807
317,317,154,19,0,0,206,121,1,2,1,0,0,1,0,2,2,1,4,0,0,514,0,1,515
318,318,128,23,1,0,223,241,1,2,2,0,0,1,0,1,0,2,1,1,0,627,0,1,628
319,319,73,20,2,1,210,203,2,3,2,3,2,2,1,0,0,0,1,1,0,526,0,2,528
320,320,106,25,5,0,375,227,0,2,3,0,1,5,1,1,0,1,2,0,0,754,0,0,754
