Polling Station No,SOFIA. S,LOGANATHAN. M,VINOTH. J,BAS MADHESWARAN,VIJAY TAMILAN PARTHIBAN. A,AMBEDKAR. C,SANTHOSH. S,SUNDARAM. R,SUMATHI. P,PADMANAPAN. M,PALANIAPPAN. M,PARTHIBAN. A,PARTHIBAN. V,PRAVEEN KUMAR. M,MAYAKANNAN. N,LOGANATHAN. M,LOGANATHAN. M,VARATHARAJAN. S.P,JAYARAJ. S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,21,217,127,0,365,1,1,0,0,0,0,1,0,0,0,0,0,3,1,737,0,1,738,0
2,11,234,200,1,369,2,0,1,0,0,0,0,0,1,1,3,0,4,1,828,0,2,830,0
3,10,218,233,1,458,0,0,0,0,0,0,1,0,0,0,0,1,3,0,925,0,4,929,0
4,17,161,261,2,316,0,0,0,0,0,0,0,0,0,0,0,1,0,3,761,0,4,765,0
5,19,179,297,1,284,0,1,0,0,0,0,0,0,0,0,1,0,0,2,784,0,8,792,0
6,24,126,290,0,371,1,0,0,0,0,0,0,0,0,0,0,0,1,0,813,0,2,815,0
7,19,224,307,3,297,1,1,0,0,0,0,0,0,0,1,3,0,3,1,860,0,9,869,0
8,24,275,325,1,389,0,1,0,0,0,0,0,0,1,0,1,0,3,0,1020,0,2,1022,0
9,26,218,197,3,288,0,0,0,0,0,0,0,1,0,3,0,0,1,1,738,0,1,739,0
10,19,139,305,2,382,0,0,0,0,0,0,0,0,1,0,0,1,0,0,849,0,0,849,0
11,15,207,318,2,297,1,0,0,0,3,0,0,1,0,0,0,0,1,0,845,0,1,846,0
12,20,157,284,5,341,0,0,0,0,1,1,1,0,1,0,0,0,0,2,813,0,0,813,0
13,21,235,257,6,377,3,1,0,1,0,1,2,0,0,0,3,2,0,0,909,0,2,911,0
14,42,228,209,5,535,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1021,0,1,1022,0
15,16,204,164,1,357,0,0,0,0,0,0,1,0,1,1,0,0,2,0,747,0,1,748,0
16,30,180,218,4,383,0,0,0,0,0,0,1,1,0,0,0,0,0,0,817,0,3,820,0
17,13,163,74,2,208,0,1,0,0,0,0,0,1,0,0,1,0,0,1,464,0,1,465,0
18,16,149,102,1,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,1,449,0
19,21,265,200,2,445,0,0,0,0,0,0,1,1,1,1,0,1,0,1,939,0,3,942,0
20,24,207,205,1,353,0,0,0,0,0,0,0,1,1,1,0,0,0,1,794,0,1,795,0
21,12,184,198,1,344,0,0,0,0,0,0,1,0,0,0,2,1,0,0,743,0,3,746,0
22,14,182,59,2,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,2,437,0
