Polling Station No,SOFIA. S,LOGANATHAN. M,VINOTH. J,BAS MADHESWARAN,VIJAY TAMILAN PARTHIBAN. A,AMBEDKAR. C,SANTHOSH. S,SUNDARAM. R,SUMATHI. P,PADMANAPAN. M,PALANIAPPAN. M,PARTHIBAN. A,PARTHIBAN. V,PRAVEEN KUMAR. M,MAYAKANNAN. N,LOGANATHAN. M,LOGANATHAN. M,VARATHARAJAN. S.P,JAYARAJ. S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
23,25,202,172,2,338,1,1,1,0,1,0,0,0,2,2,1,1,1,0,750,0,2,752,0
24,30,224,253,2,313,2,1,0,0,0,1,1,1,0,1,1,0,0,0,830,0,2,832,0
25,25,268,189,1,409,1,1,1,0,0,0,1,0,0,1,0,0,0,0,897,0,2,899,0
26,21,124,117,0,221,0,0,0,0,0,1,0,0,1,0,1,0,0,2,488,0,3,491,0
27,11,145,171,0,217,0,0,0,1,0,0,1,0,0,0,1,0,0,0,547,0,2,549,0
28,16,254,207,2,465,0,1,0,0,0,0,1,1,0,0,1,0,0,0,948,0,1,949,0
29,34,231,145,1,361,1,0,1,1,0,0,0,0,0,0,0,0,0,0,775,0,2,777,0
30,18,254,167,0,390,2,1,0,0,0,0,0,0,1,2,0,0,2,0,837,0,2,839,0
31,17,246,75,2,338,1,0,0,0,0,1,1,0,0,0,0,0,0,0,681,0,0,681,0
32,25,184,178,0,361,0,0,1,0,0,0,0,0,0,0,0,0,0,0,749,0,1,750,0
33,24,123,149,1,257,1,0,2,0,0,0,0,0,1,1,0,1,0,1,561,0,2,563,0
34,37,148,275,1,309,0,0,0,0,0,0,0,0,0,1,1,0,0,1,773,0,3,776,0
35,19,126,186,0,207,0,1,0,0,0,1,1,0,1,0,0,0,0,0,542,0,4,546,0
36,13,200,196,1,483,0,1,0,0,1,0,1,0,1,0,0,0,1,0,898,0,3,901,0
37,18,146,113,7,345,0,2,0,1,0,0,0,2,1,0,0,1,1,1,638,0,0,638,0
38,7,142,159,4,273,1,0,0,1,0,1,2,0,0,1,2,0,0,0,593,0,2,595,0
39,26,204,201,1,325,1,0,1,0,0,0,0,0,0,1,0,0,1,0,761,0,7,768,0
40,34,295,220,2,394,0,0,0,0,0,0,0,1,0,0,0,0,0,0,946,0,2,948,0
41,31,182,251,1,386,0,2,0,0,0,0,1,0,1,0,0,1,0,0,856,0,1,857,0
42,34,291,236,2,506,1,1,0,0,0,0,2,2,0,1,0,0,0,1,1077,0,3,1080,0
43,25,301,109,1,399,1,0,1,0,0,0,0,0,0,0,1,2,2,0,842,0,1,843,0
44,30,258,146,0,341,0,0,0,0,0,0,0,0,2,0,0,0,0,1,778,0,4,782,0
45,22,300,233,2,346,1,0,0,0,0,0,1,0,0,0,1,0,0,0,906,0,3,909,0
46,30,233,248,2,341,0,0,0,0,0,1,0,0,0,0,3,0,0,1,859,0,3,862,0
47,26,263,181,2,333,1,0,0,0,0,0,1,0,0,0,0,0,1,0,808,0,5,813,0
48,25,239,203,3,436,0,0,0,0,0,0,0,1,0,0,1,0,1,0,909,0,1,910,0
49,22,244,170,0,406,0,2,0,0,0,1,0,0,0,1,3,0,0,0,849,0,5,854,0
50,13,248,147,1,326,1,1,0,0,0,1,0,0,0,1,0,0,1,1,741,0,2,743,0
51,37,245,243,0,381,0,0,1,1,1,1,1,0,0,0,1,1,0,0,913,0,6,919,0
52,20,142,144,1,343,2,1,0,0,0,2,0,0,0,0,1,0,0,0,656,0,5,661,0
53,24,229,122,3,339,0,0,1,0,0,0,0,1,0,0,1,0,4,0,724,0,1,725,0
54,22,144,321,0,351,0,0,0,0,0,0,0,0,0,1,0,0,1,0,840,0,4,844,0
55,20,112,210,1,220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,564,0,3,567,0
56,26,142,207,1,254,0,0,0,0,0,0,0,0,0,0,2,0,0,0,632,0,1,633,0
57,24,148,324,4,380,0,0,0,1,0,0,0,0,0,0,0,0,0,1,882,0,2,884,0
58,17,82,208,0,258,0,1,0,0,0,1,0,1,1,1,0,0,0,0,570,0,5,575,0
59,11,141,246,0,275,2,0,0,1,0,0,0,0,0,0,0,1,0,1,678,0,4,682,0
60,16,202,287,2,398,0,0,1,0,0,0,1,0,1,0,1,0,0,0,909,0,3,912,0
61,6,78,88,0,227,1,0,0,1,1,0,0,0,0,0,0,0,0,0,402,0,2,404,0
62,11,142,274,1,379,0,0,0,0,0,0,0,2,0,1,0,0,0,1,811,0,4,815,0
63,9,303,164,2,441,0,0,0,1,0,0,0,1,0,1,1,0,0,1,924,0,3,927,0
64,11,259,143,1,275,1,0,1,0,1,0,0,0,0,0,1,0,0,0,693,0,3,696,0
65,10,321,98,0,365,0,0,0,0,1,0,0,0,0,0,2,0,1,0,798,0,6,804,0
66,17,256,109,3,414,2,1,0,0,0,1,0,0,0,1,0,2,0,0,806,0,2,808,0
67,19,291,147,0,454,0,0,0,0,0,0,0,0,0,1,0,0,3,2,917,0,3,920,0
68,28,230,84,5,398,2,0,0,1,0,0,0,0,0,0,2,0,1,1,752,0,2,754,0
69,28,275,201,2,414,0,0,0,0,0,1,0,0,0,0,3,0,0,0,924,0,5,929,0
70,32,158,211,0,370,0,1,1,0,0,0,0,0,0,0,0,0,0,1,774,0,4,778,0
71,17,189,265,0,371,1,0,0,1,0,1,0,0,0,0,0,0,0,1,846,0,3,849,0
72,16,371,109,2,416,0,1,1,1,1,0,1,0,0,0,0,0,0,0,919,0,2,921,0
73,17,293,149,1,379,0,0,0,0,0,0,0,0,0,1,0,0,2,0,842,0,2,844,0
74,13,232,140,0,258,0,0,0,1,0,0,1,0,0,0,0,0,2,0,647,0,1,648,0
75,26,180,179,4,463,0,0,0,0,0,0,0,0,0,0,1,0,1,0,854,0,1,855,0
76,31,222,192,1,391,0,1,0,0,0,0,0,1,1,1,2,0,0,0,843,0,2,845,0
77,23,162,161,2,292,0,0,0,0,0,1,0,0,0,0,0,0,3,0,644,0,3,647,0
78,20,234,164,2,297,0,0,0,0,0,0,1,0,0,0,1,0,1,0,720,0,2,722,0
79,20,229,187,3,375,1,1,0,0,0,1,0,0,0,1,2,1,0,0,821,0,0,821,0
80,9,549,25,1,253,1,0,0,1,0,0,0,0,0,1,0,0,1,0,841,0,3,844,0
81,9,487,113,1,331,0,0,0,0,0,0,1,0,1,0,0,0,0,0,943,0,0,943,0
82,16,411,158,0,471,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1059,0,4,1063,0
83,7,444,46,1,265,1,0,0,1,0,0,0,0,0,0,0,0,0,0,765,0,3,768,0
84,14,208,196,1,325,1,0,0,0,0,0,0,0,0,1,1,0,1,0,748,0,0,748,0
85,14,221,204,1,344,0,1,0,0,0,0,1,0,0,0,1,0,2,0,789,0,5,794,0
86,24,259,240,2,412,2,2,1,0,0,0,0,0,0,0,0,0,0,0,942,0,2,944,0
87,21,197,242,0,344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,805,0,2,807,0
88,27,221,216,0,364,0,0,0,0,1,0,1,0,1,0,0,0,1,0,832,0,4,836,0
89,25,249,207,2,356,1,0,1,0,0,1,0,0,1,0,0,0,0,1,844,0,2,846,0
90,20,164,136,1,260,1,0,0,0,0,0,1,0,1,0,0,0,1,0,585,0,3,588,0
91,27,148,244,1,421,0,0,0,0,0,0,1,0,1,0,1,0,0,1,845,0,2,847,0
92,14,168,274,1,368,0,1,0,0,0,0,0,0,1,0,0,0,0,0,827,0,4,831,0
93,13,186,147,2,341,1,0,0,2,0,0,0,0,1,0,0,0,1,1,695,0,2,697,0
94,17,250,122,2,399,0,0,0,0,1,1,0,0,0,0,0,1,0,0,793,0,3,796,0
95,31,200,225,2,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,3,755,0
96,24,227,239,1,440,1,1,0,0,0,0,0,0,1,1,0,2,0,1,938,0,1,939,0
97,27,204,210,1,279,1,1,0,0,0,1,1,0,0,0,1,1,0,0,727,0,0,727,0
98,27,260,289,1,429,1,3,1,0,0,1,0,0,1,1,1,0,0,0,1015,0,1,1016,0
99,20,189,206,0,328,0,0,0,0,0,0,0,0,1,0,1,1,0,0,746,0,3,749,0
100,19,196,221,0,278,1,0,0,0,0,0,0,1,0,0,0,1,1,0,718,0,5,723,0
101,27,190,270,0,317,0,0,0,0,0,0,0,0,0,2,1,0,0,1,808,0,4,812,0
102,20,162,222,0,381,0,0,0,0,2,0,0,0,1,0,0,0,0,0,788,0,0,788,0
103,29,220,221,3,440,0,0,1,0,0,1,3,0,2,1,1,0,0,1,923,0,3,926,0
104,55,196,132,1,382,1,0,0,1,0,0,1,0,0,1,0,1,0,0,771,0,0,771,0
105,32,141,184,1,238,0,0,0,0,1,0,1,1,0,0,0,0,0,1,600,0,2,602,0
106,32,164,186,3,263,2,1,1,1,1,1,1,1,1,1,2,1,1,1,664,0,3,667,0
107,13,164,247,2,269,0,0,0,0,1,0,0,0,0,0,2,2,0,0,700,0,1,701,0
108,31,210,358,2,391,0,0,0,0,0,0,0,1,0,1,0,0,0,0,994,0,0,994,0
109,16,308,234,1,280,0,1,0,1,0,0,0,1,1,2,2,2,0,0,849,0,1,850,0
110,18,177,221,12,466,2,0,0,0,0,0,0,3,0,1,5,0,2,0,907,0,1,908,0
111,21,209,248,6,381,2,0,0,0,0,1,2,0,1,0,1,1,1,1,875,0,5,880,0
112,34,208,254,1,369,0,2,1,2,1,2,0,0,2,0,0,0,0,0,876,0,3,879,0
113,23,296,216,5,444,1,0,0,1,0,1,0,2,0,0,2,1,0,0,992,0,3,995,0
114,31,161,248,3,274,0,0,0,0,0,1,0,0,0,0,1,0,0,0,719,0,2,721,0
115,18,189,285,1,416,1,0,0,1,0,0,0,0,0,0,1,0,0,0,912,0,6,918,0
116,20,174,206,5,450,4,0,0,0,0,1,2,0,0,0,0,0,0,1,863,0,2,865,0
117,25,206,216,6,358,0,1,0,0,0,0,0,0,0,0,1,0,0,0,813,0,2,815,0
118,20,94,193,2,370,1,0,0,0,0,0,0,0,1,0,0,1,1,1,684,0,0,684,0
119,28,158,223,2,356,1,0,0,1,0,0,0,0,0,1,0,0,1,3,774,0,2,776,0
120,17,178,254,2,398,2,0,0,0,0,0,0,0,1,2,0,0,1,1,856,0,4,860,0
121,18,134,206,3,460,0,1,0,0,0,0,0,0,0,1,0,1,1,1,826,0,2,828,0
122,23,210,246,3,478,0,1,1,0,0,0,0,0,0,0,1,0,1,0,964,0,2,966,0
123,28,198,226,4,427,3,0,0,0,0,0,2,1,1,0,1,0,1,1,893,0,0,893,0
124,33,262,177,6,405,2,1,0,1,0,0,0,0,1,1,3,0,0,2,894,0,3,897,0
125,33,267,222,1,489,1,0,0,1,0,0,0,0,0,0,2,1,1,0,1018,0,8,1026,0
126,24,264,155,0,364,0,0,1,1,0,1,0,0,0,0,0,0,0,1,811,0,4,815,0
127,19,220,130,4,444,1,1,0,0,0,0,1,0,0,1,1,1,1,1,825,0,1,826,0
128,25,193,187,0,394,0,0,1,0,0,0,0,0,1,0,1,0,1,0,803,0,3,806,0
129,29,225,201,1,397,1,0,0,0,0,0,0,0,0,0,0,0,1,0,855,0,7,862,0
130,26,308,176,3,467,0,1,0,0,0,1,0,0,1,1,1,1,0,1,987,0,1,988,0
131,28,205,218,1,446,0,0,0,2,0,0,1,0,0,0,0,0,0,0,901,0,3,904,0
132,18,169,160,1,241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,590,0,0,590,0
133,34,194,249,1,411,0,0,0,1,0,0,0,0,0,0,0,0,0,0,890,0,2,892,0
134,35,204,285,2,375,1,1,0,1,0,1,0,0,0,1,0,0,1,0,907,0,2,909,0
135,14,272,200,1,276,0,2,0,0,0,0,0,0,2,0,0,0,0,3,770,0,2,772,0
136,17,227,159,1,312,0,0,1,0,1,0,0,0,0,0,0,0,1,1,720,0,4,724,0
137,16,211,174,0,249,1,2,0,0,0,0,0,1,3,0,1,0,2,3,663,0,1,664,0
138,23,286,226,1,415,0,0,0,0,0,0,1,0,1,1,2,0,1,0,957,0,3,960,0
139,20,202,267,4,477,1,0,0,0,0,0,0,0,0,1,1,1,0,0,974,0,3,977,0
140,16,164,252,2,498,0,1,0,0,0,0,0,0,1,0,1,0,1,0,936,0,6,942,0
141,29,188,224,1,498,0,1,0,0,1,1,1,0,0,0,0,0,0,0,944,0,2,946,0
142,17,129,138,2,234,1,0,0,1,0,2,2,0,0,0,1,0,0,1,528,0,3,531,0
143,11,167,205,2,334,1,0,1,0,0,0,0,0,0,0,1,0,2,1,725,0,3,728,0
144,33,196,219,1,415,1,0,1,0,0,3,0,0,0,0,2,1,1,0,873,0,2,875,1
145,22,116,197,2,315,0,0,0,1,0,0,0,0,2,0,2,1,0,0,658,0,2,660,0
146,10,220,221,1,401,1,0,0,0,0,0,1,0,0,0,2,0,0,0,857,0,2,859,0
147,24,143,200,1,337,0,0,0,0,0,0,0,0,1,1,0,0,5,1,713,0,3,716,0
148,17,105,168,0,222,0,0,0,0,0,0,0,0,1,0,1,0,0,0,514,0,4,518,0
149,33,148,278,2,393,1,1,0,1,1,0,0,0,0,0,0,0,0,0,858,0,4,862,0
150,15,210,228,0,348,0,1,0,0,0,0,0,0,0,0,1,0,1,0,804,0,2,806,0
151,33,212,248,0,370,0,1,0,0,0,0,2,1,1,0,0,0,0,0,868,0,4,872,0
152,33,222,262,2,413,0,0,0,0,1,0,0,0,0,0,1,0,1,1,936,0,6,942,0
153,28,202,317,2,351,1,0,4,0,0,0,0,0,0,0,2,0,0,0,907,0,5,912,0
154,14,208,291,1,388,0,0,0,0,0,1,0,0,0,0,0,0,0,0,903,0,6,909,0
155,34,194,294,0,394,0,1,0,0,0,0,0,0,1,0,1,0,1,2,922,0,5,927,0
156,25,247,179,1,469,0,0,0,0,1,0,3,0,1,2,2,1,1,5,937,0,1,938,0
157,13,185,152,1,496,0,0,1,1,1,1,2,0,0,1,0,0,0,1,855,0,3,858,0
158,14,186,238,1,347,1,1,0,1,0,2,0,0,0,0,0,0,0,1,792,0,2,794,0
159,15,301,166,1,391,1,1,0,0,0,0,0,1,0,0,0,2,0,0,879,0,2,881,0
160,19,182,256,2,318,0,1,0,0,0,1,0,0,0,0,1,0,0,0,780,0,2,782,0
161,26,219,262,0,323,2,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,8,840,0
162,21,171,180,4,434,1,0,0,0,0,0,0,1,1,0,0,0,0,0,813,0,2,815,0
163,22,258,159,1,428,1,0,0,0,0,0,1,0,0,0,0,0,0,1,871,0,0,871,0
164,22,295,189,1,417,1,0,0,0,0,0,0,1,0,0,1,0,0,1,928,0,3,931,0
165,31,247,156,2,384,0,0,0,0,0,0,0,0,0,0,4,1,0,1,826,0,4,830,0
166,14,155,102,2,404,0,0,1,0,0,0,0,0,0,0,0,0,1,0,679,0,3,682,0
167,16,183,109,1,308,0,1,0,0,0,0,0,0,0,0,0,1,0,0,619,0,1,620,0
168,11,177,66,3,450,2,1,0,1,0,0,1,0,0,1,1,0,0,0,714,0,2,716,0
169,16,189,88,0,467,3,0,0,3,0,3,0,0,1,0,0,0,0,0,770,0,1,771,0
170,18,185,74,7,424,0,0,0,2,0,0,0,1,0,0,0,0,0,0,711,0,0,711,0
171,7,212,107,2,264,0,0,0,0,0,0,0,1,0,0,1,1,0,0,595,0,0,595,0
172,14,121,49,0,251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,436,0
173,17,207,151,2,266,1,1,0,0,0,0,1,0,1,1,1,0,2,0,651,0,1,652,0
174,22,322,118,1,412,0,0,0,1,0,0,0,1,0,1,1,0,1,0,880,0,2,882,0
175,4,403,57,0,244,2,1,0,0,1,0,0,1,0,1,0,0,0,0,714,0,2,716,1
176,19,238,164,1,299,1,0,0,0,0,0,1,0,1,0,0,0,0,0,724,0,5,729,0
177,8,201,178,0,307,1,1,0,0,0,0,0,0,0,0,0,0,3,2,701,0,4,705,1
178,14,225,174,2,360,1,0,0,0,0,0,1,0,0,0,0,0,0,0,777,0,3,780,0
179,19,239,120,3,319,0,0,0,0,0,1,0,1,0,0,1,0,0,0,703,0,3,706,0
180,18,198,127,2,208,1,1,0,0,0,0,0,0,0,0,0,1,0,0,556,0,0,556,0
181,22,215,137,1,260,0,0,0,0,0,0,0,1,0,0,0,0,0,0,636,0,3,639,0
182,33,261,179,2,408,0,0,1,0,0,0,0,0,2,0,0,1,1,0,888,0,7,895,0
183,9,166,140,0,282,2,0,0,0,0,0,0,0,0,1,0,0,0,1,601,0,5,606,0
184,17,200,150,1,275,1,0,0,0,0,0,0,0,1,0,0,0,0,0,645,0,5,650,0
185,16,338,107,1,300,0,0,0,0,0,0,0,0,1,1,0,0,0,0,764,0,4,768,0
186,16,219,173,2,357,1,1,0,1,0,0,0,0,1,1,2,0,0,0,774,0,0,774,0
187,13,227,139,1,387,0,0,0,0,0,0,0,1,1,0,0,0,1,0,770,0,5,775,0
188,13,183,110,1,251,2,1,0,0,0,1,0,0,0,0,1,0,0,0,563,0,0,563,0
189,22,282,168,1,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0,4,783,0
190,16,164,168,0,311,0,2,0,0,0,0,0,1,0,0,1,0,2,1,666,0,2,668,0
191,12,131,159,0,232,1,0,0,0,0,0,0,0,0,1,0,0,1,0,537,0,6,543,0
192,24,222,128,1,398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,774,0,1,775,0
193,21,202,107,2,270,1,1,0,0,0,0,1,0,1,1,1,0,1,2,611,0,0,611,0
194,20,218,168,1,292,2,0,0,0,0,0,0,0,0,0,0,2,0,0,703,0,2,705,0
195,14,219,149,1,190,0,0,0,0,0,1,0,0,0,1,0,0,0,0,575,0,3,578,0
196,15,197,125,0,239,1,0,1,1,0,0,0,0,0,0,1,0,1,0,581,0,3,584,0
197,24,201,145,1,301,1,0,1,1,0,2,0,1,1,0,0,0,0,1,680,0,4,684,0
198,15,291,81,1,356,0,1,0,0,0,0,2,0,1,0,2,1,1,0,752,0,1,753,0
199,22,303,157,1,464,2,0,0,0,0,0,1,1,1,1,0,0,0,0,953,0,1,954,0
200,28,292,229,0,278,1,0,0,0,0,1,0,0,0,0,0,0,0,1,830,0,4,834,0
201,17,241,209,2,317,0,0,0,0,0,0,0,0,0,0,0,1,2,0,789,0,3,792,0
202,16,146,239,0,234,0,1,0,0,1,0,1,1,0,0,1,1,0,0,641,0,1,642,0
203,16,195,178,0,231,0,0,0,0,0,0,0,0,3,2,2,0,1,1,629,0,7,636,0
204,25,168,126,2,238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,560,0,3,563,0
205,16,191,188,2,287,2,0,0,1,0,2,0,0,0,0,1,0,0,1,691,0,5,696,0
206,17,192,234,0,250,1,0,1,0,0,0,1,0,0,0,0,0,0,0,696,0,4,700,0
207,17,177,165,2,247,0,0,1,0,0,0,0,1,0,0,0,1,1,1,613,0,1,614,0
208,22,244,253,2,374,0,0,1,2,1,0,0,0,0,0,0,0,0,0,899,0,3,902,0
209,10,377,160,1,250,0,0,0,1,0,0,0,0,0,0,0,0,0,0,799,0,0,799,0
210,23,243,158,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,3,763,0
211,35,309,139,0,350,0,0,0,0,0,0,0,0,0,3,1,0,0,0,837,0,2,839,0
212,23,166,172,1,256,0,0,0,0,1,1,0,0,0,0,1,0,1,0,622,0,4,626,0
213,27,193,143,0,325,1,1,0,0,0,0,0,0,0,0,0,0,4,0,694,0,3,697,0
214,19,229,147,1,329,0,1,1,0,0,0,0,0,0,0,0,0,0,1,728,0,0,728,0
215,15,325,265,4,322,0,1,0,0,1,0,0,0,0,2,0,0,0,0,935,0,3,938,0
216,31,247,180,0,347,2,0,1,0,0,0,0,0,1,2,0,1,0,0,812,0,8,820,0
217,21,285,168,2,303,2,1,0,0,0,0,2,1,0,0,0,1,1,0,787,0,5,792,0
218,27,212,159,2,325,0,0,0,0,0,0,1,1,0,0,0,0,0,0,727,0,4,731,0
219,16,237,120,3,245,0,0,1,1,1,1,0,1,2,0,0,0,0,0,628,0,4,632,0
220,11,195,140,1,227,0,0,0,0,0,0,0,0,0,0,0,1,2,0,577,0,3,580,0
221,13,100,102,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,2,405,0
222,24,252,125,2,300,1,0,0,0,0,0,0,0,0,0,1,0,0,0,705,0,2,707,0
223,19,162,83,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,2,507,0
224,15,222,199,2,295,0,0,0,0,1,0,1,0,0,0,0,1,0,1,737,0,1,738,0
225,15,265,144,0,309,2,0,0,0,0,0,0,0,0,1,0,0,0,0,736,0,2,738,0
226,13,195,113,0,245,1,1,0,1,1,1,1,0,2,0,1,0,1,1,577,0,1,578,0
227,26,268,178,2,384,1,0,0,0,0,0,0,0,1,1,1,0,1,2,865,0,8,873,0
228,13,251,187,1,376,2,0,0,1,0,1,0,0,0,0,0,2,0,1,835,0,0,835,0
229,23,192,198,1,387,2,0,0,0,0,0,0,1,0,1,2,0,0,0,807,0,2,809,0
230,11,107,106,1,192,0,0,0,0,0,0,0,0,0,0,1,0,0,0,418,0,3,421,0
231,21,195,167,2,371,2,1,0,0,0,0,0,0,0,0,0,0,1,2,762,0,5,767,0
232,16,168,185,0,258,0,0,0,0,0,0,0,0,0,0,1,0,0,0,628,0,0,628,0
233,12,282,112,2,266,0,0,1,0,0,1,0,0,1,0,0,1,0,0,678,0,4,682,0
234,15,204,175,0,300,1,0,0,0,0,0,0,0,0,0,0,0,3,1,699,0,2,701,0
235,33,201,209,0,267,0,0,2,0,0,0,0,0,0,0,1,0,0,0,713,0,3,716,0
236,19,165,155,1,272,0,0,0,0,0,0,0,0,1,0,0,0,0,0,613,0,5,618,0
237,17,166,137,1,213,0,0,0,0,0,0,0,0,1,0,0,1,0,0,536,0,4,540,0
238,33,226,256,0,355,0,0,0,1,0,1,0,0,0,1,0,0,1,0,874,0,4,878,0
239,35,230,219,1,318,1,1,0,0,0,0,0,0,0,2,2,1,5,1,816,0,2,818,0
240,22,254,243,0,324,0,0,0,0,0,0,0,0,0,0,1,0,1,1,846,0,4,850,0
241,20,246,268,0,332,0,1,2,1,0,2,0,0,0,0,0,0,0,0,872,0,7,879,0
242,22,149,146,1,203,0,0,1,0,0,0,0,0,0,0,0,1,0,0,523,0,1,524,0
243,23,172,204,1,261,0,1,1,1,0,1,1,0,0,0,1,0,0,0,667,0,3,670,0
244,23,261,197,3,360,0,0,0,1,0,1,0,0,0,0,0,0,0,0,846,0,2,848,0
245,21,281,92,1,451,2,0,0,0,0,1,3,1,0,4,1,0,1,0,859,0,2,861,0
246,23,214,165,4,260,2,2,0,0,1,0,0,0,0,1,0,0,4,1,677,0,3,680,0
247,16,169,135,2,195,0,0,0,0,0,0,0,0,0,0,0,0,2,0,519,0,4,523,0
248,31,184,125,0,247,0,0,0,1,0,0,0,0,0,1,0,0,0,1,590,0,1,591,0
249,37,318,181,2,311,0,0,0,0,1,0,0,0,0,1,1,1,2,0,855,0,6,861,0
250,21,196,130,2,435,1,2,0,0,0,0,0,0,0,1,0,0,0,0,788,0,3,791,0
251,33,244,108,2,295,0,0,0,0,0,0,0,0,0,0,0,0,1,1,684,0,3,687,0
252,25,141,168,4,360,1,1,2,0,0,1,3,0,1,0,3,0,0,2,712,0,1,713,0
253,24,235,159,2,283,1,0,0,0,0,0,1,0,1,0,1,0,1,0,708,0,3,711,0
254,19,187,141,1,191,0,0,0,0,0,0,0,0,0,0,0,1,1,0,541,0,4,545,0
255,11,86,114,0,172,0,0,0,0,0,2,0,0,0,1,1,2,1,0,390,0,3,393,0
256,16,153,167,0,280,1,0,1,0,1,1,0,0,0,0,0,1,0,1,622,0,3,625,0
257,10,118,158,3,222,0,0,0,0,0,0,0,0,0,0,1,1,0,1,514,0,1,515,0
258,26,298,196,1,330,1,1,1,0,0,1,1,0,0,2,0,0,1,0,859,0,6,865,0
259,42,197,177,2,318,0,0,0,0,1,0,0,0,0,0,1,0,8,3,749,0,5,754,0
260,63,193,233,2,343,1,0,0,0,0,0,1,0,0,1,1,0,5,1,844,0,1,845,0
261,33,178,204,2,317,0,0,0,0,0,1,0,1,0,2,0,1,1,0,740,0,0,740,0
262,29,149,203,1,314,0,0,0,0,1,0,0,1,1,0,0,0,0,0,699,0,2,701,0
263,34,247,261,0,406,2,0,1,0,0,0,1,1,1,1,2,0,1,1,959,0,6,965,0
264,46,207,196,0,280,1,0,0,0,0,0,0,0,0,0,1,0,2,5,738,0,3,741,0
265,48,240,245,1,323,0,0,2,0,0,0,0,2,0,0,0,0,1,0,862,0,1,863,0
266,43,312,255,0,493,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1105,0,7,1112,0
267,11,273,172,5,395,2,2,0,0,2,0,1,0,2,0,1,0,1,0,867,0,1,868,0
268,14,284,136,2,328,1,0,0,0,0,0,0,0,0,1,2,0,0,0,768,0,0,768,0
