Polling Station No,BHOJARAJAN.M,RAGUPATHY.B,RAMACHANDRAN.B,IBRAHIM.R,SAVEETHA.R,MANIAN.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
121,102,17,208,235,0,1,563,0,3,566,0
122,104,17,106,153,2,0,382,0,4,386,0
123,104,6,164,146,0,2,422,0,5,427,0
124,102,5,89,89,0,1,286,0,2,288,0
125,144,9,155,153,0,0,461,0,2,463,0
126,71,6,159,155,1,0,392,0,4,396,0
127,216,12,168,184,0,1,581,0,7,588,0
128,199,8,148,208,1,1,565,0,2,567,0
129,237,4,226,138,1,1,607,0,3,610,0
130,81,14,238,149,0,0,482,0,1,483,0
131,48,11,267,92,1,1,420,0,6,426,0
132,117,10,237,120,0,0,484,0,0,484,0
133,97,11,224,141,0,0,473,0,4,477,0
134,182,12,142,113,0,0,449,0,4,453,0
135,124,7,180,112,0,0,423,0,2,425,0
136,195,22,276,454,1,4,952,0,5,957,0
137,150,15,100,210,2,1,478,0,1,479,0
138,147,43,288,262,1,3,744,0,4,748,0
139,79,17,198,245,2,2,543,0,4,547,0
140,117,29,293,311,1,1,752,0,4,756,0
141,118,9,197,107,1,0,432,0,3,435,0
142,106,5,174,137,2,2,426,0,1,427,0
143,130,6,115,139,0,0,390,0,2,392,0
144,86,9,183,125,0,1,404,0,0,404,0
145,182,11,278,247,2,2,722,0,5,727,0
146,221,14,193,188,1,2,619,0,2,621,0
147,165,13,111,134,0,0,423,0,1,424,0
148,93,11,131,87,1,1,324,0,2,326,0
149,130,17,87,191,2,2,429,0,1,430,0
150,109,12,136,157,0,1,415,0,5,420,0
151,202,14,103,212,1,0,532,0,3,535,0
152,93,8,101,199,2,2,405,0,1,406,0
153,93,12,143,226,1,1,476,0,4,480,0
154,104,17,136,160,4,0,421,0,4,425,0
155,63,11,138,130,0,0,342,0,4,346,0
156,105,18,166,229,2,1,521,0,2,523,0
157,64,15,189,195,5,1,469,0,1,470,0
158,100,18,207,223,2,2,552,0,4,556,0
159,80,12,179,155,1,5,432,0,6,438,0
160,161,15,196,303,2,3,680,0,4,684,0
161,92,14,94,211,0,2,413,0,1,414,0
162,106,20,179,184,2,3,494,0,6,500,0
163,164,17,146,247,1,0,575,0,1,576,0
164,253,17,146,330,1,4,751,0,5,756,0
165,153,23,183,276,3,3,641,0,4,645,0
166,93,13,134,283,1,3,527,0,5,532,0
167,88,12,154,229,2,2,487,0,2,489,0
168,78,5,135,164,3,2,387,0,3,390,0
169,174,19,174,290,1,2,660,0,3,663,0
170,40,6,60,55,1,1,163,0,0,163,0
171,112,23,244,236,2,3,620,0,4,624,0
172,169,15,200,296,2,2,684,0,6,690,0
173,144,7,144,148,1,1,445,0,0,445,0
174,149,39,275,293,2,2,760,0,5,765,0
175,122,30,255,373,3,6,789,0,5,794,0
176,308,43,224,249,1,0,825,0,4,829,0
177,99,35,202,245,4,2,587,0,3,590,0
178,80,14,148,171,1,0,414,0,2,416,0
179,186,32,203,271,6,3,701,0,4,705,0
180,262,3,75,99,0,3,442,0,3,445,0
181,283,10,71,107,0,1,472,0,0,472,0
182,228,12,216,185,2,2,645,0,8,653,0
183,146,1,120,70,1,4,342,0,1,343,0
184,119,26,180,246,2,1,574,0,3,577,0
185,163,17,115,243,0,3,541,0,0,541,0
186,131,8,147,164,1,3,454,0,1,455,0
187,382,30,160,215,2,1,790,0,4,794,0
188,77,10,297,172,2,1,559,0,3,562,0
189,96,13,300,175,1,3,588,0,7,595,0
190,224,17,155,208,3,1,608,0,2,610,0
191,107,33,401,260,2,0,803,0,9,812,0
192,168,28,180,208,0,0,584,0,4,588,0
193,156,11,99,71,2,1,340,0,1,341,0
194,163,11,192,183,2,1,552,0,7,559,0
195,239,10,78,105,0,1,433,0,3,436,0
196,278,24,131,303,3,0,739,0,4,743,0
197,426,23,115,290,5,4,863,0,7,870,0
198,297,30,192,261,1,2,783,0,2,785,0
199,216,14,103,151,1,3,488,0,5,493,0
200,325,12,100,162,0,0,599,0,5,604,0
201,187,6,94,54,1,0,342,0,2,344,0
202,241,5,60,92,0,2,400,0,0,400,0
203,295,15,70,144,1,5,530,0,3,533,0
204,213,11,107,98,3,0,432,0,7,439,0
205,573,15,115,166,0,1,870,0,3,873,0
206,426,15,165,113,0,0,719,0,1,720,0
207,98,7,33,64,1,0,203,0,0,203,0
208,167,6,52,59,0,0,284,0,2,286,0
209,218,35,172,117,1,3,546,0,3,549,0
210,214,18,208,142,0,1,583,0,4,587,0
211,159,24,226,155,4,1,569,0,2,571,0
212,157,15,120,102,2,0,396,0,3,399,0
213,307,13,246,207,1,2,776,0,3,779,0
214,156,14,118,103,0,0,391,0,2,393,0
215,181,44,346,224,3,5,803,0,4,807,0
216,269,30,186,189,1,0,675,0,1,676,0
217,199,4,64,65,0,1,333,0,2,335,0
218,287,24,220,269,2,3,805,0,11,816,0
219,261,6,98,98,2,0,465,0,5,470,0
220,163,17,79,71,2,0,332,0,5,337,0
221,136,11,242,195,1,2,587,0,4,591,0
222,181,15,143,125,2,1,467,0,5,472,0
223,120,11,67,70,1,0,269,0,1,270,0
224,51,13,135,119,2,1,321,0,0,321,0
225,245,28,230,186,1,2,692,0,3,695,0
226,246,18,288,258,1,2,813,0,9,822,0
227,154,9,186,142,0,0,491,0,2,493,0
228,109,18,153,106,0,0,386,0,1,387,0
229,333,21,274,238,1,2,869,0,2,871,0
230,326,14,220,201,0,0,761,0,3,764,0
231,226,16,149,117,2,3,513,0,3,516,0
232,20,2,21,32,0,0,75,0,0,75,0
233,189,25,242,151,0,3,610,0,5,615,0
234,234,25,138,136,0,2,535,0,9,544,0
235,175,21,153,125,1,5,480,0,5,485,0
236,213,22,183,183,2,2,605,0,2,607,0
237,195,41,356,220,4,2,818,0,2,820,0
238,291,13,225,177,3,1,710,0,6,716,0
239,238,20,161,136,0,1,556,0,1,557,0
240,25,5,26,29,0,0,85,0,0,85,0
241,330,23,250,200,3,6,812,0,5,817,0
242,264,30,157,206,1,1,659,0,2,661,0
243,113,14,158,118,1,2,406,0,1,407,0
244,143,8,86,93,0,1,331,0,2,333,0
245,156,16,198,144,0,3,517,0,3,520,0
246,306,23,222,206,3,3,763,0,7,770,0
247,211,6,129,173,3,1,523,0,1,524,0
248,241,20,134,139,1,0,535,0,3,538,0
249,177,18,157,125,0,3,480,0,1,481,0
250,19,1,57,23,0,0,100,0,1,101,0
251,164,46,274,229,2,1,716,0,5,721,0
252,70,6,222,83,4,2,387,0,0,387,0
253,182,15,103,79,0,1,380,0,2,382,0
254,244,19,165,102,3,3,536,0,4,540,0
