Polling Station No,SUNDAR.K,MARAM MASILAMANI.B.S,SIVAKUMAR.A,MAGESHKUMAR.P,MUNIRATHINAM.J,JAKIRUSAN.D,ANBU.V,KAMALAKANNAN.K,GUNASEKAR.V,CITTIBABU.R,DEVARAJAN.C,DEVENTHIRAMOORTHY.S,MAGESH KUMAR.T,MAHESWARI.J,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,129,13,3,263,139,0,0,0,0,0,5,2,1,0,555,0,2,557,0
2,144,28,1,197,189,2,0,0,0,1,5,5,2,0,574,0,3,577,0
3,163,7,2,229,304,1,1,0,1,0,0,0,0,1,709,0,3,712,0
4,182,29,0,150,272,1,1,0,0,0,0,1,1,1,638,0,2,640,0
5,313,21,0,151,437,2,1,1,2,0,2,2,2,0,934,0,5,939,0
6,228,23,0,136,326,0,1,0,0,0,0,2,1,1,718,0,4,722,0
7,240,16,2,107,259,1,1,0,0,1,0,0,0,1,628,0,6,634,0
8,171,12,0,74,179,1,0,0,0,0,1,0,0,1,439,0,2,441,0
9,200,5,0,264,192,0,0,0,0,0,1,2,0,0,664,0,3,667,0
10,232,20,1,111,276,0,0,0,0,0,0,0,0,0,640,0,0,640,0
11,210,21,1,133,409,0,0,0,0,1,1,1,1,1,779,0,2,781,0
12,192,27,0,164,376,0,0,1,0,0,0,0,0,0,760,0,6,766,0
13,195,16,0,135,308,0,0,0,0,0,1,0,1,0,656,0,1,657,0
14,221,45,1,177,380,0,2,0,1,0,0,0,0,0,827,0,7,834,0
15,161,15,0,60,306,0,2,0,1,0,0,0,0,1,546,0,2,548,0
16,217,17,2,100,362,0,0,1,1,0,0,0,1,0,701,0,3,704,0
17,267,18,1,56,338,0,0,0,2,1,0,3,0,0,686,0,2,688,0
18,206,34,0,170,401,1,0,0,0,0,2,2,0,1,817,0,2,819,0
19,219,32,1,184,408,0,1,0,0,0,2,1,0,0,848,0,2,850,0
20,197,22,3,218,274,0,0,0,0,0,0,0,1,0,715,0,1,716,0
21,154,34,3,114,410,2,0,1,0,1,1,1,1,0,722,0,3,725,0
22,182,24,1,156,464,0,0,0,0,0,2,1,1,2,833,0,1,834,0
23,219,27,0,180,384,1,1,0,0,0,0,1,0,1,814,0,4,818,0
24,191,28,3,161,367,0,0,0,0,0,1,2,0,1,754,0,0,754,0
25,49,5,0,59,166,0,0,0,1,0,1,0,0,0,281,0,0,281,0
26,141,12,4,152,262,2,0,1,1,1,0,2,0,3,581,0,3,584,0
27,96,12,1,134,227,0,2,0,0,1,2,1,1,1,478,0,2,480,0
28,166,24,2,108,314,0,1,0,0,0,0,0,0,0,615,0,3,618,0
29,142,12,0,64,158,0,0,0,0,0,1,0,0,0,377,0,3,380,0
30,117,6,1,179,292,1,4,0,0,0,2,1,0,1,604,0,5,609,0
31,15,6,0,23,49,0,0,0,0,0,0,0,0,1,94,0,1,95,0
32,237,20,3,78,386,1,3,1,0,0,1,1,3,2,736,0,5,741,0
33,210,25,0,118,364,2,0,0,0,1,0,1,0,2,723,0,5,728,0
34,205,18,2,78,262,2,0,1,0,0,1,0,0,1,570,0,3,573,0
35,199,30,1,143,397,0,1,0,0,0,1,0,0,2,774,0,7,781,0
36,191,35,1,165,455,0,0,0,0,0,0,0,3,1,851,0,3,854,0
37,262,24,1,144,385,1,0,1,1,0,0,1,0,1,821,0,3,824,0
38,245,16,0,102,222,1,0,0,0,1,0,1,0,0,588,0,3,591,0
39,173,20,3,341,182,0,0,0,0,0,0,0,1,0,720,0,4,724,0
40,153,27,0,151,398,2,2,1,2,2,0,3,2,1,744,0,8,752,0
41,218,41,0,151,341,2,1,2,0,0,4,2,1,0,763,0,5,768,0
42,115,13,0,93,270,1,1,0,1,0,0,1,1,0,496,0,3,499,0
43,152,23,1,104,291,0,0,0,1,0,1,0,2,1,576,0,6,582,0
44,163,15,4,196,256,2,1,2,0,0,0,2,1,0,642,0,3,645,0
45,82,10,1,200,62,0,1,0,0,0,0,0,2,0,358,0,2,360,0
46,97,13,1,472,132,2,0,0,0,0,3,4,0,0,724,0,0,724,0
47,241,33,3,233,419,0,2,1,0,0,0,0,1,3,936,0,3,939,0
48,202,26,0,191,236,0,2,0,1,0,3,2,2,0,665,0,4,669,0
49,127,13,2,99,183,0,0,0,0,0,1,1,1,0,427,0,1,428,0
50,175,22,1,189,236,1,3,0,1,0,0,0,1,0,629,0,2,631,0
51,120,17,0,163,195,0,1,0,0,1,0,1,0,0,498,0,2,500,0
52,247,20,0,184,350,1,3,0,0,1,0,0,1,1,808,0,3,811,0
53,159,15,0,142,207,1,3,0,1,0,3,0,1,1,533,0,0,533,0
54,164,7,0,123,260,0,1,0,0,0,0,0,0,0,555,0,1,556,0
55,243,28,0,126,435,0,2,0,0,0,1,1,1,0,837,0,3,840,0
56,170,16,3,348,355,1,3,0,0,1,2,3,1,2,905,0,3,908,0
57,165,18,2,170,226,0,1,0,0,1,1,0,0,0,584,0,3,587,0
58,205,14,0,186,310,0,0,1,1,0,1,0,1,1,720,0,3,723,0
59,114,9,0,453,115,0,0,0,0,0,1,2,0,1,695,0,0,695,0
60,233,15,7,300,292,0,2,0,1,1,4,3,1,2,861,0,2,863,0
61,190,23,2,90,288,2,1,0,0,0,2,0,1,1,600,0,6,606,0
62,217,26,1,184,460,1,0,0,0,0,2,5,3,1,900,0,5,905,0
63,125,17,1,269,286,0,0,0,1,0,5,1,0,0,705,0,1,706,0
64,203,29,0,316,390,1,1,1,1,1,2,2,2,1,950,0,3,953,0
65,232,18,0,154,299,1,0,0,0,0,1,1,0,0,706,0,1,707,0
66,218,26,1,159,520,2,0,1,0,0,2,0,3,0,932,0,4,936,0
67,157,21,2,222,275,0,0,1,0,0,4,2,0,1,685,0,3,688,0
68,168,25,0,107,151,1,1,0,0,0,0,0,0,0,453,0,1,454,0
69,168,26,1,112,259,0,1,0,0,0,1,0,0,0,568,0,2,570,0
70,127,17,2,126,168,0,1,0,0,0,0,2,1,0,444,0,0,444,0
71,296,43,1,153,405,1,1,2,0,0,1,0,0,1,904,0,3,907,0
72,302,30,0,134,514,3,3,0,0,0,0,1,0,2,989,0,2,991,0
73,482,23,1,74,408,1,0,0,0,0,1,0,0,0,990,0,5,995,0
74,277,23,1,236,426,1,1,1,0,1,2,0,1,0,970,0,2,972,0
75,284,19,0,58,348,1,1,1,0,0,1,2,1,1,717,0,3,720,0
76,234,18,1,96,376,0,0,0,1,0,1,0,0,0,727,0,2,729,0
77,152,22,1,384,165,0,2,0,1,1,3,3,0,0,734,0,2,736,0
78,111,6,1,289,86,0,0,0,0,0,1,0,1,0,495,0,1,496,0
79,164,13,3,548,145,0,1,0,0,0,3,0,0,3,880,0,0,880,0
80,220,8,0,134,144,0,0,0,0,0,1,1,0,0,508,0,2,510,0
81,235,18,0,212,159,0,0,0,0,2,2,1,0,2,631,0,5,636,0
82,317,18,1,254,344,1,1,0,0,0,0,4,0,0,940,0,1,941,0
83,309,13,3,118,361,3,0,0,1,0,3,4,0,0,815,0,9,824,0
84,250,18,0,213,326,0,1,0,0,0,1,1,1,2,813,0,4,817,0
85,328,22,0,135,355,1,1,0,0,0,2,0,0,3,847,0,4,851,0
86,210,9,2,63,390,0,1,0,0,0,4,2,2,1,684,0,4,688,0
87,87,2,1,153,93,0,0,0,0,0,1,1,0,0,338,0,1,339,0
88,236,22,2,60,415,0,1,0,0,0,2,1,0,0,739,0,3,742,0
89,285,19,0,74,300,0,0,0,2,0,1,1,1,0,683,0,0,683,0
90,361,25,0,93,359,0,0,0,0,2,1,1,0,1,843,0,0,843,0
91,157,5,2,343,142,0,1,0,0,0,2,0,0,0,652,0,1,653,0
92,244,26,1,243,322,0,0,0,0,0,1,3,2,2,844,0,4,848,0
93,271,22,2,189,362,0,3,0,0,1,3,4,2,1,860,0,6,866,0
94,198,26,1,163,298,0,1,0,0,1,2,0,2,3,695,0,0,695,0
95,171,5,3,317,152,0,0,0,0,0,2,2,1,1,654,0,7,661,0
96,286,12,0,59,312,0,0,0,0,1,0,0,0,0,670,0,6,676,0
97,388,21,1,102,317,1,0,0,0,1,0,1,0,0,832,0,4,836,0
98,342,14,1,68,325,0,1,0,0,0,2,1,0,0,754,0,3,757,0
99,263,18,0,46,321,1,0,0,0,0,1,0,0,0,650,0,2,652,0
100,301,12,3,222,391,1,3,0,0,1,6,0,2,0,942,0,0,942,0
101,318,40,2,200,476,1,1,1,0,1,2,5,2,0,1049,0,10,1059,0
102,214,30,2,387,414,3,2,0,0,2,3,3,0,0,1060,0,4,1064,0
103,240,26,0,245,198,0,0,0,0,0,0,2,1,2,714,0,4,718,0
104,222,45,1,119,354,3,1,1,1,1,5,0,1,2,756,0,7,763,0
105,171,16,0,104,193,0,0,0,0,0,2,3,0,0,489,0,7,496,0
106,267,24,2,149,455,1,3,1,2,0,4,4,0,0,912,0,7,919,0
107,259,21,2,376,305,0,0,0,1,0,1,1,0,0,966,0,3,969,0
108,270,5,0,176,302,1,0,0,0,0,4,0,0,0,758,0,3,761,0
109,198,10,4,478,146,0,0,0,0,0,4,0,1,0,841,0,1,842,0
110,76,7,4,320,108,0,1,0,0,0,1,1,0,0,518,0,2,520,0
111,124,16,2,348,311,2,0,0,0,0,1,1,0,1,806,0,2,808,0
112,89,19,0,159,186,0,0,0,0,1,2,2,0,1,459,0,1,460,0
113,132,9,0,252,257,0,1,0,0,0,1,1,0,0,653,0,3,656,0
114,90,9,0,134,184,0,1,0,0,0,0,1,0,1,420,0,3,423,0
115,189,14,1,128,298,0,0,0,0,0,1,1,0,1,633,0,1,634,0
116,284,23,3,38,398,0,2,0,0,0,0,0,1,0,749,0,2,751,0
117,142,16,1,27,301,0,0,1,0,0,0,3,0,1,492,0,2,494,0
118,106,8,1,272,147,0,0,0,0,0,0,1,1,1,537,0,2,539,0
119,139,18,1,371,204,0,0,0,0,0,2,1,1,3,740,0,6,746,0
120,125,13,0,212,127,0,0,0,0,0,0,1,0,0,478,0,2,480,0
121,153,12,4,458,174,0,1,1,0,0,2,2,0,1,808,0,4,812,0
122,218,30,1,233,312,0,0,0,0,0,1,1,1,3,800,0,4,804,0
123,193,7,0,211,193,1,0,0,2,0,1,0,0,0,608,0,0,608,0
124,212,27,1,135,395,1,1,0,2,1,0,1,0,0,776,0,5,781,0
125,219,17,0,122,356,1,3,0,0,0,1,7,1,0,727,0,6,733,0
126,229,22,1,92,303,0,1,1,0,0,3,0,1,0,653,0,1,654,0
127,291,21,2,187,327,2,0,0,1,0,1,1,2,1,836,0,5,841,0
128,276,22,0,113,373,2,0,0,0,0,0,1,0,0,787,0,5,792,0
129,178,28,1,152,269,0,0,0,0,0,0,0,0,0,628,0,2,630,0
130,277,28,2,88,369,1,0,0,0,0,0,2,0,0,767,0,2,769,0
131,217,17,0,136,236,0,0,1,1,0,1,1,3,0,613,0,5,618,0
132,210,17,2,136,199,0,1,0,0,0,0,2,1,0,568,0,3,571,0
133,417,23,1,104,290,1,1,0,0,0,1,0,0,0,838,0,1,839,0
134,325,7,0,116,325,0,1,1,0,0,0,1,0,0,776,0,5,781,0
135,310,16,2,153,366,1,1,0,0,0,0,2,0,1,852,0,5,857,0
136,248,13,1,177,262,0,1,0,0,0,1,0,0,0,703,0,2,705,0
137,249,21,1,100,235,1,1,0,0,0,1,0,2,0,611,0,3,614,0
138,212,10,1,85,274,0,0,0,0,0,0,0,0,0,582,0,3,585,0
139,183,9,0,171,186,1,0,0,0,0,0,1,1,1,553,0,5,558,0
140,335,18,1,179,405,1,0,1,2,0,1,1,1,0,945,0,2,947,0
141,180,2,1,314,80,0,0,0,0,0,0,1,0,0,578,0,2,580,0
142,237,8,1,175,157,0,0,1,1,0,3,1,1,0,585,0,1,586,0
143,150,16,1,180,169,1,0,0,0,0,0,1,1,1,520,0,6,526,0
144,188,17,0,248,142,1,0,0,0,0,2,1,0,0,599,0,3,602,0
145,207,23,0,177,202,0,1,0,2,0,1,0,0,1,614,0,6,620,0
146,244,18,1,191,257,0,1,0,0,0,2,1,0,1,716,0,4,720,0
147,204,8,0,305,176,0,0,0,0,1,2,2,1,2,701,0,1,702,0
148,166,11,2,244,274,1,3,0,0,0,2,0,0,3,706,0,4,710,0
149,149,19,2,430,157,0,0,0,1,0,3,1,0,0,762,0,2,764,0
150,124,22,2,258,351,0,2,0,10,0,2,1,0,1,773,0,1,774,0
151,74,9,2,460,52,1,0,0,0,0,2,1,0,0,601,0,3,604,0
152,141,14,5,298,279,0,4,0,0,0,0,1,1,0,743,0,3,746,0
153,171,26,0,189,274,0,2,1,2,0,3,1,1,0,670,0,2,672,0
154,165,29,0,343,329,2,1,0,1,0,3,4,2,0,879,0,1,880,0
155,97,10,0,335,119,0,0,0,1,0,3,1,0,0,566,0,3,569,0
156,139,7,1,364,157,1,0,0,3,0,3,0,0,0,675,0,0,675,0
157,94,10,3,84,279,0,0,0,0,0,1,0,0,0,471,0,0,471,0
158,248,17,1,208,338,3,1,0,0,1,1,0,0,0,818,0,4,822,0
159,303,25,0,130,288,1,0,1,0,0,1,0,1,0,750,0,4,754,0
160,249,17,0,80,181,2,0,0,1,1,1,0,0,0,532,0,3,535,0
161,214,17,0,226,337,0,1,0,1,0,2,0,1,1,800,0,3,803,0
162,396,22,0,103,420,2,2,2,1,2,6,3,2,2,963,0,11,974,0
163,138,9,1,23,185,0,0,0,0,0,2,0,0,0,358,0,0,358,0
164,249,17,1,295,194,0,0,0,0,1,5,1,1,1,765,0,5,770,0
165,287,19,1,170,326,1,1,0,1,1,3,1,2,1,814,0,2,816,0
166,250,13,1,87,258,0,1,0,0,0,0,1,0,0,611,0,4,615,0
167,175,17,1,166,192,0,0,0,0,0,0,0,1,0,552,0,4,556,0
168,344,27,1,197,363,0,0,0,0,0,1,2,0,2,937,0,1,938,0
169,152,12,0,175,157,1,0,0,1,2,1,1,0,1,503,0,2,505,0
170,208,13,0,181,342,2,0,0,0,4,2,1,0,4,757,0,3,760,0
171,107,22,1,312,97,0,1,0,0,0,2,2,0,0,544,0,0,544,0
172,329,14,3,298,270,1,2,0,0,0,3,3,0,1,924,0,5,929,0
173,261,10,2,222,215,0,0,0,1,0,2,0,0,1,714,0,4,718,0
174,121,6,0,234,89,0,0,0,0,0,5,0,1,0,456,0,2,458,0
175,234,19,1,407,263,2,0,2,2,1,6,5,0,2,944,0,7,951,0
176,134,5,0,148,139,0,0,0,0,0,1,0,0,0,427,0,0,427,0
177,208,12,2,322,183,3,2,0,1,0,3,2,0,1,739,0,3,742,0
178,190,6,1,321,131,1,0,0,0,0,4,2,0,2,658,0,7,665,0
179,203,12,0,179,377,0,0,0,0,0,1,0,1,0,773,0,7,780,0
180,189,26,1,146,212,0,1,0,0,0,1,1,0,0,577,0,0,577,0
181,194,9,0,259,266,1,0,0,0,1,0,0,1,0,731,0,8,739,0
182,263,34,3,228,280,1,0,1,0,0,4,1,0,0,815,0,1,816,0
183,267,22,1,120,295,0,1,0,0,1,2,1,0,0,710,0,1,711,0
184,280,20,1,90,372,1,0,0,0,1,4,1,1,1,772,0,3,775,0
185,290,20,0,55,423,1,1,1,0,0,1,1,1,0,794,0,6,800,0
186,348,20,3,71,449,1,3,0,0,0,2,1,2,0,900,0,6,906,0
187,225,33,3,211,342,1,0,0,1,1,4,3,0,1,825,0,5,830,0
188,194,36,1,222,270,1,0,1,1,0,0,0,0,0,726,0,2,728,0
189,192,22,1,156,219,0,0,0,0,0,2,1,1,0,594,0,1,595,0
190,252,22,0,252,306,1,1,0,0,0,2,2,0,1,839,0,7,846,0
