Polling Station No,SILAMBARASAN,DR. J.SAILAS,DR A.P. POORNIMA,A.KALYANASUNDARAM,K.N. SEKAR,BALAMURUGAN.G,V. RAMKUMAR,RAJKUMAR,D. JEYAGANESH,M.S. ARUMUGAM,P. ARUMUGAM,G. SAMPATH,K. SEKAR,G.P. SEKAR,PALANI,R.BALAMURUGAN,DR. S.PRAVEEN,D. PUSHPA,S. MADHAVAN,D.K.MESHACK KIRUBAKARAN,VINAYAGAMOORTHY.R,S. JANARTHANAN,JOTHI.M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,34,2,238,0,63,470,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,811,0,4,815,0
2,17,7,282,0,84,588,1,0,0,0,1,0,0,0,1,1,5,2,2,0,0,1,0,992,0,1,993,0
3,28,3,228,3,62,486,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,818,0,6,824,0
4,35,0,225,0,48,510,1,0,0,1,0,1,0,0,0,0,1,0,3,0,0,1,0,826,0,3,829,0
5,38,0,240,1,76,542,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,903,0,5,908,0
6,40,0,294,3,59,450,0,2,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,855,0,6,861,0
7,52,1,257,1,76,431,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,822,0,9,831,0
8,37,2,238,2,85,473,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,844,0,6,850,0
9,31,2,173,2,95,374,0,0,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,683,0,8,691,0
10,31,0,214,0,114,396,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,759,0,4,763,0
11,43,1,220,3,152,438,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,862,0,6,868,0
12,28,1,206,1,132,324,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,697,0,4,701,0
13,31,1,329,2,87,442,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,0,7,902,0
14,40,2,184,1,162,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,5,791,0
15,31,2,208,0,164,342,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,751,0,4,755,0
16,33,0,206,0,109,371,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,725,0,8,733,0
17,22,1,205,0,99,411,0,1,0,1,0,0,0,2,0,1,0,0,0,0,1,3,0,747,0,5,752,0
18,27,1,213,1,86,394,2,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,732,0,4,736,0
19,31,2,219,3,83,476,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,821,0,4,825,0
20,37,0,169,1,83,320,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,614,0,1,615,0
21,19,1,323,0,60,410,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,818,0,2,820,0
22,24,1,147,0,48,357,1,1,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,584,0,1,585,0
23,49,1,183,0,105,462,0,0,2,1,0,0,0,0,0,4,0,0,1,0,0,0,1,809,0,3,812,0
24,27,2,159,4,103,612,1,0,0,1,0,1,1,0,1,3,1,0,0,0,1,0,0,917,0,4,921,0
25,38,1,238,2,84,474,0,0,0,0,0,1,1,0,0,3,1,1,0,1,0,0,1,846,0,3,849,0
26,41,0,250,2,103,441,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,844,0,4,848,0
27,48,0,237,0,131,488,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,2,911,0,9,920,0
28,26,2,122,1,151,340,1,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,649,0,2,651,0
29,31,3,148,3,179,477,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,846,0,2,848,0
30,49,0,235,1,104,454,1,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,850,0,4,854,0
31,30,1,151,1,101,326,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,616,0,3,619,0
32,25,2,123,1,80,400,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,636,0,4,640,0
33,33,0,156,0,96,411,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,700,0,3,703,0
34,26,2,159,0,167,412,0,1,0,0,0,1,1,2,0,1,0,1,1,0,0,0,0,774,0,3,777,0
35,29,0,140,3,91,412,1,3,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,684,0,3,687,0
36,42,0,197,2,94,466,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,808,0,8,816,0
