Polling Station No,S.GOKULA INDIRA,S.SHANKAR,N.CHITRARASU,B.ANAND,S.DHAYALAN,V.K.RAMKUMAR,E.V.S.RAJAKUMAR NAIDU,N.P.RAJHA,T S HABEEB MOHAMMAD,S ANSAR ALI,G OMPRAKASH,L KASINATHAN,S SATHISH KUMAR,G.SIVA KUMAR,M SELVAMUTHUKUMAR,L NARENDRAN,J NAGARAJ,M MANOHARAN,MOHAMMED BILAL FATHICK,RAMAMOORTHY E,RAJENDIRAN NAIDU,S VINESH KUMAR,JANARTHANAN P,M HARISHANKAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
205,131,27,177,1,1,361,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,706,0,1,707,0
206,149,20,195,1,0,315,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,683,0,3,686,0
207,127,17,165,2,0,285,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,600,0,5,605,0
208,81,29,208,2,2,303,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,635,0,1,636,0
209,106,20,258,1,1,299,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,4,0,0,694,0,2,696,0
210,105,16,238,0,0,201,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,1,563,1
211,107,30,223,0,0,325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,688,0,1,689,0
212,59,10,179,0,0,166,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,415,0,0,415,0
213,51,17,170,0,1,220,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,467,0,1,468,0
214,100,20,142,1,1,197,0,0,1,0,0,1,0,0,1,1,1,0,0,2,0,1,0,0,469,0,2,471,0
215,114,37,222,0,0,403,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,783,0,4,787,0
216,87,19,212,0,0,323,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,644,0,3,647,0
217,139,20,134,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,572,0,3,575,0
218,77,17,149,0,2,292,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,1,545,0,3,548,0
219,148,24,99,0,0,301,1,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,1,0,579,0,1,580,0
220,108,16,183,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,612,0,3,615,0
221,159,30,190,1,1,379,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,766,0,2,768,0
222,147,20,185,0,0,294,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,652,0,1,653,0
223,147,26,201,0,0,346,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,727,0,5,732,0
224,93,26,188,0,4,311,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,627,0,7,634,0
225,100,18,199,2,0,301,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,628,0,5,633,0
226,155,16,220,0,1,294,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,692,0,6,698,0
227,101,19,206,2,0,288,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,618,0,4,622,0
228,81,15,165,2,0,193,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,459,0,1,460,0
229,98,22,202,0,0,295,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,621,0,1,622,0
230,146,19,132,0,0,336,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0,3,0,0,643,0,1,644,0
231,105,26,122,0,1,259,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,517,0,0,517,0
232,148,24,229,0,3,303,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,713,0,2,715,0
233,193,25,152,1,1,313,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,690,0,11,701,0
234,95,30,209,1,0,303,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,642,0,5,647,0
235,118,32,158,0,0,286,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,597,0,3,600,0
236,55,17,163,0,2,198,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,442,0,0,442,0
237,115,16,173,0,1,309,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,618,0,4,622,0
238,117,29,186,1,0,281,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,618,0,3,621,0
239,115,21,151,2,2,250,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,544,0,1,545,0
240,58,6,169,0,1,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,411,0,2,413,0
241,48,14,147,1,0,205,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,419,0,1,420,0
242,111,31,147,0,1,241,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,533,0,4,537,0
243,105,22,143,0,0,225,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,499,0,2,501,0
244,102,24,126,0,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,461,0
245,126,17,395,0,0,239,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,783,0,1,784,0
246,92,13,206,0,0,252,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,568,0,1,569,0
247,97,24,439,1,0,170,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,736,0,4,740,0
248,120,17,422,0,0,241,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,805,0,4,809,0
249,91,20,182,0,2,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,561,0,3,564,0
250,77,17,108,1,0,229,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,437,0,1,438,0
251,146,15,265,1,0,289,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,720,0,2,722,0
252,83,21,222,0,0,247,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,578,0,5,583,0
253,87,9,147,0,0,158,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,403,0,0,403,0
254,104,18,231,1,2,287,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,647,0,7,654,0
255,88,17,229,1,3,282,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,625,0,1,626,0
256,120,15,156,0,1,324,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,622,0,2,624,0
257,122,16,164,0,0,307,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,612,0,3,615,0
258,109,19,152,2,0,266,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,552,0,2,554,0
259,109,19,176,0,1,348,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,655,0,4,659,0
260,87,17,202,0,0,246,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,558,0,1,559,0
261,102,27,152,1,1,322,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,611,0,2,613,0
262,116,39,169,1,1,303,1,1,3,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,640,0,3,643,0
263,91,26,219,1,0,322,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,663,0,4,667,0
264,143,29,233,0,1,251,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,661,0,3,664,0
265,176,18,130,1,3,265,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,599,0,6,605,0
266,58,15,130,0,0,229,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,437,0,3,440,0
267,89,16,140,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,431,0,0,431,0
268,112,29,195,1,2,293,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1,0,640,0,1,641,0
269,97,16,241,1,0,243,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,605,0,3,608,0
270,80,29,261,0,0,250,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,624,0,3,627,0
271,85,11,219,0,1,225,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,545,0,4,549,0
272,139,20,303,1,2,291,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,760,0,6,766,0
273,103,13,185,0,0,228,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,532,0,4,536,0
