Polling Station No,S.GOKULA INDIRA,S.SHANKAR,N.CHITRARASU,B.ANAND,S.DHAYALAN,V.K.RAMKUMAR,E.V.S.RAJAKUMAR NAIDU,N.P.RAJHA,T S HABEEB MOHAMMAD,S ANSAR ALI,G OMPRAKASH,L KASINATHAN,S SATHISH KUMAR,G.SIVA KUMAR,M SELVAMUTHUKUMAR,L NARENDRAN,J NAGARAJ,M MANOHARAN,MOHAMMED BILAL FATHICK,RAMAMOORTHY E,RAJENDIRAN NAIDU,S VINESH KUMAR,JANARTHANAN P,M HARISHANKAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
49,162,16,220,0,0,188,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,592,0,4,596,0
50,186,13,155,0,0,143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,499,0,6,505,1
51,147,24,218,1,2,466,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,865,0,2,867,0
52,104,18,219,0,0,389,0,0,1,0,0,0,2,3,0,0,1,0,1,1,1,1,1,0,742,0,0,742,0
53,169,23,271,2,1,221,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,2,0,0,695,0,8,703,0
54,167,27,155,0,0,173,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,525,0,12,537,0
55,149,17,173,0,0,159,0,0,1,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,505,0,9,514,0
56,140,22,209,0,0,233,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,608,0,6,614,0
57,129,11,135,0,0,165,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,446,0,4,450,0
58,79,21,141,0,1,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,420,0,5,425,0
59,151,13,214,1,1,180,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,562,0,6,568,0
60,137,10,191,0,0,176,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,517,0,3,520,0
61,189,16,204,3,0,185,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,602,0,5,607,0
62,179,23,217,0,4,225,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,653,0,8,661,0
63,128,17,223,0,1,413,1,0,1,0,0,0,0,0,0,6,0,0,2,1,0,2,2,0,797,0,3,800,0
64,125,27,226,2,0,388,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,1,1,0,777,0,1,778,0
65,111,23,235,0,1,301,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,3,0,680,0,1,681,0
66,113,20,235,1,1,446,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,821,0,1,822,0
67,104,16,168,1,3,336,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,632,0,1,633,0
68,128,27,199,2,0,451,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,812,0,3,815,0
69,146,17,143,1,3,415,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,729,0,4,733,0
70,124,27,166,0,2,344,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,668,0,7,675,0
71,101,16,123,1,0,263,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,513,0,1,514,0
72,90,6,132,0,0,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,404,0,2,406,0
73,110,26,188,0,0,333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,659,0,2,661,0
74,125,33,179,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,688,0,4,692,0
75,171,14,183,1,0,290,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,666,0,2,668,0
76,100,19,111,1,0,302,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,539,0,4,543,0
77,106,13,163,1,2,297,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,587,0,4,591,0
78,174,35,200,0,1,378,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,1,0,795,0,3,798,0
79,117,9,131,0,2,290,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,551,0,3,554,0
80,153,27,192,1,1,291,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,667,0,2,669,0
81,135,17,212,1,2,334,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,707,0,4,711,0
82,121,21,176,1,0,404,1,0,2,1,0,0,0,1,0,0,0,1,1,1,0,5,0,0,736,0,0,736,0
83,100,20,152,0,0,273,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,550,0,2,552,0
84,143,29,251,2,1,357,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,2,0,0,791,0,1,792,0
85,99,9,140,0,1,169,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,424,0,3,427,0
86,112,18,224,0,0,203,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,560,0,5,565,0
87,99,18,146,0,0,224,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,490,0,8,498,0
88,123,16,171,0,1,180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,493,0,3,496,0
89,93,15,143,0,0,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,2,339,0
90,124,19,166,0,1,343,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,660,0,2,662,0
91,118,31,244,1,0,446,2,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,848,0,1,849,1
92,86,8,207,1,1,389,0,0,0,0,0,2,0,0,0,1,4,0,1,0,2,1,1,1,705,0,2,707,0
93,90,13,164,0,0,369,0,1,1,0,1,0,0,1,0,3,2,0,1,0,0,3,0,0,649,0,2,651,0
94,88,16,319,0,1,424,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,854,0,1,855,0
95,64,8,181,0,0,253,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,509,0,2,511,0
96,52,8,172,0,0,245,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,484,0,1,485,0
97,101,8,80,0,1,119,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,312,0,6,318,0
98,160,37,238,1,1,266,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,708,0,9,717,0
99,64,16,302,0,1,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,3,644,0
100,124,17,171,1,0,220,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,535,0,4,539,0
101,162,22,223,1,1,298,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,713,0,4,717,0
102,51,9,188,1,0,368,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,625,0,1,626,0
103,164,17,198,0,1,271,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,655,0,10,665,1
104,151,21,196,1,0,311,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,686,0,3,689,0
105,97,7,99,1,0,69,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,275,0,8,283,0
106,189,13,150,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,501,0,9,510,0
107,117,13,184,1,0,138,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,458,0,5,463,0
108,72,13,65,0,1,167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,319,0,1,320,0
109,170,32,230,1,0,218,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,655,0,2,657,0
110,96,9,336,1,1,251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,698,0,0,698,0
111,190,11,165,0,1,169,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,539,0,5,544,0
112,270,4,159,0,0,152,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,591,0,6,597,0
113,250,4,113,1,0,89,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,459,0,9,468,0
