Polling Station No,P.L.SUNDARAM,S.SOUNDARYA,A.BANNARI,B.PALANISWAMY,V.P.TAMILSELVI,RAKKI,A.AMRISH,GOPALAN.M,C.PALANICHAMY,S.PALANISWAMY,RAMAKRISHNAN,DR.HANUMAIAH.C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,117,5,251,6,165,0,0,2,1,0,1,16,564,0,7,571,0
2,135,9,104,4,134,0,1,0,4,1,3,6,401,0,4,405,0
3,36,4,186,1,41,0,0,0,0,0,1,0,269,0,4,273,0
4,110,15,71,1,173,1,0,1,0,0,0,4,376,0,1,377,0
5,71,2,324,11,20,1,0,1,0,1,2,3,436,0,4,440,0
6,90,5,429,3,18,0,0,1,1,2,3,3,555,0,2,557,0
7,274,22,97,1,256,0,0,1,1,3,1,3,659,0,6,665,0
8,154,3,213,8,146,2,0,3,3,0,3,3,538,0,1,539,0
9,165,12,134,5,201,3,1,0,4,0,0,1,526,0,2,528,0
10,235,15,428,11,159,2,0,2,4,5,5,6,872,0,15,887,0
11,124,12,205,4,113,2,2,1,2,0,0,4,469,0,4,473,1
12,230,6,147,1,147,0,0,1,2,0,1,3,538,0,1,539,0
13,377,15,180,3,198,0,0,0,0,0,0,0,773,0,2,775,0
14,231,7,304,3,119,1,0,1,1,1,2,0,670,0,3,673,0
15,152,15,263,5,151,0,0,0,1,0,3,0,590,0,2,592,0
16,164,6,276,4,56,0,0,0,1,1,0,0,508,0,2,510,0
17,112,3,245,5,71,0,0,0,0,1,1,3,441,0,6,447,0
18,134,19,179,2,177,0,0,3,2,1,2,1,520,0,3,523,0
19,124,10,130,2,127,2,0,0,0,1,1,1,398,0,4,402,0
20,165,0,248,5,150,1,0,1,0,0,2,10,582,0,4,586,0
21,39,2,396,2,45,0,1,0,2,1,2,1,491,0,3,494,0
22,93,11,346,5,254,0,3,0,0,1,5,2,720,0,5,725,0
23,193,12,204,4,230,1,0,1,1,3,2,5,656,0,7,663,0
24,68,12,446,11,268,0,2,1,1,1,2,5,817,0,7,824,0
25,112,13,304,6,179,2,1,3,2,5,4,5,636,0,14,650,0
26,116,12,299,9,207,0,1,0,2,2,0,3,651,0,4,655,0
27,66,10,359,4,83,1,4,1,0,1,4,1,534,0,6,540,0
28,129,6,241,3,106,0,0,1,2,0,0,2,490,0,3,493,0
29,147,3,317,5,122,1,0,2,3,1,5,1,607,0,5,612,0
30,55,8,91,0,41,1,0,1,1,0,2,0,200,0,5,205,0
31,193,3,212,6,62,0,0,1,1,0,0,0,478,0,1,479,0
32,131,3,276,0,68,1,1,0,0,0,2,2,484,0,7,491,0
33,70,1,73,3,56,0,0,0,2,2,3,0,210,0,5,215,0
34,289,17,415,7,306,0,0,3,2,1,2,4,1046,0,7,1053,0
35,264,12,317,3,169,1,0,0,3,4,4,4,781,0,4,785,0
36,144,5,190,5,103,0,0,2,0,1,0,2,452,0,5,457,0
37,353,5,184,5,239,0,2,1,0,1,1,1,792,0,6,798,0
38,250,15,226,9,122,1,1,0,3,1,2,1,631,0,10,641,0
39,112,7,402,4,59,1,0,0,2,0,0,1,588,0,3,591,0
40,164,4,438,1,111,2,0,0,1,0,5,0,726,0,1,727,0
41,96,8,210,2,116,0,1,0,2,1,2,7,445,0,1,446,0
42,112,13,142,9,333,5,0,1,7,0,1,41,664,0,5,669,0
43,199,7,81,7,319,7,1,0,3,1,4,12,641,0,22,663,0
44,107,6,291,3,133,2,2,2,3,3,3,3,558,0,4,562,0
45,160,3,378,2,193,5,1,0,2,2,5,3,754,0,5,759,0
46,148,19,283,7,164,0,1,2,7,2,2,3,638,0,5,643,0
47,123,7,200,10,93,0,0,1,0,0,3,1,438,0,8,446,0
48,164,7,221,39,128,0,1,0,0,4,2,3,569,0,7,576,0
49,246,16,355,21,238,4,1,6,3,4,6,9,909,0,15,924,0
50,168,5,452,4,92,2,1,1,2,1,3,1,732,0,5,737,0
51,178,8,393,6,160,3,0,3,3,1,3,3,761,0,9,770,0
52,214,17,421,9,241,4,2,2,6,1,5,6,928,0,12,940,0
53,159,11,229,5,312,3,1,0,3,4,1,11,739,0,5,744,0
54,162,6,322,4,106,0,1,1,3,2,3,2,612,0,3,615,0
55,150,9,144,3,176,2,0,0,5,1,3,3,496,0,6,502,0
56,175,6,253,2,181,3,4,1,2,1,2,4,634,0,5,639,0
