Polling Station No,DURAI CHANDRASEKAR,SANTHOSHKUMAR.J,BALARAMAN.P,RAJATHI.M,ASHOK PRIYADARSHAN,RAJA.S,KOTTEESWARAN. K,MALATHI.S,DR.RAVI.M.S,NAGAIYAN.G,BARATHIRAJA.K,RAJASEKAR.J,VENKATESAN.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
44,226,2,122,11,3,0,3,3,417,1,0,0,0,788,0,4,792,0
45,168,18,189,13,4,0,0,2,253,0,0,2,0,649,0,3,652,0
46,145,5,161,16,1,1,0,2,280,1,1,2,0,615,0,3,618,0
47,160,2,186,19,2,0,0,2,282,1,0,1,0,655,0,3,658,0
48,113,3,233,16,76,0,0,2,325,1,0,0,4,773,0,3,776,0
49,126,3,136,11,11,1,1,1,162,1,0,1,0,454,0,0,454,0
50,182,3,248,19,0,0,0,0,282,1,1,3,0,739,0,3,742,0
51,191,1,234,11,3,1,0,2,476,1,1,3,2,926,0,5,931,0
52,113,0,110,6,0,5,0,1,176,1,0,0,2,414,0,1,415,0
53,101,1,116,17,0,1,0,0,278,0,1,1,0,516,0,1,517,0
54,135,1,252,14,0,1,0,1,277,0,1,0,1,683,0,9,692,0
55,182,4,194,34,2,0,0,2,419,1,1,2,0,841,0,2,843,0
56,107,0,105,2,1,0,0,2,189,0,1,0,1,408,0,1,409,0
57,70,4,176,14,0,0,1,0,218,2,0,1,3,489,0,4,493,0
58,192,0,175,10,0,0,0,0,199,0,0,0,0,576,0,4,580,0
59,274,0,147,10,1,3,0,3,405,1,0,0,2,846,0,4,850,0
60,190,3,86,8,0,0,0,0,196,1,2,0,1,487,0,1,488,0
61,151,4,150,20,0,3,1,0,345,0,1,0,2,677,0,0,677,0
62,185,2,214,8,1,0,0,0,182,0,0,0,0,592,0,4,596,0
63,122,2,91,12,0,0,0,1,237,0,1,0,1,467,0,0,467,0
64,187,4,183,13,0,2,1,0,449,1,0,0,1,841,0,4,845,0
65,161,2,92,16,1,0,0,0,257,0,0,0,0,529,0,2,531,0
66,167,2,84,10,0,0,0,1,287,0,0,0,2,553,0,4,557,0
67,174,3,152,24,0,0,0,1,310,0,0,1,3,668,0,4,672,0
68,113,8,303,25,1,1,1,0,288,1,0,1,1,743,0,1,744,0
69,248,0,253,16,0,1,0,1,463,0,0,2,0,984,0,5,989,0
70,169,0,191,25,1,2,2,1,357,3,2,0,1,754,0,1,755,0
71,161,2,362,30,8,1,0,1,414,0,1,1,2,983,0,5,988,0
72,210,1,192,40,0,2,0,1,447,0,0,0,1,894,0,1,895,0
73,141,4,227,22,1,0,1,1,265,1,1,3,1,668,0,2,670,0
74,128,2,405,22,1,2,1,2,403,1,1,1,0,969,0,7,976,0
75,166,2,332,11,0,0,0,1,316,0,1,1,1,831,0,2,833,0
76,146,3,201,13,0,1,0,1,271,2,1,0,0,639,0,3,642,0
77,126,0,150,26,0,0,1,1,322,0,0,1,0,627,0,2,629,0
78,109,0,140,10,2,0,0,4,326,1,0,0,0,592,0,4,596,0
79,176,2,142,23,0,0,0,1,494,2,0,1,3,844,0,2,846,0
80,160,4,137,10,1,2,1,2,376,0,0,0,0,693,0,1,694,0
81,144,0,164,13,1,1,0,1,375,0,0,0,0,699,0,0,699,0
82,158,0,225,24,0,1,1,2,464,0,1,0,0,876,0,1,877,0
83,181,3,227,27,0,0,0,3,315,0,4,2,0,762,0,2,764,0
84,170,1,278,23,0,1,0,0,462,0,1,3,0,939,0,3,942,0
85,99,0,118,32,1,0,0,1,322,2,1,1,0,577,0,0,577,0
86,132,0,139,18,0,2,0,0,350,1,0,1,0,643,0,4,647,0
87,143,1,222,16,1,1,1,1,283,0,1,3,0,673,0,4,677,0
88,121,1,327,21,1,1,1,2,350,3,1,3,0,832,0,6,838,0
89,98,1,150,18,1,0,1,3,297,0,0,1,0,570,0,1,571,0
90,113,2,124,13,0,0,1,1,361,1,0,0,0,616,0,1,617,0
91,90,1,96,6,0,0,0,0,95,0,0,0,1,289,0,2,291,0
92,195,0,156,18,1,0,2,2,358,2,0,3,2,739,0,0,739,0
93,187,8,187,25,1,1,0,1,335,0,1,2,1,749,0,3,752,0
94,130,2,267,6,0,0,2,0,269,1,0,0,2,679,0,5,684,0
95,38,3,171,15,0,0,0,0,207,1,2,2,0,439,0,0,439,0
96,267,1,180,15,2,1,3,3,373,3,0,0,2,850,0,4,854,0
97,184,1,167,17,1,2,8,1,290,0,0,0,0,671,0,2,673,0
98,163,3,214,29,3,0,0,2,519,0,2,0,0,935,0,5,940,0
99,104,7,88,21,1,0,2,2,367,0,1,0,0,593,0,4,597,0
100,276,0,167,27,2,1,1,1,441,1,0,2,2,921,0,5,926,0
101,141,0,139,20,2,0,2,0,355,0,0,1,1,661,0,1,662,0
102,133,1,156,17,0,2,0,0,350,1,0,0,0,660,0,3,663,0
103,89,0,113,9,0,0,0,3,188,0,1,0,0,403,0,2,405,0
104,113,0,144,17,0,0,0,1,240,0,1,1,0,517,0,4,521,0
105,77,1,109,8,1,0,0,1,219,1,1,2,0,420,0,0,420,0
106,207,2,189,33,1,0,1,4,393,0,0,1,0,831,0,7,838,0
107,230,2,155,16,0,0,0,0,314,0,0,1,1,719,0,0,719,0
108,133,1,42,3,0,0,0,0,154,0,0,0,0,333,0,2,335,0
109,180,3,203,26,0,0,1,1,367,2,0,2,0,785,0,2,787,0
