Polling Station No,Candidate_1,IHCTAK M DNIVARA RALIMAT MAAN,YTRAP V JAMAS NAMAR NAJUHAB,ARTENNUM ADIVARD MAGAHZAK S RAKES ANNA AIDNI LLA,MAGAHZAK S K ARTENNUM YIHTROOM ADIVARD,ADIVARD AMMA MAGAHZAK S RAVIALAHT USARAVLES ARTENNUM IHCTARUP ANNA,IHCTAK IAMIRUVHZAAV V AJALIAHS AGAHZIMAT,MAGAHZAK A RAMUKADNAN IRTTEV AGALIMAT,LAKKAM ADIVARD IHCTAK P MAIKKAB ANNA LAYES AYIHTNIHTIANA,LAKKAM R K RAVIALAHTIHCTARUP MAGAHZAK IJAALAHBAYRUS ARTTENNUM YAJIV AIDNI LLA,N TNEDNEPEDNI YMASAMAR,S TNEDNEPEDNI YMASADNAK,TNEDNEPEDNI R KIHTRAK,TNEDNEPEDNI G NALAPOG,K TNEDNEPEDNI NASRAHDUS,TNEDNEPEDNI R HSERUS,TNEDNEPEDNI C RAKES,TNEDNEPEDNI V RAKES,M TNEDNEPEDNI USARAGNAHT,S IRAWHSEMARAP TNEDNEPEDNI,S TNEDNEPEDNI YMASINALAP,TNEDNEPEDNI R IJALAB,TNEDNEPEDNI K PAHTARP,M RAMUK TNEDNEPEDNI JONAM,TNEDNEPEDNI M IHTRUM,TNEDNEPEDNI M IHTROOM,TNEDNEPEDNI K HTIJNAR,TNEDNEPEDNI P HSEMAR,TNEDNEPEDNI R HSEMAR,TNEDNEPEDNI R AJAR,TNEDNEPEDNI A AHTAL,A RAMUKAYAJIV TNEDNEPEDNI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
129,129,31,0,268,257,3,17,252,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,837,0,1,838,0
130,130,34,2,161,225,4,0,289,1,1,4,3,0,6,2,0,1,1,0,0,0,1,2,1,0,1,0,1,2,0,1,0,743,0,1,744,0
131,131,27,1,345,247,2,10,312,3,2,1,0,3,2,1,2,3,0,0,3,0,0,0,2,0,1,0,0,1,2,3,1,974,0,3,977,0
132,132,16,7,259,323,4,9,357,0,0,0,3,0,3,1,0,2,2,0,2,1,1,0,6,2,0,0,0,1,0,0,0,999,0,0,999,0
133,133,8,0,136,120,1,3,100,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,376,0,1,377,0
134,134,26,1,256,277,1,7,350,1,3,0,3,0,1,1,1,3,2,0,1,1,1,0,2,0,1,0,1,0,5,1,1,947,0,2,949,0
135,135,18,2,333,272,1,1,279,0,0,1,2,0,3,0,0,0,2,2,2,0,1,0,2,0,0,1,0,1,2,0,1,926,0,2,928,0
136,136,15,1,163,136,1,3,278,2,0,0,0,0,1,1,1,1,0,1,3,0,0,0,3,1,1,0,0,0,0,0,0,612,0,1,613,0
137,137,7,1,169,177,2,2,138,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,503,0,1,504,0
138,138,27,0,270,371,1,0,345,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1019,0,1,1020,0
139,139,18,5,225,303,1,0,358,0,1,0,1,1,1,1,0,1,1,0,3,1,0,1,0,0,1,0,0,1,1,1,0,926,0,1,927,0
140,140,12,0,210,156,2,0,102,0,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,490,0,0,490,0
141,141,7,0,217,218,0,0,79,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,525,0,2,527,0
142,142,19,1,158,163,3,2,196,3,1,2,0,1,3,1,2,2,1,0,1,0,0,1,1,0,1,2,0,1,3,1,0,569,0,0,569,0
143,143,16,0,124,230,0,0,208,0,0,1,1,1,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,589,0,2,591,0
144,144,20,1,256,344,3,0,238,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,871,0,2,873,0
145,145,29,0,313,272,1,8,303,1,2,2,1,0,1,2,0,1,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,943,0,2,945,0
146,146,18,1,363,167,1,1,162,1,0,2,0,0,4,2,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,730,0,0,730,0
147,147,9,0,198,107,1,1,176,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,496,0,4,500,0
148,148,11,0,207,137,1,0,100,0,1,0,1,2,0,0,2,1,1,1,0,1,0,0,2,1,0,0,0,0,1,1,0,471,0,4,475,0
149,149,12,2,200,189,0,0,147,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,555,0,0,555,0
150,150,15,1,153,288,1,1,244,0,0,0,0,0,3,0,0,2,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,714,0,1,715,0
151,151,17,0,48,239,0,0,155,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,3,464,0
152,152,15,1,71,215,0,0,189,1,0,0,1,0,2,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,501,0,1,502,0
153,153,13,0,107,123,0,0,98,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,2,345,0
154,154,12,0,116,265,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,603,0,0,603,0
155,155,5,0,315,161,0,0,200,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,686,0,1,687,0
156,156,15,3,275,169,0,1,161,0,0,0,0,2,0,0,0,1,0,0,3,0,1,1,1,0,1,0,0,1,1,1,0,637,0,0,637,0
157,157,11,2,123,371,1,0,372,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,885,0,1,886,0
158,158,24,0,260,297,3,0,263,1,1,0,1,0,2,1,0,0,1,1,3,1,0,1,1,0,0,1,0,0,0,0,0,862,0,4,866,0
159,159,26,0,292,288,6,1,249,0,0,0,2,0,1,0,0,2,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,874,0,3,877,0
160,160,23,0,269,179,0,0,197,0,1,0,0,1,0,3,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,677,0,1,678,0
161,161,24,1,366,236,0,1,194,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,827,0,5,832,0
162,162,11,0,347,206,1,2,242,1,0,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,1,1,821,0,2,823,0
163,163,17,1,139,137,2,0,151,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,451,0,3,454,0
164,164,15,1,181,216,0,1,173,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,590,0,4,594,0
165,165,12,0,174,135,1,0,160,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,485,0,3,488,0
166,166,23,1,147,322,3,3,262,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,771,0,1,772,0
167,167,12,3,257,198,1,0,227,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,704,0,1,705,0
168,168,21,2,393,253,2,0,215,1,1,2,1,3,1,2,2,1,2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,907,0,4,911,0
169,169,14,1,184,144,0,0,199,0,0,1,1,0,0,1,0,3,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,553,0,1,554,0
170,170,16,0,193,160,0,0,175,0,0,0,0,0,0,0,0,1,3,0,1,0,0,2,1,0,0,1,0,0,1,0,0,554,0,1,555,0
171,171,36,1,295,226,3,0,276,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,845,0,1,846,0
172,172,63,0,235,318,4,1,239,0,0,0,1,0,3,2,2,3,4,0,3,1,0,0,3,1,0,2,0,0,0,1,1,887,0,0,887,0
173,173,22,0,328,170,1,0,248,0,1,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,778,0,2,780,0
174,174,17,1,230,185,2,0,239,0,0,0,0,0,2,2,1,2,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0,688,0,1,689,0
175,175,12,1,250,148,1,2,191,0,1,0,0,0,1,0,1,3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,615,0,3,618,0
176,176,23,2,298,194,4,4,252,1,2,1,2,0,2,0,0,1,1,0,3,3,1,0,3,0,0,0,0,0,1,0,0,798,0,1,799,0
177,177,18,1,161,265,1,0,241,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,691,0,1,692,0
178,178,11,0,130,134,2,1,188,1,1,0,1,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,476,0,0,476,0
179,179,18,0,172,245,1,1,254,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,3,698,0
180,180,23,0,196,185,1,1,213,1,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,1,628,0,3,631,0
181,181,36,0,213,284,0,0,332,1,0,0,1,0,2,1,0,2,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,878,0,3,881,0
182,182,20,0,184,248,0,1,218,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,675,0,1,676,0
183,183,15,2,207,232,0,0,338,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,798,0,3,801,0
184,184,16,2,123,209,0,1,390,0,0,2,2,0,0,1,0,1,1,0,1,0,0,1,3,0,0,0,0,0,0,0,1,754,0,1,755,0
185,185,29,0,146,226,0,0,225,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,632,0,4,636,0
186,186,27,0,330,235,1,0,286,2,1,2,0,0,0,1,0,4,1,2,0,2,0,0,1,1,1,1,0,1,3,1,0,903,0,1,904,0
187,187,6,2,340,257,2,0,219,0,1,1,1,2,1,5,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,843,0,2,845,0
188,188,56,2,265,263,1,2,290,0,4,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,890,0,0,890,0
189,189,28,3,343,245,3,0,202,0,0,0,2,2,1,2,0,3,3,1,1,0,0,0,2,0,0,1,0,0,0,0,0,842,0,5,847,0
190,190,29,2,377,175,2,0,184,2,2,0,2,1,1,0,2,3,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,787,0,1,788,0
191,191,33,0,355,290,0,0,209,0,0,0,2,2,3,1,0,1,4,2,3,2,1,1,2,0,0,0,0,0,2,3,0,916,0,5,921,0
192,192,29,1,239,328,3,2,294,1,1,0,1,2,0,1,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,909,0,2,911,0
193,193,19,2,319,334,0,1,242,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,928,0,0,928,0
194,194,47,0,206,218,0,1,191,0,0,0,0,0,1,0,0,2,3,1,2,2,0,3,0,0,0,0,0,0,0,1,0,678,0,1,679,0
195,195,13,1,331,202,2,1,178,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,2,0,740,0,0,740,0
196,196,13,0,284,151,1,0,87,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,541,0,2,543,0
197,197,12,2,154,148,0,0,154,0,1,0,2,0,1,0,0,0,0,0,5,0,0,2,3,0,0,0,0,0,0,0,1,485,0,1,486,0
198,198,33,2,266,265,0,4,200,1,0,0,2,0,1,1,0,0,2,0,1,0,0,1,3,3,1,0,0,1,2,0,0,789,0,1,790,0
199,199,40,3,201,202,0,1,201,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,653,0,3,656,0
200,200,21,1,250,129,1,2,141,1,1,1,1,3,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,557,0,0,557,0
201,201,21,0,327,246,1,2,278,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,884,0,4,888,0
202,202,27,2,258,276,1,1,333,1,2,1,0,0,1,3,2,1,4,1,2,1,1,2,11,1,0,0,1,0,1,4,0,938,0,2,940,0
203,203,29,0,252,303,0,0,256,0,0,0,0,0,1,2,1,2,3,0,2,0,0,0,2,0,0,0,0,0,1,0,1,855,0,6,861,0
204,204,26,2,423,271,4,0,188,0,1,0,1,1,5,0,2,5,4,1,1,3,1,0,3,0,0,2,0,0,2,1,0,947,0,7,954,0
205,205,29,0,212,306,1,0,233,0,0,0,2,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,790,0,1,791,0
206,206,18,0,213,224,0,0,191,1,0,0,1,1,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,657,0,2,659,0
207,207,16,2,187,198,2,0,164,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,2,579,0,2,581,0
208,208,18,1,213,221,1,0,176,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,639,0,1,640,0
209,209,21,2,260,204,1,0,161,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1,657,0,1,658,0
210,210,21,0,195,242,1,1,117,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,583,0,0,583,0
211,211,15,2,151,202,0,2,224,0,0,0,1,0,0,0,3,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,606,0,1,607,0
212,212,19,1,272,169,1,0,149,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,618,0,1,619,0
213,213,20,0,269,153,0,0,203,0,1,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,1,0,1,0,0,661,0,3,664,0
214,214,6,1,161,111,0,0,100,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,389,0,0,389,0
215,215,10,0,219,161,0,1,116,0,0,0,0,1,0,1,0,4,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,522,0,2,524,0
216,216,15,1,169,193,1,1,162,0,0,0,0,0,1,0,0,1,1,1,0,0,0,7,1,1,0,0,0,0,0,1,1,557,0,2,559,0
217,217,15,3,184,229,1,1,171,0,0,0,1,0,0,0,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,612,0,1,613,0
218,218,34,2,287,262,0,0,293,1,0,0,0,2,2,1,2,4,4,1,2,0,1,1,2,0,0,0,0,1,1,1,1,905,0,3,908,0
219,219,27,0,293,332,2,3,263,0,0,0,1,1,0,1,0,1,1,1,1,2,0,1,2,0,0,0,0,1,0,0,0,933,0,1,934,0
220,220,32,3,183,281,4,4,349,0,1,0,3,0,0,1,0,1,1,0,1,0,2,0,2,0,0,1,0,1,1,2,0,873,0,2,875,0
221,221,33,2,294,259,3,1,199,2,0,0,2,1,3,0,1,3,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,808,0,2,810,0
222,222,37,3,294,268,2,0,335,0,0,0,0,0,2,3,1,2,0,2,0,3,0,0,1,0,0,0,0,0,1,0,0,954,0,4,958,0
223,223,9,1,186,146,0,1,180,0,0,0,0,0,1,0,1,1,3,2,0,2,0,0,2,0,0,0,1,0,1,0,1,538,0,2,540,0
224,224,14,0,204,125,1,0,141,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,487,0,5,492,0
225,225,23,0,203,199,1,1,292,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,724,0,1,725,0
226,226,13,1,195,186,2,1,343,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,3,1,0,0,0,1,3,0,0,756,0,3,759,0
227,227,15,1,130,157,1,2,201,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,515,0,1,516,0
228,228,29,0,288,273,0,0,306,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,902,0,0,902,0
229,229,9,2,127,145,3,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,445,0,0,445,0
230,230,32,2,209,302,1,2,323,0,2,0,0,0,1,1,0,4,0,0,0,0,0,0,5,1,1,1,0,0,0,2,1,890,0,2,892,0
231,231,8,2,165,162,2,0,87,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,431,0,2,433,0
232,232,19,0,188,163,1,0,201,3,1,0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,582,0,1,583,0
233,233,33,2,351,248,5,0,302,0,0,0,2,0,2,4,3,5,2,2,1,1,0,0,3,2,1,1,0,0,0,0,0,970,0,7,977,0
234,234,76,1,221,245,4,0,337,1,1,0,0,0,0,0,1,3,1,2,2,0,1,0,8,1,0,0,0,1,0,1,0,907,0,3,910,0
235,235,19,1,190,280,1,2,229,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,727,0,0,727,0
236,236,32,0,273,178,0,1,211,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,701,0,2,703,0
237,237,18,0,183,163,1,0,195,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,565,0,2,567,0
238,238,36,2,207,264,1,0,258,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,3,772,0
239,239,54,2,401,257,1,1,276,1,0,2,1,0,2,0,3,2,2,0,0,0,0,0,3,0,0,0,0,0,2,1,0,1011,0,2,1013,0
240,240,42,2,321,321,3,3,291,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,992,0,1,993,0
241,241,23,0,274,143,2,1,142,0,1,0,1,0,2,2,1,3,1,1,0,0,0,1,1,0,0,0,0,0,2,2,0,603,0,0,603,0
242,242,24,2,172,184,0,0,260,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1,2,0,0,0,0,0,1,1,1,653,0,2,655,0
243,243,13,1,183,185,3,2,249,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,644,0,2,646,0
244,244,18,0,300,210,0,2,287,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,1,1,0,1,0,0,827,0,1,828,0
245,245,28,0,216,149,3,4,130,0,4,0,0,1,0,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,541,0,0,541,0
246,246,18,0,156,187,0,5,110,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,7,0,0,489,0,2,491,0
247,247,29,0,420,202,0,4,246,0,3,1,0,0,0,1,0,4,1,0,2,2,1,0,1,0,0,0,0,0,6,1,1,925,0,3,928,0
248,248,10,1,150,165,0,2,189,0,1,0,0,0,3,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,3,2,0,533,0,0,533,0
249,249,21,2,243,204,0,0,234,0,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,1,713,0
250,250,15,2,355,205,0,0,211,0,0,0,0,0,2,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,798,0,3,801,0
251,251,21,0,184,203,2,1,267,2,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,688,0,1,689,0
252,252,19,0,164,177,1,1,122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,487,0,3,490,0
253,253,35,2,341,231,1,2,318,0,0,0,1,0,1,3,1,2,0,1,0,0,0,1,1,1,0,1,0,1,0,2,1,947,0,1,948,0
254,254,66,1,136,284,6,3,224,1,0,0,2,1,2,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,733,0,2,735,0
255,255,28,2,320,185,2,2,182,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,730,0,3,733,0
256,256,21,0,232,269,0,1,203,1,0,0,1,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,735,0,3,738,0
257,257,25,3,231,222,1,2,239,1,1,1,0,0,1,1,2,3,0,1,1,0,0,0,3,0,0,0,0,0,2,0,0,740,0,0,740,0
258,258,20,1,237,276,5,1,149,1,1,0,1,0,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,3,0,0,702,0,1,703,0
259,259,35,0,132,180,2,3,169,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,527,0,0,527,0
260,260,11,0,292,197,1,1,207,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,6,0,0,720,0,4,724,0
261,261,13,0,159,245,1,0,185,1,0,1,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,3,0,0,614,0,0,614,0
262,262,34,1,224,205,1,3,236,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,47,0,0,758,0,2,760,0
263,263,21,2,247,254,3,0,297,0,0,0,0,1,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,4,0,0,836,0,1,837,0
264,264,34,0,243,292,2,3,337,1,0,0,3,0,2,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,13,0,0,938,0,0,938,0
265,265,28,0,285,241,0,1,331,1,0,0,4,0,1,2,0,4,4,3,1,0,1,1,1,0,1,1,1,1,2,0,0,915,0,3,918,0
266,266,7,2,216,170,1,0,143,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,0,1,0,1,549,0,2,551,0
267,267,19,1,241,240,0,2,263,1,0,0,0,0,0,1,1,3,4,0,1,0,4,1,1,0,0,0,0,1,1,0,0,785,0,2,787,0
268,268,30,4,275,359,2,1,293,0,0,0,1,3,4,3,1,5,4,1,2,3,0,1,3,0,0,2,0,0,1,3,2,1003,0,1,1004,0
