Polling Station No,Candidate_1,IHCTAK M DNIVARA RALIMAT MAAN,YTRAP V JAMAS NAMAR NAJUHAB,ARTENNUM ADIVARD MAGAHZAK S RAKES ANNA AIDNI LLA,MAGAHZAK S K ARTENNUM YIHTROOM ADIVARD,ADIVARD AMMA MAGAHZAK S RAVIALAHT USARAVLES ARTENNUM IHCTARUP ANNA,IHCTAK IAMIRUVHZAAV V AJALIAHS AGAHZIMAT,MAGAHZAK A RAMUKADNAN IRTTEV AGALIMAT,LAKKAM ADIVARD IHCTAK P MAIKKAB ANNA LAYES AYIHTNIHTIANA,LAKKAM R K RAVIALAHTIHCTARUP MAGAHZAK IJAALAHBAYRUS ARTTENNUM YAJIV AIDNI LLA,N TNEDNEPEDNI YMASAMAR,S TNEDNEPEDNI YMASADNAK,TNEDNEPEDNI R KIHTRAK,TNEDNEPEDNI G NALAPOG,K TNEDNEPEDNI NASRAHDUS,TNEDNEPEDNI R HSERUS,TNEDNEPEDNI C RAKES,TNEDNEPEDNI V RAKES,M TNEDNEPEDNI USARAGNAHT,S IRAWHSEMARAP TNEDNEPEDNI,S TNEDNEPEDNI YMASINALAP,TNEDNEPEDNI R IJALAB,TNEDNEPEDNI K PAHTARP,M RAMUK TNEDNEPEDNI JONAM,TNEDNEPEDNI M IHTRUM,TNEDNEPEDNI M IHTROOM,TNEDNEPEDNI K HTIJNAR,TNEDNEPEDNI P HSEMAR,TNEDNEPEDNI R HSEMAR,TNEDNEPEDNI R AJAR,TNEDNEPEDNI A AHTAL,A RAMUKAYAJIV TNEDNEPEDNI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
11,11,29,1,296,357,2,4,263,0,2,0,1,0,1,0,0,3,0,0,2,4,0,1,3,0,0,2,0,1,0,0,0,972,0,3,975,0
12,12,14,1,240,260,2,8,218,0,2,0,1,2,0,0,1,1,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,756,0,1,757,0
13,13,24,0,257,210,1,1,163,1,0,1,0,0,1,4,0,1,3,1,1,1,0,0,2,0,1,0,0,0,3,1,0,677,0,1,678,0
14,14,21,0,195,247,0,0,156,0,1,0,1,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,628,0,1,629,0
15,15,17,0,273,286,3,6,231,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,825,0,0,825,0
16,16,13,0,253,143,0,3,135,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,554,0,0,554,0
17,17,13,0,230,236,1,0,119,0,0,0,0,1,4,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,610,0,0,610,0
18,18,1,1,225,111,0,1,111,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,457,0,2,459,0
19,19,6,0,274,256,0,0,135,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,682,0,2,684,0
20,20,22,3,218,255,1,10,137,0,1,1,4,0,4,1,0,3,3,1,2,0,0,0,3,0,0,1,1,0,0,0,1,672,0,1,673,0
21,21,16,1,108,220,1,1,129,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,482,0,1,483,0
22,22,19,1,180,392,7,0,198,1,0,0,1,0,2,0,0,0,1,0,2,0,0,1,2,1,0,0,0,1,3,1,1,814,0,0,814,0
23,23,8,1,85,304,1,1,128,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,533,0,1,534,0
24,24,36,3,282,375,1,14,274,0,3,0,3,0,1,2,0,0,1,0,2,2,0,0,1,0,0,0,0,1,1,0,0,1002,0,5,1007,0
25,25,18,3,172,148,1,7,135,0,2,0,0,1,0,3,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,496,0,0,496,0
26,26,19,1,171,236,1,0,232,0,0,1,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,671,0,1,672,0
27,27,12,2,116,190,0,1,187,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,516,0,3,519,0
28,28,9,0,170,173,1,1,180,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,540,0,1,541,0
29,29,13,0,120,136,0,0,103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,375,0,0,375,0
30,30,21,1,192,159,1,2,129,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,514,0,2,516,0
31,31,17,1,274,203,2,1,218,0,1,1,0,1,1,3,2,1,2,1,2,1,0,1,0,0,0,1,0,1,0,2,0,737,0,1,738,0
32,32,19,1,166,186,1,1,141,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,1,1,526,0,0,526,0
33,33,24,0,240,235,0,2,181,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,689,0,3,692,0
34,34,10,4,237,193,3,1,169,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,622,0,0,622,0
35,35,28,1,279,284,1,23,189,1,4,2,0,0,1,3,1,1,1,0,1,2,0,0,2,0,0,1,0,0,0,0,0,825,0,2,827,0
36,36,8,1,267,130,2,0,256,2,0,1,1,0,2,0,0,1,1,0,1,0,0,0,1,2,0,0,1,1,0,0,0,678,0,4,682,0
37,37,21,0,266,222,3,8,187,0,2,1,0,0,2,0,0,3,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,721,0,2,723,0
38,38,15,0,244,260,0,2,157,0,0,0,0,0,1,0,0,0,1,0,3,2,0,0,1,0,0,0,1,0,1,0,0,688,0,3,691,0
39,39,25,1,249,295,2,1,214,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,793,0,1,794,0
40,40,17,0,136,118,2,1,210,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,490,0,0,490,0
41,41,13,1,249,129,2,0,134,0,1,1,1,1,0,0,0,3,0,2,1,0,0,0,1,0,0,0,0,1,1,0,0,541,0,0,541,0
42,42,13,2,260,176,1,1,201,1,0,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,664,0,0,664,0
43,43,4,0,275,165,2,1,174,0,0,0,1,0,0,3,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,630,0,1,631,0
