Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,0,0,600,0,0,307,0,0,0,0,0,26,165,0,0,0,0,0,0,0,0,0,514,0,514
2,2,0,507,0,0,172,0,0,0,0,0,103,153,0,0,0,0,0,0,0,0,0,443,0,443
3,0,0,1075,29,0,366,0,0,0,0,0,151,375,0,0,0,0,0,0,0,0,0,948,0,948
4,4,0,566,20,0,260,0,0,0,0,0,30,159,0,0,0,0,0,0,0,0,0,486,0,486
5,0,0,655,21,0,198,0,0,0,0,0,146,164,0,0,0,0,0,0,0,0,0,544,0,544
6,0,0,947,27,0,279,0,0,0,0,0,118,358,0,0,0,0,0,0,0,0,0,823,0,823
7,0,0,1132,57,0,350,0,0,0,0,0,115,324,0,0,0,0,0,0,0,0,0,886,0,886
8,0,0,520,19,0,101,0,0,0,0,0,111,173,0,0,0,0,0,0,0,0,0,425,0,425
9,0,0,1012,46,0,293,5,0,0,0,0,100,379,0,0,0,0,0,0,0,0,0,855,0,855
10,10,0,606,31,2,169,0,0,0,0,0,71,201,0,0,0,0,0,0,0,0,0,494,0,494
11,0,0,757,31,5,198,0,0,0,0,0,115,283,0,0,0,0,0,0,0,0,0,652,0,652
12,0,0,734,40,0,261,0,0,0,0,0,95,221,0,0,0,0,0,0,0,0,0,650,0,650
13,13,0,642,18,0,240,0,0,0,0,0,104,189,0,0,0,0,0,0,0,0,0,562,0,562
14,14,0,625,20,0,142,0,0,0,0,0,242,112,0,0,0,0,0,0,0,0,0,531,0,531
15,15,0,844,47,0,174,0,14,0,0,0,302,172,0,2,2,2,0,0,0,0,0,726,0,726
16,16,0,673,28,0,231,0,0,0,0,0,61,252,0,0,0,0,0,0,0,0,0,594,0,594
17,17,0,1001,30,0,259,0,15,0,0,0,235,280,0,0,0,0,0,0,0,0,0,854,0,854
18,18,0,487,23,0,186,0,0,0,0,0,56,134,0,0,0,0,0,0,0,0,0,422,0,422
19,19,0,291,7,0,111,0,2,0,0,0,33,94,0,0,0,0,0,0,0,0,0,258,0,258
20,20,0,826,15,0,248,0,7,0,0,0,150,241,0,0,0,0,0,0,0,0,0,680,0,680
21,21,0,662,19,0,241,0,0,0,0,0,59,239,0,0,0,0,0,0,0,0,0,568,0,568
22,22,0,475,12,0,155,0,0,0,0,0,38,183,0,0,0,0,0,0,0,0,0,409,0,409
23,23,0,745,21,0,185,0,0,0,0,0,124,258,0,0,0,0,0,0,0,0,0,601,0,601
24,24,0,634,16,0,275,0,0,0,0,0,78,168,0,0,0,0,0,0,0,0,0,559,0,559
25,25,0,705,27,0,188,0,0,0,0,0,152,220,0,0,0,0,0,0,0,0,0,603,0,603
26,26,0,812,49,0,199,0,0,0,0,0,153,284,0,0,0,0,0,0,0,0,0,698,0,698
27,27,0,549,30,0,143,0,0,0,0,0,113,145,0,0,0,0,0,0,0,0,0,447,0,447
28,28,0,629,21,0,171,0,0,0,0,0,6,195,0,0,0,0,0,0,0,0,0,525,0,525
29,29,0,754,22,0,323,0,0,0,0,0,32,256,0,0,0,0,0,0,0,0,0,647,0,647
30,30,0,663,26,0,294,0,0,0,0,0,47,189,0,0,0,0,0,0,0,0,0,572,0,572
31,31,0,951,28,0,374,0,0,0,0,0,68,319,2,0,0,0,0,0,0,0,0,820,0,820
32,32,0,724,13,0,315,0,0,0,0,0,42,233,0,0,0,0,0,0,0,0,0,628,0,628
33,33,0,481,15,0,212,0,0,0,0,0,35,128,0,0,0,0,0,0,0,0,0,414,0,414
34,34,0,690,10,0,127,0,0,0,0,0,248,187,0,0,0,0,0,0,0,0,5,600,0,600
35,35,0,653,16,0,204,0,0,0,0,0,127,185,0,0,0,0,0,0,0,0,0,549,0,549
36,36,0,1096,47,0,258,0,0,0,0,0,150,414,0,0,0,0,0,0,0,0,0,889,0,889
37,37,0,963,36,0,215,0,0,0,0,0,197,333,0,0,0,0,0,0,0,0,0,804,0,804
38,38,0,646,19,0,145,0,0,0,0,0,176,183,0,0,0,0,0,0,0,0,0,542,0,542
39,39,0,771,19,0,104,0,12,0,0,0,273,216,0,0,0,0,0,0,0,0,0,643,0,643
40,40,0,621,17,0,103,0,5,0,0,0,87,247,0,0,0,0,0,0,0,0,0,466,0,466
41,0,0,615,15,0,242,0,0,0,0,0,107,147,0,0,0,0,0,0,0,0,0,529,0,529
42,3,0,600,22,0,178,0,11,0,0,0,178,117,0,0,0,0,0,0,0,0,0,523,0,523
43,0,0,646,20,0,111,1,5,0,0,0,144,267,0,0,0,0,0,0,0,0,0,558,0,558
44,44,0,401,0,0,84,2,0,0,0,0,95,162,0,0,0,0,0,0,0,0,0,364,0,364
45,45,0,698,19,0,156,0,0,0,0,0,118,260,0,0,0,0,0,0,0,0,0,583,0,583
46,46,0,719,18,0,147,0,0,0,0,0,150,298,0,0,0,1,0,0,0,0,0,626,0,626
47,47,0,866,20,0,256,0,0,0,0,0,87,385,0,0,0,5,0,0,1,0,0,775,0,775
48,48,0,1073,29,0,299,0,0,0,0,0,203,334,0,0,0,0,0,0,0,0,4,895,0,895
49,49,0,986,45,0,333,5,0,0,0,0,91,364,0,0,0,0,0,0,0,0,0,858,0,858
50,50,0,1114,31,0,399,0,0,0,0,0,142,384,0,0,0,0,0,0,0,0,0,996,0,996
51,0,0,671,12,0,151,0,12,0,0,0,164,228,0,0,0,0,0,0,0,0,0,580,0,580
52,0,0,566,22,0,162,0,0,0,0,0,94,140,0,0,0,0,0,0,0,0,0,425,0,425
53,0,0,518,19,0,87,0,0,0,0,0,168,115,0,0,0,0,0,0,0,0,0,417,0,417
54,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
55,0,0,539,13,0,114,0,0,0,0,0,162,147,0,0,0,0,0,0,0,0,0,448,0,448
56,0,0,634,16,0,162,5,0,0,0,0,153,202,0,0,0,0,0,0,0,0,0,549,0,549
57,58,0,656,0,0,254,0,0,0,0,0,62,201,0,0,0,0,0,0,0,0,0,570,0,570
58,59,0,990,24,0,240,0,0,0,0,0,188,329,0,0,0,0,0,0,0,0,0,828,0,828
59,60,0,724,0,0,70,0,0,0,0,0,296,228,0,0,0,0,0,0,0,0,0,612,0,612
60,61,0,1056,30,0,265,0,0,0,0,0,267,352,0,0,0,0,0,0,0,0,0,946,0,946
