Polling Station No,ANITHA R. RADHAKRISHNAN,OPHILIYA,K R M RADHAKRISHNAN,GOPALAKRISHNAN,PACKIA SAM. T,MAHARAJAN. M,J. MURUGAN,RASIK MUSSAMMIL. K,SHAIK ABDUL KADER. P.S.J,MEERA SAHIB,RAJALINGAM. M,VEERAPPA. T,VENKATESH PERUMAL. S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,144,29,184,0,0,2,180,3,1,2,1,1,2,549,0,3,552,0
2,138,33,115,0,0,1,168,1,0,0,0,0,0,456,0,0,456,0
3,166,30,98,3,0,0,96,0,1,0,0,0,1,395,0,2,397,0
4,233,54,195,2,0,1,170,0,1,1,1,1,8,667,0,6,673,0
5,175,33,219,1,0,3,185,1,1,0,1,0,3,622,0,2,624,0
6,322,69,185,1,1,0,320,1,2,1,0,0,1,903,0,4,907,0
7,222,33,80,1,0,0,214,3,0,0,0,0,1,554,0,2,556,0
8,215,43,68,0,0,1,192,0,0,0,0,0,0,519,0,2,521,0
9,147,25,156,0,0,3,188,1,1,0,0,0,1,522,0,2,524,0
10,208,36,123,2,0,0,175,0,0,0,1,0,0,545,0,0,545,0
11,443,54,48,0,2,0,221,1,2,2,0,0,0,773,0,5,778,0
12,285,53,66,0,0,3,282,0,0,0,0,0,0,689,0,0,689,0
13,180,21,63,0,0,0,118,1,0,0,1,1,0,385,0,2,387,0
14,341,41,11,0,0,2,240,0,0,1,0,0,0,636,0,3,639,0
15,342,26,5,0,0,0,93,0,0,0,1,0,0,467,0,1,468,0
16,174,19,6,0,0,0,84,0,0,0,0,0,0,283,0,1,284,0
17,447,44,36,0,0,0,246,1,1,1,0,1,0,777,0,5,782,0
18,203,51,97,1,0,3,275,0,1,0,1,0,0,632,0,2,634,0
19,267,26,48,0,1,0,174,0,0,0,1,0,1,518,0,2,520,0
20,223,16,40,0,1,0,189,0,0,0,0,0,2,471,0,2,473,0
21,310,54,164,5,0,1,352,2,1,1,0,1,0,891,0,4,895,0
22,263,22,21,0,0,0,139,0,1,0,0,0,0,446,0,2,448,0
23,215,41,12,0,0,0,139,1,2,1,0,1,0,412,0,0,412,0
24,238,27,56,1,1,0,179,0,0,0,0,0,1,503,0,1,504,0
25,159,32,100,1,1,1,214,0,0,0,0,0,0,508,0,1,509,0
26,229,30,51,1,0,0,166,0,0,0,0,0,0,477,0,1,478,0
27,203,30,46,2,1,0,162,0,1,0,0,0,0,445,0,1,446,0
28,144,30,127,15,0,2,201,0,1,1,0,0,0,521,0,0,521,0
29,178,30,35,1,1,0,127,0,1,0,0,0,0,373,0,0,373,0
30,193,35,18,0,2,1,169,1,0,0,0,0,0,419,0,2,421,0
31,265,61,62,5,0,2,352,0,0,0,0,1,0,748,0,2,750,0
32,204,31,15,0,0,0,149,0,0,0,0,0,0,399,0,1,400,0
33,208,41,52,1,0,0,210,0,0,0,1,0,0,513,0,3,516,0
34,241,47,51,0,0,1,157,1,0,0,0,0,0,498,0,2,500,0
35,174,25,50,0,0,2,164,0,0,1,0,0,0,416,0,0,416,0
36,238,55,120,3,1,4,338,0,0,0,1,0,0,760,0,2,762,0
37,373,53,82,4,0,1,276,5,1,0,0,1,1,797,0,7,804,0
38,218,50,111,2,1,1,269,2,1,1,1,0,1,658,0,4,662,0
39,232,39,31,0,2,3,230,0,0,0,0,1,0,538,0,1,539,0
40,214,48,122,2,0,4,416,0,0,1,0,0,0,807,0,1,808,0
41,195,59,261,2,0,1,214,0,0,0,0,1,0,733,0,2,735,0
42,221,65,146,4,0,4,360,2,1,0,0,1,0,804,0,2,806,0
43,199,11,37,0,0,1,136,1,0,0,0,0,0,385,0,2,387,0
44,647,12,7,1,0,1,89,1,0,2,0,0,1,761,0,5,766,0
45,206,50,167,6,1,2,340,1,1,0,0,1,0,775,0,1,776,0
46,97,22,143,3,0,0,177,1,0,0,0,0,1,444,0,3,447,0
47,155,29,100,0,1,2,243,0,1,1,2,0,1,535,0,2,537,0
48,182,37,131,0,0,1,225,1,0,0,1,0,0,578,0,5,583,0
49,104,25,88,0,0,1,139,1,0,0,0,0,0,358,0,2,360,0
50,466,16,2,0,0,0,161,3,0,0,0,0,0,648,0,0,648,0
51,300,12,5,0,0,0,66,0,1,1,0,0,0,385,0,2,387,0
52,210,46,110,1,0,1,289,0,0,0,0,0,0,657,0,2,659,0
53,173,38,143,0,0,4,244,0,3,1,0,0,3,609,0,2,611,0
54,164,37,197,0,1,1,188,1,1,0,0,0,0,590,0,1,591,0
55,211,95,176,7,0,3,380,2,0,0,0,2,0,876,0,2,878,0
56,104,52,153,2,0,1,311,0,2,0,0,1,0,626,0,1,627,0
57,182,37,149,0,0,1,311,1,1,0,1,0,0,683,0,3,686,0
58,135,23,84,13,0,0,264,1,0,0,0,0,0,520,0,0,520,0
59,100,54,83,1,0,2,176,1,0,0,0,1,0,418,0,0,418,0
60,164,42,17,1,0,0,236,0,1,0,0,0,0,461,0,0,461,0
61,196,25,24,0,0,0,288,0,0,0,0,0,0,533,0,1,534,0
62,182,17,38,0,0,4,489,1,0,0,0,0,0,731,0,0,731,0
63,144,16,19,0,0,1,320,1,0,0,0,0,0,501,0,1,502,0
64,131,11,29,1,0,0,226,4,0,0,1,0,2,405,0,2,407,0
65,218,15,9,0,0,1,323,1,0,0,0,0,0,567,0,0,567,0
66,298,37,28,1,0,1,572,0,2,0,0,0,0,939,0,5,944,0
67,175,24,25,0,0,1,291,0,0,0,0,0,0,516,0,0,516,0
68,237,22,10,0,0,0,250,0,0,0,0,0,0,519,0,0,519,0
69,176,50,219,2,0,0,216,3,0,0,1,1,1,669,0,4,673,0
70,237,74,244,0,0,2,274,2,1,0,0,2,0,836,0,1,837,0
71,202,26,182,1,1,0,283,1,0,0,0,2,1,699,0,3,702,1
72,178,59,215,1,0,0,262,0,3,0,0,0,0,718,0,3,721,0
73,126,14,75,0,0,0,186,0,0,0,0,1,0,402,0,1,403,0
74,194,34,20,0,0,1,243,0,0,0,0,0,0,492,0,2,494,0
75,155,33,118,0,0,1,262,1,0,2,0,0,0,572,0,0,572,0
76,226,16,22,0,0,0,176,2,0,0,0,2,0,444,0,0,444,0
77,198,33,70,1,0,1,218,1,0,1,0,0,1,524,0,2,526,0
78,197,21,40,2,1,0,185,0,0,1,1,0,0,448,0,2,450,0
79,237,27,129,0,0,0,172,0,0,1,0,0,0,566,0,2,568,0
80,151,64,73,1,2,2,254,0,0,1,0,0,2,550,0,1,551,0
81,218,50,129,0,1,0,273,0,0,0,0,1,0,672,0,0,672,0
82,95,8,60,0,0,0,118,0,0,0,0,0,1,282,0,1,283,0
83,304,39,106,10,0,0,351,1,2,0,0,0,1,814,0,2,816,0
84,235,36,127,7,0,2,219,3,1,0,2,1,0,633,0,0,633,0
85,119,30,82,6,0,0,179,1,1,0,0,1,1,420,0,1,421,0
86,188,28,90,3,2,0,169,0,1,0,0,1,0,482,0,0,482,0
