Polling Station No,Candidate_1,1,2,3,4,5,6,7,8,9,10,11,12,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,52,215,148,5,208,1,0,0,0,0,0,0,1,640,0,1,641,0
2,21,243,119,0,141,0,0,0,0,0,1,0,0,532,0,0,532,0
3,36,226,159,0,191,0,0,1,0,0,0,1,2,621,0,0,621,0
4,70,257,168,2,209,0,0,0,1,1,2,1,1,724,0,2,726,0
5,88,341,173,2,314,2,2,0,0,1,0,1,0,951,0,1,952,0
6,76,437,58,2,239,0,0,0,0,0,0,1,0,818,0,0,818,0
7,46,270,298,4,230,0,0,0,0,0,0,1,0,859,0,3,862,0
8,27,148,154,0,187,4,1,1,0,0,0,0,1,539,0,1,540,0
9,54,180,249,1,196,0,0,0,1,0,0,1,0,693,0,1,694,0
10,26,224,74,1,172,0,0,0,0,2,1,0,0,505,0,0,505,0
11,45,161,82,1,210,0,1,0,1,0,0,0,0,510,0,0,510,0
12,25,243,118,0,320,1,0,0,5,1,1,1,0,721,0,1,722,0
13,58,223,222,3,327,0,1,0,0,0,0,1,0,845,0,0,845,0
14,48,258,129,2,211,3,1,0,0,0,0,1,1,659,0,2,661,0
15,37,260,182,1,270,2,1,0,0,0,0,1,1,780,0,1,781,0
16,67,250,118,4,351,2,0,0,0,0,0,1,0,797,0,0,797,0
17,34,203,78,0,206,1,0,0,0,0,1,1,0,528,0,3,531,0
18,79,328,191,6,343,0,0,0,0,0,0,0,1,961,0,1,962,0
19,89,208,306,3,380,1,0,0,0,1,0,0,2,1004,0,2,1006,0
20,53,145,156,3,259,1,0,0,0,0,0,1,0,622,0,0,622,0
21,84,237,197,4,292,0,0,0,2,0,2,1,0,831,0,3,834,0
22,55,217,198,0,330,0,0,0,2,0,0,1,2,821,0,6,827,0
23,51,168,274,4,257,3,0,0,3,1,2,2,0,796,0,2,798,0
24,47,173,146,2,315,1,1,1,4,1,0,2,1,720,0,2,722,0
25,51,268,103,0,297,2,1,0,1,0,0,0,0,729,0,2,731,0
26,55,277,91,3,301,6,0,0,2,0,0,3,0,748,0,0,748,0
27,52,337,188,3,306,0,0,1,0,0,1,2,1,911,0,2,913,0
28,97,207,488,2,232,1,0,0,2,0,0,2,1,1061,0,1,1062,0
29,65,247,214,0,248,0,1,0,1,0,0,3,0,791,0,3,794,0
30,54,241,163,1,337,0,0,1,0,0,0,0,1,819,0,5,824,0
31,34,110,124,2,258,0,1,0,1,0,2,2,0,541,0,1,542,0
32,22,237,78,4,208,1,0,0,3,0,0,0,0,556,0,1,557,0
33,50,239,47,1,230,1,0,0,0,0,1,0,1,573,0,1,574,0
34,34,225,38,0,149,1,1,1,0,0,0,0,0,450,0,1,451,0
35,35,187,47,0,171,1,0,0,0,0,3,2,0,450,0,1,451,0
