Polling Station No,Candidate_1,R .OGNALE,S .AYNAGUS,K .RAMUKAVLES,S .NERAN,MUGEB AYISA,P .NAYEKIHTRAK,R .LEVIHTKAS,GA .IVAR,G .INAMUSARA,M .NAGALAVIRA,M .NASERIHTAK,T .USARAYIVAK,S .HTNANABURIK,P .NASARABMALIS,T .MAGNILAVIS,R .AYIMWOS,M .NASARALIMAT,P .NAJARATAN,RAMUKARDNERAN G .,V .UHTUMIHCTAN,S .NEEVARP,S .YHTAPOOB,T .NADNAKINAM,P .NAGALAYIHTAM,R .NASEGURUM,K .RAMUKNAHOM,S .IHTAPUGAR,V .MAGNILAMAR,N .NARAKESAJAR,N .NARADNEJAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
149,149,117,1,259,20,1,123,0,7,1,0,0,0,0,0,0,1,3,1,3,0,0,0,2,0,0,0,0,0,0,0,539,0,0,539,0
150,150,142,0,177,12,0,163,2,10,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,511,0,1,512,0
151,151,261,1,125,35,0,360,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,789,0,1,790,0
152,152,250,2,108,42,1,253,0,0,0,0,0,0,0,0,0,1,1,3,1,3,0,2,0,0,0,0,0,0,0,0,667,0,3,670,0
153,153,149,0,158,3,0,209,0,0,0,1,0,0,0,0,2,0,3,2,0,0,0,6,0,1,0,1,0,0,3,0,538,0,2,540,0
154,154,331,1,146,47,4,384,1,2,1,0,0,0,2,1,1,1,2,1,0,1,0,4,1,0,0,1,0,0,0,0,932,0,6,938,0
155,155,155,1,148,19,0,142,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,469,0,2,471,0
156,156,177,1,175,23,2,179,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,562,0,1,563,0
157,157,210,3,356,23,0,191,6,1,0,1,0,2,0,0,0,2,3,0,0,0,0,1,0,0,0,0,2,0,0,0,801,0,1,802,0
158,158,222,1,173,18,0,229,0,0,0,1,0,0,0,0,0,0,4,3,0,0,1,2,0,0,0,0,0,0,0,0,654,0,1,655,0
159,159,133,0,153,27,0,156,1,0,0,0,0,0,0,0,2,1,2,1,2,0,0,3,0,0,0,0,1,0,0,0,482,0,0,482,0
160,160,165,1,285,15,0,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,540,0,2,542,0
161,161,98,0,220,8,1,81,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,412,0
162,162,168,1,272,25,0,186,2,3,0,0,0,2,0,0,1,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,667,0,2,669,0
163,163,138,2,134,14,0,186,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,483,0,0,483,0
164,164,184,5,216,16,1,218,0,1,1,0,0,2,0,0,0,3,3,4,2,4,0,1,0,0,0,1,0,0,0,1,663,0,6,669,0
165,165,217,1,225,10,1,252,1,0,0,1,1,0,0,1,0,1,5,2,2,2,0,5,3,1,0,0,0,0,1,0,732,0,3,735,0
166,166,129,3,235,13,0,177,4,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,570,0,1,571,0
167,167,124,1,166,14,1,98,3,0,0,0,0,0,0,0,0,1,5,2,2,0,0,0,0,0,0,1,0,0,0,0,418,0,2,420,0
168,168,311,6,307,36,0,232,17,2,1,0,0,0,0,1,0,5,2,2,3,0,1,0,2,0,0,1,0,0,1,0,930,0,3,933,0
169,169,173,5,183,6,2,144,6,0,1,0,0,0,0,0,0,0,1,3,0,2,1,2,0,0,0,2,1,1,1,0,534,0,2,536,0
170,170,155,3,186,13,2,148,1,0,0,0,0,0,0,0,0,1,4,0,2,0,0,2,1,0,1,0,0,0,0,0,519,0,0,519,0
171,171,215,6,325,30,2,213,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,806,0,6,812,0
172,172,177,2,205,5,0,90,7,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,490,0,2,492,0
173,173,99,2,130,9,0,150,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,3,0,1,0,0,0,0,0,0,399,0,1,400,0
174,174,233,0,164,12,1,185,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,600,0,5,605,0
175,175,508,2,153,31,0,245,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,948,0,2,950,0
176,176,572,0,134,15,2,194,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,923,0,2,925,0
177,177,264,1,145,38,1,338,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,793,0,1,794,0
178,178,314,0,203,37,2,437,0,1,1,0,0,1,0,0,2,6,2,1,0,0,1,3,1,0,0,0,0,0,0,1,1013,0,7,1020,0
179,179,369,2,120,20,3,246,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,766,0,2,768,0
180,180,216,0,207,29,1,245,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,702,0,3,705,0
181,181,152,0,189,18,1,143,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,1,0,0,0,510,0,2,512,0
182,182,252,5,296,38,2,344,2,0,0,3,0,0,1,1,1,6,0,4,0,0,0,0,0,0,0,1,0,0,0,0,956,0,0,956,0
183,183,148,0,262,21,0,132,1,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,1,0,0,1,0,1,1,575,0,3,578,0
184,184,118,2,166,20,0,156,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,2,472,0,1,473,0
185,185,212,1,210,39,0,223,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,694,0,1,695,0
186,186,143,2,215,7,0,129,1,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,503,0,3,506,0
187,187,163,0,203,20,0,133,0,0,0,0,1,0,0,0,0,1,1,3,1,0,0,0,1,0,2,0,1,0,0,0,530,0,1,531,0
188,188,197,1,244,15,0,96,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,557,0,2,559,0
189,189,272,2,259,11,0,147,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,696,0,0,696,0
190,190,146,6,257,10,0,196,2,1,0,1,1,1,2,0,0,1,1,1,0,0,1,2,0,0,1,1,0,0,0,0,631,0,0,631,0
191,191,188,5,210,17,1,186,0,0,2,1,0,0,0,2,0,1,1,0,0,1,0,3,1,0,0,0,0,0,0,1,620,0,4,624,0
192,192,184,1,182,3,0,63,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,437,0,0,437,0
193,193,215,2,309,18,1,177,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,730,0,1,731,0
194,194,193,1,150,21,0,192,0,34,1,0,1,1,0,1,0,0,0,4,1,1,1,3,2,0,1,0,0,1,3,0,612,0,4,616,0
195,195,224,0,180,22,0,108,0,0,1,0,0,0,1,1,2,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,544,0,3,547,0
196,196,125,0,188,17,1,94,0,7,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,439,0,3,442,0
197,197,109,1,143,10,1,94,0,2,0,0,0,2,0,1,0,1,1,3,0,2,0,1,0,0,0,2,0,0,0,0,373,0,2,375,0
198,198,141,0,235,18,2,252,0,0,0,0,0,0,0,0,1,3,0,2,4,1,1,1,2,2,0,0,1,1,1,2,670,0,2,672,0
199,199,162,2,143,18,0,260,0,1,0,1,0,0,0,2,2,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,598,0,0,598,0
200,200,507,0,78,17,4,355,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,3,0,0,0,0,0,1,0,0,971,0,2,973,0
201,201,211,0,112,20,0,234,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,587,0,3,590,0
202,202,324,1,134,27,0,368,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,858,0,5,863,0
203,203,168,1,121,25,0,174,1,8,0,1,0,0,0,2,1,4,1,1,0,0,0,2,1,0,0,0,0,1,0,0,512,0,0,512,0
204,204,108,0,89,11,3,135,1,0,0,0,0,1,0,3,0,5,1,0,0,0,0,0,0,1,0,1,0,1,0,0,360,0,4,364,0
205,205,190,2,157,35,0,307,0,2,2,1,0,0,0,1,1,0,2,3,0,0,1,2,1,1,0,0,0,0,0,0,708,0,1,709,0
206,206,125,3,89,2,0,111,2,3,1,0,0,0,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,343,0,1,344,0
207,207,237,0,54,12,0,117,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,425,0,1,426,0
208,208,641,1,8,10,0,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,0,1,729,0
209,209,659,0,30,9,4,132,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,841,0,6,847,0
210,210,601,0,11,8,2,84,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,713,0,0,713,0
211,211,339,0,4,5,0,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,402,0
212,212,838,2,13,16,2,109,0,0,1,0,1,0,0,0,0,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,991,0,3,994,0
213,213,233,0,4,1,1,24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,265,0,0,265,0
214,214,526,2,8,11,3,124,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,680,0,2,682,0
215,215,474,1,10,6,3,110,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,608,0,1,609,0
216,216,510,1,7,11,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,582,0,4,586,0
217,217,498,1,9,7,1,50,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,568,0
218,218,801,3,13,20,1,107,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,950,0,4,954,0
219,219,501,1,16,6,0,63,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,590,0,1,591,0
220,220,556,0,6,9,4,66,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,646,0,2,648,0
221,221,698,2,16,7,2,67,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,795,0,3,798,0
