Polling Station No,Candidate_1,ENILORAC LIHZE,RAKAHDUS .P,IVAR .S,RAMUKJAR .K,JARIHDNAG .V,YHTAPIMHSKAL .N,M .LEVIRTEV,JARADNIVOG .P,MANAHTNAS .M,RAMUKNEEVARP .N,NADNAKINAM .M,NARAHDILARUM .T,NAHOM .G,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,120,4,385,24,250,0,0,0,1,1,1,0,0,786,786,0,1,787,0
2,117,2,323,17,203,1,1,0,0,2,0,0,0,666,666,0,2,668,0
3,220,1,170,31,281,2,1,0,2,1,0,1,0,710,710,0,8,718,0
4,225,2,193,25,277,1,0,0,0,0,0,0,0,723,723,0,1,724,0
5,171,2,182,34,306,0,0,0,1,1,1,0,0,698,698,0,7,705,0
6,277,0,254,60,301,1,1,0,1,0,0,0,1,896,896,0,5,901,0
7,222,1,230,32,256,1,1,0,2,1,0,3,1,750,750,0,6,756,0
8,253,1,211,38,312,0,1,0,0,1,0,2,0,819,819,0,7,826,0
9,263,2,114,24,363,0,0,0,2,1,2,0,2,773,773,0,5,778,0
10,245,2,212,38,306,2,0,0,2,1,0,0,0,808,808,0,6,814,0
11,253,2,112,16,411,2,0,1,1,3,0,2,1,804,804,0,1,805,0
12,182,1,409,14,290,1,2,1,1,0,0,0,0,901,901,0,3,904,0
13,78,1,188,5,143,0,0,1,0,0,0,0,0,416,416,0,0,416,0
14,174,3,124,12,193,0,0,1,3,1,0,1,2,514,514,0,2,516,0
15,210,2,292,21,309,1,1,0,0,2,1,2,0,841,841,0,9,850,0
16,221,0,175,34,346,3,0,1,0,2,0,0,0,782,782,0,5,787,0
17,84,0,423,28,138,0,2,0,0,0,0,2,1,678,678,0,4,682,0
18,207,3,90,6,185,0,0,0,0,2,1,0,0,494,494,0,2,496,0
19,193,4,309,36,364,4,1,1,0,7,0,1,0,920,920,0,5,925,0
20,108,1,200,47,351,2,0,0,1,2,0,1,0,713,713,0,2,715,0
21,132,1,125,16,358,3,0,1,0,3,1,0,0,640,640,0,5,645,0
22,223,2,225,26,452,1,1,0,0,1,0,3,2,936,936,0,3,939,0
23,222,3,45,20,273,1,0,0,1,1,0,0,0,566,566,0,4,570,0
24,229,1,32,11,228,0,0,0,0,1,0,0,1,503,503,0,3,506,0
25,187,0,307,16,355,0,1,0,0,0,0,0,0,866,866,0,8,874,0
26,203,0,196,47,450,3,0,1,1,0,0,0,0,901,901,0,3,904,0
27,117,5,157,11,269,6,1,0,0,0,1,0,0,567,567,0,3,570,0
28,153,0,235,12,182,0,1,0,0,0,1,1,1,586,586,0,1,587,0
29,136,0,236,9,181,0,0,0,0,0,0,0,0,562,562,0,2,564,0
30,217,2,161,21,291,2,2,0,0,3,0,1,2,702,702,0,4,706,0
31,286,1,79,16,370,2,1,0,1,1,0,1,1,759,759,0,1,760,0
32,139,0,145,12,191,0,0,0,0,0,0,0,0,487,487,0,5,492,0
33,209,2,188,17,491,2,1,2,1,0,1,1,2,917,917,0,3,920,0
34,45,2,337,16,189,0,4,0,0,0,0,1,0,594,594,0,2,596,0
35,83,3,315,14,192,0,2,1,1,2,0,0,0,613,613,0,6,619,0
36,150,1,438,13,186,2,2,0,0,0,0,1,0,793,793,0,4,797,0
37,144,3,519,24,232,2,0,0,1,1,0,3,1,930,930,0,4,934,0
