Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,20,172,123,1,0,0,1,220,0,0,0,0,1,1,1,0,0,1,1,542,0,0,542,0
3,2,12,138,177,1,1,1,2,160,0,0,0,0,0,1,0,0,0,1,0,494,0,1,495,0
4,3,35,106,402,1,0,0,1,318,1,0,1,0,1,5,1,0,0,0,0,872,0,4,876,0
5,4,27,185,499,3,0,0,3,237,1,3,0,0,0,3,2,0,2,1,0,966,0,2,968,0
6,5,10,6,290,0,0,0,3,82,0,0,0,0,0,0,1,1,1,2,0,396,0,4,400,0
7,6,15,6,287,1,1,0,0,68,0,0,0,0,0,0,0,0,0,0,0,378,0,1,379,0
8,7,8,4,193,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,266,0,2,268,0
9,8,15,19,442,0,0,5,122,0,0,0,0,0,0,1,1,0,0,0,1,606,0,2,608,0
10,9,17,29,387,0,0,0,0,178,1,0,0,0,1,0,0,1,0,1,1,616,0,5,621,0
11,10,21,14,507,2,0,0,4,158,2,0,0,0,1,1,0,0,1,0,1,712,0,3,715,0
12,11,16,10,507,0,0,1,4,114,0,0,0,0,1,0,0,0,0,1,1,655,0,5,660,0
13,12,7,14,414,1,0,0,3,115,3,0,0,0,0,1,0,0,0,0,1,559,0,4,563,0
14,13,9,11,357,0,0,0,1,88,1 P,1 age 1 of,0 25,0,0,0,0,0,0,0,2,470,0,2,472,0
15,14,9,10,602,0,0,0,0,149,0,0,1,1,0,0,1,0,0,0,3,776,0,0,776,0
16,15,6,12,308,1,1,0,0,76,1,1,0,0,0,0,0,0,0,1,0,407,0,4,411,0
17,16,5,5,292,0,0,0,3,83,0,0,0,0,0,0,1,0,0,1,0,390,0,0,390,0
18,17,13,9,278,0,0,1,1,95,0,0,0,0,0,1,0,0,0,0,0,398,0,0,398,0
19,18,17,323,199,0,0,2,0,259,0,0,0,2,0,0,1,0,0,3,2,808,0,2,810,0
20,19,11,252,152,1,2,1,1,242,0,0,0,0,0,1,0,0,0,1,1,665,0,1,666,0
21,20,19,154,388,3,0,0,6,239,3,0,0,0,0,1,0,1,1,3,2,820,0,2,822,0
22,21,20,69,336,0,0,0,0,175,0,0,0,0,0,0,0,0,1,1,0,602,0,0,602,0
23,23,19,245,227,0,0,1,3,343,0,0,0,0,0,2,2,0,2,2,0,846,0,1,847,0
24,24,9,84,131,1,0,0,4,128,0,0,0,1,0,1,0,1,0,0,0,360,0,4,364,0
25,25,23,75,412,1,0,1,1,184,1,1,0,0,2,1,0,1,2,1,0,706,0,3,709,0
