Polling Station No,Candidate_1,P YMASAMAR,K RAMUKNEEVARP,S P NAHOM IVEDIRS,P INAR,A NAYIHTIDAA,T HSEMAR NAIHDNAG,P NANNAKHSERUS,R NAJARAGAYIHT,S C PILID,P M YMASINALAP,P NARDNEHAM,C NARAWSEHTAM,T RAMUKHSENIBA,S HTNIVARA,K JARAKANAK,P ARDNAHC,M NAJARATAN,V USARAIVAKIJATEN,R NADNAKINAM,S YMASUHTUM,S NAHOM,P NAHOM,M NAHOM,A HSEMAR,R RAMUKAYAJ,M NAMARAYAJ,R NILATS,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
42,42,0,10,109,160,0,1,4,3,298,2,0,1,5,1,0,2,2,1,2,2,0,1,0,2,0,3,0,609,0,2,611,0
43,43,1,14,209,105,0,2,0,1,126,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,462,0,0,462,0
44,44,0,19,344,228,1,1,1,1,265,0,1,0,0,1,0,7,1,1,1,1,0,0,0,0,0,0,1,874,0,4,878,0
45,45,3,28,317,236,3,2,1,0,297,2,1,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,896,0,0,896,0
46,46,0,20,228,173,0,0,3,0,189,1,0,0,0,0,1,0,0,0,1,1,0,1,1,3,1,0,0,623,0,2,625,0
47,47,1,9,91,120,1,0,1,0,141,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,367,0,0,367,0
48,48,0,11,211,297,0,0,0,0,373,0,0,1,1,3,1,1,0,1,0,0,0,1,0,3,1,0,0,905,0,3,908,0
49,49,1,22,215,230,0,1,2,1,283,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,759,0,2,761,0
50,50,0,8,176,171,1,1,0,0,183,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,545,0,1,546,0
51,51,0,24,146,142,4,0,0,2,264,0,0,0,1,0,0,2,2,1,0,2,2,1,1,0,2,0,2,598,0,1,599,0
52,52,1,20,356,191,1,2,0,1,364,0,1,2,2,1,4,4,2,0,1,1,0,1,0,0,3,0,0,958,0,3,961,0
53,53,3,20,178,104,1,0,0,1,240,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,551,0,1,552,0
54,54,1,27,245,171,1,0,0,3,223,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,675,0,4,679,0
55,55,0,12,144,71,2,1,0,0,83,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,316,0,0,316,0
56,56,1,18,323,115,0,2,1,2,247,2,2,1,0,0,1,1,0,0,2,1,0,0,0,0,2,0,0,721,0,3,724,0
57,57,0,8,390,97,1,0,0,1,127,0,0,1,0,1,0,3,3,0,1,0,0,0,0,1,1,0,0,635,0,1,636,0
58,58,0,13,385,136,0,0,1,1,230,0,1,0,1,1,0,1,2,2,1,1,0,2,3,0,3,2,0,786,0,4,790,0
59,59,1,9,244,120,1,4,0,4,219,1,0,1,3,4,1,1,3,0,2,0,0,1,0,0,2,0,1,622,0,0,622,0
60,60,0,5,289,172,0,5,0,1,243,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,2,0,722,0,0,722,0
61,61,4,27,381,217,1,0,0,1,249,5,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,891,0,4,895,0
62,62,1,12,157,130,1,0,0,3,179,0,1,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,491,0,1,492,0
63,63,2,28,326,220,1,0,1,2,348,1,0,0,1,3,0,1,0,0,0,1,1,0,0,1,1,0,0,938,0,1,939,0
64,64,0,4,52,47,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,171,0
65,65,2,7,100,33,1,2,0,0,82,0,0,0,0,0,0,0,1,0,1,2,0,1,1,2,0,1,0,236,0,1,237,0
66,66,0,19,190,148,1,1,0,2,217,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,584,0,4,588,0
67,67,0,18,300,179,0,0,0,0,189,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,689,0,5,694,0
68,68,0,24,294,234,4,1,0,0,234,0,1,2,0,0,0,7,2,0,0,1,1,0,0,0,0,1,0,806,0,1,807,0
69,69,1,13,146,190,1,0,0,0,173,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,527,0,3,530,0
70,70,3,17,170,156,0,0,0,0,235,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,583,0,0,583,0
71,71,3,14,302,116,0,0,0,3,234,1,0,4,0,1,0,2,1,0,4,0,2,1,1,0,0,1,0,690,0,4,694,0
72,72,1,28,224,164,1,0,0,2,245,1,0,1,2,1,1,0,2,0,0,0,1,0,0,0,1,0,0,675,0,1,676,0
