Polling Station No,Candidate_1,P YMASAMAR,K RAMUKNEEVARP,S P NAHOM IVEDIRS,P INAR,A NAYIHTIDAA,T HSEMAR NAIHDNAG,P NANNAKHSERUS,R NAJARAGAYIHT,S C PILID,P M YMASINALAP,P NARDNEHAM,C NARAWSEHTAM,T RAMUKHSENIBA,S HTNIVARA,K JARAKANAK,P ARDNAHC,M NAJARATAN,V USARAIVAKIJATEN,R NADNAKINAM,S YMASUHTUM,S NAHOM,P NAHOM,M NAHOM,A HSEMAR,R RAMUKAYAJ,M NAMARAYAJ,R NILATS,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
186,186,0,14,155,94,1,0,0,0,200,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,467,0,0,467,0
187,187,1,22,168,127,0,1,0,0,234,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,1,0,0,560,0,2,562,0
188,188,0,28,218,153,1,2,1,1,295,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,704,0,1,705,0
189,189,0,27,280,154,0,0,0,1,320,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,789,0,4,793,0
190,190,1,18,174,198,0,2,1,2,275,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,676,0,3,679,0
191,191,0,18,167,148,1,0,2,0,223,0,1,2,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,568,0,5,573,0
192,192,1,29,338,191,2,1,0,0,316,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,881,0,3,884,0
193,193,1,15,140,104,0,0,0,0,254,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,517,0,1,518,0
194,194,0,18,162,102,1,2,0,1,283,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,576,0,2,578,0
195,195,3,17,165,138,1,0,0,1,317,0,0,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,650,0,2,652,0
196,196,0,33,128,144,0,0,1,0,330,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,640,0,4,644,0
197,197,1,16,237,147,2,0,0,0,351,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,1,1,763,0,5,768,0
198,198,0,28,132,179,0,0,0,2,347,1,1,0,1,0,1,1,2,0,3,0,1,1,0,0,4,0,0,704,0,1,705,0
199,199,0,17,129,227,0,1,0,1,324,1,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,707,0,2,709,0
200,200,1,7,28,360,0,0,0,1,227,0,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,631,0,1,632,0
201,201,3,11,111,374,0,0,0,0,330,0,1,0,2,0,0,4,1,0,0,1,0,0,0,10,0,0,0,848,0,3,851,0
202,202,1,18,149,111,1,0,0,0,191,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,477,0,2,479,0
203,203,1,9,129,103,0,0,0,0,237,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,490,0,1,491,0
204,204,0,16,173,202,0,2,0,0,338,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,o lat 739,R fo 0,1,oT 740,T fo 0
205,205,0,18,154,244,0,1,0,1,284,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,4,oT 710,.oN 0,0,710,.oN 0
206,206,1,10,182,175,0,0,0,2,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,0,1,722,0
207,207,0,21,86,227,0,0,0,1,299,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,636,0,1,637,0
208,208,1,14,111,135,0,0,0,0,218,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,483,0,2,485,0
209,209,0,14,172,92,1,1,0,1,316,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,603,0,7,610,0
210,210,2,21,137,177,0,1,0,0,236,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,578,0,2,580,0
211,211,1,26,92,241,0,0,0,2,322,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,687,0,1,688,0
212,212,2,9,135,170,0,1,0,1,216,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,536,0,2,538,0
213,213,4,9,141,145,0,1,0,0,175,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,481,0,4,485,0
214,214,1,16,147,151,0,0,0,0,219,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,537,0,2,539,0
215,215,1,1,47,53,1,0,0,0,84,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,189,0,1,190,0
216,216,2,16,119,228,0,0,0,0,313,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,682,0,2,684,0
217,217,0,31,141,254,1,1,0,1,279,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,712,0,1,713,0
218,218,1,19,126,96,0,0,0,0,164,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,413,0,4,417,0
219,219,1,11,166,110,0,2,0,0,164,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,456,0,3,459,0
220,220,0,20,127,235,1,0,0,1,352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,740,0,4,744,0
221,221,1,28,118,265,0,0,1,2,407,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,825,0,2,827,0
222,222,1,23,195,223,1,0,1,1,352,2,0,0,0,0,0,0,0,0,0,1,2,0,2,2,1,0,1,808,0,8,816,0
223,223,0,29,101,105,0,0,0,1,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,401,0,1,402,0
224,224,0,38,243,218,1,0,1,0,268,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,772,0,4,776,0
225,225,2,21,115,220,0,0,0,3,428,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,794,0,6,800,0
226,226,0,30,228,154,2,1,0,0,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,691,0,6,697,0
227,227,0,22,338,183,1,0,0,0,292,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,840,0,6,846,0
228,228,1,29,222,144,1,1,0,1,247,1,0,0,1,1,0,0,1,0,0,1,0,1,0,2,1,0,0,655,0,1,656,0
229,229,4,21,128,202,1,1,0,1,520,1,0,1,2,0,0,0,3,1,0,1,0,0,0,0,1,0,0,888,0,5,893,0
230,230,0,16,201,153,2,0,1,1,353,0,1,0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,0,737,0,1,738,0
231,231,0,40,161,149,0,0,0,1,334,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,691,0,2,693,0
232,232,1,12,115,160,0,1,2,0,206,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,501,0,4,505,0
233,233,0,28,135,211,1,0,0,1,244,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1,0,0,627,0,3,630,0
234,234,1,19,130,288,1,2,5,1,328,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,777,0,3,780,0
235,235,0,36,297,200,1,1,2,3,372,2,0,2,1,0,4,0,0,1,0,0,0,1,0,0,1,0,0,924,0,0,924,0
236,236,0,26,143,197,0,0,0,3,338,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,712,0,1,713,0
237,237,1,15,262,164,2,0,0,2,362,0,1,1,0,2,0,1,1,2,0,0,1,1,0,0,1,0,0,819,0,0,819,0
238,238,0,16,263,151,2,0,0,0,363,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,2,0,1,803,0,1,804,0
239,239,0,16,149,143,0,1,0,0,209,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,524,0,1,525,0
240,240,2,14,176,162,3,0,2,1,261,0,1,0,1,1,0,3,2,0,2,1,1,0,0,1,0,0,0,634,0,5,639,0
241,241,0,16,228,192,1,0,2,0,323,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,767,0,3,770,0
242,242,0,23,323,112,2,1,0,1,252,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,718,0,3,721,0
243,243,1,33,187,130,0,0,3,2,239,1,1,2,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,605,0,2,607,0
244,244,1,37,355,105,1,0,0,2,204,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,710,0,2,712,0
245,245,1,13,201,151,3,0,1,1,211,1,0,3,2,3,0,0,0,0,1,0,0,0,0,0,2,0,0,594,0,1,595,0
246,246,0,12,229,65,0,0,0,0,121,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,o lat 431,R fo 0,2,oT 433,T fo 0
247,247,1,14,108,173,1,2,0,3,296,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,1,1,oT 606,.oN 0,0,606,.oN 0
248,248,0,11,195,107,0,0,1,1,306,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,5,1,1,633,0,1,634,0
249,249,1,13,197,117,1,0,1,1,202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,534,0,2,536,0
250,250,2,12,179,110,0,0,0,0,249,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,556,0,2,558,0
251,251,1,15,166,149,0,0,1,2,408,0,1,2,0,1,1,0,0,1,1,1,1,2,0,1,2,1,1,758,0,2,760,0
252,252,2,34,262,117,1,0,1,1,316,0,0,2,2,0,2,6,3,0,0,0,0,1,0,1,0,0,1,752,0,2,754,0
253,253,0,24,149,109,0,1,1,1,231,1,0,0,0,0,1,1,1,0,0,0,0,1,2,1,0,0,0,524,0,4,528,0
254,254,2,24,341,253,1,0,2,1,311,1,0,1,0,1,1,0,0,1,0,2,0,0,1,0,0,2,0,945,0,7,952,0
255,255,4,6,136,80,2,1,1,0,182,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,419,0,3,422,0
256,256,0,31,166,168,1,0,0,0,216,0,1,0,0,0,0,1,0,0,0,2,1,1,1,1,1,0,0,591,0,2,593,0
257,257,0,36,292,230,0,1,1,1,228,0,0,0,1,3,0,4,0,0,0,3,2,2,0,0,0,0,0,804,0,3,807,0
258,258,1,20,244,137,0,1,0,2,254,1,0,0,2,0,0,1,0,0,1,0,0,0,0,2,0,1,0,667,0,2,669,0
259,259,3,43,316,201,1,1,0,2,299,1,1,0,0,0,1,0,1,0,4,0,2,0,0,0,3,0,1,880,0,4,884,0
260,260,0,5,143,87,0,0,1,2,231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,470,0,1,471,0
261,261,0,28,230,142,1,0,1,0,238,1,1,0,1,0,2,6,1,1,0,0,0,0,0,0,1,2,0,656,0,0,656,0
262,262,0,13,172,81,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,487,0,1,488,0
263,263,3,22,237,216,0,1,1,2,302,2,2,0,4,1,0,1,3,2,1,0,0,3,1,1,1,0,1,807,0,0,807,0
264,264,1,38,222,222,0,0,0,2,340,0,0,0,1,1,0,2,0,1,1,2,0,3,0,0,0,0,1,837,0,0,837,0
265,265,1,23,227,172,0,6,0,6,317,1,2,4,3,2,2,4,0,0,1,1,0,1,0,0,2,1,3,779,0,3,782,0
266,266,0,9,159,143,1,2,0,1,123,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,445,0,1,446,0
267,267,2,30,362,131,4,1,0,0,166,1,0,1,3,2,1,7,0,0,1,0,0,1,1,0,1,1,1,717,0,5,722,0
268,268,1,30,392,233,2,3,0,3,300,2,0,0,2,2,2,6,3,0,0,1,0,0,0,2,0,0,0,984,0,4,988,0
269,269,1,11,261,116,0,0,0,0,203,0,0,0,2,0,1,1,0,1,3,0,0,2,0,0,0,0,0,602,0,3,605,0
270,270,0,1,127,110,1,4,0,2,259,0,3,0,1,2,3,0,2,2,2,2,1,2,0,1,0,0,1,526,0,1,527,0
271,271,1,11,263,201,0,5,1,1,189,0,0,0,2,0,0,3,0,2,5,2,1,0,0,2,1,1,0,691,0,1,692,0
272,272,1,26,225,124,1,1,1,3,237,0,1,0,6,1,1,2,0,1,1,0,0,0,0,0,2,0,0,634,0,5,639,0
273,273,0,36,224,222,0,1,2,1,403,0,0,0,0,2,0,0,2,0,0,1,0,1,1,0,2,0,1,899,0,3,902,0
274,274,0,21,404,135,1,0,2,0,256,0,4,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,829,0,3,832,0
275,275,2,17,313,242,2,1,3,1,278,2,3,5,4,2,0,4,2,1,3,1,0,1,0,0,2,0,0,889,0,3,892,0
276,276,0,7,191,166,1,1,0,0,222,0,0,1,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,595,0,0,595,0
277,277,1,29,219,244,1,0,0,0,205,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,3,0,706,0,2,708,0
278,278,0,36,512,171,3,1,1,0,207,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,936,0,0,936,0
279,279,1,19,225,179,0,0,0,1,196,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,627,0,2,629,0
280,280,0,12,67,149,0,1,0,1,145,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,377,0,1,378,0
281,281,1,19,181,123,0,0,0,1,146,0,0,0,0,1,0,5,0,0,3,0,0,0,0,1,0,0,1,482,0,6,488,0
282,282,2,24,176,144,2,0,0,1,278,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,632,0,0,632,0
283,283,0,25,270,149,0,1,0,2,279,0,1,0,2,4,1,2,0,0,0,2,0,0,1,0,1,0,0,740,0,4,744,0
284,284,0,15,190,99,0,1,1,1,151,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,465,0,0,465,0
285,285,2,31,218,180,0,0,1,3,380,1,0,0,0,0,0,2,0,1,0,1,1,0,0,1,2,2,0,826,0,5,831,0
286,286,2,25,307,133,0,0,2,1,151,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,625,0,4,629,0
287,287,2,14,195,105,2,1,2,0,112,1,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,440,0,1,441,0
288,288,0,18,279,92,1,2,0,0,177,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,o lat 575,R fo 0,0,oT 575,T fo 0
289,289,0,9,256,93,1,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,oT 477,.oN 0,1,478,.oN 0
290,290,1,21,414,157,3,0,0,1,291,1,0,0,0,1,2,3,3,0,0,0,0,0,0,0,1,0,0,899,0,2,901,0
291,291,3,28,256,223,0,1,2,0,259,1,0,0,0,2,0,2,0,0,5,1,0,0,1,0,0,0,0,784,0,0,784,0
292,292,0,11,269,132,3,0,0,0,183,2,0,0,1,0,3,0,2,1,2,2,1,0,0,0,0,0,1,613,0,2,615,0
293,293,1,23,229,157,0,0,0,3,395,1,0,2,0,0,0,3,1,1,2,0,0,3,1,1,0,0,1,824,0,0,824,0
294,294,1,23,229,108,1,0,0,2,205,2,0,1,2,1,2,4,2,0,1,0,0,0,0,0,0,3,1,588,0,1,589,0
295,295,0,6,211,86,0,1,0,0,91,0,0,1,1,2,0,2,1,0,0,0,0,0,0,0,1,0,1,404,0,2,406,0
296,296,1,13,355,145,2,3,2,1,221,2,1,1,5,2,0,4,1,0,1,0,0,0,0,0,1,2,0,763,0,3,766,0
297,297,0,33,167,143,0,0,0,0,213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,558,0,2,560,0
298,298,2,24,185,172,0,2,0,4,230,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,625,0,4,629,0
299,299,0,12,169,166,1,0,0,0,225,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,577,0,0,577,0
300,300,3,23,225,221,1,0,0,0,221,1,0,0,0,0,0,3,3,2,2,4,2,0,2,0,1,1,1,716,0,2,718,0
301,301,1,15,245,240,0,0,0,1,315,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,826,0,0,826,0
302,302,2,24,169,159,0,0,0,0,197,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,556,0,3,559,0
303,303,0,16,255,161,1,0,0,2,240,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,680,0,2,682,0
304,304,1,16,173,186,1,0,0,1,271,0,0,1,0,0,1,1,3,1,1,1,1,1,0,0,1,1,2,664,0,0,664,0
305,305,1,21,165,201,1,0,0,0,224,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,616,0,1,617,0
306,306,1,25,184,204,2,0,0,0,212,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,634,0,3,637,0
307,307,2,13,159,246,0,1,0,1,312,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,739,0,0,739,0
308,308,1,30,199,185,1,0,0,0,306,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,727,0,0,727,0
309,309,0,37,161,208,0,0,0,0,238,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,650,0,1,651,0
310,310,0,22,237,244,0,1,0,1,285,0,1,0,0,1,0,2,2,3,1,1,0,1,1,0,0,0,0,803,0,1,804,0
