Polling Station No,ARUN. R.L,DR. TAMILISAI SOUNDARARAJAN,BALAJI. V,VELU. DHA,DEVENDRAN. R,NAGARAJAN. S,MOORTHY. S,MOHANRAJ. J,VENKATARAMANAN. P,SELVAMUTHU. S,PARTHIPAN. G,RADHAKRISHNAN. G,ROMANRAJ. A,VINU PRADHA. A,VIJAYALAKSHMI. P,VIJAYA KRISHNA. V,VENKATARAMAN. B,VELU. K,JAYAGOPI. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
259,11,50,2,94,1,0,0,0,343,0,0,0,0,0,1,0,0,0,0,502,0,3,505,0
260,4,26,0,79,0,0,1,0,184,0,0,0,1,0,0,0,0,0,0,295,0,1,296,0
261,9,39,0,50,0,1,1,2,221,1,0,0,0,0,0,0,1,0,0,325,0,1,326,0
262,8,18,1,86,0,0,0,0,132,0,0,1,0,0,0,1,0,0,0,247,0,2,249,0
263,18,97,1,288,2,0,0,1,164,0,1,1,0,0,0,0,0,0,0,573,0,1,574,0
264,11,61,0,161,2,0,0,0,130,0,1,0,0,1,0,0,0,0,1,368,0,5,373,0
265,17,128,1,144,0,1,0,0,126,0,0,0,0,0,1,0,0,0,0,418,0,5,423,0
266,17,91,0,102,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,423,0,5,428,0
267,19,178,0,98,0,0,0,0,146,1,0,0,0,2,1,0,0,0,0,445,0,4,449,0
268,20,101,2,120,0,0,1,1,264,1,0,0,0,1,2,0,1,0,0,514,0,1,515,0
269,26,88,2,163,0,0,1,2,421,0,0,0,0,0,0,1,1,2,0,707,0,3,710,0
270,19,90,1,138,1,1,0,1,336,0,0,0,0,0,2,3,0,0,0,592,0,2,594,0
271,15,197,1,101,1,0,0,0,111,0,0,0,0,1,0,0,0,1,0,428,0,5,433,0
272,17,56,0,118,0,1,0,0,300,1,1,0,0,0,0,2,0,0,0,496,0,0,496,0
273,17,45,1,81,0,0,0,0,295,0,0,1,0,0,2,1,1,0,0,444,0,0,444,0
