Polling Station No,ARUN. R.L,DR. TAMILISAI SOUNDARARAJAN,BALAJI. V,VELU. DHA,DEVENDRAN. R,NAGARAJAN. S,MOORTHY. S,MOHANRAJ. J,VENKATARAMANAN. P,SELVAMUTHU. S,PARTHIPAN. G,RADHAKRISHNAN. G,ROMANRAJ. A,VINU PRADHA. A,VIJAYALAKSHMI. P,VIJAYA KRISHNA. V,VENKATARAMAN. B,VELU. K,JAYAGOPI. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
76,11,62,1,90,0,2,0,2,231,0,0,0,0,1,1,0,0,0,1,402,0,0,402,0
77,25,76,3,234,1,1,1,4,394,2,0,0,0,1,2,0,0,0,0,744,0,1,745,0
78,32,76,0,247,1,0,0,0,306,1,0,0,0,0,1,0,1,0,0,665,0,2,667,0
79,17,91,1,176,1,1,1,2,353,0,0,0,1,0,3,2,0,1,1,651,0,1,652,0
80,30,93,1,154,1,1,1,1,365,0,0,0,1,0,2,1,1,1,1,654,0,2,656,0
81,22,104,0,138,0,1,0,0,347,0,0,0,0,0,0,0,0,0,0,612,0,2,614,0
82,37,84,0,277,0,0,0,4,488,1,0,0,0,0,0,0,0,0,0,891,0,0,891,0
83,6,268,0,70,0,0,0,1,120,0,0,0,0,0,0,1,1,0,0,467,0,7,474,0
84,21,114,1,155,1,0,0,3,272,5,0,0,0,1,1,0,1,0,0,575,0,2,577,0
85,14,224,0,90,0,0,0,0,116,0,1,0,1,1,2,0,1,0,0,450,0,2,452,0
86,5,130,2,144,1,0,0,1,259,1,0,0,0,1,2,0,1,0,0,547,0,2,549,0
87,13,214,1,126,0,0,0,1,173,0,0,0,1,0,0,1,1,0,0,531,0,2,533,0
88,32,208,0,120,0,0,2,1,265,0,2,0,1,0,0,0,1,0,0,632,0,5,637,0
89,12,110,2,131,0,1,0,2,326,0,0,0,1,0,1,0,0,0,0,586,0,2,588,0
90,13,74,2,182,3,0,0,2,340,0,0,0,1,0,1,2,0,1,0,621,0,0,621,0
91,18,217,0,132,0,0,1,1,232,0,1,1,0,1,1,1,0,0,0,606,0,8,614,0
92,21,126,1,182,0,0,1,1,343,0,0,0,0,0,1,1,3,0,0,680,0,6,686,0
93,26,177,1,191,0,0,0,0,336,1,0,0,0,1,3,1,1,0,0,738,0,10,748,0
94,20,127,0,136,1,1,1,1,265,1,0,0,0,1,1,0,0,0,0,555,0,3,558,0
95,21,79,1,133,1,0,1,2,238,0,1,0,0,0,1,0,2,0,0,480,0,2,482,0
